County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Creek County,Oklahoma,40,37,13.9,15.6,755.0,36.3,360.0,56528.0,70899.0,23.4,15.2,47147.0,8393.0,86.3,4.2,0.4422,112100.0,24.2,1573.0,70899.0,56528.0,24056.0,2017
Crenshaw County,Alabama,1,41,20.0,16.3,532.0,35.4,89.0,9911.0,13866.0,24.3,17.6,38937.0,113.0,89.3,6.4,0.4664,76800.0,22.6,3271.0,13866.0,9911.0,21580.0,2017
Crisp County,Georgia,13,81,18.4,13.6,624.0,36.3,252.0,12313.0,23005.0,23.2,31.2,33194.0,0.0,82.1,14.8,0.5613,83900.0,24.8,9931.0,23005.0,12313.0,21225.0,2017
Crittenden County,Arkansas,5,35,17.2,16.9,713.0,39.0,636.0,22100.0,49278.0,19.3,23.5,38558.0,141.0,89.8,8.4,0.4501,106300.0,27.7,24164.0,49278.0,22100.0,20721.0,2017
Crittenden County,Kentucky,21,55,17.8,13.3,502.0,33.6,53.0,8896.0,9154.0,26.4,17.7,41114.0,0.0,87.3,4.4,0.449,84600.0,22.6,123.0,9154.0,8896.0,22765.0,2017
Crockett County,Tennessee,47,33,19.7,13.0,668.0,35.7,119.0,11586.0,14554.0,23.8,17.7,39692.0,35.0,85.8,5.9,0.4493,96700.0,24.4,1927.0,14554.0,11586.0,21056.0,2017
Crockett County,Texas,48,105,10.6,8.9,526.0,37.2,23.0,1546.0,3836.0,23.6,20.9,52310.0,0.0,78.0,2.4,0.4088,80600.0,26.1,35.0,3836.0,1546.0,23296.0,2017
Crook County,Oregon,41,13,21.6,17.9,821.0,31.2,191.0,20118.0,21717.0,32.4,15.3,41777.0,204.0,91.6,8.3,0.4277,187200.0,19.5,101.0,21717.0,20118.0,24239.0,2017
Crook County,Wyoming,56,11,9.6,20.7,759.0,31.6,22.0,7099.0,7347.0,26.7,5.1,66944.0,104.0,89.5,3.6,0.422,219000.0,24.2,15.0,7347.0,7099.0,34186.0,2017
Crosby County,Texas,48,107,16.4,13.0,614.0,36.5,42.0,5397.0,5895.0,23.4,20.8,38674.0,0.0,77.9,7.7,0.4679,57500.0,27.5,242.0,5895.0,5397.0,20057.0,2017
Cross County,Arkansas,5,37,20.5,13.8,663.0,36.3,169.0,12763.0,17164.0,23.4,18.0,41081.0,7.0,91.6,6.8,0.4725,79400.0,24.2,3914.0,17164.0,12763.0,22894.0,2017
Crow Wing County,Minnesota,27,35,14.0,24.6,781.0,32.8,593.0,60984.0,63505.0,28.3,9.6,53121.0,725.0,94.2,3.5,0.4522,188100.0,22.1,405.0,63505.0,60984.0,30013.0,2017
Crowley County,Colorado,8,25,25.4,8.1,827.0,49.1,33.0,4797.0,5514.0,19.5,24.6,35292.0,78.0,90.9,21.4,0.4201,79700.0,13.0,237.0,5514.0,4797.0,14393.0,2017
Culberson County,Texas,48,109,25.8,9.0,586.0,35.1,15.0,1885.0,2257.0,26.0,29.4,33125.0,0.0,79.8,5.3,0.442,57000.0,23.4,8.0,2257.0,1885.0,16763.0,2017
Cullman County,Alabama,1,43,16.5,14.9,644.0,36.7,567.0,78056.0,81703.0,24.1,16.4,40997.0,350.0,86.6,5.8,0.4482,121900.0,22.5,948.0,81703.0,78056.0,21857.0,2017
Culpeper County,Virginia,51,47,11.5,23.4,1092.0,36.8,393.0,38337.0,49795.0,20.5,8.9,69693.0,227.0,89.2,5.9,0.4188,266400.0,25.2,7150.0,49795.0,38337.0,29979.0,2017
Cumberland County,Illinois,17,35,17.1,15.0,560.0,34.4,35.0,10663.0,10899.0,25.0,14.3,50680.0,24.0,94.0,5.0,0.4007,94000.0,22.8,10.0,10899.0,10663.0,24956.0,2017
