County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,health_insurance_rate,unemployment_rate,gini_index,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Abbeville County,South Carolina,45,1,21.3,14.7,616.0,34.6,35.0,17269.0,24788.0,28.4,22.7,35254.0,24.0,87.9,9.4,0.4495,92600.0,21.2,6844.0,24788.0,17269.0,19234.0,2017
Acadia Parish,Louisiana,22,1,18.5,12.2,593.0,38.1,405.0,49346.0,62607.0,19.4,21.5,40492.0,36.0,86.5,8.9,0.4683,97500.0,26.7,11053.0,62607.0,49346.0,21591.0,2017
Accomack County,Virginia,51,1,12.0,19.6,771.0,31.4,259.0,22468.0,32840.0,29.6,19.8,42260.0,109.0,83.3,5.4,0.4551,157200.0,20.9,9326.0,32840.0,22468.0,24266.0,2017
Ada County,Idaho,16,1,10.2,37.6,910.0,41.4,3518.0,395726.0,435117.0,18.6,11.8,60151.0,2369.0,90.9,4.3,0.4641,219900.0,24.8,5615.0,435117.0,395726.0,31642.0,2017
Adair County,Iowa,19,1,15.7,15.7,549.0,31.4,75.0,7045.0,7192.0,30.0,9.5,49477.0,0.0,93.6,3.0,0.4354,93200.0,21.5,24.0,7192.0,7045.0,28861.0,2017
Adair County,Kentucky,21,1,18.5,15.8,503.0,39.2,116.0,18257.0,19304.0,23.6,21.5,36575.0,27.0,91.3,6.2,0.4436,85900.0,20.1,700.0,19304.0,18257.0,18408.0,2017
Adair County,Missouri,29,1,12.0,31.0,610.0,50.9,252.0,23443.0,25437.0,19.3,26.2,38750.0,56.0,92.0,5.5,0.5143,117700.0,18.0,617.0,25437.0,23443.0,21778.0,2017
Adair County,Oklahoma,40,1,19.8,13.6,549.0,37.6,182.0,9490.0,22136.0,21.0,30.8,33366.0,9617.0,73.1,5.5,0.4603,81200.0,26.4,67.0,22136.0,9490.0,16576.0,2017
Adams County,Colorado,8,1,10.7,23.1,1172.0,43.9,6174.0,404397.0,487850.0,14.3,12.2,64087.0,5843.0,86.6,5.1,0.4058,241900.0,27.6,15681.0,487850.0,404397.0,27487.0,2017
Adams County,Idaho,16,3,19.6,20.3,604.0,25.2,45.0,3779.0,3946.0,38.3,13.8,42727.0,49.0,84.2,8.7,0.4248,166500.0,17.6,13.0,3946.0,3779.0,24315.0,2017
Adams County,Illinois,17,1,13.8,23.4,612.0,35.3,721.0,62209.0,66787.0,25.4,13.1,48454.0,222.0,94.4,5.5,0.447,120200.0,22.6,2689.0,66787.0,62209.0,27256.0,2017
Adams County,Indiana,18,1,12.8,14.9,588.0,35.6,192.0,33935.0,35018.0,20.4,18.9,48290.0,16.0,79.0,5.2,0.43,118900.0,31.2,328.0,35018.0,33935.0,21534.0,2017
Adams County,Iowa,19,3,15.3,17.3,476.0,30.7,15.0,3686.0,3785.0,30.2,11.2,49745.0,7.0,94.2,4.2,0.4157,84900.0,20.8,16.0,3785.0,3686.0,27022.0,2017
Adams County,Mississippi,28,1,15.4,17.4,583.0,35.6,233.0,13449.0,31583.0,23.7,34.2,30359.0,78.0,83.7,10.9,0.53,90800.0,23.1,16798.0,31583.0,13449.0,17721.0,2017
Adams County,Nebraska,31,1,13.2,23.5,655.0,37.4,258.0,29445.0,31564.0,23.7,12.4,51721.0,105.0,92.3,4.2,0.4557,115300.0,23.8,227.0,31564.0,29445.0,28085.0,2017
Adams County,North Dakota,38,1,10.2,27.4,491.0,33.4,4.0,2214.0,2368.0,31.4,9.2,54700.0,26.0,94.1,1.6,0.4527,144900.0,20.1,39.0,2368.0,2214.0,35933.0,2017
Adams County,Ohio,39,1,21.1,12.1,571.0,35.0,205.0,27231.0,27926.0,22.8,23.8,36320.0,158.0,89.9,7.5,0.476,98000.0,24.4,124.0,27926.0,27231.0,20248.0,2017
Adams County,Pennsylvania,42,1,13.3,22.1,871.0,35.2,892.0,93849.0,101589.0,25.9,8.8,62661.0,52.0,93.4,4.9,0.3998,197400.0,20.6,1469.0,101589.0,93849.0,29685.0,2017
Adams County,Washington,53,1,10.6,13.6,691.0,39.1,201.0,13496.0,19261.0,15.1,23.1,48131.0,556.0,80.5,5.9,0.4141,150300.0,35.1,113.0,19261.0,13496.0,18415.0,2017
Adams County,Wisconsin,55,1,21.8,12.5,720.0,27.8,68.0,18697.0,20111.0,36.9,13.0,44003.0,139.0,93.6,8.1,0.4225,127800.0,14.9,549.0,20111.0,18697.0,24874.0,2017
Addison County,Vermont,50,1,14.5,36.7,955.0,37.9,381.0,34807.0,36825.0,25.7,7.8,61875.0,100.0,94.8,4.4,0.4168,237000.0,17.9,395.0,36825.0,34807.0,31051.0,2017
Aiken County,South Carolina,45,3,14.1,25.8,767.0,36.5,1156.0,116948.0,165707.0,24.9,16.7,47713.0,411.0,88.4,9.0,0.4537,135900.0,22.1,40951.0,165707.0,116948.0,26222.0,2017
Aitkin County,Minnesota,27,1,17.5,16.7,638.0,24.3,91.0,15062.0,15841.0,40.8,12.1,45860.0,349.0,95.4,6.2,0.4228,169300.0,16.6,79.0,15841.0,15062.0,26883.0,2017
Alachua County,Florida,12,1,10.7,41.4,916.0,50.6,3140.0,180699.0,259865.0,18.4,23.3,45478.0,855.0,89.3,6.6,0.5166,167000.0,18.0,52376.0,259865.0,180699.0,26431.0,2017
Alamance County,North Carolina,37,1,14.6,22.9,774.0,38.0,1851.0,111229.0,157844.0,22.4,17.6,44281.0,551.0,87.1,6.0,0.4594,145500.0,22.8,29972.0,157844.0,111229.0,25157.0,2017
Alameda County,California,6,1,9.6,44.7,1547.0,43.4,25286.0,694720.0,1629615.0,18.4,11.3,85743.0,10152.0,93.1,6.0,0.4649,649100.0,21.2,180446.0,1629615.0,694720.0,41363.0,2017
Alamosa County,Colorado,8,3,19.3,26.2,675.0,45.5,148.0,14071.0,16345.0,18.1,27.8,36315.0,420.0,86.7,9.9,0.4846,152900.0,24.3,408.0,16345.0,14071.0,19217.0,2017
Albany County,New York,36,1,11.3,40.5,969.0,42.6,4914.0,234602.0,308580.0,21.9,12.4,62293.0,516.0,95.3,5.3,0.4623,214400.0,18.8,37937.0,308580.0,234602.0,35278.0,2017
Albany County,Wyoming,56,1,9.8,49.8,748.0,57.0,601.0,34064.0,37944.0,15.5,23.0,45816.0,273.0,91.9,4.8,0.472,223000.0,16.4,556.0,37944.0,34064.0,26034.0,2017
Albemarle County,Virginia,51,3,8.9,52.3,1189.0,40.1,1040.0,85656.0,105105.0,23.1,9.8,72265.0,216.0,92.4,3.2,0.4716,329600.0,20.7,10052.0,105105.0,85656.0,39273.0,2017
Alcona County,Michigan,26,1,23.2,15.2,601.0,21.4,30.0,10119.0,10413.0,45.2,14.9,39424.0,66.0,91.7,9.3,0.4288,96000.0,13.0,33.0,10413.0,10119.0,24463.0,2017
Alcorn County,Mississippi,28,3,20.6,15.9,607.0,37.2,355.0,31710.0,37242.0,22.9,19.6,38919.0,33.0,84.5,8.6,0.4479,86100.0,23.7,4374.0,37242.0,31710.0,20527.0,2017
Aleutians East Borough,Alaska,2,13,7.7,11.5,989.0,41.7,15.0,574.0,3338.0,15.3,16.7,66607.0,1273.0,51.8,2.4,0.4025,124700.0,13.4,175.0,3338.0,574.0,31254.0,2017
Aleutians West Census Area,Alaska,2,16,7.4,16.2,1277.0,46.9,17.0,1723.0,5784.0,12.2,7.5,85192.0,680.0,78.8,1.9,0.3688,238800.0,17.0,295.0,5784.0,1723.0,35998.0,2017
Alexander County,Illinois,17,3,20.1,10.7,465.0,31.6,27.0,4215.0,6776.0,27.2,33.4,31014.0,43.0,91.2,8.2,0.475,53200.0,24.3,2343.0,6776.0,4215.0,18564.0,2017
Alexander County,North Carolina,37,3,18.1,13.9,620.0,36.8,157.0,32705.0,37159.0,24.7,14.7,44523.0,82.0,89.0,6.7,0.4398,131800.0,20.7,2187.0,37159.0,32705.0,22655.0,2017
Alexandria City,Virginia,51,510,7.1,61.8,1663.0,49.4,3802.0,96411.0,154710.0,15.4,10.5,93370.0,322.0,86.3,3.9,0.4438,537900.0,18.1,34123.0,154710.0,96411.0,57019.0,2017
Alfalfa County,Oklahoma,40,3,16.3,20.9,677.0,35.1,32.0,4557.0,5877.0,25.6,11.2,57432.0,110.0,88.4,4.5,0.4892,74500.0,19.9,142.0,5877.0,4557.0,28007.0,2017
Alger County,Michigan,26,3,18.3,17.8,611.0,32.0,38.0,7882.0,9254.0,33.8,13.0,42647.0,303.0,90.8,6.9,0.4238,119000.0,15.4,665.0,9254.0,7882.0,21771.0,2017
Allamakee County,Iowa,19,5,12.2,17.5,562.0,30.9,77.0,13493.0,13940.0,28.7,11.4,47895.0,19.0,91.4,3.3,0.4464,122800.0,22.8,132.0,13940.0,13493.0,27377.0,2017
Allegan County,Michigan,26,5,10.4,22.3,775.0,35.9,401.0,107713.0,114145.0,21.7,10.8,58487.0,559.0,93.9,3.6,0.4061,150600.0,24.8,1593.0,114145.0,107713.0,27172.0,2017
Allegany County,Maryland,24,1,18.4,18.2,672.0,39.7,598.0,64164.0,72591.0,25.2,16.8,42771.0,120.0,94.1,9.0,0.4445,119900.0,17.6,5899.0,72591.0,64164.0,22355.0,2017
Allegany County,New York,36,3,15.6,19.8,633.0,39.4,421.0,45256.0,47400.0,23.9,16.5,45359.0,130.0,91.9,7.3,0.4169,73300.0,20.4,687.0,47400.0,45256.0,22377.0,2017
Alleghany County,North Carolina,37,5,22.0,18.7,635.0,30.2,111.0,10042.0,10935.0,33.1,21.0,38944.0,208.0,85.8,5.7,0.4182,136000.0,17.8,266.0,10935.0,10042.0,21153.0,2017
Alleghany County,Virginia,51,5,19.2,15.8,653.0,31.8,46.0,14328.0,15489.0,30.9,19.3,46020.0,1.0,92.6,4.4,0.4367,113600.0,19.5,846.0,15489.0,14328.0,25952.0,2017
Allegheny County,Pennsylvania,42,3,13.3,40.0,835.0,39.0,13800.0,987932.0,1229605.0,24.7,12.5,56333.0,1417.0,94.8,5.9,0.4856,140600.0,19.0,158779.0,1229605.0,987932.0,35280.0,2017
Allen County,Indiana,18,3,12.4,27.5,719.0,39.6,3677.0,292318.0,367747.0,19.3,14.7,51091.0,728.0,89.2,6.3,0.449,119400.0,26.1,42092.0,367747.0,292318.0,26932.0,2017
Allen County,Kansas,20,1,18.8,19.2,573.0,34.9,99.0,11938.0,12752.0,26.5,14.2,43031.0,14.0,93.4,3.6,0.4249,78600.0,23.3,185.0,12752.0,11938.0,23011.0,2017
Allen County,Kentucky,21,3,20.1,14.4,650.0,36.3,60.0,19832.0,20628.0,23.2,20.0,40598.0,8.0,88.5,7.5,0.4495,102500.0,23.8,392.0,20628.0,19832.0,21652.0,2017
Allen County,Ohio,39,3,15.3,17.7,663.0,38.1,1018.0,86507.0,104157.0,23.1,15.0,47905.0,221.0,92.1,7.2,0.4468,110900.0,23.3,12260.0,104157.0,86507.0,24551.0,2017
Allen Parish,Louisiana,22,3,20.6,13.1,570.0,40.7,227.0,18865.0,25667.0,19.2,16.6,42176.0,511.0,89.0,9.4,0.4756,84800.0,22.0,5004.0,25667.0,18865.0,20103.0,2017
Allendale County,South Carolina,45,5,27.0,9.4,617.0,38.1,43.0,2359.0,9402.0,25.2,30.4,23331.0,45.0,85.5,17.3,0.4877,52100.0,19.2,6937.0,9402.0,2359.0,13439.0,2017
Alpena County,Michigan,26,7,18.8,17.3,568.0,31.9,224.0,27816.0,28730.0,29.7,15.0,40954.0,129.0,92.4,6.4,0.4296,94000.0,19.1,170.0,28730.0,27816.0,24030.0,2017
Alpine County,California,6,3,24.3,25.6,1083.0,36.7,0.0,826.0,1203.0,35.7,19.8,63438.0,263.0,87.9,14.6,0.4981,343800.0,21.4,18.0,1203.0,826.0,27448.0,2017
Amador County,California,6,5,17.5,22.1,1056.0,30.0,225.0,32453.0,37306.0,34.8,10.6,60636.0,295.0,94.4,9.3,0.4392,278600.0,15.4,796.0,37306.0,32453.0,29628.0,2017
Amelia County,Virginia,51,7,13.0,14.5,729.0,31.8,107.0,9407.0,12802.0,25.8,13.0,58535.0,44.0,87.2,3.3,0.3808,185100.0,21.1,3037.0,12802.0,9407.0,26118.0,2017
Amherst County,Virginia,51,9,14.3,19.9,731.0,34.8,305.0,24499.0,31819.0,26.9,13.4,49677.0,76.0,89.9,5.6,0.4182,151500.0,20.0,5589.0,31819.0,24499.0,24296.0,2017
Amite County,Mississippi,28,5,19.8,13.2,643.0,31.2,43.0,7237.0,12574.0,29.9,22.8,30129.0,3.0,84.9,10.8,0.4924,77500.0,21.0,5277.0,12574.0,7237.0,19665.0,2017
Anchorage Municipality,Alaska,2,20,10.9,34.6,1261.0,44.8,4380.0,189826.0,298225.0,14.6,8.1,82271.0,21682.0,86.8,5.8,0.4192,304500.0,24.8,16335.0,298225.0,189826.0,38977.0,2017
Anderson County,Kansas,20,3,14.2,18.6,652.0,32.6,81.0,7498.0,7840.0,26.7,13.6,40986.0,277.0,89.8,4.2,0.4133,88200.0,25.0,15.0,7840.0,7498.0,21887.0,2017
Anderson County,Kentucky,21,5,16.9,20.0,710.0,36.8,256.0,20998.0,22017.0,21.3,12.0,51681.0,0.0,94.6,6.3,0.3976,138600.0,24.2,518.0,22017.0,20998.0,24991.0,2017
Anderson County,South Carolina,45,7,16.2,20.8,716.0,36.5,1747.0,155118.0,194174.0,23.6,15.6,45551.0,412.0,88.6,6.7,0.447,133900.0,23.2,31400.0,194174.0,155118.0,24485.0,2017
Anderson County,Tennessee,47,1,19.2,23.8,719.0,34.9,662.0,69150.0,75538.0,25.9,16.3,47206.0,99.0,91.3,6.9,0.4659,134100.0,21.1,2592.0,75538.0,69150.0,26972.0,2017
Anderson County,Texas,48,1,12.4,12.4,748.0,43.7,420.0,42316.0,57747.0,19.8,15.7,42313.0,272.0,86.3,4.3,0.4373,91800.0,19.5,12083.0,57747.0,42316.0,17466.0,2017
Andrew County,Missouri,29,3,14.0,25.1,765.0,34.8,87.0,16650.0,17358.0,24.7,9.0,56658.0,26.0,93.0,4.2,0.4182,136400.0,23.1,308.0,17358.0,16650.0,28003.0,2017
Andrews County,Texas,48,3,9.5,9.8,997.0,41.6,95.0,16134.0,17577.0,14.7,11.9,70753.0,16.0,84.6,4.5,0.454,126000.0,31.2,367.0,17577.0,16134.0,29903.0,2017
Androscoggin County,Maine,23,1,16.3,22.1,724.0,36.9,1715.0,98722.0,107317.0,22.6,14.3,49538.0,190.0,91.3,5.2,0.4245,152000.0,21.9,1904.0,107317.0,98722.0,26276.0,2017
Angelina County,Texas,48,5,18.8,16.7,774.0,38.3,691.0,68468.0,87700.0,20.8,19.1,46472.0,396.0,80.5,7.6,0.4527,97300.0,26.1,13013.0,87700.0,68468.0,21974.0,2017
Anne Arundel County,Maryland,24,3,10.6,40.1,1579.0,39.9,4748.0,417111.0,564600.0,19.7,6.1,94502.0,1025.0,94.6,5.2,0.4127,346000.0,22.5,91567.0,564600.0,417111.0,43258.0,2017
Anoka County,Minnesota,27,3,10.1,28.7,1034.0,38.8,2393.0,291758.0,344861.0,18.4,6.6,76796.0,2120.0,95.2,4.2,0.391,205000.0,24.3,19145.0,344861.0,291758.0,34321.0,2017
Anson County,North Carolina,37,7,18.7,9.2,687.0,39.6,292.0,12257.0,25531.0,22.9,22.7,38123.0,89.0,85.2,13.4,0.4408,83700.0,20.0,12417.0,25531.0,12257.0,19105.0,2017
Antelope County,Nebraska,31,3,15.2,18.6,529.0,30.5,47.0,6252.0,6406.0,30.6,11.5,46949.0,20.0,91.8,1.9,0.4739,78500.0,23.0,16.0,6406.0,6252.0,28091.0,2017
Antrim County,Michigan,26,9,16.3,26.9,701.0,28.3,71.0,22215.0,23133.0,35.0,12.6,50988.0,197.0,92.1,6.1,0.4578,151500.0,18.9,77.0,23133.0,22215.0,29307.0,2017
Apache County,Arizona,4,1,14.6,11.5,487.0,38.4,245.0,16314.0,71602.0,19.7,35.9,32360.0,52488.0,77.1,14.1,0.4883,72800.0,28.4,364.0,71602.0,16314.0,13865.0,2017
Appanoose County,Iowa,19,7,17.8,18.2,569.0,31.5,117.0,12222.0,12547.0,30.0,17.1,40377.0,17.0,91.6,6.3,0.4947,78000.0,21.9,74.0,12547.0,12222.0,25543.0,2017
Appling County,Georgia,13,1,20.2,11.5,534.0,35.4,96.0,14062.0,18471.0,22.8,24.7,37089.0,103.0,82.5,7.7,0.4662,72100.0,25.1,3299.0,18471.0,14062.0,19936.0,2017
Appomattox County,Virginia,51,11,17.2,20.6,683.0,34.5,69.0,11990.0,15462.0,26.4,14.4,54875.0,16.0,91.5,3.5,0.425,151700.0,21.6,3103.0,15462.0,11990.0,26347.0,2017
Aransas County,Texas,48,7,20.8,19.5,822.0,29.8,170.0,21800.0,24832.0,33.5,17.8,44601.0,99.0,81.7,6.7,0.5213,158900.0,19.0,407.0,24832.0,21800.0,29999.0,2017
Arapahoe County,Colorado,8,5,9.0,41.6,1218.0,41.9,8618.0,450692.0,626612.0,17.8,9.9,69553.0,3573.0,90.2,5.2,0.4595,292900.0,24.3,65566.0,626612.0,450692.0,36951.0,2017
Archer County,Texas,48,9,15.3,23.6,621.0,33.0,39.0,8313.0,8793.0,26.7,8.8,63192.0,37.0,88.6,3.0,0.4387,125600.0,22.2,106.0,8793.0,8313.0,31103.0,2017
Archuleta County,Colorado,8,7,13.9,37.0,904.0,29.3,182.0,10587.0,12592.0,34.0,11.6,48016.0,312.0,84.3,5.4,0.4401,274000.0,17.4,176.0,12592.0,10587.0,29344.0,2017
Arenac County,Michigan,26,11,20.5,11.6,610.0,30.4,86.0,14665.0,15238.0,32.4,18.5,39947.0,209.0,91.6,9.6,0.4228,88900.0,18.3,79.0,15238.0,14665.0,22622.0,2017
Arkansas County,Arkansas,5,1,24.6,14.1,660.0,36.1,210.0,13255.0,18352.0,25.6,20.7,38532.0,3.0,91.6,8.5,0.4877,80300.0,22.8,4852.0,18352.0,13255.0,23766.0,2017
Arlington County,Virginia,51,13,5.8,74.1,1895.0,52.7,5152.0,164102.0,229534.0,14.2,8.2,112138.0,1013.0,92.2,3.2,0.44,643300.0,17.3,20278.0,229534.0,164102.0,67061.0,2017
Armstrong County,Pennsylvania,42,5,19.1,15.2,639.0,32.8,457.0,65307.0,66737.0,28.1,13.0,47527.0,8.0,94.1,6.9,0.4191,98600.0,19.5,637.0,66737.0,65307.0,25502.0,2017
Armstrong County,Texas,48,11,13.4,23.6,732.0,30.4,13.0,1821.0,1929.0,26.7,7.5,68750.0,26.0,93.9,1.8,0.3781,128600.0,21.6,39.0,1929.0,1821.0,31219.0,2017
Aroostook County,Maine,23,3,22.2,18.5,565.0,31.9,728.0,65491.0,68840.0,29.7,17.5,39021.0,1182.0,91.0,5.3,0.4557,97000.0,18.7,651.0,68840.0,65491.0,23631.0,2017
Ascension Parish,Louisiana,22,5,12.1,27.6,972.0,41.4,686.0,87674.0,119129.0,15.7,11.7,74748.0,47.0,91.5,6.3,0.4104,179800.0,27.4,26036.0,119129.0,87674.0,31520.0,2017
Ashe County,North Carolina,37,9,15.7,19.5,641.0,31.8,157.0,25460.0,26833.0,31.9,19.4,40293.0,97.0,86.1,6.3,0.4509,150300.0,18.4,210.0,26833.0,25460.0,23650.0,2017
Ashland County,Ohio,39,5,13.8,20.2,707.0,36.7,428.0,51640.0,53299.0,24.0,14.2,50893.0,7.0,90.5,4.2,0.4108,122000.0,22.9,421.0,53299.0,51640.0,24612.0,2017
Ashland County,Wisconsin,55,3,16.3,21.7,644.0,34.9,199.0,13295.0,15779.0,25.5,14.6,41505.0,1782.0,93.5,7.2,0.4332,107400.0,22.5,69.0,15779.0,13295.0,22983.0,2017
Ashley County,Arkansas,5,3,23.6,13.4,608.0,34.8,109.0,14939.0,20771.0,24.5,21.3,36407.0,49.0,88.9,9.9,0.4658,68200.0,23.2,5309.0,20771.0,14939.0,20703.0,2017
Ashtabula County,Ohio,39,7,15.8,13.4,648.0,34.9,919.0,91628.0,98622.0,25.5,19.8,43017.0,189.0,90.0,7.4,0.4335,106300.0,22.5,3607.0,98622.0,91628.0,21936.0,2017
Asotin County,Washington,53,3,19.5,21.4,739.0,33.1,166.0,20727.0,22259.0,28.6,13.5,47483.0,360.0,92.0,6.7,0.4314,176700.0,20.8,105.0,22259.0,20727.0,26878.0,2017
Assumption Parish,Louisiana,22,7,19.5,10.3,698.0,37.7,77.0,15487.0,22881.0,22.8,15.7,48656.0,144.0,87.1,6.9,0.48,114600.0,22.6,6810.0,22881.0,15487.0,25765.0,2017
Atascosa County,Texas,48,13,11.8,14.3,797.0,39.0,237.0,44416.0,48139.0,19.9,14.6,55194.0,125.0,82.8,6.1,0.4383,96100.0,27.9,353.0,48139.0,44416.0,23973.0,2017
Atchison County,Kansas,20,5,16.0,20.7,626.0,39.5,86.0,14922.0,16466.0,21.4,18.5,46640.0,82.0,90.9,6.3,0.4919,92900.0,23.6,510.0,16466.0,14922.0,25494.0,2017
Atchison County,Missouri,29,5,18.5,23.3,518.0,31.1,35.0,5214.0,5335.0,32.3,12.1,45259.0,20.0,89.3,4.1,0.4366,82000.0,19.3,20.0,5335.0,5214.0,28209.0,2017
Athens County,Ohio,39,9,15.9,29.6,754.0,54.7,709.0,59620.0,65563.0,17.0,30.2,37191.0,197.0,93.1,8.7,0.5086,116500.0,15.0,1691.0,65563.0,59620.0,20062.0,2017
Atkinson County,Georgia,13,3,14.6,8.2,485.0,37.7,25.0,5962.0,8313.0,17.5,27.4,33063.0,59.0,75.2,8.4,0.4958,62500.0,27.9,1499.0,8313.0,5962.0,19904.0,2017
Atlantic County,New Jersey,34,1,13.5,26.6,1070.0,37.0,3363.0,182673.0,272926.0,22.9,15.3,57514.0,908.0,88.9,10.9,0.4631,219000.0,21.9,41259.0,272926.0,182673.0,29941.0,2017
Atoka County,Oklahoma,40,5,22.4,14.6,578.0,36.5,114.0,10149.0,13899.0,25.0,19.8,37106.0,1606.0,81.4,6.6,0.4743,98400.0,22.5,518.0,13899.0,10149.0,19439.0,2017
Attala County,Mississippi,28,7,20.2,12.3,534.0,34.4,69.0,10142.0,18731.0,25.0,22.6,33815.0,26.0,88.5,10.3,0.5158,72700.0,25.7,8027.0,18731.0,10142.0,20617.0,2017
Audrain County,Missouri,29,7,14.3,13.7,625.0,37.7,147.0,23046.0,25763.0,23.5,16.7,44056.0,58.0,88.6,7.4,0.4306,95800.0,23.4,1572.0,25763.0,23046.0,21226.0,2017
Audubon County,Iowa,19,9,12.7,13.7,560.0,29.7,53.0,5559.0,5711.0,31.8,11.1,48750.0,1.0,93.4,2.7,0.464,68800.0,20.2,34.0,5711.0,5559.0,31523.0,2017
Auglaize County,Ohio,39,11,11.2,18.5,688.0,34.8,210.0,44405.0,45778.0,23.5,9.0,59516.0,80.0,95.7,3.4,0.3944,143100.0,24.4,163.0,45778.0,44405.0,28340.0,2017
Augusta County,Virginia,51,15,12.8,23.4,857.0,34.6,374.0,69236.0,74390.0,26.5,8.8,59544.0,175.0,90.4,4.1,0.4378,206300.0,19.8,3010.0,74390.0,69236.0,30088.0,2017
Aurora County,South Dakota,46,3,12.8,20.2,598.0,34.2,20.0,2523.0,2739.0,26.7,6.2,57257.0,85.0,95.0,1.4,0.4084,72300.0,26.1,45.0,2739.0,2523.0,30872.0,2017
Austin County,Texas,48,15,14.5,22.3,802.0,34.1,109.0,23622.0,29292.0,24.9,13.4,62614.0,11.0,86.2,5.4,0.4421,175200.0,24.2,2623.0,29292.0,23622.0,30101.0,2017
Autauga County,Alabama,1,1,18.8,25.0,932.0,39.3,531.0,42159.0,55036.0,19.1,13.7,55317.0,169.0,91.2,5.2,0.4501,143000.0,24.5,10510.0,55036.0,42159.0,27824.0,2017
Avery County,North Carolina,37,11,20.6,20.2,723.0,38.3,90.0,16321.0,17535.0,27.5,14.7,37109.0,80.0,83.7,5.5,0.496,138800.0,15.4,743.0,17535.0,16321.0,21704.0,2017
Avoyelles Parish,Louisiana,22,9,19.0,11.3,638.0,37.9,583.0,27382.0,41095.0,22.1,23.7,36763.0,500.0,86.2,7.7,0.4919,90600.0,23.9,12382.0,41095.0,27382.0,20199.0,2017
Baca County,Colorado,8,9,21.9,21.4,540.0,30.6,30.0,3413.0,3581.0,32.9,19.5,35898.0,39.0,89.0,4.5,0.4441,79800.0,20.9,55.0,3581.0,3413.0,22853.0,2017
Bacon County,Georgia,13,5,17.8,11.8,528.0,38.5,136.0,9060.0,11279.0,20.6,23.2,38824.0,0.0,81.4,3.1,0.4253,73200.0,25.8,1642.0,11279.0,9060.0,18856.0,2017
Bailey County,Texas,48,17,13.8,14.4,811.0,42.5,25.0,6086.0,7098.0,21.4,22.3,43523.0,7.0,70.0,2.2,0.4201,68000.0,29.0,115.0,7098.0,6086.0,18662.0,2017
Baker County,Florida,12,3,17.3,13.1,755.0,39.5,150.0,22963.0,27537.0,19.5,17.2,59506.0,106.0,87.9,5.8,0.4312,121100.0,24.4,3797.0,27537.0,22963.0,22440.0,2017
Baker County,Georgia,13,7,21.3,11.0,485.0,35.4,9.0,1817.0,3251.0,28.3,19.5,43867.0,6.0,83.1,2.5,0.4681,79500.0,20.1,1349.0,3251.0,1817.0,22270.0,2017
Baker County,Oregon,41,1,21.2,22.6,658.0,31.2,172.0,14907.0,15980.0,33.0,15.3,43765.0,177.0,90.8,7.3,0.4385,145600.0,19.6,150.0,15980.0,14907.0,25820.0,2017
Baldwin County,Alabama,1,3,13.7,30.7,904.0,35.1,1788.0,175961.0,203360.0,26.3,11.8,52562.0,1668.0,89.2,5.5,0.4618,182000.0,22.1,19414.0,203360.0,175961.0,29364.0,2017
Baldwin County,Georgia,13,9,15.4,19.4,687.0,44.3,405.0,24653.0,45527.0,20.4,27.8,37008.0,117.0,87.6,9.0,0.4991,108800.0,19.3,18881.0,45527.0,24653.0,20114.0,2017
Ballard County,Kentucky,21,7,15.3,14.1,611.0,34.1,34.0,7630.0,8152.0,27.1,18.2,42988.0,35.0,89.1,4.7,0.4534,102600.0,22.3,318.0,8152.0,7630.0,25063.0,2017
Baltimore City,Maryland,24,510,15.3,30.4,1009.0,44.3,10669.0,187725.0,619796.0,18.7,22.4,46641.0,1886.0,92.0,10.0,0.5159,153200.0,21.0,389222.0,619796.0,187725.0,28488.0,2017
Baltimore County,Maryland,24,5,11.6,37.8,1224.0,38.9,9070.0,514340.0,828637.0,22.5,9.1,71810.0,2320.0,93.3,5.5,0.4476,249600.0,21.6,231516.0,828637.0,514340.0,37270.0,2017
Bamberg County,South Carolina,45,9,21.1,19.1,754.0,38.2,70.0,5340.0,14842.0,26.3,24.5,32330.0,48.0,84.0,6.5,0.4687,65800.0,20.2,9134.0,14842.0,5340.0,19256.0,2017
Bandera County,Texas,48,19,19.0,23.8,874.0,27.5,76.0,19669.0,21316.0,35.3,16.5,56413.0,245.0,83.5,5.7,0.4273,165900.0,17.4,213.0,21316.0,19669.0,29177.0,2017
Banks County,Georgia,13,11,16.4,11.9,710.0,36.9,51.0,17090.0,18363.0,22.9,14.3,42182.0,48.0,83.0,6.6,0.3954,128900.0,23.3,467.0,18363.0,17090.0,19451.0,2017
Bannock County,Idaho,16,5,15.2,28.1,659.0,42.5,680.0,75606.0,84113.0,18.7,17.6,47390.0,2618.0,90.5,6.3,0.4519,148300.0,26.8,533.0,84113.0,75606.0,23872.0,2017
Baraga County,Michigan,26,13,17.2,15.5,567.0,37.4,9.0,6307.0,8580.0,27.7,14.4,42757.0,410.0,93.2,6.0,0.435,93100.0,18.3,1374.0,8580.0,6307.0,18975.0,2017
Barber County,Kansas,20,7,14.2,19.9,562.0,30.4,39.0,4684.0,4905.0,26.6,15.9,52075.0,76.0,88.6,2.5,0.464,75600.0,24.0,33.0,4905.0,4684.0,28840.0,2017
