County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Alexander County,North Carolina,37,3,32871.0,37014.0,13.8,195.0,577.0,80.2,0.4494,87.0,39544.0,32871.0,20626.0,37014.0,122200.0,2021.0,7.9,2012
Alexandria City,Virginia,51,510,89211.0,140337.0,8.1,3915.0,1440.0,83.5,0.4486,552.0,83996.0,89211.0,54767.0,140337.0,475900.0,30599.0,6.9,2012
Alfalfa County,Oklahoma,40,3,4789.0,5631.0,16.8,27.0,539.0,85.9,0.4623,113.0,41943.0,4789.0,23271.0,5631.0,62100.0,129.0,5.2,2012
Alger County,Michigan,26,3,8281.0,9531.0,18.4,71.0,560.0,86.3,0.403,248.0,38348.0,8281.0,19117.0,9531.0,113600.0,716.0,8.1,2012
Allamakee County,Iowa,19,5,13614.0,14285.0,18.1,78.0,534.0,80.6,0.3832,187.0,47539.0,13614.0,23392.0,14285.0,111100.0,39.0,7.7,2012
Allegan County,Michigan,26,5,104388.0,111589.0,12.0,487.0,712.0,76.5,0.408,715.0,51030.0,104388.0,23719.0,111589.0,142400.0,1383.0,7.8,2012
Allegany County,Maryland,24,1,66527.0,74645.0,14.8,646.0,598.0,84.3,0.4576,116.0,39087.0,66527.0,21677.0,74645.0,122000.0,5767.0,13.0,2012
Allegany County,New York,36,3,46960.0,48837.0,14.0,320.0,594.0,81.6,0.4183,155.0,42095.0,46960.0,20571.0,48837.0,67600.0,627.0,17.0,2012
Alleghany County,North Carolina,37,5,10276.0,11069.0,18.9,61.0,538.0,82.0,0.4363,36.0,32449.0,10276.0,18563.0,11069.0,150000.0,128.0,7.4,2012
Alleghany County,Virginia,51,5,15210.0,16297.0,18.8,120.0,546.0,79.6,0.3921,6.0,46133.0,15210.0,23680.0,16297.0,117700.0,801.0,6.7,2012
Allegheny County,Pennsylvania,42,3,998821.0,1224772.0,14.1,14714.0,735.0,81.7,0.4842,1443.0,50664.0,998821.0,31173.0,1224772.0,120300.0,159897.0,10.4,2012
Allen County,Indiana,18,3,284804.0,355940.0,10.3,2766.0,654.0,75.2,0.4372,1140.0,50030.0,284804.0,25237.0,355940.0,113400.0,42209.0,9.6,2012
Allen County,Kansas,20,1,12512.0,13364.0,16.3,128.0,531.0,78.7,0.4133,83.0,39714.0,12512.0,20521.0,13364.0,63400.0,266.0,9.6,2012
Allen County,Kentucky,21,3,19435.0,20007.0,13.7,67.0,537.0,78.8,0.4317,44.0,36123.0,19435.0,17827.0,20007.0,93500.0,209.0,9.1,2012
Allen County,Ohio,39,3,88630.0,106079.0,12.4,821.0,635.0,78.6,0.4432,269.0,43194.0,88630.0,22187.0,106079.0,104400.0,12699.0,12.3,2012
Allen Parish,Louisiana,22,3,18791.0,25740.0,9.8,86.0,538.0,82.2,0.4381,626.0,38899.0,18791.0,19012.0,25740.0,79800.0,5194.0,8.6,2012
Allendale County,South Carolina,45,5,2479.0,10399.0,10.7,69.0,544.0,80.9,0.5471,3.0,25966.0,2479.0,14361.0,10399.0,67700.0,7668.0,9.9,2012
Alpena County,Michigan,26,7,28763.0,29602.0,17.6,297.0,525.0,81.6,0.4389,169.0,38900.0,28763.0,22414.0,29602.0,101600.0,149.0,8.0,2012
Alpine County,California,6,3,852.0,1197.0,11.4,5.0,755.0,80.3,0.4279,236.0,59931.0,852.0,27135.0,1197.0,371300.0,0.0,8.4,2012
Amador County,California,6,5,33302.0,37764.0,18.5,293.0,1039.0,87.6,0.4384,778.0,53462.0,33302.0,26969.0,37764.0,286500.0,985.0,7.5,2012
Amelia County,Virginia,51,7,9219.0,12674.0,15.4,33.0,823.0,80.6,0.4168,117.0,50596.0,9219.0,24548.0,12674.0,201100.0,3052.0,7.7,2012
Amherst County,Virginia,51,9,24630.0,32301.0,15.1,240.0,637.0,80.1,0.3943,331.0,45020.0,24630.0,22169.0,32301.0,151800.0,6083.0,8.7,2012
Amite County,Mississippi,28,5,7477.0,13139.0,17.0,56.0,593.0,79.3,0.4745,33.0,30471.0,7477.0,17036.0,13139.0,68600.0,5576.0,9.8,2012
Anchorage Municipality,Alaska,2,20,194690.0,291470.0,6.8,4435.0,1104.0,76.6,0.4145,19326.0,76495.0,194690.0,36145.0,291470.0,277100.0,16770.0,12.0,2012
Anderson County,Kansas,20,3,7730.0,8066.0,18.2,44.0,539.0,76.8,0.4102,11.0,43060.0,7730.0,21757.0,8066.0,87300.0,22.0,6.6,2012
Anderson County,Kentucky,21,5,20584.0,21442.0,10.8,132.0,696.0,77.0,0.3846,5.0,52294.0,20584.0,24846.0,21442.0,132700.0,581.0,7.7,2012
Anderson County,South Carolina,45,7,151044.0,187228.0,13.7,1287.0,647.0,77.6,0.4425,238.0,42659.0,151044.0,22218.0,187228.0,121900.0,30021.0,8.6,2012
Anderson County,Tennessee,47,1,69536.0,75039.0,15.3,648.0,650.0,79.5,0.457,214.0,44154.0,69536.0,24946.0,75039.0,126400.0,2900.0,8.4,2012
Anderson County,Texas,48,1,43169.0,58269.0,10.0,260.0,695.0,85.3,0.4633,404.0,41471.0,43169.0,18699.0,58269.0,80600.0,12451.0,8.5,2012
Andrew County,Missouri,29,3,16729.0,17205.0,13.8,135.0,688.0,79.2,0.3856,60.0,57406.0,16729.0,25821.0,17205.0,130300.0,110.0,8.2,2012
Andrews County,Texas,48,3,13012.0,15006.0,9.7,17.0,701.0,72.9,0.5065,515.0,55327.0,13012.0,29068.0,15006.0,90200.0,203.0,10.2,2012
Androscoggin County,Maine,23,1,100191.0,107766.0,12.4,1216.0,696.0,79.1,0.4334,174.0,44826.0,100191.0,24268.0,107766.0,156700.0,1875.0,9.6,2012
Angelina County,Texas,48,5,68280.0,86550.0,12.2,621.0,721.0,75.2,0.4745,467.0,40150.0,68280.0,21280.0,86550.0,83700.0,13496.0,9.5,2012
Anne Arundel County,Maryland,24,3,408521.0,538473.0,10.7,4839.0,1409.0,78.8,0.4091,1384.0,86987.0,408521.0,40323.0,538473.0,349800.0,82542.0,10.2,2012
Anoka County,Minnesota,27,3,288614.0,331649.0,8.8,1789.0,937.0,76.8,0.3777,2163.0,69916.0,288614.0,30299.0,331649.0,203700.0,13811.0,8.5,2012
Anson County,North Carolina,37,7,12687.0,26699.0,11.1,233.0,638.0,80.0,0.4426,174.0,34772.0,12687.0,16694.0,26699.0,80600.0,12968.0,9.3,2012
