County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,median_household_income,gini_index,native_american_population,health_insurance_rate,unemployment_rate,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income,Year
Dickinson County,Kansas,20,41,15.6,18.5,608.0,76.6,18636.0,19641.0,16.0,11.4,321.0,50123.0,0.4085,78.0,9.7,6.8,19641.0,107100.0,60.0,7.6,18636.0,24754.0,2014
Dickinson County,Michigan,26,43,15.5,22.3,653.0,81.3,25274.0,26097.0,17.6,13.4,178.0,44350.0,0.4404,100.0,9.4,8.5,26097.0,86800.0,123.0,7.4,25274.0,24948.0,2014
Dickson County,Tennessee,47,43,16.3,12.6,735.0,78.2,46115.0,50115.0,13.2,14.5,338.0,45056.0,0.438,70.0,12.9,8.4,50115.0,141400.0,1986.0,8.6,46115.0,22191.0,2014
Dillingham Census Area,Alaska,2,70,11.8,12.1,997.0,70.4,926.0,4956.0,7.7,18.1,39.0,54846.0,0.4345,3571.0,29.8,16.4,4956.0,198000.0,11.0,11.9,926.0,21774.0,2014
Dillon County,South Carolina,45,33,18.5,7.1,544.0,76.2,15084.0,31529.0,12.2,31.6,176.0,28847.0,0.4705,708.0,19.0,14.4,31529.0,64100.0,14509.0,9.9,15084.0,15010.0,2014
Dimmit County,Texas,48,127,18.8,7.7,570.0,75.0,9898.0,10537.0,12.9,20.9,56.0,38140.0,0.5074,6.0,27.2,10.9,10537.0,58400.0,66.0,10.4,9898.0,20822.0,2014
Dinwiddie County,Virginia,51,53,17.3,9.7,946.0,81.0,18137.0,27993.0,14.2,13.7,129.0,52328.0,0.4011,30.0,14.3,10.2,27993.0,159300.0,9166.0,9.3,18137.0,23766.0,2014
Divide County,North Dakota,38,23,16.2,24.3,546.0,84.6,2180.0,2239.0,22.8,7.3,0.0,58036.0,0.5203,31.0,8.7,0.6,2239.0,88200.0,8.0,5.2,2180.0,41003.0,2014
Dixie County,Florida,12,29,24.1,7.0,604.0,82.8,14081.0,16137.0,19.1,18.9,102.0,35000.0,0.4071,40.0,20.0,8.3,16137.0,79000.0,1627.0,9.5,14081.0,16954.0,2014
Dixon County,Nebraska,31,51,13.6,12.7,574.0,77.4,5624.0,5900.0,16.4,11.0,72.0,49634.0,0.3958,7.0,11.3,5.2,5900.0,78800.0,18.0,7.3,5624.0,24173.0,2014
Doddridge County,West Virginia,54,17,13.8,9.4,537.0,84.3,8047.0,8282.0,15.6,15.3,31.0,40329.0,0.3917,10.0,20.2,10.2,8282.0,89000.0,78.0,11.8,8047.0,18552.0,2014
Dodge County,Georgia,13,91,18.1,11.0,544.0,81.1,14397.0,21365.0,11.7,19.6,292.0,34812.0,0.4458,11.0,17.1,9.6,21365.0,70700.0,6174.0,12.5,14397.0,17771.0,2014
Dodge County,Minnesota,27,39,7.9,22.7,675.0,74.9,19614.0,20246.0,11.4,6.7,62.0,68587.0,0.3826,31.0,6.1,3.8,20246.0,160200.0,107.0,8.0,19614.0,29786.0,2014
Dodge County,Nebraska,31,53,13.1,18.5,692.0,77.9,35153.0,36742.0,16.3,12.0,446.0,47991.0,0.4198,99.0,12.2,6.8,36742.0,110100.0,174.0,8.4,35153.0,24754.0,2014
Dodge County,Wisconsin,55,27,11.0,13.2,759.0,81.7,83652.0,88589.0,13.1,9.2,763.0,53189.0,0.3879,235.0,6.8,7.2,88589.0,152900.0,2409.0,8.5,83652.0,24864.0,2014
Dolores County,Colorado,8,33,21.9,20.9,643.0,82.4,1641.0,1736.0,21.5,20.1,0.0,32578.0,0.4682,22.0,15.1,8.1,1736.0,117400.0,0.0,5.0,1641.0,21543.0,2014
Dona Ana County,New Mexico,35,13,10.7,27.4,705.0,75.8,190021.0,212942.0,12.5,27.8,2294.0,38426.0,0.4813,2566.0,19.8,12.2,212942.0,137300.0,3538.0,14.6,190021.0,20058.0,2014
Doniphan County,Kansas,20,43,13.7,15.2,589.0,80.7,7265.0,7904.0,14.8,12.8,79.0,48659.0,0.3928,92.0,12.7,5.9,7904.0,84100.0,280.0,14.5,7265.0,23246.0,2014
Donley County,Texas,48,129,17.6,14.0,556.0,82.5,3369.0,3636.0,20.7,14.9,16.0,40719.0,0.4103,26.0,17.0,4.5,3636.0,61400.0,205.0,13.8,3369.0,21264.0,2014
Dooly County,Georgia,13,93,15.2,6.2,528.0,82.4,6629.0,14443.0,12.3,27.9,231.0,28251.0,0.4639,11.0,23.1,9.4,14443.0,63600.0,7471.0,10.1,6629.0,14411.0,2014
Door County,Wisconsin,55,29,12.7,30.2,697.0,84.5,26818.0,27789.0,22.9,11.7,224.0,50078.0,0.4387,208.0,7.0,7.6,27789.0,192900.0,128.0,6.5,26818.0,30216.0,2014
Dorchester County,Maryland,24,19,16.6,16.8,842.0,79.6,21917.0,32614.0,17.2,16.9,399.0,45628.0,0.4649,34.0,9.4,10.7,32614.0,188100.0,9118.0,7.9,21917.0,26755.0,2014
Dorchester County,South Carolina,45,35,11.4,24.6,966.0,75.9,97593.0,142772.0,9.8,11.8,1016.0,54452.0,0.4081,850.0,13.9,9.6,142772.0,164400.0,36189.0,9.1,97593.0,24633.0,2014
