County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,poverty_rate,housing_cost_burden,median_household_income,gini_index,native_american_population,health_insurance_rate,unemployment_rate,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income,Year
Abbeville County,South Carolina,45,1,19.4,11.3,583.0,79.8,17417.0,25100.0,16.2,23.1,109.0,35409.0,0.428,40.0,15.0,12.6,25100.0,89000.0,7233.0,10.0,17417.0,18303.0,2014
Acadia Parish,Louisiana,22,1,18.2,9.6,536.0,75.4,48993.0,62031.0,11.4,19.9,465.0,37684.0,0.4636,97.0,16.5,9.4,62031.0,88500.0,10937.0,9.7,48993.0,20264.0,2014
Accomack County,Virginia,51,1,12.1,18.1,715.0,79.7,22736.0,33165.0,18.5,20.5,210.0,39389.0,0.4721,105.0,17.7,7.5,33165.0,152500.0,9495.0,8.0,22736.0,23206.0,2014
Ada County,Idaho,16,1,9.7,38.3,844.0,76.4,374848.0,409239.0,10.3,12.8,4311.0,55805.0,0.4458,2313.0,12.4,7.3,409239.0,183300.0,4336.0,9.1,374848.0,28318.0,2014
Adair County,Iowa,19,1,14.3,12.3,552.0,81.7,7447.0,7543.0,19.3,8.6,38.0,47264.0,0.3919,4.0,6.8,3.4,7543.0,88900.0,36.0,7.7,7447.0,25657.0,2014
Adair County,Kentucky,21,1,16.8,12.5,498.0,80.8,18061.0,19032.0,14.6,19.8,121.0,34490.0,0.4393,12.0,17.1,10.6,19032.0,80100.0,520.0,14.3,18061.0,17772.0,2014
Adair County,Missouri,29,1,12.2,26.4,573.0,82.9,24099.0,25642.0,12.2,26.1,323.0,34976.0,0.4805,102.0,11.5,6.4,25642.0,102700.0,538.0,25.4,24099.0,19076.0,2014
Adair County,Oklahoma,40,1,18.8,11.6,529.0,75.0,10086.0,22380.0,12.7,27.3,191.0,33325.0,0.4509,8693.0,28.3,8.0,22380.0,74700.0,72.0,8.6,10086.0,15692.0,2014
Adams County,Colorado,8,1,10.4,21.2,1003.0,74.2,376581.0,461558.0,7.8,14.1,5589.0,57421.0,0.4047,4758.0,19.6,9.3,461558.0,189400.0,14816.0,9.3,376581.0,24667.0,2014
Adams County,Idaho,16,3,19.9,19.2,554.0,82.0,3728.0,3908.0,24.0,14.6,23.0,38583.0,0.443,56.0,20.0,11.7,3908.0,142800.0,0.0,6.5,3728.0,21275.0,2014
Adams County,Illinois,17,1,13.6,19.7,588.0,78.9,62508.0,67113.0,15.9,14.4,674.0,45472.0,0.4265,83.0,8.9,7.2,67113.0,106500.0,2480.0,9.3,62508.0,24247.0,2014
Adams County,Indiana,18,1,11.6,16.6,550.0,70.8,33682.0,34533.0,11.9,18.4,128.0,47964.0,0.4196,65.0,25.9,7.2,34533.0,118400.0,225.0,8.5,33682.0,21161.0,2014
Adams County,Iowa,19,3,15.6,14.0,525.0,81.3,3837.0,3937.0,20.2,11.0,23.0,47335.0,0.4079,1.0,7.7,3.9,3937.0,86600.0,32.0,6.6,3837.0,25169.0,2014
Adams County,Mississippi,28,1,17.0,14.1,613.0,80.7,12612.0,32189.0,13.1,30.0,271.0,28435.0,0.5222,43.0,20.0,10.9,32189.0,86800.0,18264.0,8.3,12612.0,17656.0,2014
Adams County,Nebraska,31,1,11.7,21.0,625.0,78.5,29496.0,31396.0,13.5,11.8,213.0,51342.0,0.4409,45.0,11.5,6.7,31396.0,101900.0,261.0,12.4,29496.0,27001.0,2014
Adams County,North Dakota,38,1,13.5,22.5,456.0,86.7,2231.0,2339.0,25.3,9.2,13.0,48553.0,0.436,39.0,9.0,1.6,2339.0,111900.0,11.0,9.5,2231.0,33132.0,2014
Adams County,Ohio,39,1,20.2,9.1,544.0,76.7,27654.0,28342.0,14.7,25.3,215.0,34733.0,0.4458,46.0,17.1,15.3,28342.0,88300.0,68.0,8.1,27654.0,17695.0,2014
Adams County,Pennsylvania,42,1,13.4,20.5,844.0,81.0,93835.0,101566.0,15.5,9.9,776.0,60068.0,0.4032,148.0,9.4,6.0,101566.0,194100.0,1526.0,10.0,93835.0,27701.0,2014
Adams County,Washington,53,1,9.7,12.7,669.0,67.7,12783.0,18951.0,9.4,23.3,262.0,44533.0,0.4039,72.0,23.9,12.3,18951.0,139200.0,18.0,10.5,12783.0,17398.0,2014
Adams County,Wisconsin,55,1,19.7,10.8,718.0,87.3,19243.0,20604.0,23.6,12.7,91.0,45366.0,0.4006,181.0,8.8,10.8,20604.0,133100.0,620.0,6.1,19243.0,22639.0,2014
Addison County,Vermont,50,1,12.8,31.7,882.0,82.7,35138.0,36883.0,14.2,10.2,331.0,59274.0,0.4229,107.0,7.2,6.6,36883.0,235200.0,322.0,13.3,35138.0,29295.0,2014
Aiken County,South Carolina,45,3,14.0,25.1,705.0,78.8,114191.0,162991.0,15.0,18.4,1058.0,45597.0,0.457,373.0,14.7,10.3,162991.0,126900.0,40583.0,9.2,114191.0,25093.0,2014
Aitkin County,Minnesota,27,1,18.3,14.8,617.0,84.4,15225.0,15964.0,28.2,11.9,88.0,42036.0,0.4339,346.0,8.3,8.1,15964.0,165400.0,68.0,5.4,15225.0,25378.0,2014
Alachua County,Florida,12,1,10.3,41.5,883.0,83.1,175713.0,251759.0,10.4,25.4,3464.0,42045.0,0.5168,717.0,14.7,8.5,251759.0,164600.0,50882.0,22.5,175713.0,25020.0,2014
Alamance County,North Carolina,37,1,14.4,20.8,743.0,78.0,108337.0,153713.0,13.2,18.8,1656.0,42592.0,0.4545,512.0,16.2,9.5,153713.0,135800.0,27645.0,10.5,108337.0,23324.0,2014
Alameda County,California,6,1,9.2,42.0,1325.0,79.7,707017.0,1559308.0,10.4,12.9,23872.0,73775.0,0.4692,9315.0,11.8,9.6,1559308.0,509300.0,184785.0,9.9,707017.0,36439.0,2014
Alamosa County,Colorado,8,3,15.8,21.5,622.0,78.5,13666.0,16111.0,11.0,27.9,379.0,31400.0,0.5202,317.0,13.0,10.7,16111.0,142100.0,294.0,18.2,13666.0,19481.0,2014
Albany County,New York,36,1,11.2,39.5,918.0,82.1,237018.0,306124.0,12.5,13.6,4418.0,59940.0,0.45,423.0,6.8,6.8,306124.0,208600.0,38932.0,14.4,237018.0,32624.0,2014
Albany County,Wyoming,56,1,8.8,49.4,727.0,85.0,33374.0,37220.0,8.0,27.6,478.0,42298.0,0.4896,155.0,10.1,5.5,37220.0,205300.0,520.0,29.3,33374.0,24401.0,2014
Albemarle County,Virginia,51,3,9.7,53.1,1115.0,80.1,83125.0,101883.0,13.8,9.7,1108.0,67958.0,0.4861,279.0,8.2,4.4,101883.0,317300.0,9616.0,12.1,83125.0,37510.0,2014
Alcona County,Michigan,26,1,21.9,14.0,623.0,88.3,10395.0,10657.0,33.0,15.7,8.0,38019.0,0.4251,31.0,11.6,13.2,10657.0,95800.0,21.0,5.3,10395.0,23304.0,2014
Alcorn County,Mississippi,28,3,19.6,15.8,608.0,77.2,31545.0,37279.0,14.2,22.5,355.0,33790.0,0.4539,85.0,18.5,10.7,37279.0,82100.0,4241.0,9.1,31545.0,18758.0,2014
Aleutians East Borough,Alaska,2,13,6.5,11.0,922.0,91.2,747.0,3296.0,3.9,16.4,15.0,59886.0,0.3858,877.0,60.9,2.2,3296.0,122400.0,342.0,12.0,747.0,27122.0,2014
Aleutians West Census Area,Alaska,2,16,5.8,14.8,1272.0,89.7,1849.0,5650.0,6.3,8.9,37.0,82284.0,0.3911,751.0,25.8,2.7,5650.0,213600.0,295.0,13.2,1849.0,32700.0,2014
Alexander County,Illinois,17,3,23.5,7.2,367.0,78.7,4775.0,7821.0,15.2,36.8,56.0,25495.0,0.4756,30.0,18.2,16.7,7821.0,52800.0,2805.0,9.3,4775.0,14052.0,2014
Alexander County,North Carolina,37,3,16.5,12.9,576.0,80.9,33069.0,37175.0,15.0,16.8,153.0,41676.0,0.4187,81.0,13.1,10.5,37175.0,120700.0,2334.0,8.4,33069.0,20112.0,2014
Alexandria City,Virginia,51,510,6.1,62.1,1520.0,83.0,93493.0,146422.0,8.4,8.7,3825.0,87319.0,0.4402,373.0,14.9,4.7,146422.0,494400.0,31614.0,6.2,93493.0,54597.0,2014
Alfalfa County,Oklahoma,40,3,16.2,19.0,621.0,85.7,4583.0,5703.0,16.3,13.9,34.0,47684.0,0.4747,100.0,14.9,5.8,5703.0,64000.0,131.0,5.7,4583.0,26103.0,2014
Alger County,Michigan,26,3,18.8,14.1,605.0,87.6,8186.0,9516.0,19.7,13.9,49.0,39211.0,0.4151,296.0,11.6,11.9,9516.0,117200.0,665.0,8.6,8186.0,20798.0,2014
Allamakee County,Iowa,19,5,11.7,15.7,544.0,79.6,13697.0,14152.0,19.0,11.6,43.0,47886.0,0.4119,15.0,11.7,6.6,14152.0,111100.0,73.0,7.4,13697.0,25622.0,2014
Allegan County,Michigan,26,5,11.6,20.2,754.0,77.1,106218.0,112266.0,13.0,13.7,471.0,52472.0,0.4188,747.0,10.4,7.7,112266.0,137500.0,1565.0,7.9,106218.0,24599.0,2014
Allegany County,Maryland,24,1,18.2,14.4,618.0,84.4,65687.0,73976.0,15.1,17.3,605.0,39794.0,0.4603,99.0,8.2,10.2,73976.0,120800.0,5991.0,13.0,65687.0,21653.0,2014
Allegany County,New York,36,3,14.8,17.4,604.0,81.9,46317.0,48387.0,14.7,17.0,411.0,42726.0,0.4184,169.0,9.8,9.7,48387.0,69100.0,754.0,17.0,46317.0,20881.0,2014
Alleghany County,North Carolina,37,5,20.4,16.8,577.0,82.3,10018.0,10974.0,19.7,21.2,53.0,35319.0,0.434,198.0,20.3,13.2,10974.0,145500.0,114.0,8.7,10018.0,19452.0,2014
Alleghany County,Virginia,51,5,18.8,16.0,575.0,80.6,15053.0,16133.0,21.0,14.2,102.0,45183.0,0.4226,2.0,10.0,6.2,16133.0,111600.0,813.0,7.0,15053.0,24399.0,2014
Allegheny County,Pennsylvania,42,3,13.0,38.7,771.0,81.9,996737.0,1229172.0,14.4,12.9,14555.0,52390.0,0.485,1682.0,7.5,7.6,1229172.0,124800.0,159671.0,10.1,996737.0,32378.0,2014
Allen County,Indiana,18,3,11.4,27.3,673.0,75.4,286974.0,360990.0,10.8,15.5,3201.0,49124.0,0.4457,1057.0,14.5,9.0,360990.0,112600.0,42456.0,9.6,286974.0,25485.0,2014
Allen County,Kansas,20,1,19.6,14.6,539.0,78.8,12282.0,13212.0,16.9,18.0,148.0,38712.0,0.4126,89.0,13.3,7.4,13212.0,61700.0,258.0,9.6,12282.0,20105.0,2014
Allen County,Kentucky,21,3,17.2,11.4,606.0,78.3,19555.0,20219.0,14.2,19.5,83.0,40273.0,0.4285,16.0,16.5,12.1,20219.0,93000.0,375.0,9.3,19555.0,19651.0,2014
Allen County,Ohio,39,3,14.9,16.5,652.0,79.0,88027.0,105562.0,12.9,18.4,980.0,43648.0,0.449,285.0,11.3,11.1,105562.0,106200.0,12490.0,12.3,88027.0,22585.0,2014
Allen Parish,Louisiana,22,3,19.2,9.1,561.0,82.4,18704.0,25691.0,10.0,16.8,191.0,39440.0,0.4599,628.0,15.3,7.5,25691.0,80800.0,4879.0,8.8,18704.0,19259.0,2014
Allendale County,South Carolina,45,5,24.6,8.3,580.0,82.8,2439.0,10027.0,11.9,32.5,61.0,25495.0,0.4636,3.0,23.0,20.7,10027.0,55800.0,7412.0,10.9,2439.0,12277.0,2014
Alpena County,Michigan,26,7,18.2,15.1,550.0,81.4,28330.0,29242.0,18.5,17.5,247.0,38353.0,0.4292,173.0,12.3,10.5,29242.0,94900.0,159.0,7.8,28330.0,21975.0,2014
Alpine County,California,6,3,21.5,26.8,775.0,81.2,854.0,1202.0,17.4,15.1,2.0,61343.0,0.4036,208.0,22.2,6.0,1202.0,313800.0,11.0,10.2,854.0,24375.0,2014
Amador County,California,6,5,18.1,20.0,1029.0,87.9,32551.0,37159.0,20.3,13.0,280.0,52964.0,0.4568,744.0,10.7,15.9,37159.0,251800.0,812.0,7.2,32551.0,27373.0,2014
Amelia County,Virginia,51,7,14.4,12.7,679.0,80.2,9258.0,12764.0,15.3,9.6,0.0,55870.0,0.4083,61.0,12.5,6.0,12764.0,179300.0,3184.0,6.1,9258.0,25545.0,2014
Amherst County,Virginia,51,9,14.4,17.5,687.0,80.7,24770.0,32237.0,16.3,11.2,331.0,44765.0,0.411,256.0,12.2,7.6,32237.0,149000.0,6001.0,9.2,24770.0,22938.0,2014
Amite County,Mississippi,28,5,26.2,9.5,636.0,77.8,7450.0,12957.0,17.4,26.1,49.0,29580.0,0.4598,3.0,15.0,14.5,12957.0,67600.0,5478.0,7.6,7450.0,17140.0,2014
Anchorage Municipality,Alaska,2,20,9.9,31.0,1172.0,77.4,195593.0,298178.0,7.4,8.3,4331.0,78121.0,0.4156,20634.0,16.3,6.9,298178.0,286600.0,17607.0,12.5,195593.0,36508.0,2014
Anderson County,Kansas,20,3,17.0,17.7,642.0,76.7,7607.0,7962.0,18.0,14.8,85.0,40567.0,0.4188,30.0,13.6,8.3,7962.0,93300.0,16.0,6.9,7607.0,22122.0,2014
Anderson County,Kentucky,21,5,14.0,15.9,732.0,76.3,20721.0,21664.0,11.4,12.3,155.0,53410.0,0.372,5.0,11.3,7.6,21664.0,133500.0,521.0,7.6,20721.0,23566.0,2014
Anderson County,South Carolina,45,7,16.1,19.9,669.0,78.0,152139.0,189763.0,14.5,16.8,1688.0,41822.0,0.4458,453.0,15.2,10.2,189763.0,124500.0,31146.0,8.8,152139.0,22216.0,2014
Anderson County,Tennessee,47,1,18.6,24.6,701.0,79.9,69453.0,75346.0,16.2,17.1,595.0,44199.0,0.4579,168.0,11.2,8.4,75346.0,131700.0,2975.0,8.6,69453.0,25353.0,2014
Anderson County,Texas,48,1,13.0,8.7,715.0,85.5,43451.0,58084.0,10.0,18.2,275.0,42511.0,0.4546,255.0,19.3,5.5,58084.0,80300.0,12295.0,9.4,43451.0,18623.0,2014
Andrew County,Missouri,29,3,13.2,21.5,703.0,78.7,16800.0,17373.0,14.6,9.3,168.0,53986.0,0.4193,87.0,10.7,7.2,17373.0,125300.0,217.0,8.1,16800.0,26086.0,2014
Andrews County,Texas,48,3,12.1,12.7,869.0,73.8,14737.0,16126.0,9.6,11.4,49.0,61250.0,0.4712,148.0,22.4,4.3,16126.0,95500.0,417.0,10.4,14737.0,29363.0,2014
Androscoggin County,Maine,23,1,16.5,18.6,706.0,79.1,99572.0,107470.0,13.4,16.1,1460.0,45765.0,0.4382,208.0,9.4,8.9,107470.0,152800.0,1740.0,9.4,99572.0,24734.0,2014
Angelina County,Texas,48,5,19.2,13.9,750.0,75.1,68512.0,87433.0,12.7,20.0,892.0,42374.0,0.4731,498.0,20.0,9.4,87433.0,86000.0,13408.0,9.5,68512.0,21521.0,2014
Anne Arundel County,Maryland,24,3,9.5,37.5,1479.0,79.0,411659.0,550269.0,11.3,5.9,4836.0,89031.0,0.4133,1118.0,7.0,6.6,550269.0,333100.0,86471.0,10.1,411659.0,41315.0,2014
Anoka County,Minnesota,27,3,9.3,26.0,957.0,77.4,289757.0,336316.0,9.7,7.6,2160.0,70464.0,0.3874,2037.0,7.4,7.2,336316.0,186800.0,15995.0,8.4,289757.0,31474.0,2014
Anson County,North Carolina,37,7,19.2,9.0,676.0,80.9,12710.0,26309.0,11.9,24.1,230.0,33388.0,0.4518,94.0,19.3,19.5,26309.0,78700.0,12797.0,10.2,12710.0,17091.0,2014
Antelope County,Nebraska,31,3,15.1,14.6,487.0,79.5,6441.0,6531.0,19.1,12.6,44.0,45417.0,0.456,2.0,10.0,1.9,6531.0,77800.0,5.0,7.3,6441.0,26312.0,2014
Antrim County,Michigan,26,9,14.5,25.5,692.0,82.1,22538.0,23368.0,22.9,14.1,72.0,46480.0,0.4387,192.0,13.4,12.1,23368.0,136800.0,62.0,6.4,22538.0,25725.0,2014
Apache County,Arizona,4,1,14.9,8.4,539.0,73.2,16881.0,72142.0,11.5,35.9,179.0,32396.0,0.4693,52243.0,24.7,20.1,72142.0,81900.0,422.0,10.7,16881.0,12828.0,2014
Appanoose County,Iowa,19,7,15.3,17.2,554.0,77.9,12452.0,12754.0,19.1,14.1,126.0,41525.0,0.4358,5.0,12.2,7.8,12754.0,77600.0,42.0,7.2,12452.0,22744.0,2014
Appling County,Georgia,13,1,18.3,13.6,534.0,78.0,14117.0,18421.0,12.7,22.5,193.0,38461.0,0.4479,27.0,22.7,8.0,18421.0,69500.0,3451.0,9.6,14117.0,19440.0,2014
Appomattox County,Virginia,51,11,18.0,12.5,674.0,79.2,11673.0,15137.0,17.2,18.2,58.0,47927.0,0.4129,44.0,10.9,7.3,15137.0,137100.0,3023.0,7.2,11673.0,23098.0,2014
Aransas County,Texas,48,7,22.4,20.5,819.0,82.7,21335.0,23889.0,24.7,21.1,154.0,42247.0,0.4775,159.0,19.7,6.5,23889.0,133300.0,345.0,7.4,21335.0,25906.0,2014
Arapahoe County,Colorado,8,5,9.1,40.2,1029.0,76.8,439517.0,596684.0,9.7,11.7,8694.0,62213.0,0.4623,3908.0,14.7,8.1,596684.0,235600.0,60541.0,8.9,439517.0,33574.0,2014
Archer County,Texas,48,9,15.2,16.9,652.0,80.0,8406.0,8853.0,15.8,10.9,63.0,58274.0,0.4403,99.0,14.6,3.3,8853.0,98500.0,80.0,8.9,8406.0,28250.0,2014
Archuleta County,Colorado,8,7,14.1,35.6,914.0,83.4,10629.0,12132.0,19.7,11.1,162.0,48186.0,0.4281,270.0,23.1,9.2,12132.0,264300.0,65.0,7.2,10629.0,28506.0,2014
Arenac County,Michigan,26,11,20.3,10.3,570.0,83.4,15024.0,15564.0,20.4,18.8,75.0,38129.0,0.4269,119.0,12.2,14.4,15564.0,87800.0,182.0,7.9,15024.0,20663.0,2014
Arkansas County,Arkansas,5,1,20.3,14.0,639.0,77.9,13643.0,18861.0,15.5,17.7,268.0,37813.0,0.4663,34.0,13.1,7.7,18861.0,74800.0,4842.0,7.7,13643.0,23237.0,2014
Arlington County,Virginia,51,13,5.2,72.4,1802.0,84.5,158046.0,220173.0,7.9,8.8,4244.0,105120.0,0.4368,1190.0,10.9,3.6,220173.0,594800.0,18354.0,8.3,158046.0,62854.0,2014
Armstrong County,Pennsylvania,42,5,18.6,13.9,607.0,81.9,66840.0,68343.0,16.9,13.3,396.0,45375.0,0.4134,21.0,8.5,8.0,68343.0,93400.0,657.0,7.6,66840.0,24266.0,2014
Armstrong County,Texas,48,11,15.5,22.7,712.0,78.5,1801.0,1947.0,20.4,10.3,12.0,61250.0,0.3554,18.0,11.1,3.1,1947.0,107400.0,43.0,6.9,1801.0,27199.0,2014
Aroostook County,Maine,23,3,22.0,16.3,557.0,82.5,67312.0,70653.0,18.2,17.1,800.0,37378.0,0.4411,1046.0,10.8,7.4,70653.0,92500.0,482.0,8.5,67312.0,21933.0,2014
Ascension Parish,Louisiana,22,5,11.8,25.0,872.0,73.9,83573.0,112308.0,8.8,12.8,629.0,70207.0,0.4035,236.0,12.5,6.3,112308.0,166300.0,25169.0,8.7,83573.0,28834.0,2014
Ashe County,North Carolina,37,9,16.1,18.5,648.0,83.0,25668.0,27173.0,19.6,20.5,196.0,36244.0,0.4497,103.0,17.5,9.2,27173.0,151300.0,176.0,8.1,25668.0,21149.0,2014
Ashland County,Ohio,39,5,13.6,19.5,681.0,78.8,51610.0,53202.0,15.0,15.4,397.0,47034.0,0.4186,36.0,14.3,10.6,53202.0,119900.0,397.0,10.6,51610.0,22441.0,2014
Ashland County,Wisconsin,55,3,15.8,22.4,588.0,79.6,13644.0,16065.0,15.4,17.0,110.0,39172.0,0.4295,1642.0,10.5,9.0,16065.0,107400.0,53.0,10.4,13644.0,21159.0,2014
Ashley County,Arkansas,5,3,21.4,11.0,577.0,78.5,15124.0,21437.0,16.0,19.8,82.0,35136.0,0.4573,51.0,14.5,12.0,21437.0,63800.0,5588.0,8.3,15124.0,19739.0,2014
Ashtabula County,Ohio,39,7,15.0,13.0,631.0,78.9,93531.0,100346.0,14.5,19.0,868.0,40304.0,0.4256,115.0,12.9,9.6,100346.0,107300.0,3428.0,8.5,93531.0,20284.0,2014
Asotin County,Washington,53,3,18.7,19.6,681.0,81.5,20583.0,21955.0,19.5,15.3,264.0,42689.0,0.4493,248.0,13.0,8.5,21955.0,170000.0,123.0,8.5,20583.0,24836.0,2014
Assumption Parish,Louisiana,22,7,18.0,9.0,600.0,79.8,15742.0,23170.0,13.7,17.0,118.0,47961.0,0.4502,152.0,15.4,11.3,23170.0,104800.0,6891.0,10.6,15742.0,23085.0,2014
Atascosa County,Texas,48,13,13.4,12.8,731.0,73.9,39198.0,46343.0,12.5,15.6,328.0,50756.0,0.4455,214.0,20.4,7.7,46343.0,85400.0,330.0,9.2,39198.0,21957.0,2014
Atchison County,Kansas,20,5,16.0,14.8,622.0,76.6,15217.0,16737.0,13.3,18.3,82.0,44648.0,0.4513,103.0,14.0,7.9,16737.0,85800.0,747.0,14.8,15217.0,22446.0,2014
Atchison County,Missouri,29,5,18.3,21.5,553.0,81.7,5412.0,5520.0,20.9,11.7,24.0,44216.0,0.4203,20.0,12.6,4.9,5520.0,79900.0,30.0,7.9,5412.0,25538.0,2014
Athens County,Ohio,39,9,14.1,27.0,703.0,86.0,59202.0,64840.0,9.4,31.6,510.0,33773.0,0.4973,267.0,9.3,11.5,64840.0,113900.0,1484.0,31.8,59202.0,17069.0,2014
Atkinson County,Georgia,13,3,14.9,5.1,457.0,75.0,5523.0,8297.0,9.6,29.9,73.0,30403.0,0.4834,28.0,30.4,9.2,8297.0,74000.0,1406.0,9.3,5523.0,16228.0,2014
Atlantic County,New Jersey,34,1,12.8,24.9,1043.0,79.1,184867.0,275325.0,13.4,15.2,3131.0,54392.0,0.4505,571.0,13.7,12.8,275325.0,230200.0,43646.0,9.9,184867.0,27411.0,2014
Atoka County,Oklahoma,40,5,23.0,11.2,592.0,80.3,10377.0,13958.0,14.8,22.6,47.0,37519.0,0.4658,1641.0,23.1,10.1,13958.0,84700.0,592.0,8.7,10377.0,18587.0,2014
Attala County,Mississippi,28,7,20.2,15.8,538.0,76.7,10735.0,19303.0,16.4,27.1,58.0,31671.0,0.4784,0.0,15.3,13.9,19303.0,71800.0,8244.0,8.7,10735.0,17894.0,2014
Audrain County,Missouri,29,7,16.4,11.4,616.0,77.1,23055.0,25637.0,15.1,17.4,92.0,43139.0,0.4009,82.0,14.1,8.6,25637.0,91700.0,1510.0,7.8,23055.0,19797.0,2014
Audubon County,Iowa,19,9,11.5,16.2,561.0,81.7,5810.0,5935.0,20.4,9.4,20.0,47556.0,0.4745,35.0,9.5,2.6,5935.0,69800.0,12.0,6.2,5810.0,30714.0,2014
Auglaize County,Ohio,39,11,11.8,17.0,652.0,77.3,44744.0,45867.0,14.0,9.2,160.0,52773.0,0.382,55.0,7.6,6.5,45867.0,131500.0,161.0,8.0,44744.0,25033.0,2014
Augusta County,Virginia,51,15,13.1,19.6,806.0,82.2,68577.0,73707.0,16.4,9.3,430.0,54018.0,0.4232,187.0,10.8,5.0,73707.0,197600.0,3029.0,8.3,68577.0,26398.0,2014
Aurora County,South Dakota,46,3,11.8,17.2,583.0,76.2,2568.0,2729.0,18.1,7.6,16.0,47024.0,0.4028,72.0,8.2,1.4,2729.0,71200.0,37.0,6.8,2568.0,24074.0,2014
Austin County,Texas,48,15,12.6,19.4,846.0,76.2,24010.0,28724.0,14.9,10.2,105.0,54603.0,0.4384,15.0,17.3,7.1,28724.0,157800.0,2590.0,8.5,24010.0,27490.0,2014
Autauga County,Alabama,1,1,16.0,23.9,876.0,76.1,43011.0,55136.0,11.6,12.8,412.0,52475.0,0.41,230.0,10.7,8.5,55136.0,136600.0,10257.0,8.9,43011.0,24644.0,2014
Avery County,North Carolina,37,11,18.4,17.9,706.0,86.7,15441.0,17739.0,15.6,18.2,152.0,38138.0,0.4863,143.0,20.2,8.6,17739.0,144700.0,771.0,10.1,15441.0,21541.0,2014
Avoyelles Parish,Louisiana,22,9,19.8,8.1,607.0,78.2,27881.0,41604.0,12.7,22.1,493.0,33781.0,0.4635,467.0,18.6,10.2,41604.0,89600.0,12264.0,9.1,27881.0,17899.0,2014
Baca County,Colorado,8,9,22.9,14.5,526.0,81.3,3575.0,3735.0,22.8,16.3,38.0,38625.0,0.4474,38.0,17.6,3.7,3735.0,71500.0,58.0,6.2,3575.0,22558.0,2014
Bacon County,Georgia,13,5,17.7,10.3,606.0,78.7,8825.0,11196.0,11.8,20.4,55.0,37698.0,0.4405,0.0,20.1,5.0,11196.0,74200.0,1755.0,11.1,8825.0,18109.0,2014
Bailey County,Texas,48,17,12.1,10.4,587.0,72.0,6201.0,7084.0,10.1,20.9,57.0,41982.0,0.4406,8.0,33.0,6.0,7084.0,66200.0,119.0,11.6,6201.0,18082.0,2014
Baker County,Florida,12,3,15.0,9.8,727.0,77.1,22713.0,27057.0,10.3,18.6,113.0,46865.0,0.4348,43.0,14.2,9.8,27057.0,118100.0,3849.0,11.0,22713.0,20346.0,2014
Baker County,Georgia,13,7,17.9,8.2,414.0,82.1,1777.0,3342.0,17.2,22.6,5.0,45526.0,0.4761,8.0,20.9,7.1,3342.0,76500.0,1552.0,11.3,1777.0,22136.0,2014
Baker County,Oregon,41,1,20.7,21.3,626.0,82.7,15273.0,16049.0,22.7,18.3,197.0,40576.0,0.4574,243.0,12.2,9.3,16049.0,152400.0,37.0,7.3,15273.0,23890.0,2014
Baldwin County,Alabama,1,3,14.1,28.9,882.0,79.2,165673.0,191205.0,16.8,13.8,1771.0,50183.0,0.4517,999.0,14.7,8.6,191205.0,168800.0,17907.0,8.1,165673.0,26851.0,2014
Baldwin County,Georgia,13,9,13.5,16.1,705.0,82.5,25186.0,45854.0,12.0,32.1,399.0,31758.0,0.5123,93.0,15.2,9.4,45854.0,104300.0,18942.0,18.3,25186.0,18582.0,2014
Ballard County,Kentucky,21,7,16.0,12.6,573.0,79.3,7840.0,8274.0,16.2,16.7,55.0,42852.0,0.4473,25.0,12.5,6.8,8274.0,94600.0,293.0,8.2,7840.0,23417.0,2014
Baltimore City,Maryland,24,510,15.4,27.3,944.0,79.5,188380.0,622271.0,10.0,24.2,10733.0,41819.0,0.5056,2094.0,11.6,13.9,622271.0,155000.0,392312.0,11.9,188380.0,25062.0,2014
Baltimore County,Maryland,24,5,11.3,36.2,1155.0,79.5,522396.0,817720.0,13.2,9.1,9569.0,66940.0,0.4404,2033.0,9.0,7.4,817720.0,248700.0,219268.0,10.3,522396.0,34701.0,2014
Bamberg County,South Carolina,45,9,22.8,16.7,553.0,80.9,5619.0,15649.0,15.2,28.0,88.0,32738.0,0.5167,0.0,17.9,10.5,15649.0,67300.0,9759.0,16.3,5619.0,19136.0,2014
Bandera County,Texas,48,19,18.2,23.3,800.0,84.1,19589.0,20642.0,22.8,15.1,116.0,48587.0,0.4266,152.0,21.1,5.9,20642.0,146600.0,93.0,6.1,19589.0,26900.0,2014
Banks County,Georgia,13,11,15.9,11.8,721.0,77.1,17130.0,18317.0,13.8,16.3,85.0,42826.0,0.4094,17.0,17.5,9.1,18317.0,130700.0,525.0,8.8,17130.0,20433.0,2014
Bannock County,Idaho,16,5,14.0,26.9,627.0,75.2,75381.0,83394.0,10.6,16.1,774.0,43953.0,0.4394,2782.0,13.4,7.4,83394.0,143800.0,621.0,11.6,75381.0,21891.0,2014
Baraga County,Michigan,26,13,16.5,8.7,529.0,86.7,6478.0,8740.0,13.6,15.3,29.0,40935.0,0.4278,423.0,10.0,7.9,8740.0,86500.0,1531.0,9.0,6478.0,17319.0,2014
Barber County,Kansas,20,7,14.6,17.8,550.0,80.4,4736.0,4898.0,17.6,11.7,33.0,48462.0,0.4369,20.0,11.0,2.5,4898.0,66000.0,11.0,7.3,4736.0,27785.0,2014
