County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,median_household_income,unemployment_rate,health_insurance_rate,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population,Year
Abbeville County,South Carolina,45,1,20.9,13.7,79.4,611.0,107.0,21.6,17.9,24951.0,17440.0,34652.0,9.4,88.0,38.0,0.4344,10.4,6777.0,88100.0,24951.0,18460.0,17440.0,2016
Acadia Parish,Louisiana,22,1,18.0,11.1,75.0,577.0,489.0,20.6,11.9,62372.0,49287.0,39837.0,9.1,84.4,27.0,0.4644,9.3,11168.0,91600.0,62372.0,20887.0,49287.0,2016
Accomack County,Virginia,51,1,12.4,18.3,79.8,749.0,264.0,19.5,19.5,33060.0,22369.0,38503.0,7.0,82.0,122.0,0.4662,7.7,9573.0,151900.0,33060.0,23337.0,22369.0,2016
Ada County,Idaho,16,1,10.2,37.0,77.2,871.0,4196.0,12.2,11.3,425798.0,388813.0,58099.0,5.3,89.3,2439.0,0.4589,9.0,5253.0,200200.0,425798.0,30086.0,388813.0,2016
Adair County,Iowa,19,1,15.3,16.6,80.7,507.0,62.0,9.7,19.9,7330.0,7188.0,48765.0,2.8,93.7,1.0,0.418,7.4,21.0,95000.0,7330.0,27358.0,7188.0,2016
Adair County,Kentucky,21,1,18.2,16.5,81.3,499.0,144.0,23.3,15.4,19156.0,18164.0,33873.0,5.8,87.9,26.0,0.4495,14.0,593.0,86100.0,19156.0,18463.0,18164.0,2016
Adair County,Missouri,29,1,12.1,30.5,82.6,598.0,295.0,26.0,12.9,25547.0,23649.0,37967.0,6.5,91.2,61.0,0.4906,26.3,565.0,112100.0,25547.0,19804.0,23649.0,2016
Adair County,Oklahoma,40,1,19.3,13.4,75.2,532.0,193.0,30.1,13.6,22161.0,9618.0,33184.0,6.0,73.5,9652.0,0.4557,8.9,79.0,77100.0,22161.0,16018.0,9618.0,2016
Adams County,Colorado,8,1,10.5,22.4,74.6,1098.0,6183.0,12.9,8.4,479977.0,397314.0,61444.0,6.1,84.4,5842.0,0.4046,9.1,15373.0,216700.0,479977.0,26051.0,397314.0,2016
Adams County,Idaho,16,3,20.1,22.7,83.7,548.0,44.0,14.6,25.5,3865.0,3711.0,41335.0,10.8,81.7,73.0,0.4134,5.6,8.0,160700.0,3865.0,22741.0,3711.0,2016
Adams County,Illinois,17,1,13.7,22.6,78.9,590.0,689.0,12.9,16.4,66949.0,62268.0,48065.0,6.4,93.2,172.0,0.4318,8.5,2541.0,116400.0,66949.0,26053.0,62268.0,2016
Adams County,Indiana,18,1,12.6,15.6,70.6,566.0,130.0,18.0,12.3,34813.0,33743.0,47572.0,5.5,78.6,16.0,0.4281,8.8,247.0,114600.0,34813.0,21173.0,33743.0,2016
Adams County,Iowa,19,3,15.4,16.7,80.6,471.0,17.0,9.8,20.3,3822.0,3720.0,48598.0,3.1,92.3,4.0,0.4116,6.7,19.0,88900.0,3822.0,26991.0,3720.0,2016
Adams County,Mississippi,28,1,15.5,18.1,80.1,584.0,280.0,30.4,13.9,31747.0,13522.0,31283.0,10.1,83.6,33.0,0.5069,7.8,17056.0,89400.0,31747.0,18091.0,13522.0,2016
Adams County,Nebraska,31,1,12.6,22.6,77.6,640.0,267.0,11.2,14.0,31536.0,29440.0,51201.0,5.4,90.6,85.0,0.4571,12.3,305.0,110600.0,31536.0,27609.0,29440.0,2016
Adams County,North Dakota,38,1,11.1,27.5,83.8,455.0,3.0,10.5,20.3,2348.0,2203.0,53295.0,2.0,93.2,53.0,0.4317,9.7,24.0,124000.0,2348.0,32594.0,2203.0,2016
Adams County,Ohio,39,1,20.8,10.9,77.3,575.0,151.0,24.5,15.5,28111.0,27298.0,34709.0,9.9,87.3,122.0,0.458,7.8,100.0,94300.0,28111.0,18901.0,27298.0,2016
Adams County,Pennsylvania,42,1,13.5,21.9,81.3,847.0,943.0,9.4,16.7,101759.0,93855.0,61927.0,5.5,92.6,71.0,0.398,10.1,1465.0,194800.0,101759.0,28515.0,93855.0,2016
Adams County,Washington,53,1,9.8,13.8,67.8,697.0,160.0,23.0,9.6,19100.0,13538.0,47554.0,6.1,79.8,342.0,0.4125,10.6,122.0,146400.0,19100.0,17781.0,13538.0,2016
Adams County,Wisconsin,55,1,21.1,12.7,87.8,699.0,79.0,12.7,25.2,20294.0,18913.0,43554.0,9.5,92.3,126.0,0.4182,5.8,646.0,129100.0,20294.0,23668.0,18913.0,2016
Addison County,Vermont,50,1,14.2,35.8,83.3,898.0,330.0,8.7,16.1,36926.0,34962.0,61020.0,5.0,94.8,112.0,0.419,13.2,411.0,236400.0,36926.0,30154.0,34962.0,2016
Aiken County,South Carolina,45,3,14.2,25.3,79.3,733.0,1124.0,17.4,16.0,165146.0,115969.0,46454.0,10.1,86.8,407.0,0.4549,9.0,40545.0,134000.0,165146.0,25602.0,115969.0,2016
Aitkin County,Minnesota,27,1,18.0,16.0,84.7,632.0,101.0,12.8,29.6,15722.0,14937.0,44524.0,7.0,94.0,309.0,0.4224,5.4,62.0,165300.0,15722.0,25780.0,14937.0,2016
Alachua County,Florida,12,1,10.5,41.5,83.1,885.0,3222.0,24.2,11.3,256581.0,178684.0,44702.0,7.0,87.7,785.0,0.5161,22.0,50945.0,165700.0,256581.0,25758.0,178684.0,2016
Alamance County,North Carolina,37,1,14.6,22.1,78.1,757.0,1708.0,18.5,14.0,156372.0,110548.0,43209.0,6.9,85.8,621.0,0.4565,9.9,29039.0,143500.0,156372.0,23989.0,110548.0,2016
Alameda County,California,6,1,9.6,43.9,80.1,1432.0,24977.0,12.0,11.0,1605217.0,703973.0,79831.0,7.1,91.6,10176.0,0.4688,9.5,182092.0,593500.0,1605217.0,39042.0,703973.0,2016
Alamosa County,Colorado,8,3,19.1,25.8,77.8,634.0,314.0,31.4,12.0,16353.0,14264.0,32385.0,8.7,86.9,452.0,0.4849,19.3,337.0,141600.0,16353.0,18133.0,14264.0,2016
Albany County,New York,36,1,11.0,39.7,82.5,931.0,4491.0,12.9,13.2,307891.0,235711.0,60904.0,5.8,94.6,470.0,0.461,15.0,38530.0,211100.0,307891.0,33888.0,235711.0,2016
Albany County,Wyoming,56,1,9.5,47.9,84.9,729.0,670.0,25.5,8.5,37836.0,33960.0,43043.0,4.6,91.3,275.0,0.4966,29.7,577.0,220900.0,37836.0,25227.0,33960.0,2016
Albemarle County,Virginia,51,3,8.6,51.5,80.4,1156.0,1156.0,9.7,14.9,104287.0,84955.0,70342.0,3.2,92.0,250.0,0.4709,12.2,9747.0,317300.0,104287.0,38039.0,84955.0,2016
Alcona County,Michigan,26,1,22.8,14.5,88.4,592.0,12.0,14.9,34.3,10461.0,10184.0,38160.0,10.3,91.2,52.0,0.4202,5.2,26.0,97500.0,10461.0,23380.0,10184.0,2016
Alcorn County,Mississippi,28,3,19.9,16.6,77.3,617.0,360.0,19.9,14.8,37309.0,31596.0,38892.0,7.7,84.1,96.0,0.443,9.5,4310.0,86500.0,37309.0,20006.0,31596.0,2016
Aleutians East Borough,Alaska,2,13,7.8,11.9,90.4,939.0,23.0,15.5,5.6,3299.0,630.0,65926.0,2.6,48.0,1119.0,0.3868,11.1,231.0,124500.0,3299.0,31025.0,630.0,2016
Aleutians West Census Area,Alaska,2,16,7.8,15.7,88.7,1257.0,28.0,7.7,5.8,5714.0,1763.0,86964.0,1.1,78.7,745.0,0.3659,11.6,315.0,211400.0,5714.0,35083.0,1763.0,2016
Alexander County,Illinois,17,3,23.3,9.0,76.1,464.0,82.0,33.5,16.9,7051.0,4365.0,29071.0,11.8,87.7,31.0,0.4671,8.2,2388.0,50100.0,7051.0,16067.0,4365.0,2016
Alexander County,North Carolina,37,3,18.0,13.3,80.7,595.0,123.0,17.4,16.1,37211.0,33005.0,40404.0,8.4,88.5,114.0,0.433,8.6,2142.0,125500.0,37211.0,20567.0,33005.0,2016
Alexandria City,Virginia,51,510,6.9,62.1,82.5,1611.0,4053.0,9.8,8.9,151473.0,95026.0,89200.0,4.0,85.7,240.0,0.4461,5.8,32678.0,520700.0,151473.0,55534.0,95026.0,2016
Alfalfa County,Oklahoma,40,3,15.7,20.9,84.6,674.0,27.0,12.5,15.4,5784.0,4400.0,52226.0,4.2,87.6,85.0,0.5042,5.9,125.0,67600.0,5784.0,27807.0,4400.0,2016
Alger County,Michigan,26,3,19.0,18.1,87.7,610.0,37.0,13.1,20.8,9396.0,8032.0,41270.0,7.6,89.9,253.0,0.422,9.3,688.0,118500.0,9396.0,20993.0,8032.0,2016
Allamakee County,Iowa,19,5,11.6,17.0,79.5,547.0,54.0,10.2,19.9,14001.0,13497.0,48089.0,4.7,91.6,32.0,0.4337,7.8,118.0,116200.0,14001.0,27027.0,13497.0,2016
Allegan County,Michigan,26,5,10.7,21.4,77.5,757.0,409.0,11.7,14.0,113666.0,107300.0,55630.0,4.7,92.3,597.0,0.4129,8.1,1625.0,144600.0,113666.0,25840.0,107300.0,2016
Allegany County,Maryland,24,1,18.9,18.0,84.1,646.0,715.0,17.4,15.8,73060.0,64695.0,41559.0,9.4,93.2,118.0,0.4542,13.0,6021.0,118800.0,73060.0,22029.0,64695.0,2016
Allegany County,New York,36,3,15.5,20.5,81.9,618.0,420.0,17.1,15.6,47700.0,45587.0,44085.0,8.1,91.2,131.0,0.4114,16.7,712.0,72100.0,47700.0,21478.0,45587.0,2016
Alleghany County,North Carolina,37,5,20.4,18.6,84.0,617.0,98.0,19.5,21.9,10868.0,9936.0,38352.0,6.6,84.2,170.0,0.423,8.9,262.0,140700.0,10868.0,21059.0,9936.0,2016
Alleghany County,Virginia,51,5,19.6,16.3,82.2,636.0,57.0,18.3,22.1,15919.0,14745.0,45538.0,4.6,91.7,2.0,0.4314,7.1,829.0,111500.0,15919.0,25220.0,14745.0,2016
Allegheny County,Pennsylvania,42,3,13.2,39.1,82.1,800.0,14086.0,12.7,14.9,1230360.0,992002.0,54357.0,6.4,94.0,1435.0,0.4856,9.7,159592.0,134400.0,1230360.0,33830.0,992002.0,2016
Allen County,Indiana,18,3,12.2,27.4,75.7,691.0,3639.0,15.2,11.5,365565.0,290987.0,49574.0,7.0,87.8,731.0,0.4509,9.6,42168.0,116400.0,365565.0,26058.0,290987.0,2016
Allen County,Kansas,20,1,19.9,18.3,78.9,576.0,127.0,15.4,17.4,12951.0,12117.0,40911.0,5.3,89.7,35.0,0.4153,9.7,245.0,73700.0,12951.0,21577.0,12117.0,2016
Allen County,Kentucky,21,3,19.7,13.6,78.0,607.0,96.0,17.0,14.7,20421.0,19701.0,41166.0,7.1,85.2,6.0,0.4333,8.5,310.0,98200.0,20421.0,20607.0,19701.0,2016
Allen County,Ohio,39,3,15.2,17.4,79.2,660.0,1072.0,16.1,13.7,104664.0,87249.0,45575.0,7.6,90.9,239.0,0.4517,11.9,12448.0,107500.0,104664.0,23600.0,87249.0,2016
Allen Parish,Louisiana,22,3,22.0,11.9,81.8,549.0,183.0,15.9,10.3,25619.0,18797.0,41801.0,9.3,87.0,516.0,0.4771,8.8,5050.0,82700.0,25619.0,20296.0,18797.0,2016
Allendale County,South Carolina,45,5,25.8,9.8,83.8,581.0,34.0,29.7,14.2,9589.0,2345.0,24817.0,17.7,83.2,23.0,0.4738,11.8,7090.0,53700.0,9589.0,12649.0,2345.0,2016
Alpena County,Michigan,26,7,18.4,16.8,82.0,570.0,215.0,16.3,19.7,28929.0,28013.0,39832.0,7.8,90.1,133.0,0.4314,7.8,172.0,92700.0,28929.0,22776.0,28013.0,2016
Alpine County,California,6,3,23.4,29.7,79.8,1109.0,0.0,18.9,19.7,1184.0,857.0,62375.0,11.8,85.2,224.0,0.5054,13.4,10.0,329500.0,1184.0,26783.0,857.0,2016
Amador County,California,6,5,19.1,21.5,87.4,1061.0,237.0,11.2,22.4,36963.0,32039.0,57032.0,11.6,93.0,502.0,0.4355,7.3,898.0,265900.0,36963.0,27496.0,32039.0,2016
Amelia County,Virginia,51,7,13.4,14.1,77.4,689.0,81.0,11.6,15.9,12793.0,9389.0,58269.0,4.0,85.6,65.0,0.3772,7.1,3010.0,171500.0,12793.0,25335.0,9389.0,2016
Amherst County,Virginia,51,9,14.5,18.9,81.3,696.0,271.0,14.1,17.3,31999.0,24609.0,47002.0,5.5,87.9,117.0,0.4179,9.1,5717.0,149400.0,31999.0,23372.0,24609.0,2016
Amite County,Mississippi,28,5,21.6,12.2,77.9,615.0,46.0,28.0,18.7,12692.0,7312.0,27334.0,10.6,85.5,3.0,0.4804,5.8,5332.0,73100.0,12692.0,17954.0,7312.0,2016
Anchorage Municipality,Alaska,2,20,10.6,34.3,77.3,1231.0,4238.0,8.1,8.2,299321.0,192329.0,80862.0,6.0,85.5,20963.0,0.4201,12.0,16938.0,298000.0,299321.0,37864.0,192329.0,2016
Anderson County,Kansas,20,3,13.5,19.2,76.9,593.0,114.0,15.1,19.1,7858.0,7504.0,42146.0,3.7,87.7,176.0,0.3953,7.3,10.0,91200.0,7858.0,21851.0,7504.0,2016
Anderson County,Kentucky,21,5,15.7,18.9,78.1,728.0,248.0,11.3,12.4,21867.0,20862.0,53513.0,7.4,92.9,0.0,0.3906,7.7,558.0,136300.0,21867.0,24891.0,20862.0,2016
Anderson County,South Carolina,45,7,16.2,20.0,78.4,688.0,1715.0,16.3,15.4,192709.0,153978.0,43518.0,8.1,87.2,407.0,0.4504,8.8,31418.0,130300.0,192709.0,23341.0,153978.0,2016
Anderson County,Tennessee,47,1,18.9,24.0,80.1,703.0,683.0,17.2,17.1,75545.0,69363.0,44241.0,7.4,90.7,183.0,0.4719,8.5,2756.0,132300.0,75545.0,26072.0,69363.0,2016
Anderson County,Texas,48,1,12.4,11.8,85.1,731.0,444.0,17.1,10.3,57772.0,42632.0,42146.0,4.3,84.3,307.0,0.4514,8.1,12287.0,85800.0,57772.0,18087.0,42632.0,2016
Andrew County,Missouri,29,3,14.2,24.0,79.7,736.0,95.0,9.2,15.6,17347.0,16691.0,54804.0,4.4,92.7,64.0,0.4175,8.2,261.0,131800.0,17347.0,26661.0,16691.0,2016
Andrews County,Texas,48,3,10.6,10.6,72.8,960.0,66.0,10.7,9.0,17215.0,15926.0,70121.0,5.2,84.4,15.0,0.4429,10.4,351.0,122000.0,17215.0,29240.0,15926.0,2016
Androscoggin County,Maine,23,1,15.9,20.7,79.2,717.0,1778.0,14.8,14.4,107376.0,99069.0,48728.0,5.8,91.4,147.0,0.4338,9.2,1884.0,152100.0,107376.0,25788.0,99069.0,2016
Angelina County,Texas,48,5,20.1,15.7,76.0,765.0,822.0,19.6,13.5,87657.0,67999.0,44185.0,8.3,81.1,635.0,0.4624,9.2,12883.0,89300.0,87657.0,21486.0,67999.0,2016
Anne Arundel County,Maryland,24,3,10.2,39.4,79.3,1520.0,4832.0,6.1,12.0,559737.0,416331.0,91918.0,5.5,94.0,1222.0,0.4159,10.0,89001.0,338500.0,559737.0,42382.0,416331.0,2016
Anoka County,Minnesota,27,3,9.8,28.2,77.8,1000.0,2245.0,7.4,10.6,341249.0,291633.0,73579.0,4.9,94.7,2246.0,0.3916,8.4,17750.0,193200.0,341249.0,33051.0,291633.0,2016
Anson County,North Carolina,37,7,19.7,9.5,82.5,659.0,244.0,22.8,12.9,25883.0,12423.0,34656.0,14.4,83.6,86.0,0.433,10.1,12612.0,79900.0,25883.0,17548.0,12423.0,2016
Antelope County,Nebraska,31,3,15.9,18.6,79.2,512.0,41.0,11.8,20.0,6421.0,6278.0,46381.0,1.8,91.4,22.0,0.4661,7.8,17.0,78400.0,6421.0,27048.0,6278.0,2016
Antrim County,Michigan,26,9,15.7,26.7,82.7,699.0,84.0,12.9,24.4,23215.0,22263.0,48825.0,7.8,90.7,218.0,0.4583,6.8,79.0,145100.0,23215.0,28180.0,22263.0,2016
Apache County,Arizona,4,1,14.7,11.1,73.9,503.0,244.0,36.2,12.4,72346.0,16307.0,32460.0,15.8,76.4,52978.0,0.4847,10.5,361.0,77900.0,72346.0,13428.0,16307.0,2016
Appanoose County,Iowa,19,7,16.6,18.1,78.8,556.0,126.0,16.1,19.5,12602.0,12289.0,40817.0,6.6,90.6,6.0,0.4613,7.1,61.0,79300.0,12602.0,23617.0,12289.0,2016
Appling County,Georgia,13,1,19.2,11.9,79.6,514.0,95.0,20.6,14.2,18410.0,14194.0,37388.0,8.5,81.5,89.0,0.4549,8.5,3357.0,72100.0,18410.0,19607.0,14194.0,2016
Appomattox County,Virginia,51,11,16.4,19.6,79.6,700.0,55.0,17.3,17.9,15314.0,11869.0,52134.0,4.5,90.7,13.0,0.4293,7.6,3149.0,149600.0,15314.0,24902.0,11869.0,2016
Aransas County,Texas,48,7,23.0,20.2,83.8,827.0,133.0,17.0,26.5,24729.0,21823.0,44851.0,7.5,82.2,166.0,0.5168,7.8,413.0,154500.0,24729.0,29426.0,21823.0,2016
Arapahoe County,Colorado,8,5,9.1,40.7,77.2,1142.0,9004.0,10.7,10.5,617668.0,447507.0,66288.0,6.0,88.6,3497.0,0.4621,8.9,64110.0,266600.0,617668.0,35250.0,447507.0,2016
Archer County,Texas,48,9,14.8,21.8,80.6,633.0,55.0,8.1,17.0,8750.0,8260.0,62407.0,3.3,87.5,111.0,0.4194,9.0,104.0,113300.0,8750.0,29086.0,8260.0,2016
Archuleta County,Colorado,8,7,15.0,34.9,83.8,883.0,88.0,11.2,21.9,12355.0,10585.0,45607.0,6.7,79.7,302.0,0.4425,8.4,119.0,268400.0,12355.0,28649.0,10585.0,2016
Arenac County,Michigan,26,11,20.5,11.4,84.0,585.0,76.0,19.2,21.8,15327.0,14803.0,39240.0,10.8,90.6,205.0,0.4252,7.6,76.0,88400.0,15327.0,21602.0,14803.0,2016
Arkansas County,Arkansas,5,1,23.2,14.4,79.4,632.0,209.0,19.6,16.5,18569.0,13483.0,37330.0,9.1,90.5,11.0,0.4876,8.9,4892.0,77600.0,18569.0,23287.0,13483.0,2016
Arlington County,Virginia,51,13,5.4,73.7,83.9,1861.0,5040.0,8.7,8.3,226092.0,163181.0,108706.0,3.4,91.4,883.0,0.4377,7.7,19477.0,623300.0,226092.0,64746.0,163181.0,2016
Armstrong County,Pennsylvania,42,5,18.8,15.5,82.4,614.0,458.0,13.2,18.0,67512.0,66101.0,45879.0,7.7,92.8,14.0,0.4174,7.5,634.0,95700.0,67512.0,24634.0,66101.0,2016
Armstrong County,Texas,48,11,15.6,23.1,78.0,733.0,12.0,9.6,18.2,1913.0,1771.0,65000.0,1.6,93.2,23.0,0.3773,6.3,26.0,113100.0,1913.0,28542.0,1771.0,2016
Aroostook County,Maine,23,3,21.9,18.1,82.8,569.0,716.0,17.7,19.5,69405.0,66055.0,38087.0,6.2,90.5,1144.0,0.4454,8.4,597.0,95800.0,69405.0,22483.0,66055.0,2016
Ascension Parish,Louisiana,22,5,11.6,26.6,74.0,924.0,582.0,11.5,9.5,117009.0,86568.0,71752.0,5.9,89.7,68.0,0.4086,8.8,25560.0,172300.0,117009.0,30094.0,86568.0,2016
Ashe County,North Carolina,37,9,15.2,19.5,82.9,636.0,149.0,19.9,21.1,26992.0,25354.0,37360.0,7.6,83.9,92.0,0.4592,7.4,193.0,143700.0,26992.0,22343.0,25354.0,2016
Ashland County,Ohio,39,5,14.5,19.6,79.2,682.0,336.0,15.4,15.8,53343.0,51722.0,48509.0,5.7,88.9,24.0,0.3966,10.8,358.0,120700.0,53343.0,22604.0,51722.0,2016
Ashland County,Wisconsin,55,3,15.3,22.2,79.6,624.0,128.0,15.4,16.3,15936.0,13533.0,40297.0,7.2,91.6,1727.0,0.4263,10.2,74.0,108700.0,15936.0,22270.0,13533.0,2016
Ashley County,Arkansas,5,3,22.4,13.6,78.0,616.0,89.0,19.9,16.9,20989.0,15049.0,36352.0,10.0,87.8,43.0,0.4546,9.1,5440.0,70900.0,20989.0,20290.0,15049.0,2016
Ashtabula County,Ohio,39,7,16.0,13.1,79.8,637.0,982.0,19.6,15.4,99175.0,92247.0,41158.0,8.1,89.0,183.0,0.4272,8.6,3426.0,104700.0,99175.0,20978.0,92247.0,2016
Asotin County,Washington,53,3,19.1,21.0,81.4,708.0,236.0,14.5,20.1,22113.0,20759.0,45550.0,8.3,90.1,240.0,0.4335,7.9,63.0,177600.0,22113.0,25760.0,20759.0,2016
Assumption Parish,Louisiana,22,7,19.6,11.4,79.5,684.0,45.0,18.4,14.6,22973.0,15581.0,47822.0,8.2,86.2,141.0,0.4732,10.5,6881.0,108600.0,22973.0,24207.0,15581.0,2016
Atascosa County,Texas,48,13,11.4,14.3,74.3,763.0,308.0,15.3,12.9,47710.0,44209.0,53181.0,7.2,81.6,140.0,0.4396,9.2,351.0,93000.0,47710.0,23416.0,44209.0,2016
Atchison County,Kansas,20,5,15.7,19.9,76.0,600.0,50.0,19.2,13.6,16557.0,15023.0,46103.0,6.7,90.1,83.0,0.4512,13.7,652.0,100300.0,16557.0,23151.0,15023.0,2016
Atchison County,Missouri,29,5,18.2,22.3,82.3,540.0,36.0,12.0,22.4,5380.0,5263.0,43438.0,3.9,88.5,15.0,0.4259,7.7,27.0,81700.0,5380.0,26710.0,5263.0,2016
Athens County,Ohio,39,9,15.7,29.1,86.5,726.0,732.0,31.2,10.1,65103.0,59238.0,34221.0,9.4,92.4,178.0,0.5101,29.8,1609.0,113900.0,65103.0,18602.0,59238.0,2016
Atkinson County,Georgia,13,3,14.9,6.7,72.7,480.0,52.0,27.6,10.2,8268.0,5910.0,31296.0,5.9,74.3,58.0,0.4977,7.8,1496.0,62900.0,8268.0,19002.0,5910.0,2016
Atlantic County,New Jersey,34,1,12.9,25.9,79.5,1054.0,3371.0,15.5,14.3,274026.0,184371.0,55456.0,11.8,87.9,563.0,0.4556,9.9,42711.0,222200.0,274026.0,28575.0,184371.0,2016
Atoka County,Oklahoma,40,5,23.5,14.7,80.0,556.0,129.0,22.0,15.4,13847.0,10174.0,36528.0,9.0,79.3,1891.0,0.4796,8.3,537.0,93200.0,13847.0,19159.0,10174.0,2016
Attala County,Mississippi,28,7,19.4,14.8,76.3,537.0,31.0,24.4,17.3,19085.0,10489.0,33018.0,11.4,87.7,5.0,0.516,9.6,8169.0,74700.0,19085.0,20283.0,10489.0,2016
Audrain County,Missouri,29,7,14.9,12.6,76.8,636.0,138.0,17.7,15.6,25868.0,23048.0,41930.0,7.9,87.1,59.0,0.4218,8.3,1534.0,93400.0,25868.0,19692.0,23048.0,2016
Audubon County,Iowa,19,9,12.8,13.1,81.7,533.0,62.0,11.6,21.0,5793.0,5636.0,47048.0,2.8,93.6,38.0,0.4666,6.6,22.0,66300.0,5793.0,30085.0,5636.0,2016
Auglaize County,Ohio,39,11,11.8,17.8,77.8,651.0,228.0,8.8,14.8,45871.0,44499.0,55914.0,4.0,94.5,96.0,0.3975,8.4,172.0,138700.0,45871.0,26690.0,44499.0,2016
Augusta County,Virginia,51,15,14.1,23.3,82.6,866.0,395.0,9.2,17.6,74330.0,69292.0,56802.0,4.9,89.6,171.0,0.4378,8.2,2993.0,199700.0,74330.0,28601.0,69292.0,2016
Aurora County,South Dakota,46,3,13.8,20.6,77.8,595.0,12.0,6.2,17.6,2732.0,2512.0,52620.0,1.7,94.0,91.0,0.4092,6.8,41.0,69000.0,2732.0,28385.0,2512.0,2016
Austin County,Texas,48,15,13.7,21.0,78.4,852.0,120.0,14.5,16.3,29107.0,24123.0,56681.0,5.8,83.5,8.0,0.4469,8.4,2519.0,164300.0,29107.0,28351.0,24123.0,2016
Autauga County,Alabama,1,1,18.4,24.6,76.8,896.0,474.0,12.3,12.4,55049.0,42311.0,53099.0,5.6,91.1,226.0,0.4295,9.4,10196.0,141000.0,55049.0,26168.0,42311.0,2016
Avery County,North Carolina,37,11,21.7,19.8,87.4,696.0,112.0,16.7,17.1,17633.0,16209.0,35891.0,8.0,81.9,86.0,0.5079,9.8,655.0,130900.0,17633.0,21548.0,16209.0,2016
Avoyelles Parish,Louisiana,22,9,18.2,10.1,78.1,614.0,524.0,23.1,13.4,41252.0,27595.0,34985.0,8.5,83.5,505.0,0.492,9.0,12594.0,93000.0,41252.0,19595.0,27595.0,2016
Baca County,Colorado,8,9,24.5,21.8,82.0,530.0,30.0,18.0,24.0,3648.0,3492.0,37477.0,3.7,87.0,56.0,0.4309,7.4,48.0,69900.0,3648.0,22113.0,3492.0,2016
Bacon County,Georgia,13,5,19.0,13.2,77.2,551.0,118.0,18.3,12.2,11251.0,8860.0,37303.0,5.3,83.6,0.0,0.4269,10.6,1735.0,64100.0,11251.0,18299.0,8860.0,2016
Bailey County,Texas,48,17,14.6,10.7,73.3,695.0,30.0,19.1,12.4,7131.0,6021.0,40589.0,2.1,70.5,6.0,0.4029,10.6,163.0,62700.0,7131.0,17710.0,6021.0,2016
Baker County,Florida,12,3,16.0,12.8,78.6,695.0,52.0,18.5,11.1,27312.0,22833.0,53327.0,6.8,87.5,95.0,0.43,11.7,3798.0,108600.0,27312.0,21222.0,22833.0,2016
Baker County,Georgia,13,7,20.1,11.0,84.0,438.0,11.0,15.7,16.6,3250.0,1782.0,45903.0,3.2,81.1,11.0,0.4485,8.6,1347.0,90700.0,3250.0,23001.0,1782.0,2016
Baker County,Oregon,41,1,21.1,23.0,81.9,636.0,145.0,15.1,23.9,16030.0,15148.0,41722.0,8.8,89.4,240.0,0.4462,7.5,65.0,147100.0,16030.0,24776.0,15148.0,2016
Baldwin County,Alabama,1,3,13.9,29.5,79.6,889.0,1749.0,13.0,17.9,199510.0,172441.0,51365.0,6.3,88.2,1355.0,0.4608,7.9,18594.0,173400.0,199510.0,28069.0,172441.0,2016
Baldwin County,Georgia,13,9,14.2,18.4,83.0,687.0,411.0,29.7,12.7,45808.0,24874.0,34595.0,8.2,87.0,111.0,0.5168,18.9,19087.0,103700.0,45808.0,19147.0,24874.0,2016
Ballard County,Kentucky,21,7,14.3,15.3,79.1,615.0,50.0,16.4,17.2,8216.0,7741.0,43923.0,5.3,89.8,36.0,0.4353,8.5,298.0,108400.0,8216.0,24459.0,7741.0,2016
Baltimore City,Maryland,24,510,15.3,29.7,79.6,974.0,10912.0,23.1,10.4,621000.0,187894.0,44262.0,11.4,91.0,1799.0,0.5156,11.1,391160.0,153000.0,621000.0,27129.0,187894.0,2016
Baltimore County,Maryland,24,5,11.5,37.2,79.6,1193.0,9047.0,9.3,13.9,825666.0,519063.0,68989.0,6.0,92.6,2110.0,0.4454,9.8,226879.0,246900.0,825666.0,35777.0,519063.0,2016
Bamberg County,South Carolina,45,9,21.6,19.1,79.8,655.0,25.0,27.1,16.5,15057.0,5402.0,32321.0,9.2,83.5,8.0,0.4772,15.1,9419.0,65200.0,15057.0,18260.0,5402.0,2016
Bandera County,Texas,48,19,19.0,24.0,83.3,842.0,115.0,16.5,25.1,21015.0,19449.0,55434.0,4.1,85.1,252.0,0.4292,7.3,142.0,159200.0,21015.0,28547.0,19449.0,2016
Banks County,Georgia,13,11,16.3,11.0,78.1,674.0,51.0,15.5,15.1,18336.0,17147.0,40721.0,7.7,82.8,59.0,0.3978,8.2,449.0,120800.0,18336.0,18890.0,17147.0,2016
Bannock County,Idaho,16,5,14.8,27.5,75.4,645.0,826.0,18.3,11.8,83815.0,75560.0,45216.0,7.1,88.8,2654.0,0.4526,11.1,529.0,146600.0,83815.0,22885.0,75560.0,2016
Baraga County,Michigan,26,13,15.8,15.6,86.5,536.0,12.0,15.0,14.5,8612.0,6341.0,42810.0,6.8,92.4,352.0,0.4305,10.1,1567.0,90900.0,8612.0,17664.0,6341.0,2016
Barber County,Kansas,20,7,14.9,18.7,79.0,602.0,50.0,14.2,18.9,4831.0,4623.0,49455.0,3.2,89.4,18.0,0.4371,7.2,35.0,77400.0,4831.0,26040.0,4623.0,2016
