County,State,State_FIPS,County_FIPS,disability_rate,high_school_and_above_percentage,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,median_household_income,unemployment_rate,health_insurance_rate,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population,Year
Jones County,Georgia,13,169,14.5,20.2,77.8,828.0,172.0,13.7,14.5,28701.0,20963.0,54020.0,8.0,86.4,60.0,0.4436,8.6,7092.0,129700.0,28701.0,26602.0,20963.0,2016
Jones County,Iowa,19,105,12.8,16.7,80.7,615.0,155.0,10.6,16.1,20481.0,19578.0,55507.0,4.5,95.0,124.0,0.4366,7.7,431.0,130300.0,20481.0,27891.0,19578.0,2016
Jones County,Mississippi,28,67,17.9,18.7,75.2,606.0,718.0,23.7,13.5,68313.0,47162.0,37846.0,7.5,87.3,204.0,0.4914,9.2,19807.0,85400.0,68313.0,20957.0,47162.0,2016
Jones County,North Carolina,37,103,25.0,14.0,81.9,645.0,88.0,22.8,20.3,10074.0,6634.0,34080.0,11.5,83.8,35.0,0.4448,7.0,3080.0,91000.0,10074.0,20348.0,6634.0,2016
Jones County,South Dakota,46,75,13.0,14.4,86.6,372.0,0.0,10.3,20.3,767.0,734.0,39276.0,2.3,85.5,17.0,0.4117,4.3,16.0,58100.0,767.0,25229.0,734.0,2016
Jones County,Texas,48,253,20.7,11.0,87.4,699.0,28.0,16.7,10.5,19944.0,13968.0,47007.0,3.7,82.5,170.0,0.4626,11.8,2930.0,73200.0,19944.0,17279.0,13968.0,2016
Josephine County,Oregon,41,33,19.4,17.3,82.3,834.0,971.0,19.5,23.3,84063.0,77710.0,37867.0,10.8,89.1,1200.0,0.4789,7.7,307.0,225100.0,84063.0,23004.0,77710.0,2016
Juab County,Utah,49,23,10.6,16.9,66.8,773.0,18.0,14.2,10.6,10507.0,9928.0,54861.0,4.2,87.1,71.0,0.3672,9.8,26.0,169900.0,10507.0,19194.0,9928.0,2016
Judith Basin County,Montana,30,45,12.7,31.3,86.3,507.0,5.0,12.6,24.6,1981.0,1948.0,45347.0,2.9,89.4,22.0,0.4471,5.9,0.0,136500.0,1981.0,28741.0,1948.0,2016
Juneau City and Borough,Alaska,2,110,9.8,39.4,80.3,1184.0,490.0,7.4,9.6,32524.0,22575.0,87436.0,4.9,87.7,4009.0,0.379,9.4,381.0,329500.0,32524.0,40592.0,22575.0,2016
Juneau County,Wisconsin,55,57,17.1,12.9,82.5,673.0,227.0,13.1,17.0,26399.0,24911.0,47243.0,5.8,92.1,387.0,0.4217,7.4,621.0,118800.0,26399.0,23519.0,24911.0,2016
Juniata County,Pennsylvania,42,67,14.0,13.3,79.9,596.0,174.0,12.0,18.3,24811.0,23993.0,49028.0,5.3,86.5,9.0,0.405,7.6,234.0,146200.0,24811.0,23461.0,23993.0,2016
Kalamazoo County,Michigan,26,77,12.9,36.1,79.6,736.0,3304.0,17.5,11.9,258605.0,210867.0,49693.0,7.3,92.3,705.0,0.467,16.5,28060.0,140900.0,258605.0,27370.0,210867.0,2016
Kalawao County,Hawaii,15,5,19.5,29.8,100.0,960.0,0.0,12.9,2.3,91.0,29.0,65625.0,0.0,92.7,0.0,0.395,6.8,0.0,-666666666.0,91.0,45812.0,29.0,2016
Kalkaska County,Michigan,26,79,19.3,13.6,81.4,692.0,122.0,16.8,18.0,17259.0,16612.0,42612.0,8.9,88.8,105.0,0.4309,7.1,117.0,100200.0,17259.0,22508.0,16612.0,2016
Kanabec County,Minnesota,27,65,17.3,13.8,81.1,776.0,158.0,13.5,17.4,15918.0,15385.0,48042.0,7.5,93.9,155.0,0.4125,7.8,54.0,136600.0,15918.0,24582.0,15385.0,2016
Kanawha County,West Virginia,54,39,19.5,25.2,81.2,703.0,1773.0,16.0,16.1,189636.0,168005.0,46528.0,6.4,91.1,373.0,0.4691,8.3,9900.0,107100.0,189636.0,28030.0,168005.0,2016
Kandiyohi County,Minnesota,27,67,11.5,22.5,78.2,672.0,318.0,11.3,15.4,42510.0,37765.0,53514.0,3.8,93.1,234.0,0.4353,8.9,1566.0,164300.0,42510.0,28165.0,37765.0,2016
Kane County,Illinois,17,89,8.2,32.1,75.5,1043.0,4135.0,11.0,10.5,526615.0,381666.0,71602.0,6.9,88.8,1900.0,0.4417,9.2,29545.0,215800.0,526615.0,31774.0,381666.0,2016
Kane County,Utah,49,25,16.2,25.3,76.6,911.0,42.0,9.0,22.4,7216.0,6731.0,50517.0,6.5,82.4,54.0,0.4123,6.7,16.0,187300.0,7216.0,24488.0,6731.0,2016
Kankakee County,Illinois,17,91,16.5,19.0,78.2,828.0,967.0,15.7,13.4,111493.0,89149.0,54697.0,8.4,91.5,334.0,0.4194,10.8,16908.0,138900.0,111493.0,25111.0,89149.0,2016
Karnes County,Texas,48,255,18.6,12.3,83.5,662.0,136.0,24.0,11.0,14984.0,9298.0,46058.0,4.0,85.6,6.0,0.5541,12.7,1370.0,90000.0,14984.0,25306.0,9298.0,2016
Kauai County,Hawaii,15,7,10.3,27.8,79.2,1279.0,884.0,9.6,16.0,70447.0,23222.0,68224.0,5.1,93.3,314.0,0.4234,7.5,478.0,493800.0,70447.0,28791.0,23222.0,2016
Kaufman County,Texas,48,257,12.4,19.4,74.6,916.0,737.0,13.7,10.8,111830.0,92578.0,60179.0,7.0,82.6,509.0,0.412,8.4,11254.0,141500.0,111830.0,25445.0,92578.0,2016
Kay County,Oklahoma,40,71,18.0,19.5,76.7,633.0,408.0,17.8,16.1,45398.0,36077.0,42831.0,7.4,84.1,3560.0,0.4419,9.4,868.0,80700.0,45398.0,23514.0,36077.0,2016
Kearney County,Nebraska,31,99,11.8,23.9,77.4,704.0,46.0,6.9,16.5,6548.0,6432.0,55068.0,3.6,91.9,7.0,0.441,7.0,10.0,119000.0,6548.0,31563.0,6432.0,2016
Kearny County,Kansas,20,93,11.5,14.3,71.3,588.0,0.0,12.6,11.1,3943.0,3221.0,49396.0,2.3,88.7,25.0,0.4443,7.1,34.0,91000.0,3943.0,23213.0,3221.0,2016
Keith County,Nebraska,31,101,12.4,21.6,81.4,598.0,104.0,12.8,22.6,8103.0,7803.0,43100.0,4.0,87.5,49.0,0.4312,6.6,42.0,104600.0,8103.0,26699.0,7803.0,2016
Kemper County,Mississippi,28,69,19.9,11.4,83.9,408.0,55.0,29.9,15.6,10128.0,3596.0,29925.0,9.3,86.2,379.0,0.4412,10.6,6106.0,63400.0,10128.0,14715.0,3596.0,2016
Kenai Peninsula Borough,Alaska,2,122,14.1,23.7,80.1,970.0,431.0,11.0,14.2,57637.0,48208.0,64891.0,8.7,79.8,4338.0,0.4179,9.1,345.0,229200.0,57637.0,32556.0,48208.0,2016
Kendall County,Illinois,17,93,7.2,34.3,72.2,1239.0,643.0,5.4,7.9,121452.0,100946.0,85736.0,5.3,95.1,86.0,0.3532,7.6,7933.0,205500.0,121452.0,31920.0,100946.0,2016
Kendall County,Texas,48,259,15.4,39.3,79.4,1098.0,233.0,6.1,17.7,39010.0,36296.0,76350.0,4.7,91.0,141.0,0.4456,8.4,324.0,285900.0,39010.0,36724.0,36296.0,2016
Kennebec County,Maine,23,11,16.5,25.3,81.5,699.0,1464.0,14.6,16.2,120953.0,115938.0,48570.0,7.0,91.5,685.0,0.4335,9.0,1139.0,151100.0,120953.0,26418.0,115938.0,2016
Kenosha County,Wisconsin,55,59,12.0,24.6,78.2,865.0,1997.0,15.2,11.0,167896.0,145980.0,56086.0,8.7,91.3,642.0,0.4327,10.4,12406.0,162400.0,167896.0,27335.0,145980.0,2016
Kent County,Delaware,10,1,14.0,23.1,77.6,1006.0,1619.0,13.2,14.3,171474.0,114958.0,55184.0,8.0,92.2,1123.0,0.4201,11.4,42097.0,199800.0,171474.0,26118.0,114958.0,2016
Kent County,Maryland,24,29,13.9,30.5,83.6,894.0,353.0,12.0,22.8,19819.0,16302.0,55028.0,5.6,93.4,36.0,0.4547,13.0,2949.0,238800.0,19819.0,30080.0,16302.0,2016
Kent County,Michigan,26,81,11.7,33.7,76.8,787.0,5958.0,14.9,10.8,629352.0,508965.0,54673.0,6.3,91.5,2921.0,0.4596,10.1,60729.0,144300.0,629352.0,28070.0,508965.0,2016
Kent County,Rhode Island,44,3,14.8,31.8,81.9,988.0,2066.0,8.2,15.2,164886.0,152635.0,65592.0,7.3,94.3,217.0,0.4404,7.9,2354.0,208400.0,164886.0,35323.0,152635.0,2016
Kenton County,Kentucky,21,117,14.0,29.1,77.7,751.0,1675.0,13.6,11.0,163393.0,147685.0,56568.0,6.5,91.5,190.0,0.4422,8.7,7147.0,147000.0,163393.0,28785.0,147685.0,2016
Keokuk County,Iowa,19,107,15.0,17.0,78.9,595.0,94.0,12.8,17.9,10234.0,10026.0,45227.0,5.5,94.6,7.0,0.4175,7.2,1.0,79500.0,10234.0,24650.0,10026.0,2016
Kern County,California,6,29,11.0,15.7,74.0,905.0,8719.0,23.1,8.8,871337.0,647832.0,49788.0,11.9,86.7,10051.0,0.4603,11.5,48264.0,175600.0,871337.0,21094.0,647832.0,2016
