County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage,Year
Clinton County,Kentucky,21,53,9834,10244,14.8,64,482,78.7,0.4802,0,26885,9834,15438,10244,67700,126,7.6,2012
Clinton County,Michigan,26,37,70560,75274,12.2,532,744,77.6,0.4231,180,58231,70560,28142,75274,159200,1532,10.5,2012
Clinton County,Missouri,29,49,19817,20687,15.0,110,710,78.3,0.3813,97,53234,19817,24977,20687,147800,292,7.9,2012
Clinton County,New York,36,19,75715,82054,11.4,749,713,83.2,0.4278,283,50522,75715,24323,82054,122500,3435,13.2,2012
Clinton County,Ohio,39,27,39993,42161,11.8,562,658,77.5,0.4234,53,46443,39993,22367,42161,121400,858,9.8,2012
Clinton County,Pennsylvania,42,35,37942,39261,14.7,272,649,81.3,0.4332,58,40682,37942,21179,39261,105700,591,15.3,2012
Cloud County,Kansas,20,29,9215,9479,17.5,96,523,81.7,0.4155,26,37382,9215,20056,9479,63800,31,13.0,2012
Coahoma County,Mississippi,28,27,6064,26099,10.4,363,560,72.1,0.5415,23,25574,6064,15848,26099,57400,19671,12.3,2012
Coal County,Oklahoma,40,29,4299,5906,15.4,43,446,75.5,0.452,318,33512,4299,19394,5906,66900,20,8.5,2012
Cobb County,Georgia,13,67,436938,691820,7.9,7783,968,76.3,0.4483,1648,65180,436938,33282,691820,203000,173854,9.6,2012
Cochise County,Arizona,4,3,105267,131118,16.3,1030,763,79.5,0.44,1454,45505,105267,23330,131118,151800,5164,10.7,2012
Cochran County,Texas,48,79,2404,3087,12.4,9,531,75.9,0.425,75,40406,2404,17416,3087,36600,136,8.6,2012
Cocke County,Tennessee,47,29,33686,35631,16.4,179,519,80.8,0.4631,44,29764,33686,16975,35631,99200,620,7.6,2012
Coconino County,Arizona,4,5,83919,134011,8.4,1397,950,78.5,0.4508,36501,48320,83919,22664,134011,237200,1774,17.5,2012
Codington County,South Dakota,46,29,26054,27284,12.8,289,605,77.0,0.4401,764,46383,26054,25389,27284,133200,85,10.0,2012
Coffee County,Alabama,1,31,38651,49966,12.5,355,638,77.7,0.4445,440,44626,38651,23441,49966,126400,8663,9.7,2012
Coffee County,Georgia,13,69,27307,42566,9.4,458,577,76.8,0.4738,83,35583,27307,17156,42566,79000,11642,11.3,2012
Coffee County,Tennessee,47,31,48433,52853,14.0,446,632,77.6,0.443,94,38151,48433,20109,52853,119200,1400,7.9,2012
Coffey County,Kansas,20,31,8287,8553,15.7,83,512,78.3,0.4027,46,50106,8287,25935,8553,102200,56,6.8,2012
Coke County,Texas,48,81,3140,3298,23.3,14,528,81.8,0.4576,17,40844,3140,24000,3298,64500,44,5.8,2012
Colbert County,Alabama,1,33,43915,54451,15.2,443,601,79.4,0.441,300,40158,43915,22186,54451,101500,8730,8.5,2012
Cole County,Missouri,29,51,63671,75813,10.8,785,578,79.1,0.4128,284,55465,63671,26688,75813,142200,8582,8.9,2012
Coleman County,Texas,48,83,8242,8817,20.7,26,565,80.3,0.4853,27,30690,8242,18404,8817,62600,187,10.0,2012
Coles County,Illinois,17,29,50030,53683,12.1,584,606,82.9,0.4868,41,38088,50030,22263,53683,91100,2024,22.4,2012
Colfax County,Nebraska,31,37,9465,10453,11.3,40,676,73.8,0.409,85,48561,9465,20694,10453,85300,138,10.5,2012
Colfax County,New Mexico,35,7,10981,13614,18.9,109,597,82.2,0.4366,475,38263,10981,21087,13614,112200,83,7.5,2012
Colleton County,South Carolina,45,29,22362,38665,14.6,260,680,77.5,0.4627,392,31289,22362,18221,38665,92900,15440,8.7,2012
Collier County,Florida,12,21,282480,323548,25.7,2833,1028,82.1,0.5344,730,56104,282480,36898,323548,280700,21477,7.6,2012
Collin County,Texas,48,85,587645,788580,7.1,7596,1027,73.7,0.4223,4022,83238,587645,37797,788580,204900,65972,7.7,2012
Collingsworth County,Texas,48,87,2649,3050,17.9,0,498,73.8,0.4761,29,41940,2649,23857,3050,66300,125,6.1,2012
Colonial Heights City,Virginia,51,570,14296,17426,15.8,163,875,79.0,0.3825,41,51612,14296,27420,17426,190200,2279,10.3,2012
Colorado County,Texas,48,89,16742,20784,18.0,74,591,78.7,0.4784,108,43273,16742,24706,20784,104000,2825,8.2,2012
Colquitt County,Georgia,13,71,31150,45531,10.9,423,584,75.4,0.4775,21,33186,31150,17830,45531,84500,10448,10.7,2012
Columbia County,Arkansas,5,27,14864,24644,13.5,186,542,79.0,0.4583,48,34895,14864,18999,24644,78200,9072,16.3,2012
Columbia County,Florida,12,23,52458,67546,13.8,467,736,80.5,0.4323,309,37534,52458,18964,67546,120900,11882,11.7,2012
Columbia County,Georgia,13,73,95752,124665,9.5,661,1000,75.1,0.4153,352,67295,95752,30503,124665,171400,19294,8.9,2012
Columbia County,New York,36,21,57054,62881,16.6,509,846,81.7,0.47,103,56445,57054,32934,62881,223100,2823,8.4,2012
Columbia County,Oregon,41,9,45912,49317,13.3,285,780,78.3,0.4173,701,55358,45912,26123,49317,220400,111,8.1,2012
Columbia County,Pennsylvania,42,37,64330,66984,14.2,751,666,82.8,0.4451,82,44680,64330,23301,66984,134700,1143,15.1,2012
Columbia County,Washington,53,13,3731,4001,21.7,54,583,82.2,0.466,57,45417,3731,26767,4001,159100,9,5.5,2012
Columbia County,Wisconsin,55,21,54307,56596,12.8,614,710,79.6,0.3903,277,57869,54307,28017,56596,178400,750,7.4,2012
Columbiana County,Ohio,39,29,102885,107598,14.2,641,584,80.4,0.4206,63,41870,102885,21308,107598,97500,2492,7.6,2012
Columbus County,North Carolina,37,47,35334,57612,12.9,336,572,78.8,0.469,1786,35182,35334,18861,57612,85100,17588,9.5,2012
Colusa County,California,6,11,15448,21329,11.3,224,904,72.8,0.4131,259,52165,15448,21601,21329,210300,177,10.0,2012
Comal County,Texas,48,91,99609,108985,14.7,936,929,78.2,0.4536,799,63480,99609,32736,108985,202200,1826,7.7,2012
Comanche County,Kansas,20,33,1836,1893,23.9,43,464,76.2,0.4034,25,39950,1836,21954,1893,47900,0,4.3,2012
Comanche County,Oklahoma,40,31,80135,123101,8.8,1289,730,78.0,0.4243,6549,46320,80135,22428,123101,110900,20834,15.6,2012
Comanche County,Texas,48,93,12960,13875,19.7,36,520,79.1,0.4343,8,36599,12960,18845,13875,79800,81,7.8,2012
Concho County,Texas,48,95,3687,4073,10.4,0,419,90.9,0.444,8,50278,3687,18669,4073,71800,30,3.8,2012
Concordia Parish,Louisiana,22,29,11897,20624,12.4,113,451,77.6,0.5008,40,28971,11897,18004,20624,75200,8432,9.7,2012
Conecuh County,Alabama,1,35,6794,13188,16.6,83,526,76.0,0.5235,72,27064,6794,16648,13188,74200,6130,10.1,2012
Conejos County,Colorado,8,21,6857,8241,15.0,95,541,75.9,0.4265,71,32860,6857,17929,8241,106300,6,9.3,2012
Contra Costa County,California,6,13,670524,1052047,11.2,10863,1340,77.2,0.4564,4656,78187,670524,38106,1052047,433800,96210,8.9,2012
Converse County,Wyoming,56,9,13103,13779,11.4,85,633,77.5,0.3902,147,62554,13103,30030,13779,183100,43,7.1,2012
Conway County,Arkansas,5,29,18103,21203,15.4,153,564,79.6,0.4768,153,32625,18103,19833,21203,84500,2490,8.8,2012
Cook County,Georgia,13,75,11531,17073,11.9,135,653,74.3,0.4575,114,35983,11531,19323,17073,91200,4772,8.5,2012
Cook County,Illinois,17,31,2934297,5197677,10.1,65049,950,78.1,0.4934,12224,54648,2934297,30048,5197677,244900,1284262,10.2,2012
Cook County,Minnesota,27,31,4569,5206,19.6,47,703,83.4,0.4414,348,50309,4569,31713,5206,236500,28,6.5,2012
Cooke County,Texas,48,97,34329,38427,14.6,336,762,76.7,0.436,401,49735,34329,24121,38427,108600,1101,9.8,2012
Cooper County,Missouri,29,53,15775,17542,12.5,119,588,81.8,0.4455,27,45200,15775,22663,17542,114300,989,13.5,2012
Coos County,New Hampshire,33,7,31875,32872,17.4,394,628,83.6,0.4316,128,41774,31875,24059,32872,129600,195,7.0,2012
Coos County,Oregon,41,11,57000,62937,20.6,716,709,82.2,0.4445,1659,37853,57000,21992,62937,190000,322,8.1,2012
Coosa County,Alabama,1,37,7647,11305,15.1,5,573,80.4,0.4264,7,37425,7647,18855,11305,74500,3558,7.7,2012
Copiah County,Mississippi,28,29,13558,29324,11.9,48,578,76.3,0.475,13,36645,13558,18327,29324,70100,15065,11.9,2012
Corson County,South Dakota,46,31,1244,4046,9.9,28,406,70.7,0.554,2707,29451,1244,15166,4046,46400,7,9.5,2012
Cortland County,New York,36,23,46737,49453,12.0,334,684,80.7,0.4244,151,47497,46737,22788,49453,101900,768,17.3,2012
Coryell County,Texas,48,99,55222,75728,6.7,814,866,74.0,0.3848,310,50104,55222,19366,75728,98300,12498,15.4,2012
Coshocton County,Ohio,39,31,35811,36880,14.3,172,546,78.3,0.4204,56,41885,35811,20701,36880,96300,429,8.1,2012
Costilla County,Colorado,8,23,2922,3556,22.5,7,531,81.9,0.5111,23,25309,2922,18856,3556,90400,12,9.9,2012
Cottle County,Texas,48,101,1255,1600,26.0,37,393,79.0,0.4028,8,34770,1255,21429,1600,40800,217,4.6,2012
Cotton County,Oklahoma,40,33,5013,6171,15.4,48,564,77.3,0.4024,536,48596,5013,21846,6171,73700,131,8.4,2012
Cottonwood County,Minnesota,27,33,10807,11665,19.1,77,545,76.9,0.4233,30,43225,10807,23186,11665,83700,63,7.2,2012
Covington City,Virginia,51,580,4964,5903,16.8,15,642,79.4,0.4162,15,36067,4964,20055,5903,65600,715,11.4,2012
Covington County,Alabama,1,39,32054,37803,16.5,334,560,79.3,0.4657,203,35321,32054,20153,37803,86700,4754,8.2,2012
Covington County,Mississippi,28,31,12248,19571,14.0,130,542,76.4,0.4639,94,32345,12248,16947,19571,76600,7039,9.1,2012
Coweta County,Georgia,13,77,98947,127212,9.4,875,918,75.2,0.3962,63,60675,98947,26146,127212,175000,22602,8.1,2012
Cowley County,Kansas,20,35,31749,36259,13.4,367,609,78.1,0.4209,1002,41905,31749,21245,36259,79900,1054,11.2,2012
Cowlitz County,Washington,53,15,92396,102138,14.4,1086,725,78.1,0.4321,1750,46568,92396,23572,102138,189900,516,8.1,2012
Craig County,Oklahoma,40,35,10007,14922,14.7,89,572,80.0,0.4118,1869,40496,10007,20151,14922,87300,468,8.3,2012
Craig County,Virginia,51,45,5080,5186,13.5,0,545,76.6,0.3375,0,47691,5080,21826,5186,153900,10,2.6,2012
Craighead County,Arkansas,5,31,80792,96709,10.3,1087,638,76.6,0.4835,318,41054,80792,22806,96709,116500,12750,13.1,2012
Crane County,Texas,48,103,3285,4359,11.9,23,595,72.9,0.4297,59,49974,3285,21930,4359,62800,123,6.9,2012
Craven County,North Carolina,37,49,72226,102904,13.5,1336,822,79.0,0.4335,395,47383,72226,24575,102904,153500,22465,14.6,2012
Crawford County,Arkansas,5,33,56227,61670,12.2,532,590,75.7,0.4099,811,39981,56227,18737,61670,101100,859,8.7,2012
Crawford County,Georgia,13,79,9308,12701,12.5,52,679,78.1,0.4262,104,39403,9308,19675,12701,89700,2985,8.9,2012
Crawford County,Illinois,17,33,18405,19777,14.0,96,539,82.3,0.4326,121,44617,18405,24535,19777,74700,574,10.3,2012
Crawford County,Indiana,18,25,10469,10702,13.9,18,569,79.1,0.4101,108,40027,10469,19305,10702,86500,52,8.2,2012
Crawford County,Iowa,19,47,15708,17100,13.9,96,483,76.3,0.4127,24,46601,15708,21892,17100,79500,108,9.1,2012
Crawford County,Kansas,20,37,36047,39133,11.1,634,657,79.1,0.4595,374,36927,36047,20508,39133,83400,847,18.4,2012
Crawford County,Michigan,26,39,13742,14119,19.8,134,650,83.2,0.4147,19,39982,13742,21515,14119,105000,147,6.9,2012
Crawford County,Missouri,29,55,24225,24753,14.8,147,588,77.5,0.4127,135,35794,24225,17863,24753,106400,44,7.8,2012
Crawford County,Ohio,39,33,42313,43623,15.5,479,635,78.6,0.3982,24,41877,42313,21107,43623,91400,337,7.9,2012
Crawford County,Pennsylvania,42,39,84946,88492,15.4,755,585,79.6,0.4251,121,41664,84946,21452,88492,102700,1551,9.8,2012
Crawford County,Wisconsin,55,23,16117,16677,16.5,136,569,80.7,0.4172,48,41743,16117,22331,16677,117900,336,7.8,2012
Creek County,Oklahoma,40,37,55793,69934,13.6,464,655,77.3,0.4381,5104,43363,55793,22792,69934,105700,1556,8.2,2012
Crenshaw County,Alabama,1,41,10142,13971,13.5,78,488,78.0,0.4715,74,37309,10142,21480,13971,70000,3099,8.5,2012
Crisp County,Georgia,13,81,12798,23460,11.8,400,576,73.5,0.4651,48,32320,12798,17497,23460,98500,10224,8.8,2012
Crittenden County,Arkansas,5,35,23299,50618,9.2,795,679,71.9,0.4596,35,36521,23299,19548,50618,100200,25831,9.3,2012
Crittenden County,Kentucky,21,55,9104,9321,16.5,6,440,79.2,0.5032,16,32839,9104,21681,9321,74900,61,7.3,2012
Crockett County,Tennessee,47,33,11797,14567,13.9,158,631,76.7,0.454,9,37601,11797,20157,14567,86400,1995,8.8,2012
Crockett County,Texas,48,105,3346,3669,13.5,26,567,74.5,0.4278,0,49850,3346,22365,3669,51800,0,2.8,2012
Crook County,Oregon,41,13,19849,21102,20.0,216,776,80.3,0.4001,310,40263,19849,20695,21102,204100,46,6.8,2012
Crook County,Wyoming,56,11,6967,7036,16.2,28,679,79.4,0.3633,28,51319,6967,26312,7036,161200,4,7.4,2012
Crosby County,Texas,48,107,5423,6100,15.5,51,551,72.8,0.4549,6,36768,5423,17882,6100,52500,209,6.8,2012
Cross County,Arkansas,5,37,13350,17891,13.8,86,643,77.1,0.4241,47,39665,13350,19282,17891,75900,4123,8.0,2012
Crow Wing County,Minnesota,27,35,60496,62521,17.3,578,699,78.9,0.4458,580,46822,60496,26285,62521,184000,456,7.6,2012
Crowley County,Colorado,8,25,4777,5747,7.7,19,557,90.4,0.4784,94,38507,4777,17925,5747,80400,441,11.9,2012
Culberson County,Texas,48,109,2240,2386,9.0,43,481,75.4,0.4545,24,33500,2240,15568,2386,43800,13,5.9,2012
Cullman County,Alabama,1,43,77178,80403,14.0,523,599,78.3,0.4471,333,39244,77178,20653,80403,104700,869,8.9,2012
Culpeper County,Virginia,51,47,36090,46894,11.0,411,997,77.9,0.3805,69,65567,36090,27255,46894,265600,7027,8.7,2012
Cumberland County,Illinois,17,35,10846,11044,14.5,29,515,78.7,0.4051,9,44430,10846,22292,11044,82400,56,8.5,2012
Cumberland County,Kentucky,21,57,6543,6857,17.6,84,377,79.8,0.4325,0,29885,6543,16117,6857,63300,249,8.0,2012
Cumberland County,Maine,23,5,262284,282143,12.4,3913,918,80.6,0.4585,580,57159,262284,32549,282143,243900,7397,9.4,2012
Cumberland County,New Jersey,34,11,100432,156864,10.4,1421,958,79.2,0.4315,1530,51530,100432,22469,156864,174400,31654,9.8,2012
Cumberland County,North Carolina,37,51,165619,319329,8.1,4503,844,74.7,0.4343,3282,45413,165619,23133,319329,126300,114520,14.1,2012
Cumberland County,Pennsylvania,42,41,214006,235314,13.5,2352,823,81.3,0.4194,372,60883,214006,31350,235314,183500,7324,10.9,2012
Cumberland County,Tennessee,47,35,54501,56144,26.0,418,593,83.2,0.4257,148,37963,54501,20584,56144,141100,138,7.0,2012
Cumberland County,Virginia,51,49,6348,9951,15.4,41,854,78.5,0.4329,11,43137,6348,22337,9951,143700,3399,11.3,2012
Cuming County,Nebraska,31,39,8749,9140,18.2,97,561,77.7,0.4231,6,47325,8749,23848,9140,85900,43,7.0,2012
Currituck County,North Carolina,37,53,21443,23677,11.8,196,912,78.4,0.3819,48,57446,21443,25526,23677,229600,1485,7.8,2012
Curry County,New Mexico,35,9,33410,48101,10.0,561,616,74.7,0.4394,800,41250,33410,21179,48101,112200,3081,12.8,2012
Curry County,Oregon,41,15,20658,22344,27.4,247,752,86.1,0.4193,299,38401,20658,23516,22344,259400,27,6.6,2012
Custer County,Colorado,8,27,4107,4208,19.7,2,652,86.1,0.4842,10,42534,4107,28019,4208,224000,38,5.1,2012
Custer County,Idaho,16,37,4262,4338,15.6,19,446,82.7,0.4228,0,41698,4262,23509,4338,154500,0,4.9,2012
Custer County,Montana,30,17,11217,11706,15.8,57,492,80.7,0.4359,164,43232,11217,23712,11706,104200,28,9.6,2012
Custer County,Nebraska,31,41,10650,10904,18.7,101,517,79.4,0.3795,9,44306,10650,22798,10904,75900,15,7.2,2012
Custer County,Oklahoma,40,39,23011,27583,11.7,254,556,79.5,0.4725,1390,43917,23011,23212,27583,103600,890,18.6,2012
Custer County,South Dakota,46,33,7713,8219,21.5,39,571,82.6,0.3984,337,46984,7713,25396,8219,167700,26,5.0,2012
Cuyahoga County,Ohio,39,35,824432,1278024,13.2,15045,726,78.9,0.4941,2604,43861,824432,27136,1278024,130900,378771,9.2,2012
Dade County,Georgia,13,83,15950,16598,13.3,53,680,80.6,0.4304,44,41677,15950,21602,16598,118700,211,12.5,2012
Dade County,Missouri,29,57,7496,7811,18.3,61,520,80.6,0.4562,39,34000,7496,19244,7811,74400,54,6.4,2012
Daggett County,Utah,49,9,840,897,23.2,0,900,85.4,0.4217,4,44792,840,22270,897,167100,0,7.2,2012
Dakota County,Minnesota,27,37,341770,399443,8.9,3142,925,75.9,0.3992,1694,73288,341770,34702,399443,229400,19285,8.2,2012
Dakota County,Nebraska,31,43,14769,20869,10.3,479,696,74.3,0.3995,499,44928,14769,20073,20869,98300,744,9.9,2012
Dale County,Alabama,1,45,37588,50129,11.8,598,618,77.2,0.4271,159,45247,37588,22707,50129,96100,9834,10.5,2012
Dallam County,Texas,48,111,5492,6734,7.0,91,765,71.2,0.4003,100,42781,5492,20120,6734,75200,75,12.9,2012
Dallas County,Alabama,1,47,12738,43572,12.4,461,533,73.4,0.518,68,26178,12738,16907,43572,73700,30057,9.5,2012
Dallas County,Arkansas,5,39,4504,8122,15.1,162,436,74.5,0.4748,6,30309,4504,17056,8122,54500,3495,6.9,2012
Dallas County,Iowa,19,49,61805,66997,8.8,476,808,72.6,0.4209,33,71878,61805,35116,66997,182700,856,6.5,2012
Dallas County,Missouri,29,59,16206,16825,15.7,64,567,77.9,0.3993,0,40286,16206,18557,16825,99500,23,7.6,2012
Dallas County,Texas,48,113,1366988,2379214,7.5,33651,869,74.5,0.4922,10067,49159,1366988,26576,2379214,129100,522637,10.3,2012
Dane County,Wisconsin,55,25,421323,490379,9.0,6572,877,80.1,0.4433,1156,61790,421323,33473,490379,231300,24798,13.5,2012
Daniels County,Montana,30,19,1629,1734,24.9,20,392,86.4,0.4236,96,43563,1629,28440,1734,93900,0,4.2,2012
Danville City,Virginia,51,590,20663,43185,15.4,478,598,79.3,0.4819,18,30505,20663,19297,43185,89500,20875,10.6,2012
Dare County,North Carolina,37,55,31611,34019,14.6,414,993,82.0,0.4103,187,55780,31611,30719,34019,307900,1416,7.8,2012
Darke County,Ohio,39,37,51686,52776,15.0,511,595,77.4,0.4211,84,44311,51686,22714,52776,111100,258,7.9,2012
Darlington County,South Carolina,45,31,38685,68500,12.7,536,593,77.9,0.4596,128,37490,38685,20041,68500,84600,28262,9.4,2012
Dauphin County,Pennsylvania,42,43,197274,267891,12.0,3012,828,78.4,0.4303,408,54066,197274,28799,267891,159100,47186,8.7,2012
Davidson County,North Carolina,37,57,139671,162628,13.0,1238,630,78.4,0.4277,738,44318,139671,22503,162628,132200,14912,7.7,2012
Davidson County,Tennessee,47,37,396049,629113,8.7,9656,819,79.2,0.4909,1393,46676,396049,28513,629113,167200,174582,11.4,2012
Davie County,North Carolina,37,59,36119,41183,14.4,134,683,77.8,0.4341,146,51844,36119,26864,41183,162000,2811,6.8,2012
Daviess County,Indiana,18,27,30491,31604,12.0,224,587,73.4,0.3998,76,45927,30491,20754,31604,102700,187,9.4,2012
Daviess County,Kentucky,21,59,88633,96711,12.6,835,606,76.9,0.4321,98,45507,88633,22785,96711,108300,4689,9.1,2012
Daviess County,Missouri,29,61,8143,8341,16.6,26,555,76.6,0.4203,29,42617,8143,20364,8341,107900,33,7.2,2012
Davis County,Iowa,19,51,8598,8718,15.2,35,558,73.7,0.4281,20,46807,8598,22227,8718,103500,9,7.8,2012
Davis County,Utah,49,11,279043,306664,7.4,2021,869,68.1,0.3844,1587,69355,279043,25896,306664,226100,3759,9.8,2012
Davison County,South Dakota,46,35,18554,19513,13.3,288,572,78.5,0.396,411,47493,18554,25021,19513,118900,77,12.7,2012
Dawes County,Nebraska,31,45,8335,9176,15.2,28,506,83.9,0.4397,409,36974,8335,20345,9176,96100,197,20.2,2012
Dawson County,Georgia,13,85,20992,22246,13.8,39,999,79.7,0.4226,123,53289,20992,26615,22246,191200,42,8.0,2012
Dawson County,Montana,30,21,8696,9022,15.8,114,462,82.2,0.4026,177,49894,8696,25441,9022,115900,17,11.7,2012
Dawson County,Nebraska,31,47,19722,24267,11.8,232,589,74.8,0.3728,133,45208,19722,20213,24267,84500,789,8.3,2012
Dawson County,Texas,48,115,11450,13761,9.7,60,515,79.4,0.4512,119,40152,11450,17115,13761,50200,915,13.4,2012
Day County,South Dakota,46,37,5020,5673,21.5,13,455,79.7,0.435,549,40095,5020,20947,5673,71200,0,6.7,2012
De Baca County,New Mexico,35,11,1624,2069,16.9,10,509,77.1,0.4566,0,32554,1624,19357,2069,78000,2,7.1,2012
De Soto Parish,Louisiana,22,31,15327,26695,13.5,203,531,78.1,0.463,228,40200,15327,21610,26695,82800,10225,8.6,2012
De Witt County,Illinois,17,39,16099,16562,14.7,123,619,78.9,0.4428,4,49626,16099,27222,16562,105100,217,8.1,2012
DeKalb County,Alabama,1,49,64778,70949,12.2,430,517,76.4,0.4523,1019,36853,64778,18494,70949,89400,1236,8.7,2012
DeKalb County,Georgia,13,89,241091,694671,7.6,10033,966,77.0,0.4833,1947,51252,241091,28760,694671,178000,378457,10.4,2012
DeKalb County,Illinois,17,37,88160,104820,8.4,1013,815,79.8,0.4274,191,53575,88160,24063,104820,179300,6526,21.2,2012
DeKalb County,Indiana,18,33,41066,42218,11.2,190,600,76.1,0.3987,42,46065,41066,22193,42218,109200,61,8.1,2012
DeKalb County,Missouri,29,63,11175,12878,10.0,80,488,87.3,0.3943,54,43898,11175,16729,12878,111300,1126,8.8,2012
DeKalb County,Tennessee,47,41,17822,18770,13.5,151,536,77.9,0.4833,11,36713,17822,20396,18770,105400,301,8.4,2012
DeSoto County,Florida,12,27,27958,34628,15.9,169,705,81.9,0.4228,39,35683,27958,15629,34628,98400,4509,12.8,2012
DeSoto County,Mississippi,28,33,118518,161536,9.1,1010,936,73.5,0.3729,708,58851,118518,25073,161536,153000,32671,8.5,2012
DeWitt County,Texas,48,123,13779,20156,15.1,87,570,80.6,0.4865,32,45457,13779,23281,20156,76400,1920,7.3,2012
Deaf Smith County,Texas,48,117,16982,19275,9.9,147,656,71.8,0.406,191,42577,16982,17889,19275,81400,85,10.4,2012
Dearborn County,Indiana,18,29,48691,49904,12.0,425,673,77.2,0.3957,99,58098,48691,26024,49904,161700,338,7.7,2012
Decatur County,Georgia,13,87,14849,27815,11.6,257,571,77.0,0.5085,104,30061,14849,18054,27815,105900,11582,10.3,2012
Decatur County,Indiana,18,31,25094,25772,12.5,292,703,77.1,0.3883,2,48298,25094,22272,25772,117500,120,7.9,2012
Decatur County,Iowa,19,53,8012,8382,15.7,36,531,78.4,0.4659,62,34942,8012,18926,8382,70000,148,16.6,2012
Decatur County,Kansas,20,39,2849,2939,23.5,28,478,83.3,0.3716,14,38750,2849,22858,2939,54500,27,3.5,2012
Decatur County,Tennessee,47,39,11065,11732,18.7,77,494,81.2,0.5475,3,34146,11065,25175,11732,80400,301,7.6,2012
Deer Lodge County,Montana,30,23,8622,9277,16.7,124,480,83.9,0.4377,202,34716,8622,20462,9277,116100,59,11.4,2012
Defiance County,Ohio,39,39,36195,38975,13.6,198,616,77.9,0.4048,163,46377,36195,22923,38975,108600,647,9.6,2012
Del Norte County,California,6,15,21248,28496,12.4,316,865,83.1,0.4618,1545,39626,21248,20197,28496,227700,1085,10.5,2012
Delaware County,Indiana,18,35,104735,117459,13.1,976,658,81.4,0.4624,275,38215,104735,21119,117459,90800,5509,19.4,2012
Delaware County,Iowa,19,55,17463,17721,15.0,98,525,78.1,0.3783,11,51663,17463,24989,17721,125400,24,7.0,2012
Delaware County,New York,36,25,45527,47851,18.2,434,637,83.1,0.409,112,43004,45527,22695,47851,132400,763,11.1,2012
Delaware County,Ohio,39,41,156541,174454,8.9,864,864,73.4,0.4216,249,90499,156541,40812,174454,250700,6366,6.7,2012
Delaware County,Oklahoma,40,41,27896,41332,20.2,184,573,79.7,0.4575,9707,36423,27896,20561,41332,99600,150,7.3,2012
Delaware County,Pennsylvania,42,45,407100,558874,12.1,4523,952,78.5,0.4631,409,64242,407100,33098,558874,236600,110537,11.1,2012
Delta County,Colorado,8,29,28977,30710,19.8,159,779,81.4,0.4583,194,42786,28977,23890,30710,198600,306,7.1,2012
Delta County,Michigan,26,41,35049,37075,17.2,284,547,80.8,0.4142,773,42504,35049,22064,37075,99600,97,7.9,2012
Delta County,Texas,48,119,4594,5240,19.1,15,692,78.9,0.4138,82,41406,4594,20303,5240,63200,428,9.5,2012
Denali Borough,Alaska,2,68,1677,1917,8.0,15,782,86.8,0.3579,75,74044,1677,38621,1917,201900,20,9.5,2012
Dent County,Missouri,29,65,15034,15595,16.8,152,540,78.8,0.4242,160,36288,15034,18945,15595,82800,52,8.4,2012
Denton County,Texas,48,121,517920,667934,6.3,6525,921,74.5,0.4201,2606,72939,517920,33585,667934,182200,55003,10.2,2012
Denver County,Colorado,8,31,444522,604356,8.7,11219,863,80.1,0.506,7162,49091,444522,32597,604356,246300,61274,9.9,2012
Des Moines County,Iowa,19,57,36857,40268,15.4,310,614,78.7,0.4472,97,43427,36857,24225,40268,94500,2061,7.8,2012
Deschutes County,Oregon,41,17,148163,158884,14.4,1980,905,78.9,0.446,1222,51468,148163,27854,158884,271600,485,7.6,2012
Desha County,Arkansas,5,41,6203,12922,14.1,149,531,76.3,0.5046,37,29504,6203,19107,12922,59300,6201,6.5,2012
Deuel County,Nebraska,31,49,1936,1962,21.7,20,514,80.9,0.454,2,40093,1936,24821,1962,67300,7,7.0,2012
Deuel County,South Dakota,46,39,4315,4376,17.9,12,424,78.1,0.4284,15,47302,4315,26737,4376,92300,28,6.3,2012
Dewey County,Oklahoma,40,43,4254,4775,17.0,22,574,76.7,0.4662,157,43583,4254,23937,4775,74500,13,6.7,2012
Dewey County,South Dakota,46,41,1156,5358,8.6,24,426,68.1,0.4526,3978,34797,1156,15811,5358,55200,24,11.2,2012
Dickens County,Texas,48,125,2082,2399,15.8,11,470,84.0,0.4723,5,33950,2082,19250,2399,39200,131,7.2,2012
Dickenson County,Virginia,51,51,15685,15877,15.4,75,477,81.6,0.4257,0,32622,15685,18090,15877,74500,68,8.2,2012
Dickey County,North Dakota,38,21,5098,5280,18.1,42,475,77.9,0.4651,30,41934,5098,25425,5280,69100,60,10.1,2012
Dickinson County,Iowa,19,59,16453,16778,20.5,66,586,82.8,0.4376,21,53426,16453,31529,16778,154700,58,6.5,2012
Dickinson County,Kansas,20,41,18921,19766,15.8,272,590,77.4,0.3959,117,49535,18921,23995,19766,106400,68,8.2,2012
Dickinson County,Michigan,26,43,25471,26286,17.0,237,554,80.8,0.4439,49,44272,25471,24682,26286,87000,75,7.2,2012
Dickson County,Tennessee,47,43,45972,49704,11.7,269,733,77.3,0.4166,47,45109,45972,21303,49704,138000,2099,8.6,2012
Dillingham Census Area,Alaska,2,70,888,4887,7.4,33,999,70.5,0.426,3381,56857,888,22066,4887,173300,19,12.0,2012
