County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,high_school_only_percentage,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Abbeville County,South Carolina,75.9393059825353,45,1,21.3,616.0,34.6,14.7,35.0,17269.0,24788.0,28.4,22.7,35254.0,24.0,7.2,87.9,9.4,0.4495,34.3,92600.0,21.2,6844.0,24788.0,17269.0,19234.0,2017
Acadia Parish,Louisiana,73.9999754497315,22,1,18.5,593.0,38.1,12.2,405.0,49346.0,62607.0,19.4,21.5,40492.0,36.0,10.3,86.5,8.9,0.4683,40.8,97500.0,26.7,11053.0,62607.0,49346.0,21591.0,2017
Accomack County,Virginia,75.4625664894611,51,1,12.0,771.0,31.4,19.6,259.0,22468.0,32840.0,29.6,19.8,42260.0,109.0,7.1,83.3,5.4,0.4551,39.0,157200.0,20.9,9326.0,32840.0,22468.0,24266.0,2017
Ada County,Idaho,80.5623842009789,16,1,10.2,910.0,41.4,37.6,3518.0,395726.0,435117.0,18.6,11.8,60151.0,2369.0,1.6,90.9,4.3,0.4641,22.4,219900.0,24.8,5615.0,435117.0,395726.0,31642.0,2017
Adair County,Iowa,78.0811397489124,19,1,15.7,549.0,31.4,15.7,75.0,7045.0,7192.0,30.0,9.5,49477.0,0.0,1.9,93.6,3.0,0.4354,45.0,93200.0,21.5,24.0,7192.0,7045.0,28861.0,2017
Adair County,Kentucky,76.3245577659512,21,1,18.5,503.0,39.2,15.8,116.0,18257.0,19304.0,23.6,21.5,36575.0,27.0,12.2,91.3,6.2,0.4436,37.5,85900.0,20.1,700.0,19304.0,18257.0,18408.0,2017
Adair County,Missouri,77.4368641875169,29,1,12.0,610.0,50.9,31.0,252.0,23443.0,25437.0,19.3,26.2,38750.0,56.0,3.3,92.0,5.5,0.5143,35.6,117700.0,18.0,617.0,25437.0,23443.0,21778.0,2017
Adair County,Oklahoma,73.0339399700148,40,1,19.8,549.0,37.6,13.6,182.0,9490.0,22136.0,21.0,30.8,33366.0,9617.0,5.8,73.1,5.5,0.4603,43.2,81200.0,26.4,67.0,22136.0,9490.0,16576.0,2017
Adams County,Colorado,80.2868507759135,8,1,10.7,1172.0,43.9,23.1,6174.0,404397.0,487850.0,14.3,12.2,64087.0,5843.0,7.6,86.6,5.1,0.4058,28.3,241900.0,27.6,15681.0,487850.0,404397.0,27487.0,2017
Adams County,Idaho,80.3383008383321,16,3,19.6,604.0,25.2,20.3,45.0,3779.0,3946.0,38.3,13.8,42727.0,49.0,2.9,84.2,8.7,0.4248,37.2,166500.0,17.6,13.0,3946.0,3779.0,24315.0,2017
Adams County,Illinois,78.0555591364872,17,1,13.8,612.0,35.3,23.4,721.0,62209.0,66787.0,25.4,13.1,48454.0,222.0,2.3,94.4,5.5,0.447,34.9,120200.0,22.6,2689.0,66787.0,62209.0,27256.0,2017
Adams County,Indiana,78.4062056414824,18,1,12.8,588.0,35.6,14.9,192.0,33935.0,35018.0,20.4,18.9,48290.0,16.0,8.5,79.0,5.2,0.43,40.7,118900.0,31.2,328.0,35018.0,33935.0,21534.0,2017
Adams County,Iowa,78.262211852725,19,3,15.3,476.0,30.7,17.3,15.0,3686.0,3785.0,30.2,11.2,49745.0,7.0,2.0,94.2,4.2,0.4157,39.3,84900.0,20.8,16.0,3785.0,3686.0,27022.0,2017
Adams County,Mississippi,73.0608562882492,28,1,15.4,583.0,35.6,17.4,233.0,13449.0,31583.0,23.7,34.2,30359.0,78.0,9.4,83.7,10.9,0.53,34.8,90800.0,23.1,16798.0,31583.0,13449.0,17721.0,2017
Adams County,Nebraska,79.0721996526937,31,1,13.2,655.0,37.4,23.5,258.0,29445.0,31564.0,23.7,12.4,51721.0,105.0,4.3,92.3,4.2,0.4557,29.7,115300.0,23.8,227.0,31564.0,29445.0,28085.0,2017
Adams County,North Dakota,79.2359076234819,38,1,10.2,491.0,33.4,27.4,4.0,2214.0,2368.0,31.4,9.2,54700.0,26.0,1.5,94.1,1.6,0.4527,33.7,144900.0,20.1,39.0,2368.0,2214.0,35933.0,2017
Adams County,Ohio,73.2819116608333,39,1,21.1,571.0,35.0,12.1,205.0,27231.0,27926.0,22.8,23.8,36320.0,158.0,7.5,89.9,7.5,0.476,45.5,98000.0,24.4,124.0,27926.0,27231.0,20248.0,2017
Adams County,Pennsylvania,79.3166168617587,42,1,13.3,871.0,35.2,22.1,892.0,93849.0,101589.0,25.9,8.8,62661.0,52.0,3.8,93.4,4.9,0.3998,41.5,197400.0,20.6,1469.0,101589.0,93849.0,29685.0,2017
Adams County,Washington,79.01824127658,53,1,10.6,691.0,39.1,13.6,201.0,13496.0,19261.0,15.1,23.1,48131.0,556.0,23.3,80.5,5.9,0.4141,26.0,150300.0,35.1,113.0,19261.0,13496.0,18415.0,2017
Adams County,Wisconsin,77.5203182294726,55,1,21.8,720.0,27.8,12.5,68.0,18697.0,20111.0,36.9,13.0,44003.0,139.0,2.9,93.6,8.1,0.4225,42.8,127800.0,14.9,549.0,20111.0,18697.0,24874.0,2017
Addison County,Vermont,80.5369719949627,50,1,14.5,955.0,37.9,36.7,381.0,34807.0,36825.0,25.7,7.8,61875.0,100.0,2.5,94.8,4.4,0.4168,31.3,237000.0,17.9,395.0,36825.0,34807.0,31051.0,2017
Aiken County,South Carolina,76.3850771063812,45,3,14.1,767.0,36.5,25.8,1156.0,116948.0,165707.0,24.9,16.7,47713.0,411.0,4.8,88.4,9.0,0.4537,31.7,135900.0,22.1,40951.0,165707.0,116948.0,26222.0,2017
Aitkin County,Minnesota,79.2616833097267,27,1,17.5,638.0,24.3,16.7,91.0,15062.0,15841.0,40.8,12.1,45860.0,349.0,2.4,95.4,6.2,0.4228,38.7,169300.0,16.6,79.0,15841.0,15062.0,26883.0,2017
Alachua County,Florida,78.280773345389,12,1,10.7,916.0,50.6,41.4,3140.0,180699.0,259865.0,18.4,23.3,45478.0,855.0,2.8,89.3,6.6,0.5166,22.1,167000.0,18.0,52376.0,259865.0,180699.0,26431.0,2017
Alamance County,North Carolina,76.937809682991,37,1,14.6,774.0,38.0,22.9,1851.0,111229.0,157844.0,22.4,17.6,44281.0,551.0,5.9,87.1,6.0,0.4594,28.0,145500.0,22.8,29972.0,157844.0,111229.0,25157.0,2017
Alameda County,California,82.2321212212249,6,1,9.6,1547.0,43.4,44.7,25286.0,694720.0,1629615.0,18.4,11.3,85743.0,10152.0,6.7,93.1,6.0,0.4649,17.9,649100.0,21.2,180446.0,1629615.0,694720.0,41363.0,2017
Alamosa County,Colorado,75.8311324798402,8,3,19.3,675.0,45.5,26.2,148.0,14071.0,16345.0,18.1,27.8,36315.0,420.0,9.3,86.7,9.9,0.4846,25.2,152900.0,24.3,408.0,16345.0,14071.0,19217.0,2017
Albany County,New York,79.938072274582,36,1,11.3,969.0,42.6,40.5,4914.0,234602.0,308580.0,21.9,12.4,62293.0,516.0,2.5,95.3,5.3,0.4623,24.7,214400.0,18.8,37937.0,308580.0,234602.0,35278.0,2017
Albany County,Wyoming,80.5534100061728,56,1,9.8,748.0,57.0,49.8,601.0,34064.0,37944.0,15.5,23.0,45816.0,273.0,1.6,91.9,4.8,0.472,16.1,223000.0,16.4,556.0,37944.0,34064.0,26034.0,2017
Albemarle County,Virginia,81.4325589160464,51,3,8.9,1189.0,40.1,52.3,1040.0,85656.0,105105.0,23.1,9.8,72265.0,216.0,3.7,92.4,3.2,0.4716,17.7,329600.0,20.7,10052.0,105105.0,85656.0,39273.0,2017
Alcona County,Michigan,77.0052823950556,26,1,23.2,601.0,21.4,15.2,30.0,10119.0,10413.0,45.2,14.9,39424.0,66.0,3.3,91.7,9.3,0.4288,39.1,96000.0,13.0,33.0,10413.0,10119.0,24463.0,2017
Alcorn County,Mississippi,73.3505353393099,28,3,20.6,607.0,37.2,15.9,355.0,31710.0,37242.0,22.9,19.6,38919.0,33.0,7.5,84.5,8.6,0.4479,33.5,86100.0,23.7,4374.0,37242.0,31710.0,20527.0,2017
Aleutians East Borough,Alaska,84.1950647120622,2,13,7.7,989.0,41.7,11.5,15.0,574.0,3338.0,15.3,16.7,66607.0,1273.0,6.7,51.8,2.4,0.4025,41.6,124700.0,13.4,175.0,3338.0,574.0,31254.0,2017
Aleutians West Census Area,Alaska,84.1950647120622,2,16,7.4,1277.0,46.9,16.2,17.0,1723.0,5784.0,12.2,7.5,85192.0,680.0,5.2,78.8,1.9,0.3688,39.1,238800.0,17.0,295.0,5784.0,1723.0,35998.0,2017
Alexander County,Illinois,73.7122376024094,17,3,20.1,465.0,31.6,10.7,27.0,4215.0,6776.0,27.2,33.4,31014.0,43.0,6.5,91.2,8.2,0.475,34.7,53200.0,24.3,2343.0,6776.0,4215.0,18564.0,2017
Alexander County,North Carolina,76.9697723996716,37,3,18.1,620.0,36.8,13.9,157.0,32705.0,37159.0,24.7,14.7,44523.0,82.0,5.9,89.0,6.7,0.4398,39.9,131800.0,20.7,2187.0,37159.0,32705.0,22655.0,2017
Alexandria City,Virginia,83.2079253264305,51,510,7.1,1663.0,49.4,61.8,3802.0,96411.0,154710.0,15.4,10.5,93370.0,322.0,5.0,86.3,3.9,0.4438,11.9,537900.0,18.1,34123.0,154710.0,96411.0,57019.0,2017
Alfalfa County,Oklahoma,77.4455349796946,40,3,16.3,677.0,35.1,20.9,32.0,4557.0,5877.0,25.6,11.2,57432.0,110.0,3.9,88.4,4.5,0.4892,38.7,74500.0,19.9,142.0,5877.0,4557.0,28007.0,2017
Alger County,Michigan,78.6862012912841,26,3,18.3,611.0,32.0,17.8,38.0,7882.0,9254.0,33.8,13.0,42647.0,303.0,3.6,90.8,6.9,0.4238,43.7,119000.0,15.4,665.0,9254.0,7882.0,21771.0,2017
Allamakee County,Iowa,79.1578888531795,19,5,12.2,562.0,30.9,17.5,77.0,13493.0,13940.0,28.7,11.4,47895.0,19.0,7.1,91.4,3.3,0.4464,39.6,122800.0,22.8,132.0,13940.0,13493.0,27377.0,2017
Allegan County,Michigan,78.7975466026192,26,5,10.4,775.0,35.9,22.3,401.0,107713.0,114145.0,21.7,10.8,58487.0,559.0,3.5,93.9,3.6,0.4061,38.0,150600.0,24.8,1593.0,114145.0,107713.0,27172.0,2017
Allegany County,Maryland,76.4574082090383,24,1,18.4,672.0,39.7,18.2,598.0,64164.0,72591.0,25.2,16.8,42771.0,120.0,2.6,94.1,9.0,0.4445,41.7,119900.0,17.6,5899.0,72591.0,64164.0,22355.0,2017
Allegany County,New York,78.3365805106504,36,3,15.6,633.0,39.4,19.8,421.0,45256.0,47400.0,23.9,16.5,45359.0,130.0,3.6,91.9,7.3,0.4169,37.8,73300.0,20.4,687.0,47400.0,45256.0,22377.0,2017
Alleghany County,North Carolina,77.3415022695224,37,5,22.0,635.0,30.2,18.7,111.0,10042.0,10935.0,33.1,21.0,38944.0,208.0,5.7,85.8,5.7,0.4182,30.8,136000.0,17.8,266.0,10935.0,10042.0,21153.0,2017
Alleghany County,Virginia,75.4245594617841,51,5,19.2,653.0,31.8,15.8,46.0,14328.0,15489.0,30.9,19.3,46020.0,1.0,4.6,92.6,4.4,0.4367,39.4,113600.0,19.5,846.0,15489.0,14328.0,25952.0,2017
Allegheny County,Pennsylvania,77.9334725495949,42,3,13.3,835.0,39.0,40.0,13800.0,987932.0,1229605.0,24.7,12.5,56333.0,1417.0,1.8,94.8,5.9,0.4856,28.4,140600.0,19.0,158779.0,1229605.0,987932.0,35280.0,2017
Allen County,Indiana,77.1184562486351,18,3,12.4,719.0,39.6,27.5,3677.0,292318.0,367747.0,19.3,14.7,51091.0,728.0,4.0,89.2,6.3,0.449,29.2,119400.0,26.1,42092.0,367747.0,292318.0,26932.0,2017
Allen County,Kansas,75.7961296328286,20,1,18.8,573.0,34.9,19.2,99.0,11938.0,12752.0,26.5,14.2,43031.0,14.0,2.7,93.4,3.6,0.4249,33.3,78600.0,23.3,185.0,12752.0,11938.0,23011.0,2017
Allen County,Kentucky,74.843909575268,21,3,20.1,650.0,36.3,14.4,60.0,19832.0,20628.0,23.2,20.0,40598.0,8.0,9.9,88.5,7.5,0.4495,39.0,102500.0,23.8,392.0,20628.0,19832.0,21652.0,2017
Allen County,Ohio,76.8813585091244,39,3,15.3,663.0,38.1,17.7,1018.0,86507.0,104157.0,23.1,15.0,47905.0,221.0,2.1,92.1,7.2,0.4468,38.0,110900.0,23.3,12260.0,104157.0,86507.0,24551.0,2017
Allen Parish,Louisiana,75.2938619597064,22,3,20.6,570.0,40.7,13.1,227.0,18865.0,25667.0,19.2,16.6,42176.0,511.0,6.8,89.0,9.4,0.4756,42.6,84800.0,22.0,5004.0,25667.0,18865.0,20103.0,2017
Allendale County,South Carolina,72.1783344964034,45,5,27.0,617.0,38.1,9.4,43.0,2359.0,9402.0,25.2,30.4,23331.0,45.0,11.1,85.5,17.3,0.4877,40.1,52100.0,19.2,6937.0,9402.0,2359.0,13439.0,2017
Alpena County,Michigan,77.4560466979785,26,7,18.8,568.0,31.9,17.3,224.0,27816.0,28730.0,29.7,15.0,40954.0,129.0,2.6,92.4,6.4,0.4296,33.9,94000.0,19.1,170.0,28730.0,27816.0,24030.0,2017
Alpine County,California,78.482947059558,6,3,24.3,1083.0,36.7,25.6,0.0,826.0,1203.0,35.7,19.8,63438.0,263.0,1.8,87.9,14.6,0.4981,34.2,343800.0,21.4,18.0,1203.0,826.0,27448.0,2017
Amador County,California,79.561891234368,6,5,17.5,1056.0,30.0,22.1,225.0,32453.0,37306.0,34.8,10.6,60636.0,295.0,3.0,94.4,9.3,0.4392,27.1,278600.0,15.4,796.0,37306.0,32453.0,29628.0,2017
Amelia County,Virginia,76.0593718315848,51,7,13.0,729.0,31.8,14.5,107.0,9407.0,12802.0,25.8,13.0,58535.0,44.0,8.0,87.2,3.3,0.3808,35.7,185100.0,21.1,3037.0,12802.0,9407.0,26118.0,2017
Amherst County,Virginia,77.3180234066433,51,9,14.3,731.0,34.8,19.9,305.0,24499.0,31819.0,26.9,13.4,49677.0,76.0,5.5,89.9,5.6,0.4182,34.4,151500.0,20.0,5589.0,31819.0,24499.0,24296.0,2017
Amite County,Mississippi,75.3910725487681,28,5,19.8,643.0,31.2,13.2,43.0,7237.0,12574.0,29.9,22.8,30129.0,3.0,7.1,84.9,10.8,0.4924,38.9,77500.0,21.0,5277.0,12574.0,7237.0,19665.0,2017
Anchorage Municipality,Alaska,78.8427395859197,2,20,10.9,1261.0,44.8,34.6,4380.0,189826.0,298225.0,14.6,8.1,82271.0,21682.0,2.7,86.8,5.8,0.4192,23.8,304500.0,24.8,16335.0,298225.0,189826.0,38977.0,2017
Anderson County,Kansas,77.3096567417183,20,3,14.2,652.0,32.6,18.6,81.0,7498.0,7840.0,26.7,13.6,40986.0,277.0,3.5,89.8,4.2,0.4133,38.6,88200.0,25.0,15.0,7840.0,7498.0,21887.0,2017
Anderson County,Kentucky,75.7682796961294,21,5,16.9,710.0,36.8,20.0,256.0,20998.0,22017.0,21.3,12.0,51681.0,0.0,4.4,94.6,6.3,0.3976,37.4,138600.0,24.2,518.0,22017.0,20998.0,24991.0,2017
Anderson County,South Carolina,75.451262500467,45,7,16.2,716.0,36.5,20.8,1747.0,155118.0,194174.0,23.6,15.6,45551.0,412.0,5.1,88.6,6.7,0.447,31.5,133900.0,23.2,31400.0,194174.0,155118.0,24485.0,2017
Anderson County,Tennessee,75.1769264200811,47,1,19.2,719.0,34.9,23.8,662.0,69150.0,75538.0,25.9,16.3,47206.0,99.0,5.7,91.3,6.9,0.4659,33.5,134100.0,21.1,2592.0,75538.0,69150.0,26972.0,2017
Anderson County,Texas,73.2443341389649,48,1,12.4,748.0,43.7,12.4,420.0,42316.0,57747.0,19.8,15.7,42313.0,272.0,6.4,86.3,4.3,0.4373,35.7,91800.0,19.5,12083.0,57747.0,42316.0,17466.0,2017
Andrew County,Missouri,78.8479037322724,29,3,14.0,765.0,34.8,25.1,87.0,16650.0,17358.0,24.7,9.0,56658.0,26.0,3.0,93.0,4.2,0.4182,37.7,136400.0,23.1,308.0,17358.0,16650.0,28003.0,2017
Andrews County,Texas,75.9041651313103,48,3,9.5,997.0,41.6,9.8,95.0,16134.0,17577.0,14.7,11.9,70753.0,16.0,13.1,84.6,4.5,0.454,37.3,126000.0,31.2,367.0,17577.0,16134.0,29903.0,2017
Androscoggin County,Maine,77.220361186627,23,1,16.3,724.0,36.9,22.1,1715.0,98722.0,107317.0,22.6,14.3,49538.0,190.0,3.9,91.3,5.2,0.4245,37.0,152000.0,21.9,1904.0,107317.0,98722.0,26276.0,2017
Angelina County,Texas,75.6749353773363,48,5,18.8,774.0,38.3,16.7,691.0,68468.0,87700.0,20.8,19.1,46472.0,396.0,8.1,80.5,7.6,0.4527,31.3,97300.0,26.1,13013.0,87700.0,68468.0,21974.0,2017
Anne Arundel County,Maryland,79.1395334082719,24,3,10.6,1579.0,39.9,40.1,4748.0,417111.0,564600.0,19.7,6.1,94502.0,1025.0,2.4,94.6,5.2,0.4127,24.2,346000.0,22.5,91567.0,564600.0,417111.0,43258.0,2017
Anoka County,Minnesota,81.1392780136697,27,3,10.1,1034.0,38.8,28.7,2393.0,291758.0,344861.0,18.4,6.6,76796.0,2120.0,2.2,95.2,4.2,0.391,28.4,205000.0,24.3,19145.0,344861.0,291758.0,34321.0,2017
Anson County,North Carolina,74.0578504614242,37,7,18.7,687.0,39.6,9.2,292.0,12257.0,25531.0,22.9,22.7,38123.0,89.0,5.1,85.2,13.4,0.4408,41.2,83700.0,20.0,12417.0,25531.0,12257.0,19105.0,2017
Antelope County,Nebraska,80.3612412078825,31,3,15.2,529.0,30.5,18.6,47.0,6252.0,6406.0,30.6,11.5,46949.0,20.0,3.0,91.8,1.9,0.4739,32.7,78500.0,23.0,16.0,6406.0,6252.0,28091.0,2017
Antrim County,Michigan,79.6766839744595,26,9,16.3,701.0,28.3,26.9,71.0,22215.0,23133.0,35.0,12.6,50988.0,197.0,2.6,92.1,6.1,0.4578,33.1,151500.0,18.9,77.0,23133.0,22215.0,29307.0,2017
Apache County,Arizona,72.2408515337713,4,1,14.6,487.0,38.4,11.5,245.0,16314.0,71602.0,19.7,35.9,32360.0,52488.0,10.8,77.1,14.1,0.4883,33.0,72800.0,28.4,364.0,71602.0,16314.0,13865.0,2017
Appanoose County,Iowa,76.6869177760963,19,7,17.8,569.0,31.5,18.2,117.0,12222.0,12547.0,30.0,17.1,40377.0,17.0,3.5,91.6,6.3,0.4947,36.3,78000.0,21.9,74.0,12547.0,12222.0,25543.0,2017
Appling County,Georgia,74.0084605365612,13,1,20.2,534.0,35.4,11.5,96.0,14062.0,18471.0,22.8,24.7,37089.0,103.0,9.1,82.5,7.7,0.4662,40.1,72100.0,25.1,3299.0,18471.0,14062.0,19936.0,2017
Appomattox County,Virginia,77.043308831494,51,11,17.2,683.0,34.5,20.6,69.0,11990.0,15462.0,26.4,14.4,54875.0,16.0,5.6,91.5,3.5,0.425,35.9,151700.0,21.6,3103.0,15462.0,11990.0,26347.0,2017
Aransas County,Texas,75.7176514383757,48,7,20.8,822.0,29.8,19.5,170.0,21800.0,24832.0,33.5,17.8,44601.0,99.0,5.1,81.7,6.7,0.5213,28.5,158900.0,19.0,407.0,24832.0,21800.0,29999.0,2017
Arapahoe County,Colorado,80.2868507759135,8,5,9.0,1218.0,41.9,41.6,8618.0,450692.0,626612.0,17.8,9.9,69553.0,3573.0,3.3,90.2,5.2,0.4595,20.7,292900.0,24.3,65566.0,626612.0,450692.0,36951.0,2017
Archer County,Texas,78.5768089288255,48,9,15.3,621.0,33.0,23.6,39.0,8313.0,8793.0,26.7,8.8,63192.0,37.0,3.5,88.6,3.0,0.4387,33.4,125600.0,22.2,106.0,8793.0,8313.0,31103.0,2017
Archuleta County,Colorado,81.6145512749235,8,7,13.9,904.0,29.3,37.0,182.0,10587.0,12592.0,34.0,11.6,48016.0,312.0,3.6,84.3,5.4,0.4401,23.3,274000.0,17.4,176.0,12592.0,10587.0,29344.0,2017
Arenac County,Michigan,76.1967589757264,26,11,20.5,610.0,30.4,11.6,86.0,14665.0,15238.0,32.4,18.5,39947.0,209.0,3.7,91.6,9.6,0.4228,42.9,88900.0,18.3,79.0,15238.0,14665.0,22622.0,2017
Arkansas County,Arkansas,73.5043452669212,5,1,24.6,660.0,36.1,14.1,210.0,13255.0,18352.0,25.6,20.7,38532.0,3.0,6.2,91.6,8.5,0.4877,39.0,80300.0,22.8,4852.0,18352.0,13255.0,23766.0,2017
Arlington County,Virginia,84.5013828036087,51,13,5.8,1895.0,52.7,74.1,5152.0,164102.0,229534.0,14.2,8.2,112138.0,1013.0,3.8,92.2,3.2,0.44,8.0,643300.0,17.3,20278.0,229534.0,164102.0,67061.0,2017
Armstrong County,Pennsylvania,76.7330041551337,42,5,19.1,639.0,32.8,15.2,457.0,65307.0,66737.0,28.1,13.0,47527.0,8.0,2.6,94.1,6.9,0.4191,48.6,98600.0,19.5,637.0,66737.0,65307.0,25502.0,2017
Armstrong County,Texas,76.2708355709707,48,11,13.4,732.0,30.4,23.6,13.0,1821.0,1929.0,26.7,7.5,68750.0,26.0,4.0,93.9,1.8,0.3781,24.6,128600.0,21.6,39.0,1929.0,1821.0,31219.0,2017
Aroostook County,Maine,78.0602019451522,23,3,22.2,565.0,31.9,18.5,728.0,65491.0,68840.0,29.7,17.5,39021.0,1182.0,5.4,91.0,5.3,0.4557,38.0,97000.0,18.7,651.0,68840.0,65491.0,23631.0,2017
Ascension Parish,Louisiana,78.1400214289107,22,5,12.1,972.0,41.4,27.6,686.0,87674.0,119129.0,15.7,11.7,74748.0,47.0,4.1,91.5,6.3,0.4104,33.9,179800.0,27.4,26036.0,119129.0,87674.0,31520.0,2017
Ashe County,North Carolina,77.4319198074158,37,9,15.7,641.0,31.8,19.5,157.0,25460.0,26833.0,31.9,19.4,40293.0,97.0,5.5,86.1,6.3,0.4509,31.4,150300.0,18.4,210.0,26833.0,25460.0,23650.0,2017
Ashland County,Ohio,77.7993036984008,39,5,13.8,707.0,36.7,20.2,428.0,51640.0,53299.0,24.0,14.2,50893.0,7.0,4.2,90.5,4.2,0.4108,42.5,122000.0,22.9,421.0,53299.0,51640.0,24612.0,2017
Ashland County,Wisconsin,76.6481825903794,55,3,16.3,644.0,34.9,21.7,199.0,13295.0,15779.0,25.5,14.6,41505.0,1782.0,1.7,93.5,7.2,0.4332,35.3,107400.0,22.5,69.0,15779.0,13295.0,22983.0,2017
Ashley County,Arkansas,73.9253722421542,5,3,23.6,608.0,34.8,13.4,109.0,14939.0,20771.0,24.5,21.3,36407.0,49.0,5.5,88.9,9.9,0.4658,41.5,68200.0,23.2,5309.0,20771.0,14939.0,20703.0,2017
Ashtabula County,Ohio,75.2883378702036,39,7,15.8,648.0,34.9,13.4,919.0,91628.0,98622.0,25.5,19.8,43017.0,189.0,4.4,90.0,7.4,0.4335,44.8,106300.0,22.5,3607.0,98622.0,91628.0,21936.0,2017
Asotin County,Washington,79.0113135848488,53,3,19.5,739.0,33.1,21.4,166.0,20727.0,22259.0,28.6,13.5,47483.0,360.0,1.5,92.0,6.7,0.4314,28.6,176700.0,20.8,105.0,22259.0,20727.0,26878.0,2017
Assumption Parish,Louisiana,76.2048620601144,22,7,19.5,698.0,37.7,10.3,77.0,15487.0,22881.0,22.8,15.7,48656.0,144.0,10.0,87.1,6.9,0.48,42.5,114600.0,22.6,6810.0,22881.0,15487.0,25765.0,2017
Atascosa County,Texas,77.0288780657017,48,13,11.8,797.0,39.0,14.3,237.0,44416.0,48139.0,19.9,14.6,55194.0,125.0,11.8,82.8,6.1,0.4383,37.5,96100.0,27.9,353.0,48139.0,44416.0,23973.0,2017
Atchison County,Kansas,76.8634036874542,20,5,16.0,626.0,39.5,20.7,86.0,14922.0,16466.0,21.4,18.5,46640.0,82.0,2.3,90.9,6.3,0.4919,39.5,92900.0,23.6,510.0,16466.0,14922.0,25494.0,2017
Atchison County,Missouri,77.5544227294247,29,5,18.5,518.0,31.1,23.3,35.0,5214.0,5335.0,32.3,12.1,45259.0,20.0,3.1,89.3,4.1,0.4366,39.4,82000.0,19.3,20.0,5335.0,5214.0,28209.0,2017
Athens County,Ohio,77.2807617211315,39,9,15.9,754.0,54.7,29.6,709.0,59620.0,65563.0,17.0,30.2,37191.0,197.0,2.1,93.1,8.7,0.5086,34.0,116500.0,15.0,1691.0,65563.0,59620.0,20062.0,2017
Atkinson County,Georgia,73.4390527880296,13,3,14.6,485.0,37.7,8.2,25.0,5962.0,8313.0,17.5,27.4,33063.0,59.0,16.3,75.2,8.4,0.4958,40.1,62500.0,27.9,1499.0,8313.0,5962.0,19904.0,2017
Atlantic County,New Jersey,77.4267282229785,34,1,13.5,1070.0,37.0,26.6,3363.0,182673.0,272926.0,22.9,15.3,57514.0,908.0,5.2,88.9,10.9,0.4631,33.0,219000.0,21.9,41259.0,272926.0,182673.0,29941.0,2017
Atoka County,Oklahoma,75.0545505389888,40,5,22.4,578.0,36.5,14.6,114.0,10149.0,13899.0,25.0,19.8,37106.0,1606.0,5.1,81.4,6.6,0.4743,41.2,98400.0,22.5,518.0,13899.0,10149.0,19439.0,2017
Attala County,Mississippi,72.805394184376,28,7,20.2,534.0,34.4,12.3,69.0,10142.0,18731.0,25.0,22.6,33815.0,26.0,7.5,88.5,10.3,0.5158,30.9,72700.0,25.7,8027.0,18731.0,10142.0,20617.0,2017
Audrain County,Missouri,76.3141519215107,29,7,14.3,625.0,37.7,13.7,147.0,23046.0,25763.0,23.5,16.7,44056.0,58.0,4.3,88.6,7.4,0.4306,47.2,95800.0,23.4,1572.0,25763.0,23046.0,21226.0,2017
Audubon County,Iowa,78.4300927064988,19,9,12.7,560.0,29.7,13.7,53.0,5559.0,5711.0,31.8,11.1,48750.0,1.0,3.2,93.4,2.7,0.464,41.2,68800.0,20.2,34.0,5711.0,5559.0,31523.0,2017
Auglaize County,Ohio,78.4318372438084,39,11,11.2,688.0,34.8,18.5,210.0,44405.0,45778.0,23.5,9.0,59516.0,80.0,1.6,95.7,3.4,0.3944,44.0,143100.0,24.4,163.0,45778.0,44405.0,28340.0,2017
Augusta County,Virginia,77.9541651385276,51,15,12.8,857.0,34.6,23.4,374.0,69236.0,74390.0,26.5,8.8,59544.0,175.0,4.1,90.4,4.1,0.4378,38.3,206300.0,19.8,3010.0,74390.0,69236.0,30088.0,2017
Aurora County,South Dakota,79.4956091252996,46,3,12.8,598.0,34.2,20.2,20.0,2523.0,2739.0,26.7,6.2,57257.0,85.0,9.7,95.0,1.4,0.4084,34.2,72300.0,26.1,45.0,2739.0,2523.0,30872.0,2017
Austin County,Texas,78.5805481764792,48,15,14.5,802.0,34.1,22.3,109.0,23622.0,29292.0,24.9,13.4,62614.0,11.0,8.8,86.2,5.4,0.4421,29.8,175200.0,24.2,2623.0,29292.0,23622.0,30101.0,2017
Autauga County,Alabama,76.0246312323304,1,1,18.8,932.0,39.3,25.0,531.0,42159.0,55036.0,19.1,13.7,55317.0,169.0,3.0,91.2,5.2,0.4501,33.6,143000.0,24.5,10510.0,55036.0,42159.0,27824.0,2017
Avery County,North Carolina,76.9382339831424,37,11,20.6,723.0,38.3,20.2,90.0,16321.0,17535.0,27.5,14.7,37109.0,80.0,6.5,83.7,5.5,0.496,30.0,138800.0,15.4,743.0,17535.0,16321.0,21704.0,2017
Avoyelles Parish,Louisiana,73.383250032882,22,9,19.0,638.0,37.9,11.3,583.0,27382.0,41095.0,22.1,23.7,36763.0,500.0,8.7,86.2,7.7,0.4919,39.3,90600.0,23.9,12382.0,41095.0,27382.0,20199.0,2017
