County,State,mean_life_expectancy,State_FIPS,County_FIPS,disability_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_household_income,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,high_school_only_percentage,median_home_value,age_18_and_under_percentage,black_population,total_population_race,asian_population,per_capita_income,Year
Ford County,Kansas,77.7764202200801,20,57,10.1,709.0,41.0,18.3,166.0,30893.0,34658.0,14.7,16.2,49890.0,184.0,18.7,84.2,6.3,0.4294,24.9,108400.0,30.6,787.0,34658.0,30893.0,22053.0,2017
Forest County,Pennsylvania,76.3931610247921,42,53,30.9,572.0,51.5,7.0,19.0,4617.0,7388.0,26.7,14.1,37106.0,23.0,4.1,95.8,5.4,0.3763,54.9,91000.0,9.0,2362.0,7388.0,4617.0,14989.0,2017
Forest County,Wisconsin,76.8499167192053,55,41,18.2,507.0,31.8,14.5,29.0,7313.0,9035.0,30.5,17.5,43356.0,1327.0,3.6,86.8,8.3,0.4152,37.9,131400.0,20.4,80.0,9035.0,7313.0,23936.0,2017
Forrest County,Mississippi,73.7332292045041,28,35,21.1,747.0,45.6,26.7,1015.0,45182.0,75835.0,18.3,26.3,39555.0,181.0,4.4,84.6,11.9,0.4824,27.6,114700.0,23.2,27930.0,75835.0,45182.0,20783.0,2017
Forsyth County,Georgia,81.674209211008,13,117,7.2,1249.0,38.3,50.2,790.0,175339.0,211300.0,15.7,6.5,96445.0,495.0,3.5,90.5,4.2,0.4093,16.9,301100.0,28.6,6230.0,211300.0,175339.0,39896.0,2017
Forsyth County,North Carolina,77.6646789209061,37,67,10.5,771.0,39.1,33.8,4973.0,244659.0,368362.0,20.6,18.7,48369.0,1090.0,4.5,88.4,6.9,0.4973,25.3,151400.0,23.5,95834.0,368362.0,244659.0,28640.0,2017
Fort Bend County,Texas,82.1191634711516,48,157,7.7,1297.0,41.0,45.7,3648.0,371815.0,711421.0,15.2,8.1,93645.0,2066.0,5.1,88.0,5.3,0.4336,17.2,233300.0,28.0,146619.0,711421.0,371815.0,38382.0,2017
Foster County,North Dakota,79.1100313193289,38,31,13.3,536.0,31.6,23.7,26.0,3221.0,3318.0,28.8,7.1,59500.0,31.0,3.3,94.7,1.1,0.3904,27.6,125600.0,21.0,5.0,3318.0,3221.0,32665.0,2017
Fountain County,Indiana,76.0967879709921,18,45,18.1,633.0,34.7,14.4,191.0,16223.0,16620.0,26.2,12.6,46669.0,43.0,4.1,91.0,6.3,0.4404,43.0,93500.0,22.5,60.0,16620.0,16223.0,25383.0,2017
Franklin City,Virginia,75.6528436135065,51,620,11.9,847.0,34.1,25.3,121.0,3121.0,8334.0,27.6,16.6,38760.0,0.0,6.7,89.4,14.8,0.4604,27.4,186100.0,24.2,4907.0,8334.0,3121.0,24820.0,2017
Franklin County,Alabama,73.4916922949218,1,59,17.1,596.0,38.8,13.4,241.0,27055.0,31507.0,22.4,23.0,39501.0,291.0,11.8,88.0,8.2,0.4305,37.5,87600.0,24.7,1528.0,31507.0,27055.0,19314.0,2017
Franklin County,Arkansas,74.4373222870369,5,47,20.0,598.0,35.7,11.3,64.0,16820.0,17803.0,26.1,21.9,39472.0,360.0,6.3,91.8,6.6,0.4274,40.0,90600.0,23.3,176.0,17803.0,16820.0,19988.0,2017
Franklin County,Florida,75.8945940583455,12,37,20.4,719.0,37.2,18.4,89.0,9578.0,11675.0,26.8,20.1,41267.0,51.0,5.3,81.1,7.9,0.4979,36.7,135300.0,16.4,1642.0,11675.0,9578.0,23524.0,2017
Franklin County,Georgia,73.8725746030686,13,119,21.5,638.0,36.3,12.8,231.0,19238.0,22328.0,25.5,25.4,39246.0,12.0,8.3,82.3,6.3,0.4728,39.1,101600.0,22.2,2183.0,22328.0,19238.0,19663.0,2017
Franklin County,Idaho,79.1447410708704,16,41,14.3,683.0,37.5,20.2,40.0,12671.0,13120.0,18.7,12.2,51583.0,74.0,2.2,87.7,2.4,0.3778,33.1,168200.0,33.7,33.0,13120.0,12671.0,20454.0,2017
Franklin County,Illinois,74.7216371828841,17,55,20.3,625.0,35.1,15.2,254.0,38162.0,39302.0,26.0,19.9,39454.0,108.0,3.5,91.8,8.9,0.4496,31.9,69900.0,22.2,282.0,39302.0,38162.0,22346.0,2017
Franklin County,Indiana,77.8939739279784,18,47,13.2,668.0,34.8,19.7,264.0,22600.0,22835.0,23.7,9.9,55588.0,6.0,5.2,93.1,5.3,0.4027,42.8,152200.0,24.1,49.0,22835.0,22600.0,26267.0,2017
Franklin County,Iowa,79.5748805197427,19,69,11.7,649.0,32.7,16.1,52.0,9546.0,10326.0,28.1,15.6,48172.0,10.0,3.2,94.4,4.6,0.4237,36.7,87100.0,23.0,154.0,10326.0,9546.0,25248.0,2017
Franklin County,Kansas,76.8980145266538,20,59,13.8,754.0,35.9,20.3,185.0,23769.0,25599.0,21.8,12.5,53167.0,101.0,2.0,92.1,5.4,0.4082,37.3,121700.0,24.6,388.0,25599.0,23769.0,25701.0,2017
Franklin County,Kentucky,75.9049645319759,21,73,16.5,727.0,37.7,28.4,523.0,41340.0,49969.0,24.0,13.1,53539.0,143.0,4.7,90.5,7.2,0.3981,30.6,139300.0,21.1,4986.0,49969.0,41340.0,28001.0,2017
Franklin County,Maine,78.1138288380044,23,7,16.7,596.0,34.7,26.1,248.0,29151.0,30177.0,28.4,12.4,45541.0,128.0,2.3,89.9,6.1,0.423,36.6,136300.0,18.4,93.0,30177.0,29151.0,24162.0,2017
Franklin County,Massachusetts,79.805945718457,25,11,14.7,899.0,34.2,36.8,855.0,66356.0,70926.0,27.9,10.9,57307.0,138.0,1.9,97.4,5.8,0.4514,27.9,226600.0,18.0,1023.0,70926.0,66356.0,33010.0,2017
Franklin County,Mississippi,74.1100767980855,28,37,18.1,488.0,32.6,16.2,79.0,4949.0,7772.0,26.6,17.9,42388.0,0.0,6.4,84.6,7.4,0.4928,37.8,74700.0,24.2,2795.0,7772.0,4949.0,24864.0,2017
Franklin County,Missouri,76.5919727117857,29,71,12.6,736.0,35.8,20.4,637.0,98482.0,102413.0,22.3,10.6,53849.0,195.0,3.9,91.8,4.9,0.421,33.2,156800.0,23.4,845.0,102413.0,98482.0,27209.0,2017
Franklin County,Nebraska,78.282844962472,31,61,16.5,560.0,28.3,20.0,13.0,2964.0,3019.0,35.3,13.3,49453.0,0.0,2.6,94.3,2.6,0.4184,34.2,62000.0,19.2,14.0,3019.0,2964.0,28635.0,2017
Franklin County,New York,78.8002909336,36,33,15.5,670.0,39.9,18.7,328.0,42139.0,51054.0,22.6,19.4,50733.0,3529.0,4.8,92.7,8.2,0.4498,37.2,102200.0,19.6,3025.0,51054.0,42139.0,24294.0,2017
Franklin County,North Carolina,77.3144470380592,37,69,15.2,763.0,37.0,21.0,654.0,43224.0,63866.0,22.4,16.4,48344.0,691.0,5.4,87.5,7.3,0.4267,30.0,140300.0,22.7,16395.0,63866.0,43224.0,23862.0,2017
Franklin County,Ohio,77.0778519730043,39,49,11.5,903.0,45.0,38.7,18493.0,848761.0,1253507.0,16.4,16.7,56319.0,2158.0,3.0,91.0,5.7,0.4662,25.0,158400.0,23.5,275387.0,1253507.0,848761.0,31199.0,2017
Franklin County,Pennsylvania,79.2047300628811,42,55,13.1,840.0,35.8,20.6,1502.0,142343.0,153003.0,24.9,10.4,58267.0,300.0,3.8,89.6,5.7,0.41,42.4,175800.0,22.7,6033.0,153003.0,142343.0,28985.0,2017
Franklin County,Tennessee,75.6608615057893,47,51,19.8,622.0,37.2,20.6,330.0,37334.0,41397.0,25.5,15.0,46882.0,88.0,5.9,92.2,6.9,0.4723,38.5,120600.0,20.7,2043.0,41397.0,37334.0,25637.0,2017
Franklin County,Texas,77.4666921805349,48,159,20.1,746.0,34.2,19.8,60.0,9423.0,10639.0,27.7,15.0,43967.0,57.0,7.5,79.6,7.6,0.4601,32.1,130300.0,24.3,485.0,10639.0,9423.0,23642.0,2017
Franklin County,Vermont,78.5671669165533,50,11,12.4,930.0,37.2,24.7,401.0,46459.0,48816.0,21.1,8.0,62214.0,295.0,4.4,96.1,4.4,0.4246,37.3,209100.0,22.9,305.0,48816.0,46459.0,30624.0,2017
Franklin County,Virginia,77.9999859775673,51,67,15.3,660.0,32.8,20.7,373.0,50101.0,56277.0,29.6,14.8,51208.0,129.0,5.3,88.8,5.4,0.4386,33.0,176900.0,19.4,4493.0,56277.0,50101.0,27282.0,2017
Franklin County,Washington,80.6629103212852,53,21,10.1,847.0,43.5,16.3,736.0,63821.0,89124.0,12.4,15.9,60275.0,686.0,16.7,84.1,5.8,0.4003,26.5,177400.0,33.2,2166.0,89124.0,63821.0,22125.0,2017
Franklin Parish,Louisiana,73.1412850404843,22,41,17.8,538.0,35.8,11.4,161.0,13344.0,20388.0,22.9,28.8,34722.0,8.0,7.3,83.1,8.8,0.4801,42.2,83200.0,25.6,6810.0,20388.0,13344.0,18786.0,2017
Frederick County,Maryland,80.1712646505144,24,21,10.6,1338.0,38.5,40.5,2061.0,199955.0,246105.0,19.0,7.2,88502.0,618.0,2.8,94.7,5.1,0.4034,24.6,315400.0,23.7,22103.0,246105.0,199955.0,39566.0,2017
Frederick County,Virginia,79.2437406978987,51,69,11.7,1121.0,36.7,27.7,474.0,76490.0,83784.0,21.1,5.6,71037.0,229.0,4.3,89.8,4.1,0.3903,32.4,239100.0,23.4,3358.0,83784.0,76490.0,32554.0,2017
Fredericksburg City,Virginia,79.068390018454,51,630,10.2,1123.0,51.6,42.9,657.0,18127.0,28135.0,14.6,16.3,57258.0,37.0,3.4,89.2,5.6,0.4686,22.9,341200.0,20.8,6326.0,28135.0,18127.0,32359.0,2017
Freeborn County,Minnesota,79.8414527161033,27,47,13.8,642.0,32.4,16.8,327.0,28851.0,30619.0,28.4,11.8,51174.0,104.0,4.0,93.3,4.1,0.4159,36.8,105100.0,21.9,407.0,30619.0,28851.0,27603.0,2017
Freestone County,Texas,76.3371473820092,48,161,17.8,672.0,36.4,11.7,57.0,15900.0,19646.0,25.5,17.3,45890.0,31.0,5.6,82.6,4.2,0.4695,35.1,86100.0,23.0,3187.0,19646.0,15900.0,24060.0,2017
Fremont County,Colorado,77.0933471771635,8,43,18.6,786.0,37.4,17.1,276.0,42068.0,46601.0,27.1,15.8,44712.0,575.0,2.3,91.4,6.2,0.4401,39.0,160000.0,16.0,2145.0,46601.0,42068.0,20919.0,2017
Fremont County,Idaho,79.4389751618535,16,43,12.7,738.0,37.3,21.1,65.0,12067.0,12889.0,22.8,11.9,51806.0,44.0,5.0,87.4,5.9,0.3874,32.3,157700.0,27.7,29.0,12889.0,12067.0,21611.0,2017
Fremont County,Iowa,77.8324153664602,19,71,13.7,629.0,31.0,20.8,65.0,6716.0,6985.0,29.1,11.0,54430.0,35.0,2.3,93.9,3.1,0.4309,35.8,100200.0,22.2,50.0,6985.0,6716.0,29813.0,2017
Fremont County,Wyoming,74.6397978389747,56,13,14.7,742.0,35.7,23.3,181.0,29564.0,40354.0,24.2,13.7,55013.0,8425.0,2.1,81.1,6.0,0.4256,31.7,189700.0,25.3,218.0,40354.0,29564.0,27220.0,2017
Fresno County,California,78.4585384790352,6,19,13.1,931.0,42.6,20.1,11570.0,617322.0,971616.0,16.2,25.4,48730.0,9784.0,14.4,88.3,10.4,0.4801,22.8,220600.0,28.7,47715.0,971616.0,617322.0,22234.0,2017
Frio County,Texas,76.7565559827024,48,163,18.3,747.0,48.6,7.2,88.0,13630.0,19110.0,17.4,20.3,37382.0,12.0,20.6,76.2,7.3,0.496,34.8,75900.0,24.0,788.0,19110.0,13630.0,16833.0,2017
Frontier County,Nebraska,81.8823145260526,31,63,15.8,613.0,32.9,19.5,13.0,2566.0,2624.0,32.0,10.9,52090.0,16.0,0.7,90.7,3.2,0.4181,33.2,98200.0,20.4,1.0,2624.0,2566.0,27900.0,2017
Fulton County,Arkansas,74.9193229812661,5,49,24.4,504.0,29.3,12.1,115.0,11667.0,12092.0,33.9,23.0,36051.0,103.0,5.2,89.9,6.9,0.4285,39.4,91300.0,20.3,40.0,12092.0,11667.0,19674.0,2017
Fulton County,Georgia,78.867596065924,13,121,10.0,1089.0,45.4,50.2,16349.0,454897.0,1010420.0,15.8,16.0,61336.0,3756.0,2.7,87.8,7.7,0.5413,18.3,268900.0,22.8,445952.0,1010420.0,454897.0,41041.0,2017
Fulton County,Illinois,76.4723359464906,17,57,15.3,631.0,36.8,17.7,247.0,33695.0,35733.0,26.3,15.5,48599.0,71.0,3.5,92.4,7.7,0.4248,33.6,84800.0,20.0,1352.0,35733.0,33695.0,24269.0,2017
Fulton County,Indiana,75.6887770465186,18,49,17.9,639.0,34.1,12.8,195.0,19184.0,20296.0,25.9,13.3,47108.0,103.0,4.2,88.4,3.8,0.4122,41.3,93600.0,23.8,212.0,20296.0,19184.0,23557.0,2017
Fulton County,Kentucky,72.0140308328663,21,75,24.7,501.0,35.2,14.9,27.0,4460.0,6259.0,26.6,25.3,28274.0,8.0,10.5,91.3,7.6,0.4751,33.9,63600.0,21.0,1526.0,6259.0,4460.0,18111.0,2017
Fulton County,New York,78.0472984261311,36,35,16.2,734.0,35.2,17.7,554.0,51110.0,53955.0,25.5,16.0,48033.0,149.0,3.3,92.8,7.6,0.4267,35.7,107600.0,20.6,998.0,53955.0,51110.0,26298.0,2017
Fulton County,Ohio,77.7872204071499,39,51,13.0,683.0,35.6,17.3,197.0,39651.0,42296.0,23.1,10.6,57774.0,81.0,2.7,95.1,5.9,0.4101,41.1,134700.0,24.4,131.0,42296.0,39651.0,27922.0,2017
Fulton County,Pennsylvania,77.6225597210443,42,57,15.2,663.0,33.5,13.5,49.0,14191.0,14631.0,26.8,11.5,50007.0,37.0,3.5,92.4,6.5,0.4091,52.2,156000.0,21.0,234.0,14631.0,14191.0,25273.0,2017
Furnas County,Nebraska,78.0639526181026,31,65,17.0,556.0,30.6,18.2,53.0,4657.0,4814.0,31.4,13.5,43400.0,12.0,3.5,92.0,2.5,0.4094,34.3,65300.0,22.8,16.0,4814.0,4657.0,24522.0,2017
Gadsden County,Florida,75.1015247970268,12,39,19.8,684.0,36.5,16.3,406.0,19103.0,46113.0,23.6,24.4,39830.0,67.0,6.5,84.7,8.5,0.4418,36.2,101300.0,22.1,25740.0,46113.0,19103.0,19252.0,2017
Gage County,Nebraska,77.9472936340306,31,67,14.6,656.0,32.7,20.3,193.0,20883.0,21632.0,27.4,9.1,52223.0,97.0,4.9,94.9,3.2,0.4007,34.0,108800.0,22.1,135.0,21632.0,20883.0,27424.0,2017
Gaines County,Texas,77.0841343926269,48,165,12.5,697.0,40.5,11.2,28.0,18607.0,19889.0,12.6,11.0,58167.0,42.0,26.7,67.2,4.5,0.4445,30.2,111000.0,35.7,484.0,19889.0,18607.0,22656.0,2017
Galax City,Virginia,70.3182811717938,51,640,24.3,580.0,31.5,10.3,25.0,5999.0,6788.0,29.8,21.2,31311.0,4.0,8.2,91.0,5.5,0.5323,36.2,105500.0,20.2,490.0,6788.0,5999.0,22572.0,2017
Gallatin County,Illinois,73.8309404493299,17,59,24.4,411.0,32.1,12.8,65.0,5067.0,5226.0,29.2,16.6,42450.0,26.0,4.6,94.8,7.8,0.4362,40.1,71500.0,21.5,14.0,5226.0,5067.0,24538.0,2017
