County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population,Year
Larue County,Kentucky,21,123,80.2,657.0,14.2,14149.0,13080.0,152.0,38578.0,0.4368,15.0,14149.0,495.0,9.0,110100.0,20570.0,13080.0,2015
Las Animas County,Colorado,8,71,81.0,755.0,18.7,14503.0,11990.0,99.0,45067.0,0.4299,300.0,14503.0,266.0,9.6,150600.0,22935.0,11990.0,2015
Lassen County,California,6,35,89.5,882.0,8.5,32645.0,24445.0,235.0,51555.0,0.4216,1025.0,32645.0,2789.0,14.3,172900.0,19274.0,24445.0,2015
Latah County,Idaho,16,57,83.6,658.0,10.2,38339.0,35656.0,592.0,42439.0,0.466,263.0,38339.0,251.0,27.0,191100.0,22766.0,35656.0,2015
Latimer County,Oklahoma,40,77,78.9,506.0,18.7,10774.0,7440.0,76.0,39205.0,0.4695,1658.0,10774.0,152.0,11.0,80500.0,22343.0,7440.0,2015
Lauderdale County,Alabama,1,77,80.4,593.0,15.8,92737.0,80613.0,796.0,43125.0,0.4589,405.0,92737.0,9239.0,11.7,118600.0,24215.0,80613.0,2015
Lauderdale County,Mississippi,28,75,77.5,688.0,12.6,79832.0,43482.0,801.0,38132.0,0.4842,160.0,79832.0,33893.0,10.7,87600.0,21525.0,43482.0,2015
Lauderdale County,Tennessee,47,97,80.2,608.0,11.2,27427.0,16966.0,220.0,30281.0,0.4604,154.0,27427.0,9625.0,10.9,81100.0,15769.0,16966.0,2015
Laurel County,Kentucky,21,125,77.9,579.0,13.2,59751.0,58079.0,560.0,36020.0,0.4527,170.0,59751.0,516.0,8.1,94400.0,18795.0,58079.0,2015
Laurens County,Georgia,13,175,76.5,594.0,13.7,47886.0,29367.0,324.0,32356.0,0.5216,54.0,47886.0,17303.0,9.0,84100.0,19194.0,29367.0,2015
Laurens County,South Carolina,45,59,79.2,654.0,14.3,66389.0,46694.0,478.0,38515.0,0.446,86.0,66389.0,16846.0,10.6,83900.0,20072.0,46694.0,2015
Lavaca County,Texas,48,285,78.9,632.0,19.8,19549.0,15258.0,81.0,48677.0,0.448,4.0,19549.0,1363.0,7.7,119300.0,27288.0,15258.0,2015
Lawrence County,Alabama,1,79,79.9,562.0,14.5,33586.0,25978.0,120.0,40003.0,0.4357,1826.0,33586.0,3848.0,9.4,94800.0,21369.0,25978.0,2015
Lawrence County,Arkansas,5,75,78.3,531.0,17.1,17029.0,16569.0,167.0,32379.0,0.4304,48.0,17029.0,153.0,10.1,64500.0,17312.0,16569.0,2015
Lawrence County,Illinois,17,101,85.5,544.0,11.8,16665.0,12651.0,91.0,40841.0,0.4085,51.0,16665.0,3427.0,10.6,66700.0,14468.0,12651.0,2015
Lawrence County,Indiana,18,93,79.1,637.0,15.8,45814.0,44305.0,395.0,45875.0,0.4082,70.0,45814.0,171.0,8.0,100500.0,23404.0,44305.0,2015
Lawrence County,Kentucky,21,127,77.9,519.0,14.4,15821.0,15529.0,136.0,35935.0,0.4618,6.0,15821.0,24.0,8.3,81400.0,18890.0,15529.0,2015
Lawrence County,Mississippi,28,77,77.6,642.0,14.2,12586.0,8349.0,40.0,35634.0,0.4821,15.0,12586.0,4066.0,9.2,86800.0,19844.0,8349.0,2015
Lawrence County,Missouri,29,109,76.0,613.0,15.6,38244.0,36247.0,310.0,40597.0,0.4149,205.0,38244.0,60.0,8.0,98100.0,19508.0,36247.0,2015
Lawrence County,Ohio,39,87,78.8,652.0,15.2,61827.0,58982.0,438.0,42874.0,0.441,100.0,61827.0,1332.0,8.5,98900.0,21955.0,58982.0,2015
Lawrence County,Pennsylvania,42,73,81.3,630.0,17.2,89162.0,83098.0,803.0,44571.0,0.4487,49.0,89162.0,3387.0,8.7,97300.0,24450.0,83098.0,2015
Lawrence County,South Dakota,46,81,83.4,629.0,16.2,24645.0,22987.0,378.0,45548.0,0.4423,856.0,24645.0,127.0,13.3,180100.0,27083.0,22987.0,2015
Lawrence County,Tennessee,47,99,75.8,563.0,15.4,42226.0,40149.0,401.0,37814.0,0.4311,91.0,42226.0,803.0,8.1,98600.0,19214.0,40149.0,2015
Le Flore County,Oklahoma,40,79,78.3,570.0,15.1,49899.0,37621.0,329.0,36490.0,0.4608,5214.0,49899.0,1206.0,9.0,81600.0,18881.0,37621.0,2015
Le Sueur County,Minnesota,27,79,77.7,694.0,14.3,27707.0,26423.0,186.0,60632.0,0.396,104.0,27707.0,164.0,7.2,176500.0,28483.0,26423.0,2015
Lea County,New Mexico,35,25,73.3,768.0,9.4,68149.0,59507.0,571.0,57533.0,0.4327,610.0,68149.0,2352.0,10.4,108600.0,23804.0,59507.0,2015
Leake County,Mississippi,28,79,73.1,593.0,11.9,23153.0,12091.0,72.0,33452.0,0.4735,1338.0,23153.0,9576.0,9.3,76000.0,17696.0,12091.0,2015
Leavenworth County,Kansas,20,103,79.0,883.0,10.2,78227.0,65621.0,624.0,63726.0,0.4049,631.0,78227.0,6620.0,9.3,167500.0,27138.0,65621.0,2015
Lebanon County,Pennsylvania,42,75,78.6,768.0,15.8,135776.0,119662.0,1033.0,55499.0,0.4042,123.0,135776.0,2700.0,8.9,163800.0,26526.0,119662.0,2015
