County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Appanoose County,Iowa,19,7,18.7,12808,12479,129,78.5,528,0.4201,4,39208,21599,12479,12808,60,7.2,77600,2013
Appling County,Georgia,13,1,11.9,18354,13986,138,77.0,524,0.4548,21,36786,19643,13986,18354,3572,8.7,75600,2013
Appomattox County,Virginia,51,11,17.0,15054,11578,76,80.1,609,0.4094,45,50167,23636,11578,15054,3065,7.9,145400,2013
Aransas County,Texas,48,7,24.7,23627,21571,156,82.6,814,0.4851,146,42476,26953,21571,23627,345,7.6,130900,2013
Arapahoe County,Colorado,8,5,9.3,585333,437019,8573,76.5,981,0.4612,4058,60651,32595,437019,585333,58642,8.9,230700,2013
Archer County,Texas,48,9,15.3,8853,8483,82,79.7,642,0.4329,80,56452,27800,8483,8853,78,8.8,100300,2013
Archuleta County,Colorado,8,7,18.2,12109,10694,156,82.3,913,0.4688,290,48933,29793,10694,12109,60,7.1,279700,2013
Arenac County,Michigan,26,11,20.0,15753,15185,80,82.9,572,0.4167,101,38874,20039,15185,15753,174,7.5,90200,2013
Arkansas County,Arkansas,5,1,15.0,18957,13727,259,78.0,631,0.4455,24,39633,23045,13727,18957,4735,7.4,75500,2013
Arlington County,Virginia,51,13,7.8,214861,153109,4141,85.0,1733,0.4356,1191,103208,62018,153109,214861,17966,8.6,584600,2013
Armstrong County,Pennsylvania,42,5,16.6,68614,67150,437,81.7,588,0.4141,36,45241,23661,67150,68614,656,7.6,94100,2013
Armstrong County,Texas,48,11,21.9,1773,1631,18,80.7,768,0.3697,11,61635,26823,1631,1773,33,7.9,94100,2013
Aroostook County,Maine,23,3,17.7,71230,67959,880,82.2,555,0.4335,1064,37855,21566,67959,71230,414,8.4,90800,2013
Ascension Parish,Louisiana,22,5,8.4,109920,81880,688,73.6,851,0.3944,289,69070,28178,81880,109920,24719,8.7,167400,2013
Ashe County,North Carolina,37,9,18.8,27180,25671,181,82.9,644,0.4459,127,35951,20838,25671,27180,137,8.1,150900,2013
Ashland County,Ohio,39,5,14.8,53234,51671,377,78.8,674,0.4152,78,46548,21940,51671,53234,385,10.6,122100,2013
Ashland County,Wisconsin,55,3,15.0,16068,13665,148,79.6,545,0.4331,1640,38550,21115,13665,16068,60,10.3,107400,2013
Ashley County,Arkansas,5,3,15.3,21645,15237,62,77.7,572,0.4555,52,35683,19761,15237,21645,5513,8.2,62500,2013
Ashtabula County,Ohio,39,7,14.2,100835,94188,897,78.8,616,0.4224,112,40516,20011,94188,100835,3401,8.4,110800,2013
Asotin County,Washington,53,3,18.9,21802,20476,315,81.6,674,0.4475,163,43175,24659,20476,21802,122,8.4,173600,2013
Assumption Parish,Louisiana,22,7,13.2,23268,15760,122,79.9,592,0.434,144,46116,21743,15760,23268,6981,9.6,98100,2013
Atascosa County,Texas,48,13,12.2,45714,37528,240,73.4,720,0.436,310,47543,20193,37528,45714,321,9.1,82900,2013
Atchison County,Kansas,20,5,13.1,16839,15353,109,76.2,576,0.4213,117,45212,21909,15353,16839,750,14.7,87000,2013
Atchison County,Missouri,29,5,19.7,5605,5482,21,81.9,541,0.4101,25,44426,24748,5482,5605,33,7.7,76400,2013
Athens County,Ohio,39,9,9.1,64811,59431,458,85.6,689,0.4933,53,33823,17019,59431,64811,1558,31.8,115500,2013
Atkinson County,Georgia,13,3,9.4,8332,5425,68,74.9,436,0.4944,13,30049,15958,5425,8332,1434,8.6,75000,2013
Atlantic County,New Jersey,34,1,13.0,274960,184166,3106,78.8,1038,0.4531,745,54235,27391,184166,274960,44031,9.8,237400,2013
Atoka County,Oklahoma,40,5,14.2,14070,10464,99,80.0,548,0.4444,1549,37012,17842,10464,14070,595,9.5,79800,2013
Attala County,Mississippi,28,7,16.0,19383,10810,65,76.5,563,0.493,0,31641,18422,10810,19383,8208,8.4,71200,2013
Audrain County,Missouri,29,7,14.4,25584,22962,117,75.4,619,0.3979,51,43013,19687,22962,25584,1534,7.6,90500,2013
Audubon County,Iowa,19,9,20.1,6002,5880,15,81.3,545,0.4784,27,48313,30919,5880,6002,12,6.0,71100,2013
Auglaize County,Ohio,39,11,13.6,45906,44840,186,77.1,657,0.3866,68,52239,25323,44840,45906,151,7.8,129400,2013
Augusta County,Virginia,51,15,15.4,73726,68628,478,81.9,743,0.4216,199,52027,25519,68628,73726,3057,8.4,194600,2013
Aurora County,South Dakota,46,3,17.3,2722,2561,9,77.5,582,0.4121,30,46667,23504,2561,2722,64,7.2,68800,2013
Austin County,Texas,48,15,15.3,28573,24315,93,75.9,811,0.4362,25,53265,25884,24315,28573,2707,9.1,150000,2013
Autauga County,Alabama,1,1,11.1,54907,42997,589,75.5,851,0.4031,138,53682,24571,42997,54907,10076,9.4,136200,2013
Avery County,North Carolina,37,11,15.0,17756,15576,248,86.2,675,0.483,172,36969,21598,15576,17756,699,10.2,140800,2013
Avoyelles Parish,Louisiana,22,9,12.5,41765,28112,366,78.1,577,0.468,427,33942,18006,28112,41765,12251,9.0,86600,2013
Baca County,Colorado,8,9,22.2,3761,3574,24,81.1,508,0.4416,58,38829,22318,3574,3761,20,6.1,73500,2013
Bacon County,Georgia,13,5,11.2,11159,8734,69,78.2,572,0.4662,0,33757,18558,8734,11159,1874,10.2,77000,2013
Bailey County,Texas,48,17,9.1,7121,6246,40,71.8,757,0.3967,3,46139,18676,6246,7121,115,11.1,56500,2013
Baker County,Florida,12,3,9.9,27069,22758,81,77.2,705,0.4155,50,49236,19852,22758,27069,3772,10.7,124300,2013
Baker County,Georgia,13,7,12.9,3410,1345,5,81.7,471,0.5071,0,27353,17019,1345,3410,2060,16.4,72700,2013
Baker County,Oregon,41,1,22.0,16055,15319,175,82.8,625,0.4446,206,41500,23234,15319,16055,45,7.2,147700,2013
Baldwin County,Alabama,1,3,16.3,187114,161737,1729,79.3,876,0.4455,1157,50221,26766,161737,187114,17733,8.0,168600,2013
Baldwin County,Georgia,13,9,11.4,46018,25345,400,82.3,686,0.5064,48,32751,18622,25345,46018,19014,18.4,103900,2013
Ballard County,Kentucky,21,7,16.0,8282,7857,53,78.7,526,0.4525,20,44588,24781,7857,8282,291,7.8,94400,2013
Baltimore City,Maryland,24,510,9.8,621445,188102,10640,79.6,924,0.5061,2317,41385,24750,188102,621445,392749,12.2,157900,2013
Baltimore County,Maryland,24,5,13.0,812261,523688,9485,79.4,1139,0.4391,1868,66486,34374,523688,812261,214418,10.4,253300,2013
Bamberg County,South Carolina,45,9,14.8,15814,5696,191,80.4,567,0.5128,0,31483,18902,5696,15814,9876,15.8,74700,2013
Bandera County,Texas,48,19,22.0,20533,19503,149,84.0,796,0.416,129,49215,25364,19503,20533,120,6.1,143600,2013
Banks County,Georgia,13,11,12.8,18333,17103,110,77.0,681,0.4243,24,41141,20231,17103,18333,516,8.5,140200,2013
Bannock County,Idaho,16,5,10.2,83091,75158,791,74.6,614,0.4323,2871,43534,21327,75158,83091,593,11.7,142600,2013
Baraga County,Michigan,26,13,14.2,8787,6534,46,88.5,509,0.4123,508,41189,17701,6534,8787,1349,9.2,84000,2013
Barber County,Kansas,20,7,17.1,4898,4705,18,79.8,560,0.4268,15,45920,26229,4705,4898,9,7.6,61900,2013
Barbour County,Alabama,1,5,12.2,27321,12960,154,81.3,587,0.4658,55,32911,16829,12960,27321,12675,10.0,89200,2013
Barbour County,West Virginia,54,1,15.9,16655,16126,71,80.1,502,0.4148,95,37327,17876,16126,16655,115,9.7,87900,2013
Barnes County,North Dakota,38,3,17.4,11085,10580,33,83.7,491,0.4878,86,50274,31721,10580,11085,55,10.2,87900,2013
Barnstable County,Massachusetts,25,1,23.4,215449,200881,2127,84.3,1114,0.4553,928,60526,36142,200881,215449,4965,8.2,366700,2013
Barnwell County,South Carolina,45,11,12.8,22399,11774,236,76.5,625,0.4817,86,35231,18862,11774,22399,10139,10.8,72400,2013
Barren County,Kentucky,21,9,13.7,42504,39798,478,77.4,579,0.4412,140,38873,19745,39798,42504,1825,8.3,105400,2013
Barron County,Wisconsin,55,5,16.6,45826,43935,435,80.4,630,0.4164,372,44054,23337,43935,45826,447,8.1,134900,2013
Barrow County,Georgia,13,13,8.2,69933,56235,583,73.4,894,0.3787,211,53274,21379,56235,69933,8025,8.4,127000,2013
Barry County,Michigan,26,15,14.0,59121,57355,262,78.5,717,0.4066,165,52186,25059,57355,59121,280,7.9,133900,2013
Barry County,Missouri,29,9,17.1,35614,32492,190,77.4,563,0.4082,125,38710,19489,32492,35614,22,7.8,107500,2013
Bartholomew County,Indiana,18,5,12.3,77930,68934,496,77.7,786,0.4265,353,54165,27359,68934,77930,1533,8.5,134900,2013
Barton County,Kansas,20,9,14.9,27602,25355,95,77.6,564,0.4649,69,44981,25800,25355,27602,363,9.5,75300,2013
Barton County,Missouri,29,11,15.8,12378,11686,55,76.0,506,0.4441,118,40580,20678,11686,12378,18,7.4,84700,2013
Bartow County,Georgia,13,15,10.0,100382,83685,869,75.6,786,0.4204,666,47197,21022,83685,100382,10248,8.9,128500,2013
Bastrop County,Texas,48,21,10.5,74730,62862,419,76.5,871,0.4238,720,51750,23342,62862,74730,5889,8.0,117700,2013
Bates County,Missouri,29,13,16.4,16878,16213,265,77.5,576,0.427,50,38579,21047,16213,16878,206,7.6,99400,2013
Bath County,Kentucky,21,11,13.7,11732,11333,65,75.3,557,0.4759,0,30797,16367,11333,11732,186,7.4,65400,2013
Bath County,Virginia,51,17,21.1,4686,4362,17,82.7,764,0.4464,0,51365,28704,4362,4686,240,3.9,152600,2013
Baxter County,Arkansas,5,5,28.0,41281,39951,254,83.1,592,0.4382,225,35343,21334,39951,41281,160,5.9,120000,2013
Bay County,Florida,12,5,13.6,170704,140914,2338,80.2,932,0.4234,971,47461,24498,140914,170704,17593,9.7,157600,2013
Bay County,Michigan,26,17,14.6,107312,101304,772,79.7,630,0.4245,417,45376,23799,101304,107312,1353,8.8,93800,2013
Bayfield County,Wisconsin,55,7,21.2,15071,13073,121,83.7,543,0.4097,1589,44944,25377,13073,15071,76,5.6,158600,2013
Baylor County,Texas,48,23,23.5,3678,3440,99,81.1,446,0.5526,20,33445,28021,3440,3678,39,2.4,72800,2013
Beadle County,South Dakota,46,5,14.2,17663,16089,228,77.2,523,0.4501,150,42196,24025,16089,17663,93,9.1,87500,2013
Bear Lake County,Idaho,16,7,18.3,5957,5806,20,76.4,559,0.415,12,44964,21853,5806,5957,7,6.6,129700,2013
Beaufort County,North Carolina,37,13,17.7,47575,32850,377,79.6,656,0.4407,44,40429,21636,32850,47575,12221,8.6,117000,2013
Beaufort County,South Carolina,45,13,20.7,165354,121733,1750,80.8,1039,0.4629,420,57316,32503,121733,165354,31430,12.0,275500,2013
Beauregard Parish,Louisiana,22,11,11.8,35891,29641,195,76.8,611,0.4318,241,46385,22509,29641,35891,4742,9.1,93900,2013
Beaver County,Oklahoma,40,7,14.9,5605,4864,11,76.4,600,0.4385,11,51422,26109,4864,5605,52,7.9,86200,2013
Beaver County,Pennsylvania,42,7,16.2,170382,155255,1682,81.1,623,0.4241,122,49217,26258,155255,170382,10110,8.4,115400,2013
Beaver County,Utah,49,1,11.2,6529,6105,42,67.6,699,0.4138,37,46660,19415,6105,6529,11,8.1,144800,2013
Beaverhead County,Montana,30,1,17.4,9278,8817,131,83.2,562,0.4096,102,41614,22872,8817,9278,23,13.4,173400,2013
Becker County,Minnesota,27,5,16.7,32800,28876,196,78.1,647,0.4253,2310,50214,25455,28876,32800,115,6.9,171500,2013
Beckham County,Oklahoma,40,9,9.6,22715,19494,166,79.7,675,0.4648,375,48989,23959,19494,22715,829,10.9,103400,2013
Bedford City,Virginia,51,515,23.5,6052,4657,78,82.6,636,0.479,0,35593,22322,4657,6052,1269,6.2,146400,2013
Bedford County,Pennsylvania,42,9,17.3,49490,48519,407,80.7,593,0.4068,67,43290,22259,48519,49490,298,7.6,120200,2013
Bedford County,Tennessee,47,3,12.4,45339,38757,487,75.7,670,0.436,382,40759,19303,38757,45339,2948,8.9,114600,2013
Bedford County,Virginia,51,19,16.4,69175,63281,302,80.7,763,0.4105,105,57596,28697,63281,69175,3873,7.1,195400,2013
Bee County,Texas,48,25,8.1,32281,23879,88,84.5,741,0.4784,50,43690,16848,23879,32281,2839,11.9,73000,2013
Belknap County,New Hampshire,33,1,16.5,60216,58011,464,81.8,883,0.4286,146,58654,30518,58011,60216,449,7.4,219900,2013
Bell County,Kentucky,21,13,13.9,28409,27100,294,79.6,481,0.485,122,26228,15091,27100,28409,669,9.3,67300,2013
Bell County,Texas,48,27,7.9,316144,209216,4046,73.6,860,0.4287,2168,50060,22857,209216,316144,67209,13.3,122600,2013
Belmont County,Ohio,39,13,14.7,69990,65681,619,82.8,533,0.4266,74,41534,22380,65681,69990,2523,9.5,88500,2013
Beltrami County,Minnesota,27,7,12.1,45021,33680,465,76.6,660,0.4392,8916,43231,21622,33680,45021,386,14.8,147100,2013
Ben Hill County,Georgia,13,17,12.3,17576,10608,198,74.3,591,0.4719,0,28547,14204,10608,17576,6147,10.6,79700,2013
Benewah County,Idaho,16,9,19.1,9186,7960,41,79.8,605,0.382,706,39049,20198,7960,9186,154,7.4,136000,2013
Bennett County,South Dakota,46,7,10.1,3431,960,35,67.7,464,0.4947,1990,37607,16275,960,3431,31,9.1,54300,2013
Bennington County,Vermont,50,3,17.6,36871,35492,465,81.2,848,0.4628,35,50221,29196,35492,36871,188,8.6,214800,2013
Benson County,North Dakota,38,5,12.4,6721,2923,19,70.0,407,0.4897,3691,36491,18162,2923,6721,5,8.9,52800,2013
Bent County,Colorado,8,11,11.0,6141,5015,104,88.9,635,0.4307,186,37340,15081,5015,6141,663,5.9,75500,2013
Benton County,Arkansas,5,7,11.2,227439,198416,2119,74.0,774,0.4384,3281,54515,26715,198416,227439,2840,8.5,147500,2013
Benton County,Indiana,18,7,13.6,8823,8657,80,75.9,721,0.3847,0,48711,23049,8657,8823,71,8.1,84300,2013
Benton County,Iowa,19,11,13.8,25971,25306,158,77.0,603,0.3724,5,56669,26624,25306,25971,122,7.6,131500,2013
Benton County,Minnesota,27,9,10.3,38756,36663,428,77.5,652,0.3944,216,52200,24453,36663,38756,826,10.3,158200,2013
Benton County,Mississippi,28,9,16.6,8682,5280,59,78.5,606,0.5164,67,31060,18597,5280,8682,3082,10.9,81200,2013
Benton County,Missouri,29,15,26.2,19008,18456,138,83.7,580,0.437,95,32951,19717,18456,19008,28,6.2,106400,2013
Benton County,Oregon,41,3,11.5,85989,75783,902,84.6,816,0.4803,656,48604,26738,75783,85989,887,24.5,270500,2013
Benton County,Tennessee,47,5,19.8,16398,15695,43,81.9,496,0.4366,52,33033,18456,15695,16398,412,7.0,80100,2013
Benton County,Washington,53,5,11.0,178992,144785,1759,75.4,805,0.4208,1640,60485,28583,144785,178992,2590,9.4,176700,2013
Benzie County,Michigan,26,19,20.6,17474,16797,56,81.3,763,0.3936,184,47366,24831,16797,17474,82,6.6,149700,2013
Bergen County,New Jersey,34,3,13.4,912795,659011,9448,79.3,1334,0.4804,1780,83794,43347,659011,912795,51861,8.1,451400,2013
Berkeley County,South Carolina,45,15,9.6,184366,124437,1593,77.1,960,0.4205,1152,52427,24165,124437,184366,45931,12.3,150400,2013
Berkeley County,West Virginia,54,3,11.2,105812,93104,1097,77.2,832,0.4227,148,53515,26264,93104,105812,7749,7.9,165000,2013
Berks County,Pennsylvania,42,11,13.1,412078,346342,4014,78.6,832,0.4311,1087,55170,26723,346342,412078,19731,10.3,170600,2013
Berkshire County,Massachusetts,25,3,17.0,130545,120862,1836,82.5,762,0.4711,298,48450,29294,120862,130545,3448,10.2,206600,2013
Bernalillo County,New Mexico,35,1,11.3,667092,474615,7367,78.1,791,0.4624,29538,48801,26814,474615,667092,19208,10.5,186800,2013
Berrien County,Georgia,13,19,13.2,19174,16120,112,78.2,484,0.4469,10,32258,16784,16120,19174,2093,8.7,80100,2013
Berrien County,Michigan,26,21,14.7,156290,122024,1314,78.4,649,0.4631,632,43633,24013,122024,156290,23683,8.8,129300,2013
Bertie County,North Carolina,37,15,14.9,20879,7516,166,82.4,586,0.4628,127,30768,17096,7516,20879,13072,9.7,79100,2013
Bethel Census Area,Alaska,2,50,5.8,17356,2001,73,68.5,1177,0.4486,14176,51689,18497,2001,17356,97,11.6,189600,2013
Bexar County,Texas,48,29,9.1,1753238,1326186,20977,75.3,839,0.4608,13307,50112,24253,1326186,1753238,128089,11.6,123700,2013
Bibb County,Alabama,1,7,11.2,22754,17461,109,80.9,568,0.45,105,36447,17427,17461,22754,4937,9.8,90500,2013
Bibb County,Georgia,13,21,10.9,155524,67677,1690,75.4,736,0.5032,327,37550,20982,67677,155524,81150,10.3,123000,2013
Bienville Parish,Louisiana,22,13,16.3,14229,7889,114,77.6,501,0.4843,79,31543,18958,7889,14229,5964,9.2,58100,2013
Big Horn County,Montana,30,3,9.8,12939,4321,59,67.1,594,0.4461,8159,39966,15695,4321,12939,0,11.4,89300,2013
Big Horn County,Wyoming,56,3,17.9,11741,11047,47,77.7,601,0.3883,293,52589,25119,11047,11741,5,8.5,131000,2013
Big Stone County,Minnesota,27,11,23.3,5209,5112,14,81.9,526,0.4274,10,46313,26019,5112,5209,17,6.6,91300,2013
