County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,high_school_only_percentage,total_population_race,unemployment_rate,health_insurance_rate,less_than_9th_grade_percentage,native_american_population,gini_index,median_household_income,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent,bachelors_and_above_percentage,disability_rate,Year
Taliaferro County,Georgia,74.7025631630207,13,265,21416.0,547.0,1000.0,15.0,80200.0,46.2,1611.0,7.3,88.9,11.7,0.0,0.4557,37446.0,14.0,21.1,31.8,1611.0,547.0,39.7,547.0,8.1,21.4,2019
Talladega County,Alabama,73.8695996345704,1,121,23305.0,51398.0,26215.0,21.5,105300.0,33.7,80387.0,8.5,90.7,5.3,342.0,0.467,41325.0,696.0,19.1,24.8,80387.0,51398.0,37.4,628.0,15.0,20.7,2019
Tallahatchie County,Mississippi,73.1445596838709,28,135,16742.0,5013.0,7599.0,19.9,66400.0,28.8,14158.0,12.4,87.7,7.9,24.0,0.5244,29864.0,86.0,31.7,20.5,14158.0,5013.0,46.1,545.0,10.3,16.0,2019
Tallapoosa County,Alabama,75.1740848507411,1,123,25217.0,28360.0,11123.0,20.9,109300.0,32.7,40541.0,9.9,91.8,5.0,90.0,0.4689,45828.0,274.0,18.9,29.0,40541.0,28360.0,33.1,665.0,18.4,19.8,2019
Tama County,Iowa,78.2031631134545,19,171,28585.0,14952.0,157.0,24.0,110400.0,40.0,17032.0,3.4,93.4,3.8,1438.0,0.4172,56037.0,84.0,12.0,26.8,17032.0,14952.0,32.9,722.0,15.8,10.5,2019
Taney County,Missouri,77.5663092732029,29,213,23776.0,50517.0,839.0,21.2,139800.0,33.6,55114.0,4.8,84.2,2.5,552.0,0.4168,46031.0,543.0,14.7,28.0,55114.0,50517.0,35.7,816.0,19.9,17.6,2019
Tangipahoa Parish,Louisiana,74.5702771349901,22,105,25163.0,88627.0,38910.0,24.6,162800.0,37.2,132057.0,7.2,90.4,4.4,341.0,0.4695,47832.0,978.0,21.4,20.1,132057.0,88627.0,41.2,832.0,20.0,19.9,2019
Taos County,New Mexico,79.4869168729099,35,55,25646.0,27682.0,154.0,18.0,239500.0,28.2,32786.0,8.7,90.3,3.3,2131.0,0.4874,38329.0,276.0,18.3,34.6,32786.0,27682.0,30.8,784.0,28.7,17.8,2019
Tarrant County,Texas,79.1629287254779,48,439,33292.0,1374182.0,338378.0,26.5,188500.0,24.0,2049770.0,4.7,83.9,6.5,10343.0,0.4586,67700.0,26374.0,11.9,16.3,2049770.0,1374182.0,42.5,1095.0,32.3,10.3,2019
Tate County,Mississippi,74.8492463549901,28,137,23340.0,18895.0,8494.0,23.1,119200.0,35.4,28404.0,6.0,87.8,5.3,34.0,0.4222,51030.0,222.0,18.1,21.8,28404.0,18895.0,39.1,751.0,15.8,14.2,2019
Tattnall County,Georgia,75.1531885694348,13,267,18319.0,14907.0,7446.0,20.5,89200.0,38.1,25382.0,4.6,86.0,8.1,84.0,0.4543,40730.0,108.0,23.2,19.0,25382.0,14907.0,44.1,543.0,13.2,17.1,2019
Taylor County,Florida,74.640605259606,12,123,17391.0,16678.0,4397.0,19.8,85100.0,43.8,21870.0,5.9,90.4,5.1,69.0,0.4115,40306.0,212.0,21.2,27.3,21870.0,16678.0,37.6,666.0,8.3,21.0,2019
Taylor County,Georgia,74.5078041480481,13,269,21298.0,4682.0,3081.0,20.4,83600.0,37.5,8116.0,10.5,82.5,8.7,0.0,0.4839,33832.0,70.0,25.8,26.7,8116.0,4682.0,32.8,619.0,12.6,19.2,2019
Taylor County,Iowa,78.8306243010605,19,173,29778.0,5833.0,1.0,23.3,80600.0,38.5,6167.0,3.6,92.4,4.2,14.0,0.4497,50431.0,21.0,10.0,29.5,6167.0,5833.0,32.7,568.0,14.5,15.3,2019
Taylor County,Kentucky,75.5147985309489,21,217,23602.0,23349.0,1095.0,22.6,120200.0,39.2,25571.0,5.0,95.9,5.2,21.0,0.4764,44522.0,427.0,17.9,23.0,25571.0,23349.0,38.6,643.0,19.6,19.6,2019
Taylor County,Texas,75.5596119005642,48,441,27162.0,104989.0,10946.0,24.8,124500.0,31.0,136870.0,3.4,86.0,4.2,1033.0,0.4533,53143.0,1733.0,15.1,19.6,136870.0,104989.0,43.9,925.0,25.2,15.1,2019
Taylor County,West Virginia,76.840518997195,54,91,25214.0,16245.0,218.0,20.3,107000.0,47.2,16864.0,9.0,94.0,2.9,0.0,0.4233,48578.0,59.0,16.8,27.8,16864.0,16245.0,34.5,652.0,17.3,20.3,2019
Taylor County,Wisconsin,80.8554999190436,55,119,27506.0,19787.0,57.0,23.7,137800.0,43.4,20325.0,3.7,92.2,4.2,40.0,0.4157,53020.0,134.0,9.9,26.4,20325.0,19787.0,32.0,660.0,15.1,12.6,2019
Tazewell County,Illinois,78.6934183516167,17,179,33507.0,127484.0,1645.0,22.8,142000.0,31.7,133195.0,4.4,96.2,1.8,193.0,0.4181,63454.0,896.0,8.3,25.2,133195.0,127484.0,36.1,741.0,26.3,12.2,2019
Tazewell County,Virginia,73.5514406571135,51,185,23738.0,39273.0,1336.0,19.3,99700.0,36.5,41603.0,6.5,90.1,8.6,104.0,0.4565,42099.0,178.0,17.5,28.8,41603.0,39273.0,33.9,656.0,14.9,21.8,2019
Tehama County,California,77.3220982796968,6,103,24301.0,54795.0,530.0,23.9,215900.0,30.1,63912.0,8.6,93.7,7.2,1255.0,0.4656,44514.0,817.0,22.1,26.3,63912.0,54795.0,34.8,872.0,15.7,18.9,2019
Telfair County,Georgia,77.650119684055,13,271,17202.0,8349.0,6615.0,16.7,64600.0,47.2,16035.0,2.0,90.2,12.9,13.0,0.4803,32405.0,73.0,28.9,24.5,16035.0,8349.0,42.8,599.0,8.6,11.6,2019
Teller County,Colorado,80.8594227143916,8,119,35703.0,23221.0,208.0,17.6,292700.0,23.2,24524.0,5.8,91.4,0.4,95.0,0.4099,66592.0,99.0,8.2,32.1,24524.0,23221.0,29.1,1102.0,37.7,13.8,2019
Tensas Parish,Louisiana,74.3123548758613,22,107,15912.0,1979.0,2525.0,23.8,66400.0,46.1,4561.0,16.3,82.0,4.5,0.0,0.4801,27500.0,16.0,34.7,31.3,4561.0,1979.0,31.8,561.0,11.4,11.9,2019
Terrebonne Parish,Louisiana,75.5465434893864,22,109,25924.0,78715.0,21311.0,25.5,152500.0,38.9,112054.0,6.3,88.9,9.4,6337.0,0.4879,48747.0,779.0,20.6,19.9,112054.0,78715.0,39.4,853.0,15.6,16.6,2019
Terrell County,Georgia,74.140676112874,13,273,20045.0,3164.0,5220.0,23.3,92100.0,32.3,8737.0,7.5,83.3,5.9,7.0,0.4709,34768.0,41.0,32.4,25.8,8737.0,3164.0,35.8,638.0,11.2,14.3,2019
Terry County,Texas,75.3759516106232,48,445,20627.0,11418.0,609.0,27.5,76500.0,31.7,12528.0,9.2,76.9,17.0,18.0,0.4333,44627.0,35.0,19.2,19.6,12528.0,11418.0,39.1,701.0,11.4,15.8,2019
Teton County,Idaho,83.0603039631204,16,81,31191.0,10153.0,0.0,25.2,346600.0,16.6,11426.0,5.6,93.2,3.3,83.0,0.3995,74216.0,153.0,4.5,17.3,11426.0,10153.0,40.9,881.0,41.0,6.0,2019
