County,State,mean_life_expectancy,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,high_school_only_percentage,total_population_race,unemployment_rate,health_insurance_rate,less_than_9th_grade_percentage,native_american_population,gini_index,median_household_income,housing_cost_burden,poverty_rate,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent,bachelors_and_above_percentage,disability_rate,Year
Abbeville County,South Carolina,76.2480488633423,45,1,22646.0,17221.0,6804.0,20.6,90800.0,34.0,24627.0,5.5,88.9,6.0,15.0,0.479,38741.0,106.0,18.7,28.8,24627.0,17221.0,34.3,681.0,15.6,19.6,2019
Acadia Parish,Louisiana,74.5671405045502,22,1,23122.0,49556.0,10841.0,26.2,118000.0,41.3,62457.0,8.1,89.4,8.9,86.0,0.4791,43396.0,364.0,24.2,20.8,62457.0,49556.0,37.7,662.0,13.3,19.1,2019
Accomack County,Virginia,75.809517106311,51,1,26018.0,22282.0,9331.0,21.2,171800.0,36.7,32673.0,3.9,83.4,6.6,175.0,0.448,46073.0,328.0,19.0,30.6,32673.0,22282.0,31.5,831.0,19.5,14.1,2019
Ada County,Idaho,80.936014639849,16,1,34919.0,413350.0,6274.0,24.0,270800.0,22.4,456849.0,3.9,91.7,1.4,2407.0,0.4615,66293.0,3861.0,10.8,19.7,456849.0,413350.0,41.3,995.0,38.5,10.3,2019
Adair County,Iowa,78.2551121361173,19,1,30822.0,6911.0,39.0,21.4,104600.0,40.5,7085.0,4.2,95.6,2.1,0.0,0.4298,53363.0,48.0,10.9,31.5,7085.0,6911.0,31.9,585.0,18.5,16.0,2019
Adair County,Kentucky,76.6118721957864,21,1,21196.0,18239.0,603.0,19.5,96400.0,39.0,19222.0,5.7,94.6,9.5,45.0,0.4777,38021.0,183.0,20.5,25.6,19222.0,18239.0,38.2,564.0,15.7,21.0,2019
Adair County,Missouri,77.8101753635588,29,1,22847.0,23240.0,680.0,18.6,126800.0,34.4,25369.0,5.7,92.1,3.4,29.0,0.5137,41929.0,277.0,23.8,18.9,25369.0,23240.0,50.3,646.0,31.0,12.4,2019
Adair County,Oklahoma,73.5465287622819,40,1,17026.0,9360.0,36.0,27.0,87600.0,46.6,22220.0,4.8,73.0,4.7,9806.0,0.4472,34695.0,148.0,27.8,21.3,22220.0,9360.0,37.0,561.0,11.6,19.1,2019
Adams County,Colorado,80.7776770732522,8,1,30313.0,411153.0,17014.0,27.0,307600.0,28.6,504108.0,4.0,89.9,7.3,5526.0,0.4052,71202.0,5999.0,10.8,14.8,504108.0,411153.0,44.1,1346.0,24.3,10.4,2019
Adams County,Idaho,80.7342053228818,16,3,28026.0,3911.0,16.0,17.1,215500.0,34.9,4097.0,8.6,88.0,3.5,72.0,0.4392,48856.0,33.0,12.1,40.2,4097.0,3911.0,24.8,685.0,21.2,21.1,2019
Adams County,Illinois,78.4108241377861,17,1,30343.0,61406.0,2731.0,22.6,127800.0,35.4,66085.0,4.4,95.3,2.0,297.0,0.4503,52993.0,693.0,12.5,26.4,66085.0,61406.0,34.9,713.0,25.0,14.6,2019
Adams County,Indiana,78.5134479392771,18,1,23316.0,34113.0,399.0,31.3,129300.0,40.6,35376.0,3.6,80.8,9.4,26.0,0.4228,52504.0,165.0,16.8,21.3,35376.0,34113.0,35.3,624.0,15.5,11.5,2019
Adams County,Iowa,78.7718115839805,19,3,28440.0,3620.0,2.0,20.9,87500.0,39.1,3670.0,3.9,94.2,3.0,4.0,0.4291,49255.0,31.0,14.1,32.0,3670.0,3620.0,30.7,549.0,15.6,14.0,2019
Adams County,Mississippi,73.466291061777,28,1,18386.0,12796.0,17610.0,20.8,92100.0,33.0,31266.0,10.1,84.9,7.3,95.0,0.5216,29936.0,231.0,31.5,25.9,31266.0,12796.0,37.0,600.0,17.4,17.4,2019
Adams County,Nebraska,79.3470547600106,31,1,28729.0,29380.0,203.0,23.8,128500.0,28.1,31587.0,2.5,92.5,4.6,120.0,0.4435,53023.0,266.0,12.5,24.7,31587.0,29380.0,37.5,722.0,24.3,13.4,2019
Adams County,North Dakota,79.9474718012062,38,1,33458.0,2172.0,48.0,22.2,121200.0,34.3,2311.0,1.0,89.8,1.6,24.0,0.4448,56681.0,9.0,8.7,33.4,2311.0,2172.0,30.9,604.0,25.6,10.1,2019
Adams County,Ohio,73.2565760364034,39,1,22366.0,27455.0,129.0,24.1,105300.0,44.5,27776.0,5.4,92.4,7.2,6.0,0.4815,39079.0,196.0,20.7,24.2,27776.0,27455.0,34.9,576.0,13.2,20.8,2019
Adams County,Pennsylvania,79.6024122446795,42,1,31590.0,95038.0,1468.0,20.3,205800.0,39.9,102470.0,3.8,94.4,4.0,129.0,0.3945,67253.0,771.0,7.8,27.1,102470.0,95038.0,34.5,922.0,22.3,13.7,2019
Adams County,Washington,79.3760640790719,53,1,20248.0,12761.0,203.0,35.2,154500.0,28.7,19594.0,6.7,83.5,23.3,796.0,0.4486,48294.0,166.0,25.6,15.8,19594.0,12761.0,39.3,822.0,14.3,12.0,2019
Adams County,Wisconsin,77.9421839583265,55,1,27241.0,18621.0,552.0,14.5,131100.0,42.6,20094.0,6.0,94.5,2.2,162.0,0.4238,46369.0,96.0,12.9,38.8,20094.0,18621.0,26.9,639.0,13.9,21.3,2019
Addison County,Vermont,80.9773068888416,50,1,34741.0,34625.0,541.0,17.2,249700.0,29.1,36882.0,3.9,95.7,2.2,130.0,0.4068,68825.0,368.0,7.2,27.3,36882.0,34625.0,37.8,1032.0,39.6,14.8,2019
Aiken County,South Carolina,76.607420068589,45,3,28396.0,118946.0,42002.0,21.8,147300.0,32.8,168301.0,7.5,89.8,4.3,549.0,0.455,51399.0,1487.0,14.9,25.9,168301.0,118946.0,36.3,819.0,26.4,14.0,2019
Aitkin County,Minnesota,79.6929884872945,27,1,29275.0,15003.0,81.0,16.7,183200.0,36.9,15834.0,5.0,95.9,2.0,326.0,0.4254,49351.0,75.0,12.2,41.6,15834.0,15003.0,24.2,768.0,18.1,18.1,2019
Alachua County,Florida,78.4340931262536,12,1,28646.0,182813.0,53278.0,18.0,186700.0,21.2,265443.0,5.1,91.6,2.8,1033.0,0.5111,49689.0,2737.0,21.4,19.1,265443.0,182813.0,50.2,983.0,43.3,10.9,2019
Alamance County,North Carolina,77.1714560616226,37,1,27312.0,113953.0,31926.0,22.4,154800.0,27.7,163324.0,5.3,88.8,5.4,668.0,0.4533,49688.0,1689.0,16.1,22.8,163324.0,113953.0,38.3,813.0,24.8,13.5,2019
Alameda County,California,82.7575999201849,6,1,47314.0,670364.0,175751.0,20.8,769300.0,17.6,1656754.0,4.6,95.6,5.9,11120.0,0.4616,99406.0,23925.0,9.9,19.2,1656754.0,670364.0,43.4,1797.0,47.4,9.2,2019
Alamosa County,Colorado,75.8122663850422,8,3,22131.0,13918.0,144.0,24.4,157500.0,28.5,16107.0,9.2,87.8,8.0,534.0,0.487,37515.0,216.0,23.5,18.5,16107.0,13918.0,44.8,700.0,25.0,17.5,2019
Albany County,New York,80.2755635862936,36,1,37635.0,231246.0,38035.0,18.5,222500.0,23.0,306968.0,4.5,96.9,2.6,494.0,0.46,66252.0,4519.0,11.9,23.1,306968.0,231246.0,42.6,1022.0,41.8,11.3,2019
Albany County,Wyoming,81.0657676503062,56,1,29146.0,34368.0,656.0,16.2,235000.0,14.7,38390.0,4.5,91.8,1.6,355.0,0.4697,49322.0,789.0,20.7,16.3,38390.0,34368.0,57.2,796.0,51.8,9.5,2019
Albemarle County,Virginia,81.7333654190414,51,3,44799.0,87831.0,10245.0,20.2,356100.0,15.8,107405.0,2.6,93.3,3.0,271.0,0.4794,79880.0,1038.0,9.1,24.6,107405.0,87831.0,39.9,1273.0,55.1,8.8,2019
Alcona County,Michigan,77.2527562046081,26,1,25636.0,10028.0,41.0,13.0,112000.0,39.3,10353.0,7.6,95.4,2.9,63.0,0.4286,40484.0,43.0,17.0,46.7,10353.0,10028.0,21.6,627.0,16.9,22.8,2019
Alcorn County,Mississippi,73.5396761606999,28,3,23909.0,31319.0,4492.0,23.3,102700.0,32.2,37090.0,6.5,86.3,7.3,72.0,0.4654,42086.0,300.0,15.0,24.0,37090.0,31319.0,37.6,617.0,17.1,21.0,2019
Aleutians East Borough,Alaska,84.863880134356,2,13,33939.0,510.0,142.0,14.3,119900.0,43.5,3385.0,3.9,53.7,6.6,1580.0,0.4068,69250.0,6.0,13.8,14.8,3385.0,510.0,41.4,939.0,11.5,9.3,2019
Aleutians West Census Area,Alaska,84.863880134356,2,16,39647.0,1660.0,191.0,17.2,279200.0,39.0,5698.0,2.1,82.5,5.1,614.0,0.3514,87466.0,25.0,6.8,12.3,5698.0,1660.0,45.2,1341.0,17.0,8.1,2019
Alexander County,Illinois,74.1333452633517,17,3,19519.0,3954.0,2094.0,23.3,56000.0,40.7,6260.0,7.1,92.3,4.2,37.0,0.4413,36806.0,38.0,25.3,28.9,6260.0,3954.0,29.0,526.0,12.9,22.2,2019
Alexander County,North Carolina,77.4099841765528,37,3,26688.0,32622.0,2173.0,20.3,136500.0,38.7,37213.0,5.1,91.1,4.8,138.0,0.4661,48756.0,135.0,13.6,26.2,37213.0,32622.0,35.2,654.0,14.2,17.8,2019
Alexandria City,Virginia,83.874092227451,51,510,62679.0,98017.0,34287.0,18.2,572900.0,11.6,157613.0,3.0,89.1,4.0,353.0,0.4472,100939.0,3680.0,10.3,16.4,157613.0,98017.0,48.4,1747.0,63.1,7.1,2019
Alfalfa County,Oklahoma,77.5698667646234,40,3,27615.0,4986.0,181.0,19.2,85700.0,37.5,5847.0,2.3,87.7,4.1,112.0,0.4579,61852.0,25.0,9.1,25.9,5847.0,4986.0,35.2,640.0,21.8,18.2,2019
Alger County,Michigan,78.8877171255446,26,3,20851.0,7773.0,702.0,15.1,136200.0,45.2,9151.0,5.2,91.7,4.0,334.0,0.4019,45570.0,56.0,11.2,34.4,9151.0,7773.0,32.7,650.0,17.4,17.4,2019
Allamakee County,Iowa,79.3669401432937,19,5,27892.0,13324.0,176.0,23.1,130400.0,39.4,13813.0,2.9,92.4,6.6,46.0,0.4155,52216.0,68.0,11.0,29.8,13813.0,13324.0,30.8,620.0,17.8,11.2,2019
Allegan County,Michigan,79.0336929242968,26,5,29215.0,108625.0,1569.0,24.4,165400.0,37.9,116143.0,2.8,95.5,3.2,398.0,0.403,62965.0,411.0,10.4,22.6,116143.0,108625.0,35.9,814.0,22.6,10.1,2019
Allegany County,Maryland,76.7249899777726,24,1,23607.0,62992.0,5796.0,17.4,120700.0,41.8,71445.0,7.4,95.2,2.5,100.0,0.439,45893.0,655.0,16.5,26.1,71445.0,62992.0,39.5,694.0,18.9,19.5,2019
Allegany County,New York,78.5604817813611,36,3,24857.0,44565.0,700.0,20.2,76400.0,36.7,46688.0,4.9,93.4,3.1,107.0,0.44,48412.0,348.0,16.9,25.7,46688.0,44565.0,39.1,658.0,20.9,16.1,2019
Alleghany County,North Carolina,77.5256985499814,37,5,23267.0,10501.0,267.0,17.4,139800.0,29.0,11008.0,3.9,88.7,7.5,42.0,0.4494,37830.0,99.0,23.4,35.9,11008.0,10501.0,29.5,622.0,17.3,20.1,2019
Alleghany County,Virginia,75.6171471728141,51,5,27338.0,14012.0,881.0,18.9,119700.0,40.3,15157.0,4.4,93.5,4.3,0.0,0.4595,47673.0,37.0,19.7,32.2,15157.0,14012.0,31.4,653.0,15.0,18.8,2019
Allegheny County,Pennsylvania,78.1610400814244,42,3,38709.0,976172.0,157060.0,18.8,154700.0,27.0,1221744.0,4.8,96.2,1.6,1368.0,0.4852,61043.0,14524.0,11.6,25.7,1221744.0,976172.0,39.1,890.0,41.6,13.4,2019
Allen County,Indiana,77.1861086597315,18,3,29160.0,294017.0,42798.0,25.8,129300.0,28.2,372575.0,4.9,91.4,4.3,711.0,0.4458,54857.0,3817.0,13.3,20.3,372575.0,294017.0,39.6,773.0,28.5,12.5,2019
Allen County,Kansas,76.296442179502,20,1,23734.0,11683.0,125.0,22.6,79300.0,33.1,12556.0,4.6,94.9,2.7,37.0,0.4205,45333.0,83.0,17.7,26.4,12556.0,11683.0,34.5,675.0,20.3,17.8,2019
Allen County,Kentucky,75.1924959216863,21,3,22294.0,20213.0,208.0,23.8,120600.0,38.5,20944.0,5.0,93.0,9.7,0.0,0.4468,44036.0,26.0,18.7,23.5,20944.0,20213.0,35.5,677.0,16.1,20.9,2019
Allen County,Ohio,77.005363061584,39,3,26761.0,85161.0,12230.0,23.2,118100.0,38.8,103175.0,5.4,93.9,2.1,247.0,0.4328,53131.0,1078.0,13.9,24.0,103175.0,85161.0,38.0,703.0,18.9,16.1,2019
Allen Parish,Louisiana,75.3434937718889,22,3,20964.0,18941.0,4845.0,22.4,97500.0,44.3,25618.0,9.9,91.5,6.6,530.0,0.4525,46446.0,153.0,14.5,20.1,25618.0,18941.0,40.5,601.0,11.3,20.3,2019
Allendale County,South Carolina,72.3275766016541,45,5,16985.0,2108.0,6664.0,18.8,49200.0,45.9,9024.0,16.0,91.0,8.8,25.0,0.5028,27185.0,13.0,25.0,26.8,9024.0,2108.0,37.7,602.0,9.2,24.7,2019
Alpena County,Michigan,77.7152362657867,26,7,25957.0,27603.0,165.0,18.7,96500.0,33.7,28520.0,6.0,94.6,2.3,103.0,0.439,43363.0,235.0,14.3,30.9,28520.0,27603.0,31.8,596.0,18.0,18.6,2019
Alpine County,California,78.6485788538821,6,3,36739.0,599.0,9.0,19.3,365300.0,28.1,1039.0,12.5,91.1,5.2,353.0,0.493,63750.0,0.0,19.7,41.1,1039.0,599.0,30.4,538.0,34.5,16.0,2019
Amador County,California,79.8862333173767,6,5,31987.0,33327.0,904.0,15.2,313700.0,27.5,38429.0,6.9,95.3,2.4,303.0,0.449,62772.0,331.0,9.9,35.4,38429.0,33327.0,30.6,1103.0,19.3,19.0,2019
Amelia County,Virginia,76.1974677043046,51,7,31688.0,9824.0,2745.0,21.4,201400.0,40.8,12953.0,3.4,89.7,6.7,24.0,0.4392,57946.0,192.0,10.7,24.6,12953.0,9824.0,32.4,826.0,17.1,14.5,2019
Amherst County,Virginia,77.6871794626152,51,9,26712.0,24381.0,5709.0,19.6,155600.0,36.0,31775.0,5.8,90.7,5.3,212.0,0.4197,52888.0,285.0,14.0,27.8,31775.0,24381.0,33.8,728.0,19.1,15.6,2019
Amite County,Mississippi,75.9042389324328,28,5,21568.0,7119.0,5202.0,20.7,83600.0,39.3,12412.0,8.6,86.6,4.5,3.0,0.513,33981.0,31.0,26.7,29.6,12412.0,7119.0,30.7,661.0,12.6,21.6,2019
Anchorage Municipality,Alaska,79.3865194176634,2,20,41415.0,183741.0,16341.0,24.5,314800.0,23.4,293531.0,5.7,88.8,2.4,23241.0,0.4298,84928.0,3941.0,9.0,16.1,293531.0,183741.0,44.5,1320.0,36.1,11.4,2019
Anderson County,Kansas,77.4978766381638,20,3,24309.0,7577.0,39.0,26.0,95700.0,42.0,7835.0,3.4,89.0,4.4,164.0,0.4384,50213.0,37.0,15.0,27.5,7835.0,7577.0,32.6,647.0,18.1,13.9,2019
Anderson County,Kentucky,75.9485275148363,21,5,27250.0,21341.0,627.0,23.9,149800.0,36.6,22409.0,7.2,96.5,3.8,0.0,0.4075,55334.0,280.0,15.7,22.5,22409.0,21341.0,36.1,708.0,20.2,19.2,2019
Anderson County,South Carolina,75.644706750867,45,7,27552.0,157968.0,31183.0,23.0,145800.0,31.2,198064.0,5.1,90.2,4.5,310.0,0.457,50865.0,1778.0,14.6,24.1,198064.0,157968.0,36.3,778.0,22.2,16.6,2019
Anderson County,Tennessee,75.2045621219721,47,1,28455.0,69131.0,2671.0,21.2,146200.0,32.9,76061.0,6.1,90.6,4.9,422.0,0.4651,50392.0,763.0,16.7,26.6,76061.0,69131.0,34.8,750.0,23.3,19.7,2019
Anderson County,Texas,73.5761494601039,48,1,17280.0,42217.0,12124.0,19.5,101900.0,38.9,57810.0,3.2,85.5,6.0,317.0,0.4299,43455.0,476.0,14.9,20.3,57810.0,42217.0,43.2,770.0,10.6,14.8,2019
Andrew County,Missouri,79.2529198131928,29,3,29338.0,16686.0,240.0,23.1,147900.0,37.4,17503.0,3.0,94.3,3.2,45.0,0.4115,58772.0,60.0,7.9,25.4,17503.0,16686.0,34.8,801.0,24.9,15.5,2019
Andrews County,Texas,76.1895054499465,48,3,30673.0,16108.0,122.0,31.5,143900.0,34.9,18036.0,3.7,80.2,14.1,0.0,0.4237,76158.0,86.0,9.2,16.0,18036.0,16108.0,41.9,1028.0,12.2,9.9,2019
Androscoggin County,Maine,77.3472862200155,23,1,28956.0,98386.0,2562.0,21.8,158200.0,35.5,107602.0,3.9,92.0,3.9,162.0,0.4267,53509.0,1633.0,11.8,24.0,107602.0,98386.0,36.4,771.0,22.8,15.9,2019
Angelina County,Texas,76.1620984776092,48,5,23147.0,69651.0,12890.0,25.7,107600.0,31.6,87322.0,6.6,81.2,8.3,490.0,0.4369,50453.0,700.0,17.7,21.6,87322.0,69651.0,38.1,827.0,16.9,18.2,2019
Anne Arundel County,Maryland,79.4341984729359,24,3,46629.0,415470.0,95710.0,22.4,361200.0,23.7,571275.0,4.2,95.6,2.3,1175.0,0.4133,100798.0,5527.0,5.8,20.5,571275.0,415470.0,39.8,1663.0,41.7,10.7,2019
Anoka County,Minnesota,81.4207453601592,27,3,36978.0,292866.0,21877.0,24.0,232400.0,27.9,350253.0,3.5,96.1,2.0,2373.0,0.3908,82175.0,2240.0,5.9,19.6,350253.0,292866.0,38.5,1118.0,30.5,10.1,2019
Anson County,North Carolina,74.0134624519933,37,7,21635.0,11892.0,12094.0,19.4,91200.0,40.2,24902.0,8.4,88.9,4.7,66.0,0.4428,40213.0,224.0,19.5,25.0,24902.0,11892.0,38.8,754.0,11.3,18.4,2019
Antelope County,Nebraska,80.5876807931275,31,3,26523.0,6168.0,63.0,23.5,82000.0,33.8,6341.0,2.2,93.8,2.0,6.0,0.4039,49912.0,47.0,11.1,32.6,6341.0,6168.0,30.5,603.0,18.4,14.5,2019
Antrim County,Michigan,80.1864640593951,26,9,31851.0,22292.0,103.0,18.3,160500.0,31.5,23206.0,3.8,93.9,2.4,182.0,0.4561,56165.0,62.0,11.0,36.3,23206.0,22292.0,28.3,752.0,28.8,16.2,2019
Apache County,Arizona,72.3284548272921,4,1,15128.0,16328.0,373.0,27.3,59900.0,32.2,71511.0,10.5,74.9,9.0,52755.0,0.5013,32508.0,239.0,35.5,21.2,71511.0,16328.0,38.4,506.0,12.3,15.0,2019
Appanoose County,Iowa,76.6607425800552,19,7,26012.0,12074.0,89.0,21.9,81400.0,36.5,12452.0,6.5,92.2,3.4,24.0,0.4919,40167.0,128.0,17.7,31.0,12452.0,12074.0,31.2,624.0,16.3,18.9,2019
Appling County,Georgia,74.1299840083705,13,1,21300.0,13750.0,3561.0,24.8,80200.0,38.7,18440.0,4.1,84.6,8.7,97.0,0.4586,40304.0,25.0,22.5,23.2,18440.0,13750.0,36.0,560.0,9.8,15.5,2019
Appomattox County,Virginia,77.3358114053284,51,11,28586.0,12263.0,3105.0,21.3,158800.0,33.9,15707.0,3.3,91.4,4.5,5.0,0.4331,58696.0,62.0,13.2,27.9,15707.0,12263.0,34.3,691.0,20.9,15.6,2019
Aransas County,Texas,76.3506297347371,48,7,30863.0,22115.0,354.0,18.8,156800.0,31.2,24462.0,7.5,80.0,5.8,53.0,0.5348,45137.0,152.0,21.3,35.8,24462.0,22115.0,29.2,1012.0,21.9,19.9,2019
Arapahoe County,Colorado,80.7776770732522,8,5,40443.0,461113.0,69853.0,23.8,358200.0,20.8,644560.0,4.1,92.3,3.2,4482.0,0.4522,77469.0,9048.0,8.1,18.6,644560.0,461113.0,42.1,1390.0,42.8,9.0,2019
Archer County,Texas,78.9942041035725,48,9,34617.0,8315.0,83.0,21.7,146200.0,35.4,8716.0,2.8,87.1,3.5,96.0,0.4654,63835.0,33.0,11.9,27.0,8716.0,8315.0,34.1,637.0,23.9,15.1,2019
Archuleta County,Colorado,82.1853597930904,8,7,31629.0,11136.0,230.0,17.4,314400.0,21.0,13253.0,5.1,89.3,2.3,184.0,0.4511,52221.0,213.0,8.8,36.7,13253.0,11136.0,28.4,961.0,37.2,14.7,2019
Arenac County,Michigan,76.379868966832,26,11,24328.0,14500.0,62.0,18.1,94400.0,41.9,15070.0,7.1,94.0,2.5,198.0,0.4168,42290.0,81.0,17.1,34.3,15070.0,14500.0,29.7,604.0,12.6,20.1,2019
Arkansas County,Arkansas,74.0251497586038,5,1,26386.0,12921.0,4636.0,22.9,88600.0,38.9,17914.0,5.8,93.2,6.6,30.0,0.4807,46696.0,131.0,17.3,27.0,17914.0,12921.0,34.4,648.0,15.8,22.1,2019
Arlington County,Virginia,85.354634224284,51,13,71841.0,166912.0,21360.0,17.8,705400.0,7.8,233464.0,2.7,94.1,3.6,833.0,0.4409,120071.0,5584.0,6.8,14.9,233464.0,166912.0,51.6,1970.0,75.3,5.9,2019
Armstrong County,Pennsylvania,77.0335711627565,42,5,27715.0,64325.0,548.0,19.2,109400.0,49.0,65867.0,5.9,95.8,2.5,26.0,0.4181,51410.0,569.0,11.1,30.0,65867.0,64325.0,32.2,666.0,16.7,18.3,2019
Armstrong County,Texas,76.4305028560221,48,11,31749.0,1833.0,5.0,23.1,139700.0,22.4,1973.0,1.0,92.7,6.6,22.0,0.3981,72500.0,0.0,9.2,28.5,1973.0,1833.0,30.9,963.0,22.8,11.6,2019
Aroostook County,Maine,78.2351895653999,23,3,25477.0,64373.0,682.0,18.4,99600.0,37.3,67809.0,5.0,91.6,4.8,1275.0,0.4627,41123.0,831.0,16.1,31.7,67809.0,64373.0,31.2,574.0,19.2,22.3,2019
Ascension Parish,Louisiana,78.8745043886905,22,5,34168.0,88833.0,26779.0,27.0,207400.0,32.3,123114.0,5.7,93.3,3.4,96.0,0.4231,80527.0,853.0,10.6,17.0,123114.0,88833.0,41.0,982.0,26.4,12.2,2019
Ashe County,North Carolina,77.5876101023478,37,9,24814.0,25628.0,197.0,18.1,153200.0,31.8,26863.0,3.6,87.4,4.5,110.0,0.4441,40962.0,99.0,16.3,33.3,26863.0,25628.0,31.3,634.0,19.7,15.8,2019
Ashland County,Ohio,77.8532538206118,39,5,26017.0,51783.0,397.0,22.7,128400.0,41.6,53536.0,3.5,91.1,3.9,14.0,0.4143,52823.0,316.0,13.8,25.3,53536.0,51783.0,36.8,725.0,20.9,14.3,2019
Ashland County,Wisconsin,76.7699387315185,55,3,23946.0,13094.0,117.0,22.2,113100.0,37.0,15617.0,5.3,94.4,1.7,1852.0,0.441,42510.0,219.0,17.4,26.7,15617.0,13094.0,34.9,631.0,19.8,16.6,2019
Ashley County,Arkansas,74.2895051923306,5,3,23391.0,14682.0,5150.0,23.0,76400.0,43.7,20270.0,5.4,92.2,6.2,45.0,0.4694,44744.0,47.0,16.7,26.7,20270.0,14682.0,33.5,533.0,12.3,20.7,2019
Ashtabula County,Ohio,75.381805028664,39,7,24265.0,90804.0,3515.0,22.2,112700.0,44.6,97830.0,6.9,90.3,4.8,146.0,0.4508,46700.0,1097.0,19.9,26.5,97830.0,90804.0,34.6,696.0,14.3,16.6,2019
Asotin County,Washington,79.4516150988289,53,3,29695.0,20731.0,116.0,20.4,198100.0,28.0,22421.0,6.6,94.0,1.1,256.0,0.4332,53715.0,270.0,12.6,31.2,22421.0,20731.0,32.9,797.0,21.4,18.6,2019
Assumption Parish,Louisiana,76.7087931079275,22,7,25752.0,15158.0,6819.0,22.0,118600.0,45.1,22478.0,6.9,91.6,9.3,93.0,0.4883,43759.0,96.0,19.2,23.8,22478.0,15158.0,36.3,797.0,9.6,22.5,2019
Atascosa County,Texas,77.4466184666582,48,13,23890.0,45761.0,135.0,27.5,97900.0,38.7,49528.0,9.2,82.1,11.0,122.0,0.4324,55366.0,156.0,14.8,20.3,49528.0,45761.0,39.2,878.0,14.4,11.7,2019
Atchison County,Kansas,77.1218929033048,20,5,24237.0,14570.0,477.0,23.5,110400.0,38.4,16268.0,2.8,93.3,2.0,67.0,0.4209,50439.0,132.0,15.2,22.8,16268.0,14570.0,39.2,660.0,22.0,14.8,2019
Atchison County,Missouri,77.7636593668859,29,5,31248.0,5103.0,24.0,19.3,84900.0,39.0,5229.0,2.5,90.5,2.6,41.0,0.4395,50236.0,39.0,12.1,33.2,5229.0,5103.0,30.5,529.0,23.1,18.1,2019
Athens County,Ohio,77.5222781819628,39,9,22040.0,60024.0,1962.0,14.7,129600.0,35.1,65917.0,7.2,93.9,2.4,140.0,0.5025,40905.0,657.0,30.2,18.1,65917.0,60024.0,54.1,791.0,30.2,16.1,2019
Atkinson County,Georgia,73.6106428460459,13,3,20338.0,6196.0,1444.0,27.0,62700.0,34.7,8239.0,8.0,77.4,16.7,81.0,0.4735,37197.0,48.0,30.3,18.3,8239.0,6196.0,40.2,454.0,12.2,16.2,2019
Atlantic County,New Jersey,77.6443744609873,34,1,33284.0,174978.0,38907.0,21.5,217900.0,32.0,266105.0,8.4,91.9,5.2,1078.0,0.4716,62110.0,3336.0,13.3,24.4,266105.0,174978.0,36.1,1120.0,28.1,13.7,2019
Atoka County,Oklahoma,75.4589805999952,40,5,20443.0,10049.0,495.0,22.4,102900.0,40.3,13823.0,4.8,83.0,4.4,1433.0,0.4692,39316.0,143.0,20.6,25.2,13823.0,10049.0,37.3,554.0,15.0,23.2,2019
Attala County,Mississippi,72.8576909799673,28,7,21276.0,9916.0,7792.0,25.3,80700.0,32.4,18437.0,10.0,89.4,7.6,25.0,0.5098,33767.0,72.0,26.7,25.6,18437.0,9916.0,34.3,510.0,13.9,22.8,2019
Audrain County,Missouri,76.3200596043177,29,7,23024.0,22789.0,1464.0,23.1,97900.0,45.8,25644.0,4.6,89.2,4.2,91.0,0.4513,44261.0,195.0,15.1,24.7,25644.0,22789.0,37.7,649.0,14.7,16.4,2019
Audubon County,Iowa,78.4273617191079,19,9,30344.0,5401.0,11.0,20.6,79500.0,37.1,5571.0,1.8,94.8,2.2,2.0,0.4013,52055.0,61.0,11.7,32.3,5571.0,5401.0,29.5,582.0,17.1,12.7,2019
Auglaize County,Ohio,78.5551105103106,39,11,31198.0,44142.0,292.0,24.2,147300.0,43.5,45729.0,3.0,96.4,1.4,95.0,0.3962,64074.0,248.0,8.4,24.8,45729.0,44142.0,34.8,729.0,18.9,10.8,2019
Augusta County,Virginia,78.2968050774136,51,15,30272.0,69533.0,3195.0,19.1,214000.0,38.7,75079.0,3.5,92.1,3.9,206.0,0.41,62711.0,380.0,8.7,27.9,75079.0,69533.0,34.4,890.0,22.7,13.6,2019
Aurora County,South Dakota,79.7606700084492,46,3,37086.0,2548.0,46.0,26.7,85800.0,33.5,2763.0,1.3,92.2,8.9,63.0,0.4424,64083.0,22.0,5.4,25.0,2763.0,2548.0,35.4,628.0,21.5,12.5,2019
Austin County,Texas,79.1849481906578,48,15,30219.0,23146.0,2684.0,24.0,196300.0,29.2,29764.0,5.7,86.1,7.9,45.0,0.4146,66206.0,85.0,12.1,25.6,29764.0,23146.0,34.5,851.0,23.9,13.6,2019
Autauga County,Alabama,76.5932651350438,1,1,29819.0,42527.0,10538.0,23.8,154500.0,33.6,55380.0,3.7,92.9,2.5,140.0,0.4542,58731.0,432.0,15.2,19.9,55380.0,42527.0,39.3,986.0,26.6,19.0,2019
Avery County,North Carolina,77.1382285234349,37,11,21167.0,16109.0,693.0,14.7,144000.0,30.2,17506.0,4.6,84.1,5.8,231.0,0.4794,40340.0,58.0,15.1,29.8,17506.0,16109.0,37.9,777.0,20.7,20.4,2019
Avoyelles Parish,Louisiana,73.7448941701593,22,9,22017.0,26967.0,10942.0,23.6,104200.0,37.8,40669.0,6.4,91.7,6.8,362.0,0.5082,38565.0,429.0,24.4,22.9,40669.0,26967.0,38.4,663.0,12.3,21.5,2019
