County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Columbia County,Arkansas,5,27,14476.0,21372.0,39.9,82800.0,8351.0,21.2,23892.0,87.0,4.9,91.8,10.2,0.4974,36148.0,131.0,14476.0,23892.0,23.1,25.2,656.0,42.4,20.6,18.5,2018
Columbia County,Florida,12,23,53246.0,23901.0,36.1,117800.0,12256.0,21.9,69105.0,220.0,4.4,87.6,9.5,0.4695,44491.0,451.0,53246.0,69105.0,25.2,17.4,827.0,36.9,15.6,19.5,2018
Columbia County,Georgia,13,73,109501.0,32509.0,24.9,192200.0,24575.0,25.7,147295.0,436.0,2.5,92.0,5.2,0.4081,76938.0,786.0,109501.0,147295.0,18.7,8.8,1134.0,40.6,35.1,11.5,2018
Columbia County,New York,36,21,54318.0,35581.0,30.5,231100.0,2688.0,18.0,60919.0,33.0,3.4,95.3,4.9,0.4645,63032.0,629.0,54318.0,60919.0,30.6,11.9,931.0,32.3,31.3,15.8,2018
Columbia County,Oregon,41,9,47208.0,29317.0,34.3,240500.0,280.0,21.8,50851.0,474.0,2.6,94.1,7.0,0.4201,59714.0,642.0,47208.0,50851.0,27.0,12.1,909.0,34.8,17.8,17.2,2018
Columbia County,Pennsylvania,42,37,62838.0,25794.0,43.4,149100.0,1221.0,17.8,66220.0,82.0,2.4,95.3,4.9,0.4498,49889.0,653.0,62838.0,66220.0,25.0,14.3,762.0,39.8,22.5,13.3,2018
Columbia County,Washington,53,13,3650.0,31206.0,24.0,170800.0,30.0,19.6,4001.0,1.0,3.3,95.1,4.5,0.4667,51111.0,47.0,3650.0,4001.0,35.9,11.6,740.0,28.9,24.9,23.5,2018
Columbia County,Wisconsin,55,21,54076.0,33012.0,33.9,187000.0,705.0,21.9,56954.0,225.0,2.0,94.8,3.4,0.4056,65348.0,515.0,54076.0,56954.0,24.3,8.2,793.0,35.7,23.2,11.3,2018
Columbiana County,Ohio,39,29,98739.0,25853.0,45.1,106700.0,2292.0,20.7,104003.0,126.0,2.8,92.8,6.7,0.4472,46306.0,970.0,98739.0,104003.0,27.2,14.6,650.0,34.5,14.8,16.2,2018
Columbus County,North Carolina,37,47,34898.0,22081.0,34.7,87300.0,17396.0,21.6,56293.0,2114.0,6.3,86.3,7.0,0.5096,36398.0,378.0,34898.0,56293.0,25.8,23.8,615.0,36.2,13.1,20.0,2018
