County,State,State_FIPS,County_FIPS,asian_population,per_capita_income,high_school_only_percentage,median_home_value,black_population,age_18_and_under_percentage,total_population_race,native_american_population,less_than_9th_grade_percentage,health_insurance_rate,unemployment_rate,gini_index,median_household_income,housing_cost_burden,white_population,total_population,age_60_and_over,poverty_rate,median_gross_rent,age_15_to_44_percentage,bachelors_and_above_percentage,disability_rate,Year
Abbeville County,South Carolina,45,1,17220.0,21185.0,34.6,89000.0,6761.0,20.9,24657.0,0.0,6.6,88.4,7.6,0.4769,36685.0,84.0,17220.0,24657.0,29.1,22.5,684.0,34.5,15.9,20.5,2018
Acadia Parish,Louisiana,22,1,49471.0,22784.0,41.2,107700.0,11139.0,26.4,62568.0,20.0,9.9,88.5,9.1,0.4787,41177.0,470.0,49471.0,62568.0,20.0,23.9,624.0,38.1,13.4,18.9,2018
Accomack County,Virginia,51,1,22372.0,24355.0,38.8,165000.0,9574.0,21.0,32742.0,176.0,6.3,83.2,4.2,0.4382,43210.0,321.0,22372.0,32742.0,30.0,19.9,797.0,31.5,18.5,13.3,2018
Ada County,Idaho,16,1,404644.0,33352.0,23.0,242300.0,6204.0,24.5,446052.0,2525.0,1.4,91.7,3.8,0.4659,63137.0,3409.0,404644.0,446052.0,19.1,11.0,950.0,41.4,37.8,10.2,2018
Adair County,Iowa,19,1,6967.0,29984.0,43.1,100100.0,27.0,21.7,7124.0,0.0,2.1,93.7,3.5,0.4293,51859.0,74.0,6967.0,7124.0,30.9,9.1,588.0,31.7,15.4,16.6,2018
Adair County,Kentucky,21,1,18201.0,20166.0,38.7,89600.0,631.0,20.0,19241.0,44.0,10.1,93.1,6.2,0.4696,39346.0,147.0,18201.0,19241.0,24.9,21.6,537.0,38.3,16.3,18.8,2018
Adair County,Missouri,29,1,23100.0,22000.0,35.8,118100.0,870.0,17.9,25325.0,52.0,3.4,91.5,6.5,0.5131,40046.0,269.0,23100.0,25325.0,19.0,26.4,619.0,50.8,30.0,12.3,2018
Adair County,Oklahoma,40,1,9359.0,16851.0,45.6,83500.0,75.0,26.4,22113.0,9727.0,5.1,73.3,5.3,0.4606,32986.0,172.0,9359.0,22113.0,21.2,29.3,567.0,37.4,11.6,19.1,2018
Adams County,Colorado,8,1,410132.0,28897.0,28.4,273000.0,16494.0,27.2,497115.0,6264.0,7.7,88.9,4.4,0.4075,67575.0,6038.0,410132.0,497115.0,14.5,11.5,1270.0,44.0,23.6,10.5,2018
Adams County,Idaho,16,3,3852.0,25143.0,37.7,173100.0,11.0,18.3,4019.0,50.0,3.1,83.4,11.1,0.4228,45319.0,32.0,3852.0,4019.0,37.7,11.4,619.0,25.5,19.1,22.9,2018
Adams County,Illinois,17,1,61819.0,29347.0,34.5,126100.0,2712.0,22.6,66427.0,278.0,2.0,95.3,4.7,0.4548,51398.0,730.0,61819.0,66427.0,25.9,12.1,670.0,35.1,24.8,13.8,2018
Adams County,Indiana,18,1,34060.0,22514.0,39.7,122400.0,392.0,31.3,35195.0,23.0,8.9,81.1,3.6,0.4149,51713.0,141.0,34060.0,35195.0,20.9,16.8,607.0,35.6,15.3,11.8,2018
Adams County,Iowa,19,3,3662.0,27824.0,39.1,86100.0,16.0,20.9,3726.0,3.0,2.1,94.5,2.8,0.4265,49229.0,27.0,3662.0,3726.0,31.1,11.5,531.0,30.8,17.7,13.6,2018
Adams County,Mississippi,28,1,12782.0,17851.0,34.6,92800.0,17855.0,20.9,31547.0,75.0,7.5,85.2,10.0,0.5368,29203.0,184.0,12782.0,31547.0,24.3,34.3,603.0,37.1,17.8,16.6,2018
Adams County,Nebraska,31,1,29464.0,28783.0,28.0,118300.0,212.0,23.9,31583.0,165.0,4.1,92.9,3.3,0.4607,51536.0,277.0,29464.0,31583.0,24.5,13.0,676.0,37.5,24.9,14.2,2018
Adams County,North Dakota,38,1,2188.0,33652.0,33.6,148800.0,50.0,21.4,2351.0,28.0,1.3,93.0,1.3,0.4604,54875.0,8.0,2188.0,2351.0,33.1,8.3,544.0,30.7,28.6,10.0,2018
Adams County,Ohio,39,1,27098.0,21543.0,43.6,100200.0,109.0,24.6,27878.0,87.0,7.3,91.3,7.1,0.4933,36894.0,174.0,27098.0,27878.0,23.3,22.6,595.0,34.6,12.9,20.2,2018
Adams County,Pennsylvania,42,1,94449.0,30534.0,40.5,201900.0,1479.0,20.4,102023.0,67.0,4.0,94.2,4.5,0.3982,64507.0,913.0,94449.0,102023.0,26.4,8.8,910.0,34.8,22.4,13.5,2018
Adams County,Washington,53,1,13481.0,19152.0,27.1,154500.0,150.0,35.2,19452.0,715.0,24.8,80.5,6.3,0.4203,49142.0,160.0,13481.0,19452.0,15.5,25.2,744.0,38.9,13.6,11.3,2018
Adams County,Wisconsin,55,1,18642.0,25591.0,42.8,125100.0,568.0,14.8,20073.0,156.0,2.5,94.6,7.4,0.4342,43280.0,94.0,18642.0,20073.0,38.0,14.8,710.0,27.2,12.4,21.7,2018
Addison County,Vermont,50,1,34783.0,33120.0,30.5,241900.0,482.0,17.5,36939.0,124.0,2.6,95.7,4.3,0.4128,65093.0,361.0,34783.0,36939.0,26.8,7.7,990.0,37.8,36.7,14.8,2018
Aiken County,South Carolina,45,3,117891.0,27526.0,32.2,142200.0,41289.0,22.0,166926.0,595.0,4.2,88.7,7.8,0.4545,50036.0,1406.0,117891.0,166926.0,25.5,16.1,794.0,36.4,26.4,13.7,2018
Aitkin County,Minnesota,27,1,15011.0,27646.0,37.7,174400.0,89.0,16.8,15834.0,345.0,2.2,95.7,5.9,0.4275,45989.0,93.0,15011.0,15834.0,41.3,13.0,663.0,24.0,17.4,17.9,2018
Alachua County,Florida,12,1,182692.0,27896.0,21.7,173900.0,52592.0,18.0,263148.0,975.0,2.9,90.8,6.1,0.5138,49078.0,2970.0,182692.0,263148.0,18.8,21.8,958.0,50.4,42.5,10.7,2018
Alamance County,North Carolina,37,1,112786.0,26215.0,27.6,147800.0,30742.0,22.5,160576.0,462.0,5.6,88.1,5.7,0.46,45735.0,1766.0,112786.0,160576.0,22.6,16.8,798.0,38.2,24.0,14.3,2018
Alameda County,California,6,1,681725.0,44283.0,17.6,707800.0,177135.0,21.0,1643700.0,10712.0,6.2,94.9,5.1,0.4624,92574.0,24221.0,681725.0,1643700.0,18.8,10.6,1674.0,43.4,46.0,9.4,2018
Alamosa County,Colorado,8,3,14297.0,21328.0,27.3,157500.0,191.0,23.9,16444.0,526.0,8.3,86.0,9.3,0.4821,39191.0,206.0,14297.0,16444.0,18.1,23.7,657.0,46.1,26.1,18.4,2018
Albany County,New York,36,1,232402.0,36454.0,24.1,218100.0,38407.0,18.7,307426.0,516.0,2.5,96.0,4.8,0.4592,64535.0,4798.0,232402.0,307426.0,22.5,12.0,993.0,42.6,41.3,11.2,2018
Albany County,Wyoming,56,1,34340.0,26665.0,16.0,226900.0,463.0,16.8,38102.0,317.0,1.6,92.6,4.3,0.4667,46865.0,702.0,34340.0,38102.0,16.2,22.6,762.0,56.4,49.9,10.0,2018
Albemarle County,Virginia,51,3,86739.0,42085.0,16.6,344500.0,10375.0,20.4,106355.0,209.0,3.6,92.7,2.9,0.4809,75394.0,1059.0,86739.0,106355.0,24.0,9.8,1244.0,39.9,53.5,9.0,2018
Alcona County,Michigan,26,1,10048.0,25219.0,39.2,99800.0,40.0,13.0,10364.0,58.0,3.0,94.2,8.9,0.4313,39735.0,39.0,10048.0,10364.0,46.2,16.0,661.0,21.5,15.7,23.3,2018
Alcorn County,Mississippi,28,3,31589.0,21321.0,32.6,92400.0,4332.0,23.6,37180.0,33.0,7.7,84.7,8.8,0.4411,40180.0,307.0,31589.0,37180.0,23.8,17.1,600.0,37.2,16.4,21.2,2018
Aleutians East Borough,Alaska,2,13,605.0,32510.0,40.2,123000.0,144.0,14.2,3425.0,1349.0,6.6,54.4,3.5,0.3987,69706.0,13.0,605.0,3425.0,16.0,15.4,992.0,41.1,12.7,8.5,2018
Aleutians West Census Area,Alaska,2,16,1699.0,37070.0,40.5,247900.0,246.0,16.7,5750.0,651.0,5.7,81.2,2.0,0.3628,85517.0,20.0,1699.0,5750.0,12.5,8.5,1321.0,46.2,16.4,7.7,2018
Alexander County,Illinois,17,3,4078.0,19065.0,37.8,53500.0,2169.0,24.2,6532.0,48.0,4.9,93.2,7.0,0.4596,34709.0,39.0,4078.0,6532.0,27.5,30.2,505.0,30.3,11.3,21.5,2018
Alexander County,North Carolina,37,3,32640.0,24452.0,38.6,130600.0,2105.0,20.5,37119.0,150.0,5.5,89.2,6.7,0.4671,44961.0,161.0,32640.0,37119.0,25.5,14.9,641.0,36.1,14.7,18.2,2018
Alexandria City,Virginia,51,510,97091.0,59239.0,12.0,557000.0,34246.0,18.3,156505.0,276.0,4.6,87.6,3.3,0.4443,96733.0,3949.0,97091.0,156505.0,15.7,10.6,1702.0,48.8,62.1,7.0,2018
Alfalfa County,Oklahoma,40,3,4546.0,27871.0,39.1,78900.0,191.0,20.0,5857.0,131.0,4.3,89.2,3.4,0.4764,59569.0,23.0,4546.0,5857.0,25.3,8.9,691.0,35.6,20.2,16.9,2018
Alger County,Michigan,26,3,7807.0,21773.0,44.3,123500.0,692.0,15.2,9194.0,320.0,4.2,92.8,6.5,0.4146,46007.0,38.0,7807.0,9194.0,34.0,11.6,649.0,32.0,17.4,17.3,2018
Allamakee County,Iowa,19,5,13432.0,27741.0,38.9,124900.0,174.0,22.9,13880.0,25.0,6.5,92.5,2.5,0.4274,51057.0,82.0,13432.0,13880.0,29.4,9.5,598.0,31.0,18.5,11.3,2018
Allegan County,Michigan,26,5,107953.0,28073.0,37.8,157400.0,1701.0,24.6,115250.0,558.0,3.4,95.4,3.2,0.4053,59883.0,392.0,107953.0,115250.0,22.1,10.3,794.0,35.9,22.7,10.3,2018
Allegany County,Maryland,24,1,63483.0,23280.0,41.9,119200.0,6051.0,17.5,71977.0,94.0,2.5,95.2,8.5,0.448,44065.0,609.0,63483.0,71977.0,25.6,16.4,694.0,39.5,18.3,18.5,2018
Allegany County,New York,36,3,44860.0,23030.0,36.7,73900.0,652.0,20.4,47025.0,133.0,3.2,93.1,6.1,0.4157,47033.0,376.0,44860.0,47025.0,24.6,17.0,645.0,39.2,20.2,16.0,2018
Alleghany County,North Carolina,37,5,10346.0,21244.0,29.5,126000.0,266.0,17.7,10973.0,37.0,7.0,88.8,5.9,0.4237,37558.0,131.0,10346.0,10973.0,34.3,24.6,645.0,30.2,16.7,23.3,2018
Alleghany County,Virginia,51,5,14065.0,26918.0,40.0,116500.0,823.0,19.2,15286.0,0.0,4.5,93.0,5.6,0.4468,47794.0,48.0,14065.0,15286.0,31.2,20.2,676.0,31.7,15.4,18.5,2018
Allegheny County,Pennsylvania,42,3,981847.0,36907.0,27.8,147700.0,157891.0,18.9,1225561.0,1354.0,1.6,95.7,5.3,0.4869,58383.0,14206.0,981847.0,1225561.0,25.2,12.1,865.0,39.0,40.7,13.3,2018
Allen County,Indiana,18,3,293212.0,28239.0,28.7,123800.0,42187.0,26.0,370016.0,692.0,4.2,90.6,5.6,0.4521,53402.0,3803.0,293212.0,370016.0,19.8,14.3,744.0,39.6,28.2,12.5,2018
Allen County,Kansas,20,1,11818.0,23454.0,34.0,78700.0,188.0,22.8,12630.0,35.0,2.9,94.2,4.6,0.4337,42679.0,82.0,11818.0,12630.0,27.0,16.5,627.0,34.7,20.4,18.3,2018
Allen County,Kentucky,21,3,19821.0,21262.0,39.5,112300.0,311.0,24.1,20794.0,0.0,9.2,92.3,5.5,0.4379,40893.0,73.0,19821.0,20794.0,23.6,19.1,661.0,35.8,14.6,21.0,2018
Allen County,Ohio,39,3,85951.0,25662.0,38.5,113500.0,12213.0,23.3,103642.0,260.0,2.0,93.3,6.0,0.4417,50552.0,1074.0,85951.0,103642.0,23.5,14.8,687.0,38.0,17.8,15.5,2018
Allen Parish,Louisiana,22,3,18903.0,20203.0,42.9,93000.0,4878.0,22.5,25661.0,540.0,6.4,89.4,9.6,0.4686,41009.0,191.0,18903.0,25661.0,19.6,18.7,606.0,40.6,12.7,19.3,2018
Allendale County,South Carolina,45,5,2165.0,14744.0,44.0,52100.0,6974.0,19.0,9214.0,30.0,8.3,87.9,16.4,0.4995,24560.0,37.0,2165.0,9214.0,25.1,26.8,608.0,38.3,9.4,23.5,2018
Alpena County,Michigan,26,7,27720.0,25115.0,33.5,95600.0,149.0,19.1,28612.0,152.0,2.6,93.7,6.0,0.4391,41991.0,271.0,27720.0,28612.0,30.3,14.4,573.0,31.9,17.5,18.3,2018
Alpine County,California,6,3,723.0,29041.0,28.7,349000.0,9.0,20.9,1146.0,311.0,3.2,89.7,17.8,0.4967,64688.0,0.0,723.0,1146.0,35.1,19.8,540.0,36.4,30.0,20.7,2018
Amador County,California,6,5,32989.0,30100.0,28.7,296400.0,790.0,15.4,37829.0,305.0,2.5,95.8,8.6,0.4437,61198.0,339.0,32989.0,37829.0,35.3,9.7,1056.0,30.6,20.3,18.5,2018
Amelia County,Virginia,51,7,9738.0,29114.0,39.2,204400.0,2737.0,21.6,12854.0,31.0,6.9,88.8,2.8,0.4218,58526.0,147.0,9738.0,12854.0,24.7,13.4,808.0,32.3,15.9,13.8,2018
Amherst County,Virginia,51,9,24604.0,24343.0,35.7,153300.0,5670.0,19.8,31882.0,123.0,5.1,89.7,6.1,0.4109,49170.0,257.0,24604.0,31882.0,27.3,13.9,741.0,34.4,19.2,14.8,2018
Amite County,Mississippi,28,5,7156.0,20380.0,40.7,75500.0,5239.0,20.8,12468.0,3.0,6.1,84.9,8.2,0.4923,31854.0,30.0,7156.0,12468.0,30.5,24.3,647.0,31.3,13.1,19.4,2018
Anchorage Municipality,Alaska,2,20,186522.0,39839.0,23.8,308000.0,16439.0,24.7,296112.0,21876.0,2.5,87.8,5.6,0.4251,83280.0,4118.0,186522.0,296112.0,15.4,9.2,1306.0,44.6,35.3,11.1,2018
Anderson County,Kansas,20,3,7567.0,23210.0,41.5,93400.0,45.0,26.4,7852.0,166.0,4.6,90.5,2.9,0.4181,46274.0,65.0,7567.0,7852.0,27.2,13.9,600.0,32.2,17.5,13.7,2018
Anderson County,Kentucky,21,5,21159.0,26339.0,36.8,142200.0,566.0,24.2,22214.0,0.0,4.2,96.0,7.7,0.4073,54160.0,249.0,21159.0,22214.0,22.0,13.9,708.0,36.6,20.3,17.1,2018
Anderson County,South Carolina,45,7,156465.0,25807.0,31.3,137200.0,31052.0,23.1,195995.0,319.0,5.1,89.4,5.8,0.4518,47906.0,1909.0,156465.0,195995.0,23.7,15.2,747.0,36.4,21.4,16.1,2018
Anderson County,Tennessee,47,1,69213.0,27913.0,33.1,139800.0,2470.0,21.1,75775.0,379.0,5.5,90.8,6.0,0.4655,49376.0,692.0,69213.0,75775.0,26.4,16.2,726.0,34.9,23.5,18.9,2018
Anderson County,Texas,48,1,42549.0,16868.0,36.2,92900.0,12141.0,19.4,57863.0,270.0,6.4,85.9,3.3,0.4225,43355.0,418.0,42549.0,57863.0,20.4,14.8,748.0,43.8,11.7,13.9,2018
Andrew County,Missouri,29,3,16646.0,28027.0,38.1,140100.0,349.0,23.1,17403.0,29.0,2.4,92.9,3.2,0.4149,55683.0,89.0,16646.0,17403.0,24.9,8.6,757.0,34.8,23.8,14.2,2018
Andrews County,Texas,48,3,16464.0,31190.0,36.7,135600.0,353.0,31.0,17818.0,0.0,13.5,81.8,4.7,0.4506,74233.0,93.0,16464.0,17818.0,15.2,10.4,1000.0,41.8,10.4,9.1,2018
Androscoggin County,Maine,23,1,98333.0,27231.0,36.5,153500.0,2260.0,21.9,107444.0,249.0,3.9,91.7,4.6,0.4252,51412.0,1600.0,98333.0,107444.0,23.2,13.2,751.0,36.5,22.2,16.4,2018
Angelina County,Texas,48,5,69372.0,22322.0,31.9,100600.0,12962.0,25.9,87607.0,599.0,8.9,80.8,7.9,0.4495,47714.0,760.0,69372.0,87607.0,21.3,18.3,805.0,38.1,16.3,18.4,2018
Anne Arundel County,Maryland,24,3,416185.0,44979.0,23.8,355200.0,93526.0,22.4,567696.0,997.0,2.3,95.3,4.6,0.4112,97810.0,5129.0,416185.0,567696.0,20.1,6.0,1612.0,39.8,40.9,10.5,2018
Anoka County,Minnesota,27,3,292678.0,35806.0,27.9,218800.0,20497.0,24.1,347431.0,2289.0,2.1,95.9,3.7,0.3903,79923.0,2155.0,292678.0,347431.0,19.0,6.1,1089.0,38.6,29.7,10.0,2018
Anson County,North Carolina,37,7,12083.0,20124.0,41.5,89300.0,12333.0,19.5,25306.0,96.0,5.3,87.8,9.9,0.4417,39126.0,272.0,12083.0,25306.0,23.8,19.8,705.0,39.2,9.6,17.8,2018
Antelope County,Nebraska,31,3,6216.0,26406.0,33.0,80600.0,48.0,23.7,6372.0,9.0,2.4,93.4,2.0,0.4315,48716.0,51.0,6216.0,6372.0,31.1,12.6,543.0,30.4,19.1,15.2,2018
Antrim County,Michigan,26,9,22256.0,30920.0,32.0,157600.0,86.0,18.6,23177.0,176.0,2.4,92.9,5.3,0.4675,52589.0,68.0,22256.0,23177.0,35.5,12.0,749.0,28.4,28.2,15.8,2018
Apache County,Arizona,4,1,16362.0,14499.0,33.1,62300.0,513.0,27.7,71522.0,52708.0,9.9,76.5,12.0,0.495,32963.0,241.0,16362.0,71522.0,20.6,35.3,486.0,38.3,11.7,14.7,2018
Appanoose County,Iowa,19,7,12156.0,27546.0,37.0,78000.0,74.0,22.0,12510.0,22.0,3.1,93.1,5.4,0.5136,41111.0,121.0,12156.0,12510.0,31.2,16.1,599.0,31.3,17.1,18.6,2018
Appling County,Georgia,13,1,14033.0,20421.0,38.3,75900.0,3363.0,25.0,18454.0,72.0,8.9,84.4,5.9,0.4446,39561.0,38.0,14033.0,18454.0,22.8,23.3,572.0,36.2,9.7,19.1,2018
Appomattox County,Virginia,51,11,12125.0,26890.0,34.5,155300.0,3088.0,21.5,15577.0,12.0,5.5,91.8,3.8,0.4242,56176.0,75.0,12125.0,15577.0,26.9,13.5,723.0,34.5,19.8,16.8,2018
Aransas County,Texas,48,7,22104.0,30939.0,29.7,158400.0,381.0,19.1,24763.0,50.0,5.2,79.5,6.6,0.5351,44865.0,128.0,22104.0,24763.0,34.7,20.3,942.0,29.4,21.7,21.3,2018
Arapahoe County,Colorado,8,5,455987.0,38972.0,20.7,327800.0,67821.0,24.1,636671.0,4184.0,3.3,91.8,4.4,0.4589,73925.0,8823.0,455987.0,636671.0,18.2,9.0,1307.0,42.0,42.2,9.0,2018
Archer County,Texas,48,9,8334.0,31806.0,33.3,133500.0,81.0,21.8,8789.0,40.0,3.6,88.6,3.5,0.4316,64476.0,48.0,8334.0,8789.0,27.1,9.3,638.0,33.6,23.4,15.7,2018
Archuleta County,Colorado,8,7,10810.0,31035.0,21.5,295500.0,249.0,17.1,12908.0,192.0,3.3,88.9,5.8,0.4486,50753.0,191.0,10810.0,12908.0,35.7,10.7,934.0,29.3,38.9,14.5,2018
Arenac County,Michigan,26,11,14597.0,23374.0,42.3,90000.0,89.0,18.2,15165.0,190.0,3.0,93.1,9.6,0.4209,40769.0,91.0,14597.0,15165.0,33.1,18.2,592.0,30.0,11.8,21.0,2018
Arkansas County,Arkansas,5,1,13146.0,24714.0,38.3,83600.0,4677.0,23.0,18124.0,18.0,6.1,93.2,6.3,0.4963,39466.0,177.0,13146.0,18124.0,26.3,20.0,651.0,35.6,15.5,24.4,2018
Arlington County,Virginia,51,13,165609.0,69051.0,8.1,669400.0,20777.0,17.6,231803.0,870.0,3.9,93.4,2.9,0.4355,117374.0,5456.0,165609.0,231803.0,14.7,7.2,1936.0,52.2,74.6,5.9,2018
Armstrong County,Pennsylvania,42,5,64771.0,26465.0,48.0,103600.0,591.0,19.4,66331.0,19.0,2.7,95.0,6.3,0.4155,49032.0,530.0,64771.0,66331.0,28.9,11.7,656.0,32.4,16.2,18.6,2018
Armstrong County,Texas,48,11,1830.0,31075.0,24.4,137700.0,7.0,20.7,1916.0,29.0,4.4,92.4,0.9,0.3662,66563.0,3.0,1830.0,1916.0,27.7,7.3,824.0,30.5,23.2,12.6,2018
Aroostook County,Maine,23,3,64865.0,24571.0,37.2,98000.0,665.0,18.5,68269.0,1249.0,5.4,91.0,5.1,0.4598,39824.0,823.0,64865.0,68269.0,30.8,17.2,561.0,31.4,18.9,22.6,2018
Ascension Parish,Louisiana,22,5,88396.0,32961.0,32.4,191300.0,26398.0,27.2,121176.0,57.0,3.9,92.5,6.0,0.4212,76589.0,567.0,88396.0,121176.0,16.3,11.6,979.0,41.2,26.8,12.6,2018
Ashe County,North Carolina,37,9,25468.0,24039.0,32.3,152500.0,199.0,18.3,26786.0,97.0,5.6,88.1,4.6,0.447,40978.0,144.0,25468.0,26786.0,32.4,18.0,596.0,31.5,19.0,15.7,2018
Ashland County,Ohio,39,5,51672.0,25471.0,42.8,124900.0,436.0,22.8,53477.0,3.0,3.7,91.3,4.1,0.4087,52730.0,359.0,51672.0,53477.0,24.7,13.3,730.0,36.8,21.1,13.9,2018
Ashland County,Wisconsin,55,3,13193.0,23505.0,35.6,110100.0,110.0,22.3,15712.0,1885.0,1.6,93.8,5.9,0.4322,43861.0,216.0,13193.0,15712.0,25.8,14.3,636.0,35.0,21.1,17.3,2018
Ashley County,Arkansas,5,3,14737.0,22052.0,39.9,71500.0,5273.0,23.3,20537.0,50.0,6.7,90.8,6.9,0.476,39635.0,65.0,14737.0,20537.0,25.6,20.2,607.0,34.1,13.2,23.1,2018
Ashtabula County,Ohio,39,7,90979.0,22817.0,44.4,108300.0,3696.0,22.3,98136.0,158.0,4.7,90.8,7.3,0.4439,44823.0,848.0,90979.0,98136.0,25.9,20.3,679.0,34.8,14.1,16.4,2018
Asotin County,Washington,53,3,20732.0,27896.0,28.1,181800.0,98.0,20.8,22337.0,294.0,1.3,92.7,6.9,0.4312,50423.0,215.0,20732.0,22337.0,29.6,13.0,759.0,32.7,20.5,19.3,2018
Assumption Parish,Louisiana,22,7,15439.0,26238.0,43.7,113100.0,6807.0,22.2,22714.0,83.0,8.3,89.1,7.3,0.5025,44744.0,88.0,15439.0,22714.0,23.5,17.4,759.0,37.1,10.2,21.1,2018
Atascosa County,Texas,48,13,45293.0,24421.0,39.9,100200.0,124.0,27.8,48828.0,91.0,11.3,84.2,8.1,0.451,55265.0,222.0,45293.0,48828.0,20.0,15.0,834.0,39.0,13.3,12.2,2018
Atchison County,Kansas,20,5,14785.0,24224.0,37.6,101600.0,378.0,23.6,16363.0,77.0,2.1,92.8,4.6,0.45,48667.0,136.0,14785.0,16363.0,21.8,17.6,675.0,39.0,21.9,15.3,2018
Atchison County,Missouri,29,5,5150.0,29009.0,39.6,85600.0,20.0,19.2,5270.0,26.0,3.1,91.5,3.3,0.4172,48385.0,40.0,5150.0,5270.0,32.8,10.2,542.0,30.7,22.5,18.6,2018
Athens County,Ohio,39,9,59769.0,20745.0,34.9,122000.0,1889.0,14.9,65936.0,333.0,2.4,93.7,7.7,0.5096,37778.0,695.0,59769.0,65936.0,17.4,30.6,764.0,54.5,29.7,16.6,2018
Atkinson County,Georgia,13,3,5967.0,18565.0,40.3,60100.0,1484.0,27.4,8265.0,60.0,15.0,75.1,9.2,0.4765,34877.0,26.0,5967.0,8265.0,17.8,30.0,449.0,40.5,9.9,15.1,2018
Atlantic County,New Jersey,34,1,178914.0,31366.0,32.1,218300.0,40319.0,21.7,268539.0,969.0,5.1,90.7,9.6,0.4615,59989.0,3464.0,178914.0,268539.0,23.6,14.3,1094.0,36.5,27.4,13.5,2018
Atoka County,Oklahoma,40,5,10104.0,20733.0,40.6,98800.0,536.0,22.6,13874.0,1447.0,4.6,82.5,6.0,0.4879,38821.0,114.0,10104.0,13874.0,25.2,20.2,568.0,36.4,15.0,22.4,2018
Attala County,Mississippi,28,7,10026.0,20936.0,31.3,76000.0,7921.0,25.5,18581.0,30.0,8.2,88.9,10.5,0.5054,34756.0,74.0,10026.0,18581.0,25.3,23.1,518.0,34.4,13.6,22.2,2018
Audrain County,Missouri,29,7,22929.0,21819.0,46.4,98300.0,1569.0,23.3,25735.0,103.0,4.5,90.0,7.1,0.4391,43761.0,195.0,22929.0,25735.0,24.5,15.3,648.0,37.6,14.5,15.8,2018
Audubon County,Iowa,19,9,5478.0,28957.0,40.1,71100.0,20.0,19.5,5637.0,4.0,2.8,94.6,2.5,0.392,50397.0,55.0,5478.0,5637.0,32.4,10.2,567.0,29.6,14.6,13.1,2018
Auglaize County,Ohio,39,11,44271.0,29908.0,43.7,143800.0,229.0,24.3,45784.0,89.0,1.4,95.9,3.5,0.3997,61758.0,243.0,44271.0,45784.0,23.9,8.7,688.0,34.8,18.9,10.9,2018
Augusta County,Virginia,51,15,69281.0,29366.0,38.2,212300.0,3116.0,19.5,74701.0,184.0,4.0,91.1,3.6,0.4115,61305.0,331.0,69281.0,74701.0,27.4,9.2,885.0,34.4,23.5,13.1,2018
Aurora County,South Dakota,46,3,2541.0,31468.0,33.6,78300.0,31.0,27.6,2759.0,101.0,10.0,93.4,1.2,0.4083,59293.0,30.0,2541.0,2759.0,25.0,7.3,643.0,35.1,20.6,13.1,2018
Austin County,Texas,48,15,23810.0,30858.0,29.3,188900.0,2626.0,24.0,29565.0,48.0,8.4,87.9,4.7,0.4278,65365.0,105.0,23810.0,29565.0,24.9,10.8,824.0,34.5,23.5,12.6,2018
Autauga County,Alabama,1,1,42437.0,29372.0,32.6,147900.0,10565.0,24.2,55200.0,159.0,2.6,92.9,4.2,0.4602,58786.0,393.0,42437.0,55200.0,19.5,15.4,966.0,39.2,27.7,19.3,2018
Avery County,North Carolina,37,11,16011.0,20253.0,29.7,150600.0,782.0,15.5,17501.0,237.0,6.4,85.0,4.3,0.4715,38134.0,90.0,16011.0,17501.0,28.5,14.4,765.0,38.4,20.6,19.9,2018
Avoyelles Parish,Louisiana,22,9,27130.0,21390.0,38.9,97400.0,11769.0,23.7,40882.0,368.0,8.2,90.2,7.2,0.5055,38077.0,482.0,27130.0,40882.0,22.5,24.0,678.0,38.2,12.1,19.5,2018
Baca County,Colorado,8,9,3377.0,23862.0,27.3,82200.0,35.0,20.7,3563.0,57.0,5.6,93.2,2.5,0.4396,37500.0,30.0,3377.0,3563.0,33.7,19.2,475.0,30.3,22.1,21.1,2018
Bacon County,Georgia,13,5,9073.0,19634.0,41.9,73000.0,1714.0,25.6,11228.0,0.0,5.4,81.0,5.3,0.4588,36964.0,84.0,9073.0,11228.0,21.0,27.2,516.0,39.0,10.1,19.4,2018
Bailey County,Texas,48,17,5917.0,21449.0,35.2,68600.0,56.0,28.5,7092.0,75.0,13.1,79.4,2.2,0.4342,46485.0,63.0,5917.0,7092.0,20.6,14.5,668.0,42.3,17.7,13.2,2018
Baker County,Florida,12,3,23033.0,24070.0,42.8,120900.0,3810.0,24.1,27785.0,67.0,3.7,87.5,5.5,0.4414,61769.0,213.0,23033.0,27785.0,20.1,14.6,769.0,39.1,13.4,17.3,2018
Baker County,Georgia,13,7,1810.0,22864.0,38.9,75500.0,1236.0,19.8,3189.0,7.0,7.5,86.0,4.0,0.4744,37188.0,6.0,1810.0,3189.0,31.2,21.3,486.0,33.6,12.3,22.1,2018
Baker County,Oregon,41,1,14855.0,26152.0,32.9,160900.0,149.0,19.4,15984.0,213.0,2.0,91.8,8.3,0.4385,43921.0,180.0,14855.0,15984.0,33.5,15.7,675.0,31.3,22.3,21.8,2018
Baldwin County,Alabama,1,3,179526.0,31203.0,27.6,189800.0,19764.0,21.9,208107.0,1522.0,2.7,89.8,4.4,0.4609,55962.0,1775.0,179526.0,208107.0,26.7,10.6,958.0,34.7,31.3,14.0,2018
