County,State,State_FIPS,County_FIPS,gini_index
Lincoln County,Arkansas,05,079,0.4611
Little River County,Arkansas,05,081,0.4288
Logan County,Arkansas,05,083,0.4578
Lonoke County,Arkansas,05,085,0.387
Madison County,Arkansas,05,087,0.4712
Marion County,Arkansas,05,089,0.4266
Miller County,Arkansas,05,091,0.4429
Mississippi County,Arkansas,05,093,0.4665
Monroe County,Arkansas,05,095,0.4698
Montgomery County,Arkansas,05,097,0.4177
Nevada County,Arkansas,05,099,0.4539
Newton County,Arkansas,05,101,0.4366
Ouachita County,Arkansas,05,103,0.4813
Perry County,Arkansas,05,105,0.4374
Phillips County,Arkansas,05,107,0.4994
Pike County,Arkansas,05,109,0.4432
Poinsett County,Arkansas,05,111,0.4138
Polk County,Arkansas,05,113,0.4247
Pope County,Arkansas,05,115,0.4534
Prairie County,Arkansas,05,117,0.4267
Pulaski County,Arkansas,05,119,0.492
Randolph County,Arkansas,05,121,0.4498
Saint Francis County,Arkansas,05,123,0.4488
Saline County,Arkansas,05,125,0.3869
Scott County,Arkansas,05,127,0.4305
Searcy County,Arkansas,05,129,0.4625
Sebastian County,Arkansas,05,131,0.4911
Sevier County,Arkansas,05,133,0.4066
Sharp County,Arkansas,05,135,0.4777
Stone County,Arkansas,05,137,0.486
Union County,Arkansas,05,139,0.4697
Van Buren County,Arkansas,05,141,0.4445
Washington County,Arkansas,05,143,0.4931
White County,Arkansas,05,145,0.4686
Woodruff County,Arkansas,05,147,0.4724
Yell County,Arkansas,05,149,0.4231
Alameda County,California,06,001,0.4688
Alpine County,California,06,003,0.5054
Amador County,California,06,005,0.4355
Butte County,California,06,007,0.4816
Calaveras County,California,06,009,0.4648
Colusa County,California,06,011,0.4563
Contra Costa County,California,06,013,0.4679
Del Norte County,California,06,015,0.4748
El Dorado County,California,06,017,0.4578
Fresno County,California,06,019,0.4799
Glenn County,California,06,021,0.4792
Humboldt County,California,06,023,0.4592
Imperial County,California,06,025,0.4669
Inyo County,California,06,027,0.4177
Kern County,California,06,029,0.4603
Kings County,California,06,031,0.4502
Lake County,California,06,033,0.4691
Lassen County,California,06,035,0.4321
Los Angeles County,California,06,037,0.5023
Madera County,California,06,039,0.4567
Marin County,California,06,041,0.5251
Mariposa County,California,06,043,0.4562
Mendocino County,California,06,045,0.4876
Merced County,California,06,047,0.4589
Modoc County,California,06,049,0.4221
Mono County,California,06,051,0.3729
Monterey County,California,06,053,0.4586
Napa County,California,06,055,0.4712
Nevada County,California,06,057,0.4514
Orange County,California,06,059,0.4697
Placer County,California,06,061,0.446
Plumas County,California,06,063,0.4653
Riverside County,California,06,065,0.4478
Sacramento County,California,06,067,0.4598
San Benito County,California,06,069,0.406
San Bernardino County,California,06,071,0.4442
San Diego County,California,06,073,0.4662
San Francisco County,California,06,075,0.5188
San Joaquin County,California,06,077,0.4525
San Luis Obispo County,California,06,079,0.4516
San Mateo County,California,06,081,0.486
Santa Barbara County,California,06,083,0.4813
Santa Clara County,California,06,085,0.4666
Santa Cruz County,California,06,087,0.4754
Shasta County,California,06,089,0.4541
Sierra County,California,06,091,0.4724
Siskiyou County,California,06,093,0.4588
Solano County,California,06,095,0.4277
Sonoma County,California,06,097,0.4593
Stanislaus County,California,06,099,0.4504
Sutter County,California,06,101,0.4593
Tehama County,California,06,103,0.4402
Trinity County,California,06,105,0.4663
Tulare County,California,06,107,0.4679
Tuolumne County,California,06,109,0.4795
Ventura County,California,06,111,0.4456
Yolo County,California,06,113,0.4879
Yuba County,California,06,115,0.424
Alamosa County,Colorado,08,003,0.4849
Archuleta County,Colorado,08,007,0.4425
Baca County,Colorado,08,009,0.4309
Bent County,Colorado,08,011,0.452
Chaffee County,Colorado,08,015,0.406
Cheyenne County,Colorado,08,017,0.3962
Clear Creek County,Colorado,08,019,0.4565
Conejos County,Colorado,08,021,0.4469
Costilla County,Colorado,08,023,0.5279
