County,State,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,01,001,141300.0
Baldwin County,Alabama,01,003,169300.0
Barbour County,Alabama,01,005,92200.0
Bibb County,Alabama,01,007,102700.0
Blount County,Alabama,01,009,119800.0
Bullock County,Alabama,01,011,68600.0
Butler County,Alabama,01,013,78900.0
Calhoun County,Alabama,01,015,105900.0
Chambers County,Alabama,01,017,80800.0
Cherokee County,Alabama,01,019,105100.0
Chilton County,Alabama,01,021,100100.0
Choctaw County,Alabama,01,023,61100.0
Clarke County,Alabama,01,025,86900.0
Clay County,Alabama,01,027,84100.0
Cleburne County,Alabama,01,029,108000.0
Coffee County,Alabama,01,031,142400.0
Colbert County,Alabama,01,033,99400.0
Conecuh County,Alabama,01,035,70100.0
Coosa County,Alabama,01,037,78300.0
Covington County,Alabama,01,039,93600.0
Crenshaw County,Alabama,01,041,70600.0
Cullman County,Alabama,01,043,115200.0
Dale County,Alabama,01,045,101700.0
Dallas County,Alabama,01,047,81500.0
DeKalb County,Alabama,01,049,98500.0
Elmore County,Alabama,01,051,147500.0
Escambia County,Alabama,01,053,93800.0
Etowah County,Alabama,01,055,100400.0
Fayette County,Alabama,01,057,75200.0
Franklin County,Alabama,01,059,85600.0
Geneva County,Alabama,01,061,77400.0
Greene County,Alabama,01,063,69600.0
Hale County,Alabama,01,065,87400.0
Henry County,Alabama,01,067,96300.0
Houston County,Alabama,01,069,123300.0
Jackson County,Alabama,01,071,98900.0
Jefferson County,Alabama,01,073,143400.0
Lamar County,Alabama,01,075,67900.0
Lauderdale County,Alabama,01,077,118600.0
Lawrence County,Alabama,01,079,94800.0
Lee County,Alabama,01,081,154300.0
Limestone County,Alabama,01,083,142100.0
Lowndes County,Alabama,01,085,67800.0
Macon County,Alabama,01,087,74700.0
Madison County,Alabama,01,089,167900.0
Marengo County,Alabama,01,091,90800.0
Marion County,Alabama,01,093,81400.0
Marshall County,Alabama,01,095,115500.0
Mobile County,Alabama,01,097,122400.0
Monroe County,Alabama,01,099,81200.0
Montgomery County,Alabama,01,101,122300.0
Morgan County,Alabama,01,103,123500.0
Perry County,Alabama,01,105,66300.0
Pickens County,Alabama,01,107,82000.0
Pike County,Alabama,01,109,105500.0
Randolph County,Alabama,01,111,85800.0
Russell County,Alabama,01,113,111000.0
