County,State,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,01,001,55136.0
Baldwin County,Alabama,01,003,191205.0
Barbour County,Alabama,01,005,27119.0
Bibb County,Alabama,01,007,22653.0
Blount County,Alabama,01,009,57645.0
Bullock County,Alabama,01,011,10693.0
Butler County,Alabama,01,013,20523.0
Calhoun County,Alabama,01,015,117186.0
Chambers County,Alabama,01,017,34091.0
Cherokee County,Alabama,01,019,26042.0
Chilton County,Alabama,01,021,43781.0
Choctaw County,Alabama,01,023,13546.0
Clarke County,Alabama,01,025,25331.0
Clay County,Alabama,01,027,13617.0
Cleburne County,Alabama,01,029,14990.0
Coffee County,Alabama,01,031,50726.0
Colbert County,Alabama,01,033,54491.0
Conecuh County,Alabama,01,035,12985.0
Coosa County,Alabama,01,037,11247.0
Covington County,Alabama,01,039,37881.0
Crenshaw County,Alabama,01,041,13938.0
Cullman County,Alabama,01,043,80668.0
Dale County,Alabama,01,045,50013.0
Dallas County,Alabama,01,047,42743.0
DeKalb County,Alabama,01,049,71074.0
Elmore County,Alabama,01,051,80321.0
Escambia County,Alabama,01,053,38042.0
Etowah County,Alabama,01,055,104126.0
Fayette County,Alabama,01,057,17019.0
Franklin County,Alabama,01,059,31663.0
Geneva County,Alabama,01,061,26816.0
Greene County,Alabama,01,063,8798.0
Hale County,Alabama,01,065,15393.0
Henry County,Alabama,01,067,17270.0
Houston County,Alabama,01,069,103079.0
Jackson County,Alabama,01,071,53012.0
Jefferson County,Alabama,01,073,658834.0
Lamar County,Alabama,01,075,14268.0
Lauderdale County,Alabama,01,077,92780.0
Lawrence County,Alabama,01,079,33835.0
Lee County,Alabama,01,081,147790.0
Limestone County,Alabama,01,083,87167.0
Lowndes County,Alabama,01,085,10918.0
Macon County,Alabama,01,087,20505.0
Madison County,Alabama,01,089,343229.0
Marengo County,Alabama,01,091,20489.0
Marion County,Alabama,01,093,30527.0
Marshall County,Alabama,01,095,94121.0
Mobile County,Alabama,01,097,414045.0
Monroe County,Alabama,01,099,22509.0
Montgomery County,Alabama,01,101,228850.0
Morgan County,Alabama,01,103,119744.0
Perry County,Alabama,01,105,10203.0
Pickens County,Alabama,01,107,19629.0
Pike County,Alabama,01,109,33216.0
Randolph County,Alabama,01,111,22724.0
Russell County,Alabama,01,113,56980.0
Saint Clair County,Alabama,01,115,85242.0
Shelby County,Alabama,01,117,201168.0
Sumter County,Alabama,01,119,13433.0
Talladega County,Alabama,01,121,81673.0
Tallapoosa County,Alabama,01,123,41295.0
Tuscaloosa County,Alabama,01,125,198670.0
Walker County,Alabama,01,127,66211.0
Washington County,Alabama,01,129,17137.0
Wilcox County,Alabama,01,131,11367.0
Winston County,Alabama,01,133,24256.0
Anchorage Municipality,Alaska,02,020,298178.0
Bethel Census Area,Alaska,02,050,17576.0
Bristol Bay Borough,Alaska,02,060,995.0
Fairbanks North Star Borough,Alaska,02,090,99319.0
Haines Borough,Alaska,02,100,2557.0
Juneau City and Borough,Alaska,02,110,32200.0
Kenai Peninsula Borough,Alaska,02,122,56687.0
Kodiak Island Borough,Alaska,02,150,13924.0
Matanuska-Susitna Borough,Alaska,02,170,93843.0
Nome Census Area,Alaska,02,180,9792.0
North Slope Borough,Alaska,02,185,9618.0
Sitka City and Borough,Alaska,02,220,8957.0
Southeast Fairbanks Census Area,Alaska,02,240,7044.0
Valdez-Cordova Census Area,Alaska,02,261,9685.0
Wade Hampton Census Area,Alaska,02,270,7778.0
Northwest Arctic Borough,Alaska,02,188,7672.0
Aleutians East Borough,Alaska,02,013,3296.0
Aleutians West Census Area,Alaska,02,016,5650.0
Dillingham Census Area,Alaska,02,070,4956.0
Lake and Peninsula Borough,Alaska,02,164,1490.0
Denali Borough,Alaska,02,068,2048.0
Yukon-Koyukuk Census Area,Alaska,02,290,5651.0
Hoonah-Angoon Census Area,Alaska,02,105,2126.0
Skagway Municipality,Alaska,02,230,996.0
Yakutat City and Borough,Alaska,02,282,635.0
Ketchikan Gateway Borough,Alaska,02,130,13676.0
Petersburg Borough,Alaska,02,195,3212.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6356.0
Wrangell City and Borough,Alaska,02,275,2383.0
Apache County,Arizona,04,001,72142.0
Cochise County,Arizona,04,003,130807.0
Coconino County,Arizona,04,005,135817.0
Gila County,Arizona,04,007,53242.0
Graham County,Arizona,04,009,37311.0
Greenlee County,Arizona,04,011,8800.0
Maricopa County,Arizona,04,013,3947382.0
Mohave County,Arizona,04,015,202482.0
Navajo County,Arizona,04,017,107489.0
Pima County,Arizona,04,019,993144.0
Pinal County,Arizona,04,021,390160.0
Santa Cruz County,Arizona,04,023,47250.0
Yavapai County,Arizona,04,025,213689.0
La Paz County,Arizona,04,012,20348.0
Yuma County,Arizona,04,027,201453.0
Arkansas County,Arkansas,05,001,18861.0
Ashley County,Arkansas,05,003,21437.0
Baxter County,Arkansas,05,005,41154.0
Benton County,Arkansas,05,007,232611.0
Boone County,Arkansas,05,009,37169.0
Bradley County,Arkansas,05,011,11316.0
Calhoun County,Arkansas,05,013,5266.0
Carroll County,Arkansas,05,015,27626.0
Chicot County,Arkansas,05,017,11489.0
Clark County,Arkansas,05,019,22800.0
Clay County,Arkansas,05,021,15577.0
Cleburne County,Arkansas,05,023,25793.0
Cleveland County,Arkansas,05,025,8597.0
Columbia County,Arkansas,05,027,24400.0
Conway County,Arkansas,05,029,21175.0
Craighead County,Arkansas,05,031,99835.0
Crawford County,Arkansas,05,033,61825.0
Crittenden County,Arkansas,05,035,50172.0
Cross County,Arkansas,05,037,17595.0
Dallas County,Arkansas,05,039,7954.0
Desha County,Arkansas,05,041,12602.0
Drew County,Arkansas,05,043,18705.0
Faulkner County,Arkansas,05,045,117804.0
Franklin County,Arkansas,05,047,17960.0
Fulton County,Arkansas,05,049,12218.0
Garland County,Arkansas,05,051,96804.0
Grant County,Arkansas,05,053,18014.0
Greene County,Arkansas,05,055,42970.0
Hempstead County,Arkansas,05,057,22419.0
Hot Spring County,Arkansas,05,059,33277.0
Howard County,Arkansas,05,061,13685.0
Independence County,Arkansas,05,063,36861.0
Izard County,Arkansas,05,065,13522.0
Jackson County,Arkansas,05,067,17746.0
Jefferson County,Arkansas,05,069,74655.0
Johnson County,Arkansas,05,071,25791.0
Lafayette County,Arkansas,05,073,7391.0
Lawrence County,Arkansas,05,075,17163.0
Lee County,Arkansas,05,077,10151.0
Lincoln County,Arkansas,05,079,14113.0
Little River County,Arkansas,05,081,12852.0
Logan County,Arkansas,05,083,22129.0
Lonoke County,Arkansas,05,085,70118.0
Madison County,Arkansas,05,087,15696.0
Marion County,Arkansas,05,089,16534.0
Miller County,Arkansas,05,091,43537.0
Mississippi County,Arkansas,05,093,45385.0
Monroe County,Arkansas,05,095,7855.0
Montgomery County,Arkansas,05,097,9296.0
Nevada County,Arkansas,05,099,8877.0
Newton County,Arkansas,05,101,8131.0
Ouachita County,Arkansas,05,103,25421.0
Perry County,Arkansas,05,105,10350.0
Phillips County,Arkansas,05,107,20847.0
Pike County,Arkansas,05,109,11187.0
Poinsett County,Arkansas,05,111,24359.0
Polk County,Arkansas,05,113,20454.0
Pope County,Arkansas,05,115,62687.0
Prairie County,Arkansas,05,117,8475.0
Pulaski County,Arkansas,05,119,388752.0
Randolph County,Arkansas,05,121,17794.0
Saint Francis County,Arkansas,05,123,27642.0
Saline County,Arkansas,05,125,111811.0
Scott County,Arkansas,05,127,11024.0
Searcy County,Arkansas,05,129,8036.0
Sebastian County,Arkansas,05,131,126801.0
Sevier County,Arkansas,05,133,17250.0
Sharp County,Arkansas,05,135,17117.0
Stone County,Arkansas,05,137,12531.0
Union County,Arkansas,05,139,40954.0
Van Buren County,Arkansas,05,141,17090.0
Washington County,Arkansas,05,143,212238.0
White County,Arkansas,05,145,78275.0
Woodruff County,Arkansas,05,147,7094.0
Yell County,Arkansas,05,149,21934.0
Alameda County,California,06,001,1559308.0
Alpine County,California,06,003,1202.0
Amador County,California,06,005,37159.0
Butte County,California,06,007,221578.0
Calaveras County,California,06,009,44921.0
Colusa County,California,06,011,21424.0
Contra Costa County,California,06,013,1081232.0
Del Norte County,California,06,015,28066.0
El Dorado County,California,06,017,181465.0
Fresno County,California,06,019,948844.0
Glenn County,California,06,021,28019.0
Humboldt County,California,06,023,134876.0
Imperial County,California,06,025,177026.0
Inyo County,California,06,027,18439.0
Kern County,California,06,029,857730.0
Kings County,California,06,031,151390.0
