County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.4065
Baldwin County,Alabama,01,003,0.437
Barbour County,Alabama,01,005,0.4536
Bibb County,Alabama,01,007,0.4064
Blount County,Alabama,01,009,0.4176
Bullock County,Alabama,01,011,0.5268
Butler County,Alabama,01,013,0.4566
Calhoun County,Alabama,01,015,0.454
Chambers County,Alabama,01,017,0.4376
Cherokee County,Alabama,01,019,0.4477
Chilton County,Alabama,01,021,0.4481
Choctaw County,Alabama,01,023,0.4683
Clarke County,Alabama,01,025,0.5128
Clay County,Alabama,01,027,0.4108
Cleburne County,Alabama,01,029,0.4209
Coffee County,Alabama,01,031,0.4527
Colbert County,Alabama,01,033,0.4411
Conecuh County,Alabama,01,035,0.5362
Coosa County,Alabama,01,037,0.4436
Covington County,Alabama,01,039,0.4898
Crenshaw County,Alabama,01,041,0.477
Cullman County,Alabama,01,043,0.4458
Dale County,Alabama,01,045,0.4189
Dallas County,Alabama,01,047,0.5189
DeKalb County,Alabama,01,049,0.454
Elmore County,Alabama,01,051,0.413
Escambia County,Alabama,01,053,0.4606
Etowah County,Alabama,01,055,0.4514
Fayette County,Alabama,01,057,0.4335
Franklin County,Alabama,01,059,0.4484
Geneva County,Alabama,01,061,0.4673
Greene County,Alabama,01,063,0.5096
Hale County,Alabama,01,065,0.4834
Henry County,Alabama,01,067,0.4274
Houston County,Alabama,01,069,0.4638
Jackson County,Alabama,01,071,0.4452
Jefferson County,Alabama,01,073,0.4937
Lamar County,Alabama,01,075,0.4945
Lauderdale County,Alabama,01,077,0.4587
Lawrence County,Alabama,01,079,0.4081
Lee County,Alabama,01,081,0.4765
Limestone County,Alabama,01,083,0.4402
Lowndes County,Alabama,01,085,0.5314
Macon County,Alabama,01,087,0.4807
Madison County,Alabama,01,089,0.4564
Marengo County,Alabama,01,091,0.472
Marion County,Alabama,01,093,0.4521
Marshall County,Alabama,01,095,0.4648
Mobile County,Alabama,01,097,0.4709
Monroe County,Alabama,01,099,0.4841
Montgomery County,Alabama,01,101,0.4765
Morgan County,Alabama,01,103,0.4344
Perry County,Alabama,01,105,0.4716
Pickens County,Alabama,01,107,0.4481
Pike County,Alabama,01,109,0.5015
Randolph County,Alabama,01,111,0.4895
Russell County,Alabama,01,113,0.4282
Saint Clair County,Alabama,01,115,0.4203
Shelby County,Alabama,01,117,0.4306
Sumter County,Alabama,01,119,0.5058
Talladega County,Alabama,01,121,0.4417
Tallapoosa County,Alabama,01,123,0.4792
Tuscaloosa County,Alabama,01,125,0.4738
Walker County,Alabama,01,127,0.4619
Washington County,Alabama,01,129,0.4441
Wilcox County,Alabama,01,131,0.5103
Winston County,Alabama,01,133,0.4644
Anchorage Municipality,Alaska,02,020,0.4132
Bethel Census Area,Alaska,02,050,0.4463
Bristol Bay Borough,Alaska,02,060,0.3342
Fairbanks North Star Borough,Alaska,02,090,0.4005
Haines Borough,Alaska,02,100,0.3989
Juneau City and Borough,Alaska,02,110,0.3879
Kenai Peninsula Borough,Alaska,02,122,0.4245
Kodiak Island Borough,Alaska,02,150,0.3707
Matanuska-Susitna Borough,Alaska,02,170,0.3893
Nome Census Area,Alaska,02,180,0.423
North Slope Borough,Alaska,02,185,0.3663
Sitka City and Borough,Alaska,02,220,0.3732
Southeast Fairbanks Census Area,Alaska,02,240,0.3722
Valdez-Cordova Census Area,Alaska,02,261,0.3883
Wade Hampton Census Area,Alaska,02,270,0.3993
Northwest Arctic Borough,Alaska,02,188,0.3852
Aleutians East Borough,Alaska,02,013,0.3707
Aleutians West Census Area,Alaska,02,016,0.3785
Dillingham Census Area,Alaska,02,070,0.4304
Lake and Peninsula Borough,Alaska,02,164,0.4191
Denali Borough,Alaska,02,068,0.3295
Yukon-Koyukuk Census Area,Alaska,02,290,0.4503
Hoonah-Angoon Census Area,Alaska,02,105,0.4244
Skagway Municipality,Alaska,02,230,0.3568
Yakutat City and Borough,Alaska,02,282,0.3698
Ketchikan Gateway Borough,Alaska,02,130,0.3967
Petersburg Borough,Alaska,02,195,0.3752
Prince of Wales-Hyder Census Area,Alaska,02,198,0.4209
Wrangell City and Borough,Alaska,02,275,0.4562
Apache County,Arizona,04,001,0.4827
Cochise County,Arizona,04,003,0.4318
Coconino County,Arizona,04,005,0.4431
Gila County,Arizona,04,007,0.4373
Graham County,Arizona,04,009,0.4119
Greenlee County,Arizona,04,011,0.3492
Maricopa County,Arizona,04,013,0.4536
Mohave County,Arizona,04,015,0.4268
Navajo County,Arizona,04,017,0.4534
Pima County,Arizona,04,019,0.4611
Pinal County,Arizona,04,021,0.3974
Santa Cruz County,Arizona,04,023,0.492
Yavapai County,Arizona,04,025,0.4544
La Paz County,Arizona,04,012,0.4259
