County,State,State_FIPS,County_FIPS,housing_cost_burden
Saint Francis County,Arkansas,05,123,304
Saline County,Arkansas,05,125,797
Scott County,Arkansas,05,127,111
Searcy County,Arkansas,05,129,45
Sebastian County,Arkansas,05,131,1360
Sevier County,Arkansas,05,133,155
Sharp County,Arkansas,05,135,198
Stone County,Arkansas,05,137,71
Union County,Arkansas,05,139,204
Van Buren County,Arkansas,05,141,73
Washington County,Arkansas,05,143,3282
White County,Arkansas,05,145,803
Woodruff County,Arkansas,05,147,86
Yell County,Arkansas,05,149,219
Alameda County,California,06,001,23438
Alpine County,California,06,003,3
Amador County,California,06,005,259
Butte County,California,06,007,3172
Calaveras County,California,06,009,415
Colusa County,California,06,011,217
Contra Costa County,California,06,013,11505
Del Norte County,California,06,015,305
El Dorado County,California,06,017,1576
Fresno County,California,06,019,11314
Glenn County,California,06,021,277
Humboldt County,California,06,023,1870
Imperial County,California,06,025,1669
Inyo County,California,06,027,168
Kern County,California,06,029,8590
Kings County,California,06,031,1746
Lake County,California,06,033,1047
Lassen County,California,06,035,293
Los Angeles County,California,06,037,148631
Madera County,California,06,039,1293
Marin County,California,06,041,3387
Mariposa County,California,06,043,170
Mendocino County,California,06,045,961
Merced County,California,06,047,2507
Modoc County,California,06,049,85
Mono County,California,06,051,96
Monterey County,California,06,053,6402
Napa County,California,06,055,2025
Nevada County,California,06,057,949
Orange County,California,06,059,39829
Placer County,California,06,061,3727
Plumas County,California,06,063,102
Riverside County,California,06,065,21516
Sacramento County,California,06,067,20038
San Benito County,California,06,069,736
San Bernardino County,California,06,071,19889
San Diego County,California,06,073,47116
San Francisco County,California,06,075,17871
San Joaquin County,California,06,077,7339
San Luis Obispo County,California,06,079,3264
San Mateo County,California,06,081,9182
Santa Barbara County,California,06,083,6033
Santa Clara County,California,06,085,21066
Santa Cruz County,California,06,087,4124
Shasta County,California,06,089,1894
Sierra County,California,06,091,30
Siskiyou County,California,06,093,507
Solano County,California,06,095,4983
Sonoma County,California,06,097,6646
Stanislaus County,California,06,099,5716
