County,State,State_FIPS,County_FIPS,median_home_value
Phillips County,Arkansas,05,107,59500
Pike County,Arkansas,05,109,75200
Poinsett County,Arkansas,05,111,71300
Polk County,Arkansas,05,113,82700
Pope County,Arkansas,05,115,110200
Prairie County,Arkansas,05,117,72400
Pulaski County,Arkansas,05,119,140500
Randolph County,Arkansas,05,121,74100
Saint Francis County,Arkansas,05,123,65600
Saline County,Arkansas,05,125,138600
Scott County,Arkansas,05,127,82100
Searcy County,Arkansas,05,129,85100
Sebastian County,Arkansas,05,131,114500
Sevier County,Arkansas,05,133,68800
Sharp County,Arkansas,05,135,73800
Stone County,Arkansas,05,137,88100
Union County,Arkansas,05,139,75000
Van Buren County,Arkansas,05,141,86700
Washington County,Arkansas,05,143,148800
White County,Arkansas,05,145,100100
Woodruff County,Arkansas,05,147,58400
Yell County,Arkansas,05,149,91200
Alameda County,California,06,001,493800
Alpine County,California,06,003,333600
Amador County,California,06,005,270500
Butte County,California,06,007,225900
Calaveras County,California,06,009,254800
Colusa County,California,06,011,181600
Contra Costa County,California,06,013,404000
Del Norte County,California,06,015,198400
El Dorado County,California,06,017,359500
Fresno County,California,06,019,195400
Glenn County,California,06,021,217700
Humboldt County,California,06,023,288300
Imperial County,California,06,025,147300
Inyo County,California,06,027,236100
Kern County,California,06,029,161700
Kings County,California,06,031,176900
Lake County,California,06,033,183600
Lassen County,California,06,035,185500
Los Angeles County,California,06,037,420200
Madera County,California,06,039,182000
Marin County,California,06,041,781900
Mariposa County,California,06,043,235000
Mendocino County,California,06,045,323600
Merced County,California,06,047,146400
Modoc County,California,06,049,164100
Mono County,California,06,051,344500
Monterey County,California,06,053,362400
Napa County,California,06,055,428600
Nevada County,California,06,057,357300
Orange County,California,06,059,519600
Placer County,California,06,061,342000
Plumas County,California,06,063,243700
Riverside County,California,06,065,231000
Sacramento County,California,06,067,234200
San Benito County,California,06,069,343000
San Bernardino County,California,06,071,222300
San Diego County,California,06,073,402100
San Francisco County,California,06,075,744600
San Joaquin County,California,06,077,208000
San Luis Obispo County,California,06,079,426600
