County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,52475.0
Baldwin County,Alabama,01,003,50183.0
Barbour County,Alabama,01,005,35634.0
Bibb County,Alabama,01,007,37984.0
Blount County,Alabama,01,009,44409.0
Bullock County,Alabama,01,011,34804.0
Butler County,Alabama,01,013,31571.0
Calhoun County,Alabama,01,015,40919.0
Chambers County,Alabama,01,017,32835.0
Cherokee County,Alabama,01,019,34983.0
Chilton County,Alabama,01,021,41785.0
Choctaw County,Alabama,01,023,34325.0
Clarke County,Alabama,01,025,30951.0
Clay County,Alabama,01,027,35286.0
Cleburne County,Alabama,01,029,37008.0
Coffee County,Alabama,01,031,45558.0
Colbert County,Alabama,01,033,39914.0
Conecuh County,Alabama,01,035,24433.0
Coosa County,Alabama,01,037,32340.0
Covington County,Alabama,01,039,36256.0
Crenshaw County,Alabama,01,041,37349.0
Cullman County,Alabama,01,043,39415.0
Dale County,Alabama,01,045,44473.0
Dallas County,Alabama,01,047,26494.0
DeKalb County,Alabama,01,049,37977.0
Elmore County,Alabama,01,051,54159.0
Escambia County,Alabama,01,053,31422.0
Etowah County,Alabama,01,055,38467.0
Fayette County,Alabama,01,057,33144.0
Franklin County,Alabama,01,059,35450.0
Geneva County,Alabama,01,061,36268.0
Greene County,Alabama,01,063,22170.0
Hale County,Alabama,01,065,30839.0
Henry County,Alabama,01,067,42926.0
Houston County,Alabama,01,069,41077.0
Jackson County,Alabama,01,071,36874.0
Jefferson County,Alabama,01,073,45239.0
Lamar County,Alabama,01,075,36021.0
Lauderdale County,Alabama,01,077,42703.0
Lawrence County,Alabama,01,079,40356.0
Lee County,Alabama,01,081,43641.0
Limestone County,Alabama,01,083,49461.0
Lowndes County,Alabama,01,085,25678.0
Macon County,Alabama,01,087,30254.0
Madison County,Alabama,01,089,58203.0
Marengo County,Alabama,01,091,33714.0
Marion County,Alabama,01,093,33819.0
Marshall County,Alabama,01,095,39473.0
Mobile County,Alabama,01,097,43844.0
Monroe County,Alabama,01,099,30569.0
Montgomery County,Alabama,01,101,44830.0
Morgan County,Alabama,01,103,45341.0
Perry County,Alabama,01,105,25528.0
Pickens County,Alabama,01,107,29839.0
Pike County,Alabama,01,109,32798.0
Randolph County,Alabama,01,111,36498.0
Russell County,Alabama,01,113,36066.0
Saint Clair County,Alabama,01,115,51317.0
Shelby County,Alabama,01,117,69723.0
Sumter County,Alabama,01,119,22865.0
Talladega County,Alabama,01,121,35896.0
Tallapoosa County,Alabama,01,123,38644.0
Tuscaloosa County,Alabama,01,125,46448.0
Walker County,Alabama,01,127,36712.0
Washington County,Alabama,01,129,44731.0
Wilcox County,Alabama,01,131,23406.0
Winston County,Alabama,01,133,34064.0
Anchorage Municipality,Alaska,02,020,78121.0
Bethel Census Area,Alaska,02,050,51930.0
Bristol Bay Borough,Alaska,02,060,82500.0
Fairbanks North Star Borough,Alaska,02,090,70408.0
Haines Borough,Alaska,02,100,57551.0
Juneau City and Borough,Alaska,02,110,84750.0
Kenai Peninsula Borough,Alaska,02,122,63099.0
Kodiak Island Borough,Alaska,02,150,70529.0
Matanuska-Susitna Borough,Alaska,02,170,72134.0
Nome Census Area,Alaska,02,180,47579.0
North Slope Borough,Alaska,02,185,74609.0
Sitka City and Borough,Alaska,02,220,69635.0
Southeast Fairbanks Census Area,Alaska,02,240,65481.0
Valdez-Cordova Census Area,Alaska,02,261,81736.0
Wade Hampton Census Area,Alaska,02,270,40943.0
Northwest Arctic Borough,Alaska,02,188,63971.0
Aleutians East Borough,Alaska,02,013,59886.0
Aleutians West Census Area,Alaska,02,016,82284.0
Dillingham Census Area,Alaska,02,070,54846.0
Lake and Peninsula Borough,Alaska,02,164,47143.0
Denali Borough,Alaska,02,068,79167.0
