County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.4122
Baldwin County,Alabama,01,003,0.4364
Barbour County,Alabama,01,005,0.4758
Bibb County,Alabama,01,007,0.4212
Blount County,Alabama,01,009,0.4112
Bullock County,Alabama,01,011,0.4979
Butler County,Alabama,01,013,0.4691
Calhoun County,Alabama,01,015,0.4532
Chambers County,Alabama,01,017,0.4576
Cherokee County,Alabama,01,019,0.4556
Chilton County,Alabama,01,021,0.4468
Choctaw County,Alabama,01,023,0.4709
Clarke County,Alabama,01,025,0.52
Clay County,Alabama,01,027,0.4216
Cleburne County,Alabama,01,029,0.4381
Coffee County,Alabama,01,031,0.4445
Colbert County,Alabama,01,033,0.441
Conecuh County,Alabama,01,035,0.5235
Coosa County,Alabama,01,037,0.4264
Covington County,Alabama,01,039,0.4657
Crenshaw County,Alabama,01,041,0.4715
Cullman County,Alabama,01,043,0.4471
Dale County,Alabama,01,045,0.4271
Dallas County,Alabama,01,047,0.518
DeKalb County,Alabama,01,049,0.4523
Elmore County,Alabama,01,051,0.4039
Escambia County,Alabama,01,053,0.4656
Etowah County,Alabama,01,055,0.4514
Fayette County,Alabama,01,057,0.4414
Franklin County,Alabama,01,059,0.4483
Geneva County,Alabama,01,061,0.4525
Greene County,Alabama,01,063,0.5081
Hale County,Alabama,01,065,0.4905
Henry County,Alabama,01,067,0.4333
Houston County,Alabama,01,069,0.4712
Jackson County,Alabama,01,071,0.4377
Jefferson County,Alabama,01,073,0.4948
Lamar County,Alabama,01,075,0.5026
Lauderdale County,Alabama,01,077,0.4505
Lawrence County,Alabama,01,079,0.4183
Lee County,Alabama,01,081,0.4776
Limestone County,Alabama,01,083,0.4448
Lowndes County,Alabama,01,085,0.5192
Macon County,Alabama,01,087,0.4751
Madison County,Alabama,01,089,0.4597
Marengo County,Alabama,01,091,0.4978
Marion County,Alabama,01,093,0.4527
Marshall County,Alabama,01,095,0.4613
Mobile County,Alabama,01,097,0.4695
Monroe County,Alabama,01,099,0.4709
Montgomery County,Alabama,01,101,0.4739
Morgan County,Alabama,01,103,0.4396
Perry County,Alabama,01,105,0.469
Pickens County,Alabama,01,107,0.4594
Pike County,Alabama,01,109,0.4961
Randolph County,Alabama,01,111,0.491
Russell County,Alabama,01,113,0.4417
Saint Clair County,Alabama,01,115,0.4249
Shelby County,Alabama,01,117,0.4307
Sumter County,Alabama,01,119,0.4952
Talladega County,Alabama,01,121,0.4509
