County,State,State_FIPS,County_FIPS,median_household_income
Phillips County,Arkansas,05,107,28225
Pike County,Arkansas,05,109,32457
Poinsett County,Arkansas,05,111,31939
Polk County,Arkansas,05,113,32395
Pope County,Arkansas,05,115,40325
Prairie County,Arkansas,05,117,36194
Pulaski County,Arkansas,05,119,45897
Randolph County,Arkansas,05,121,33072
Saint Francis County,Arkansas,05,123,26360
Saline County,Arkansas,05,125,52982
Scott County,Arkansas,05,127,38910
Searcy County,Arkansas,05,129,29384
Sebastian County,Arkansas,05,131,40680
Sevier County,Arkansas,05,133,35289
Sharp County,Arkansas,05,135,29590
Stone County,Arkansas,05,137,31364
Union County,Arkansas,05,139,37794
Van Buren County,Arkansas,05,141,32906
Washington County,Arkansas,05,143,41474
White County,Arkansas,05,145,41618
Woodruff County,Arkansas,05,147,27047
Yell County,Arkansas,05,149,37477
Alameda County,California,06,001,70821
Alpine County,California,06,003,59018
Amador County,California,06,005,56180
Butte County,California,06,007,42971
Calaveras County,California,06,009,55256
Colusa County,California,06,011,49558
Contra Costa County,California,06,013,79135
Del Norte County,California,06,015,37588
El Dorado County,California,06,017,68815
Fresno County,California,06,019,46903
Glenn County,California,06,021,43239
Humboldt County,California,06,023,40376
Imperial County,California,06,025,39402
Inyo County,California,06,027,49571
Kern County,California,06,029,48021
Kings County,California,06,031,48838
Lake County,California,06,033,39525
Lassen County,California,06,035,52484
Los Angeles County,California,06,037,56266
Madera County,California,06,039,47724
Marin County,California,06,041,89605
Mariposa County,California,06,043,49174
Mendocino County,California,06,045,44527
Merced County,California,06,047,43945
Modoc County,California,06,049,35402
Mono County,California,06,051,60469
Monterey County,California,06,053,59737
Napa County,California,06,055,68641
Nevada County,California,06,057,58077
Orange County,California,06,059,75762
Placer County,California,06,061,74645
Plumas County,California,06,063,44151
Riverside County,California,06,065,58365
Sacramento County,California,06,067,56553
San Benito County,California,06,069,65570
San Bernardino County,California,06,071,55853
San Diego County,California,06,073,63857
San Francisco County,California,06,075,72947
San Joaquin County,California,06,077,53764
San Luis Obispo County,California,06,079,58630
San Mateo County,California,06,081,87633
Santa Barbara County,California,06,083,61896
Santa Clara County,California,06,085,89064
Santa Cruz County,California,06,087,66030
Shasta County,California,06,089,44058
Sierra County,California,06,091,50308
Siskiyou County,California,06,093,37865
Solano County,California,06,095,69914
Sonoma County,California,06,097,64343
Stanislaus County,California,06,099,50671
Sutter County,California,06,101,50010
Tehama County,California,06,103,38753
Trinity County,California,06,105,37672
Tulare County,California,06,107,43550
Tuolumne County,California,06,109,47359
Ventura County,California,06,111,76728
Yolo County,California,06,113,57920
Yuba County,California,06,115,46617
Alamosa County,Colorado,08,003,38299
Archuleta County,Colorado,08,007,60170
Baca County,Colorado,08,009,37111
Bent County,Colorado,08,011,35667
Chaffee County,Colorado,08,015,43684
Cheyenne County,Colorado,08,017,47188
Clear Creek County,Colorado,08,019,62756
Conejos County,Colorado,08,021,34435
Costilla County,Colorado,08,023,25949
Crowley County,Colorado,08,025,40636
Custer County,Colorado,08,027,43358
Delta County,Colorado,08,029,41856
Dolores County,Colorado,08,033,44077
Douglas County,Colorado,08,035,101193
Eagle County,Colorado,08,037,70914
Elbert County,Colorado,08,039,79367
El Paso County,Colorado,08,041,57079
Fremont County,Colorado,08,043,38979
Garfield County,Colorado,08,045,63929
Gilpin County,Colorado,08,047,59394
Grand County,Colorado,08,049,64281
Gunnison County,Colorado,08,051,50073
Huerfano County,Colorado,08,055,29737
Jackson County,Colorado,08,057,48571
Kiowa County,Colorado,08,061,41542
Kit Carson County,Colorado,08,063,43194
Lake County,Colorado,08,065,40543
La Plata County,Colorado,08,067,56910
Larimer County,Colorado,08,069,57215
Las Animas County,Colorado,08,071,40617
Lincoln County,Colorado,08,073,43375
Logan County,Colorado,08,075,42324
Mesa County,Colorado,08,077,52986
Moffat County,Colorado,08,081,50758
Montezuma County,Colorado,08,083,45623
Montrose County,Colorado,08,085,47479
Morgan County,Colorado,08,087,42792
Otero County,Colorado,08,089,31246
Ouray County,Colorado,08,091,61935
Park County,Colorado,08,093,61284
Phillips County,Colorado,08,095,44717
Pitkin County,Colorado,08,097,68242
Prowers County,Colorado,08,099,34513
Pueblo County,Colorado,08,101,41273
Rio Blanco County,Colorado,08,103,63125
Rio Grande County,Colorado,08,105,37885
Routt County,Colorado,08,107,64230
Saguache County,Colorado,08,109,33672
San Miguel County,Colorado,08,113,66789
Sedgwick County,Colorado,08,115,36797
Summit County,Colorado,08,117,67915
Teller County,Colorado,08,119,57931
Washington County,Colorado,08,121,43945
Yuma County,Colorado,08,125,44991
Adams County,Colorado,08,001,56089
Arapahoe County,Colorado,08,005,59937
Boulder County,Colorado,08,013,66479
Broomfield County,Colorado,08,014,76531
Denver County,Colorado,08,031,47499
Jefferson County,Colorado,08,059,67827
Weld County,Colorado,08,123,55825
Fairfield County,Connecticut,09,001,82558
Hartford County,Connecticut,09,003,64007
Litchfield County,Connecticut,09,005,71497
Middlesex County,Connecticut,09,007,77095
New Haven County,Connecticut,09,009,62497
New London County,Connecticut,09,011,67010
Tolland County,Connecticut,09,013,80333
Windham County,Connecticut,09,015,60063
Kent County,Delaware,10,001,54783
New Castle County,Delaware,10,003,64158
Sussex County,Delaware,10,005,53215
Alachua County,Florida,12,001,41373
Baker County,Florida,12,003,47041
Bay County,Florida,12,005,48225
Bradford County,Florida,12,007,41397
Brevard County,Florida,12,009,50068
Broward County,Florida,12,011,51782
Calhoun County,Florida,12,013,31142
Charlotte County,Florida,12,015,45112
Citrus County,Florida,12,017,38189
Clay County,Florida,12,019,59994
Collier County,Florida,12,021,56876
Columbia County,Florida,12,023,38589
Miami-Dade County,Florida,12,086,43957
DeSoto County,Florida,12,027,36407
Dixie County,Florida,12,029,34243
Duval County,Florida,12,031,49964
Escambia County,Florida,12,033,43707
Flagler County,Florida,12,035,48708
Franklin County,Florida,12,037,37017
Gadsden County,Florida,12,039,33453
Gilchrist County,Florida,12,041,38467
Glades County,Florida,12,043,39611
Gulf County,Florida,12,045,41291
Hamilton County,Florida,12,047,36683
Hardee County,Florida,12,049,38046
Hendry County,Florida,12,051,37989
Hernando County,Florida,12,053,42700
Highlands County,Florida,12,055,34913
Hillsborough County,Florida,12,057,50195
Holmes County,Florida,12,059,33510
Indian River County,Florida,12,061,46363
Jackson County,Florida,12,063,39869
Jefferson County,Florida,12,065,42096
Lafayette County,Florida,12,067,49713
Lake County,Florida,12,069,47509
Lee County,Florida,12,071,49444
Leon County,Florida,12,073,45827
Levy County,Florida,12,075,35920
Liberty County,Florida,12,077,40893
Madison County,Florida,12,079,36557
Manatee County,Florida,12,081,48181
Marion County,Florida,12,083,40103
Martin County,Florida,12,085,53612
Monroe County,Florida,12,087,53889
Nassau County,Florida,12,089,58933
Okaloosa County,Florida,12,091,54140
Okeechobee County,Florida,12,093,36929
Orange County,Florida,12,095,49731
Osceola County,Florida,12,097,46479
Palm Beach County,Florida,12,099,52951
Pasco County,Florida,12,101,44103
Pinellas County,Florida,12,103,45891
Polk County,Florida,12,105,44398
Putnam County,Florida,12,107,34174
Saint Johns County,Florida,12,109,64153
Saint Lucie County,Florida,12,111,44947
Santa Rosa County,Florida,12,113,55913
Sarasota County,Florida,12,115,49212
Seminole County,Florida,12,117,58908
Sumter County,Florida,12,119,44817
Suwannee County,Florida,12,121,37775
Taylor County,Florida,12,123,38005
Union County,Florida,12,125,45645
Volusia County,Florida,12,127,44169
Wakulla County,Florida,12,129,54151
Walton County,Florida,12,131,46926
Washington County,Florida,12,133,37036
Appling County,Georgia,13,001,34989
Atkinson County,Georgia,13,003,32814
Bacon County,Georgia,13,005,32065
Baker County,Georgia,13,007,27255
Baldwin County,Georgia,13,009,36429
Banks County,Georgia,13,011,41397
Barrow County,Georgia,13,013,50604
Bartow County,Georgia,13,015,49060
Ben Hill County,Georgia,13,017,31943
Berrien County,Georgia,13,019,32512
Bibb County,Georgia,13,021,37975
Bleckley County,Georgia,13,023,35997
Brantley County,Georgia,13,025,38374
Brooks County,Georgia,13,027,40186
Bryan County,Georgia,13,029,64651
Bulloch County,Georgia,13,031,33902
Burke County,Georgia,13,033,32188
Butts County,Georgia,13,035,49339
Calhoun County,Georgia,13,037,32986
Camden County,Georgia,13,039,51061
Candler County,Georgia,13,043,37315
Carroll County,Georgia,13,045,45752
Catoosa County,Georgia,13,047,46549
Charlton County,Georgia,13,049,42307
Chatham County,Georgia,13,051,45985
Chattahoochee County,Georgia,13,053,49969
Chattooga County,Georgia,13,055,32224
Cherokee County,Georgia,13,057,66717
Clarke County,Georgia,13,059,34151
Clay County,Georgia,13,061,24750
Clayton County,Georgia,13,063,42936
Clinch County,Georgia,13,065,33143
Cobb County,Georgia,13,067,65423
Coffee County,Georgia,13,069,34327
Colquitt County,Georgia,13,071,33345
Columbia County,Georgia,13,073,66556
Cook County,Georgia,13,075,35306
Coweta County,Georgia,13,077,61015
Crawford County,Georgia,13,079,37746
Crisp County,Georgia,13,081,32616
Dade County,Georgia,13,083,41629
Dawson County,Georgia,13,085,51989
Decatur County,Georgia,13,087,31391
DeKalb County,Georgia,13,089,51712
Dodge County,Georgia,13,091,33829
Dooly County,Georgia,13,093,30830
Dougherty County,Georgia,13,095,32364
Douglas County,Georgia,13,097,54763
Early County,Georgia,13,099,27645
Echols County,Georgia,13,101,29476
Effingham County,Georgia,13,103,58935
Elbert County,Georgia,13,105,32634
Emanuel County,Georgia,13,107,30427
Evans County,Georgia,13,109,38000
Fannin County,Georgia,13,111,34554
Fayette County,Georgia,13,113,81498
Floyd County,Georgia,13,115,43129
Forsyth County,Georgia,13,117,88262
Franklin County,Georgia,13,119,33086
Fulton County,Georgia,13,121,57582
Gilmer County,Georgia,13,123,37091
Glascock County,Georgia,13,125,36275
Glynn County,Georgia,13,127,49828
Gordon County,Georgia,13,129,41336
Grady County,Georgia,13,131,32091
Greene County,Georgia,13,133,38209
Gwinnett County,Georgia,13,135,63076
Habersham County,Georgia,13,137,41222
Hall County,Georgia,13,139,52050
Hancock County,Georgia,13,141,24483
Haralson County,Georgia,13,143,38664
Harris County,Georgia,13,145,67299
Hart County,Georgia,13,147,35685
Heard County,Georgia,13,149,39167
Henry County,Georgia,13,151,64251
Houston County,Georgia,13,153,55738
Irwin County,Georgia,13,155,40379
Jackson County,Georgia,13,157,52883
Jasper County,Georgia,13,159,44404
Jeff Davis County,Georgia,13,161,35336
Jefferson County,Georgia,13,163,29178
Jenkins County,Georgia,13,165,25467
Johnson County,Georgia,13,167,31301
Jones County,Georgia,13,169,51265
Lamar County,Georgia,13,171,39684
Lanier County,Georgia,13,173,40878
Laurens County,Georgia,13,175,37640
Lee County,Georgia,13,177,58252
Liberty County,Georgia,13,179,44146
Lincoln County,Georgia,13,181,36741
Long County,Georgia,13,183,38785
Lowndes County,Georgia,13,185,38535
Lumpkin County,Georgia,13,187,43704
