County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,25035
Baldwin County,Alabama,01,003,27217
Barbour County,Alabama,01,005,15899
Bibb County,Alabama,01,007,18462
Blount County,Alabama,01,009,21185
Bullock County,Alabama,01,011,20678
Butler County,Alabama,01,013,17091
Calhoun County,Alabama,01,015,20903
Chambers County,Alabama,01,017,17705
Cherokee County,Alabama,01,019,21673
Chilton County,Alabama,01,021,20826
Choctaw County,Alabama,01,023,18201
Clarke County,Alabama,01,025,18471
Clay County,Alabama,01,027,18284
Cleburne County,Alabama,01,029,18881
Coffee County,Alabama,01,031,22953
Colbert County,Alabama,01,033,21693
Conecuh County,Alabama,01,035,16673
Coosa County,Alabama,01,037,19966
Covington County,Alabama,01,039,20246
Crenshaw County,Alabama,01,041,21993
Cullman County,Alabama,01,043,20621
Dale County,Alabama,01,045,22326
Dallas County,Alabama,01,047,17259
DeKalb County,Alabama,01,049,18788
Elmore County,Alabama,01,051,23828
Escambia County,Alabama,01,053,16509
Etowah County,Alabama,01,055,20818
Fayette County,Alabama,01,057,18336
Franklin County,Alabama,01,059,18715
Geneva County,Alabama,01,061,20120
Greene County,Alabama,01,063,15210
Hale County,Alabama,01,065,16480
Henry County,Alabama,01,067,20079
Houston County,Alabama,01,069,23152
Jackson County,Alabama,01,071,19770
Jefferson County,Alabama,01,073,26962
Lamar County,Alabama,01,075,20865
Lauderdale County,Alabama,01,077,22692
Lawrence County,Alabama,01,079,19676
Lee County,Alabama,01,081,23015
Limestone County,Alabama,01,083,24157
Lowndes County,Alabama,01,085,17671
Macon County,Alabama,01,087,16763
Madison County,Alabama,01,089,30708
Marengo County,Alabama,01,091,19075
Marion County,Alabama,01,093,18358
Marshall County,Alabama,01,095,20590
Mobile County,Alabama,01,097,22306
Monroe County,Alabama,01,099,17408
Montgomery County,Alabama,01,101,24991
Morgan County,Alabama,01,103,23552
Perry County,Alabama,01,105,14283
Pickens County,Alabama,01,107,16310
Pike County,Alabama,01,109,19335
Randolph County,Alabama,01,111,20147
Russell County,Alabama,01,113,18233
Saint Clair County,Alabama,01,115,22974
Shelby County,Alabama,01,117,34226
Sumter County,Alabama,01,119,14122
Talladega County,Alabama,01,121,18882
Tallapoosa County,Alabama,01,123,22792
Tuscaloosa County,Alabama,01,125,22449
Walker County,Alabama,01,127,20881
Washington County,Alabama,01,129,19836
Wilcox County,Alabama,01,131,12683
Winston County,Alabama,01,133,18568
Anchorage Municipality,Alaska,02,020,35580
Bethel Census Area,Alaska,02,050,18392
Bristol Bay Borough,Alaska,02,060,35981
Fairbanks North Star Borough,Alaska,02,090,31532
Haines Borough,Alaska,02,100,30090
Juneau City and Borough,Alaska,02,110,37294
Kenai Peninsula Borough,Alaska,02,122,30256
Kodiak Island Borough,Alaska,02,150,26720
Matanuska-Susitna Borough,Alaska,02,170,29292
Nome Census Area,Alaska,02,180,20325
North Slope Borough,Alaska,02,185,35423
Sitka City and Borough,Alaska,02,220,32451
Southeast Fairbanks Census Area,Alaska,02,240,29014
Valdez-Cordova Census Area,Alaska,02,261,31029
Wade Hampton Census Area,Alaska,02,270,11476
