County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,24644.0
Baldwin County,Alabama,01,003,26851.0
Barbour County,Alabama,01,005,17350.0
Bibb County,Alabama,01,007,18110.0
Blount County,Alabama,01,009,20501.0
Bullock County,Alabama,01,011,17706.0
Butler County,Alabama,01,013,18115.0
Calhoun County,Alabama,01,015,21306.0
Chambers County,Alabama,01,017,21240.0
Cherokee County,Alabama,01,019,22234.0
Chilton County,Alabama,01,021,21718.0
Choctaw County,Alabama,01,023,21268.0
Clarke County,Alabama,01,025,20022.0
Clay County,Alabama,01,027,18957.0
Cleburne County,Alabama,01,029,19736.0
Coffee County,Alabama,01,031,24204.0
Colbert County,Alabama,01,033,21763.0
Conecuh County,Alabama,01,035,15441.0
Coosa County,Alabama,01,037,17749.0
Covington County,Alabama,01,039,20941.0
Crenshaw County,Alabama,01,041,20366.0
Cullman County,Alabama,01,043,21105.0
Dale County,Alabama,01,045,22368.0
Dallas County,Alabama,01,047,17614.0
DeKalb County,Alabama,01,049,18416.0
Elmore County,Alabama,01,051,24185.0
Escambia County,Alabama,01,053,16673.0
Etowah County,Alabama,01,055,20445.0
Fayette County,Alabama,01,057,19040.0
Franklin County,Alabama,01,059,18559.0
Geneva County,Alabama,01,061,20027.0
Greene County,Alabama,01,063,13956.0
Hale County,Alabama,01,065,18774.0
Henry County,Alabama,01,067,22682.0
Houston County,Alabama,01,069,23492.0
Jackson County,Alabama,01,071,20055.0
Jefferson County,Alabama,01,073,26896.0
Lamar County,Alabama,01,075,19094.0
Lauderdale County,Alabama,01,077,23975.0
Lawrence County,Alabama,01,079,21093.0
Lee County,Alabama,01,081,24126.0
Limestone County,Alabama,01,083,25658.0
Lowndes County,Alabama,01,085,18046.0
Macon County,Alabama,01,087,17113.0
Madison County,Alabama,01,089,32307.0
Marengo County,Alabama,01,091,22529.0
Marion County,Alabama,01,093,20125.0
Marshall County,Alabama,01,095,20975.0
Mobile County,Alabama,01,097,23009.0
Monroe County,Alabama,01,099,16273.0
Montgomery County,Alabama,01,101,25089.0
Morgan County,Alabama,01,103,24222.0
Perry County,Alabama,01,105,12988.0
Pickens County,Alabama,01,107,17310.0
Pike County,Alabama,01,109,19424.0
Randolph County,Alabama,01,111,19324.0
Russell County,Alabama,01,113,19652.0
Saint Clair County,Alabama,01,115,23863.0
Shelby County,Alabama,01,117,33135.0
Sumter County,Alabama,01,119,14042.0
Talladega County,Alabama,01,121,19134.0
Tallapoosa County,Alabama,01,123,21034.0
Tuscaloosa County,Alabama,01,125,23124.0
Walker County,Alabama,01,127,20580.0
Washington County,Alabama,01,129,20737.0
Wilcox County,Alabama,01,131,13881.0
Winston County,Alabama,01,133,19078.0
Anchorage Municipality,Alaska,02,020,36508.0
Bethel Census Area,Alaska,02,050,18875.0
Bristol Bay Borough,Alaska,02,060,37012.0
Fairbanks North Star Borough,Alaska,02,090,32906.0
Haines Borough,Alaska,02,100,32312.0
Juneau City and Borough,Alaska,02,110,38057.0
Kenai Peninsula Borough,Alaska,02,122,31611.0
Kodiak Island Borough,Alaska,02,150,29993.0
Matanuska-Susitna Borough,Alaska,02,170,30013.0
Nome Census Area,Alaska,02,180,19651.0
North Slope Borough,Alaska,02,185,50267.0
Sitka City and Borough,Alaska,02,220,33920.0
Southeast Fairbanks Census Area,Alaska,02,240,30402.0
Valdez-Cordova Census Area,Alaska,02,261,32610.0
Wade Hampton Census Area,Alaska,02,270,11257.0
Northwest Arctic Borough,Alaska,02,188,21543.0
Aleutians East Borough,Alaska,02,013,27122.0
Aleutians West Census Area,Alaska,02,016,32700.0
Dillingham Census Area,Alaska,02,070,21774.0
Lake and Peninsula Borough,Alaska,02,164,21581.0
Denali Borough,Alaska,02,068,36828.0
Yukon-Koyukuk Census Area,Alaska,02,290,20149.0
Hoonah-Angoon Census Area,Alaska,02,105,30811.0
Skagway Municipality,Alaska,02,230,40986.0
Yakutat City and Borough,Alaska,02,282,33475.0
Ketchikan Gateway Borough,Alaska,02,130,31494.0
Petersburg Borough,Alaska,02,195,36307.0
Prince of Wales-Hyder Census Area,Alaska,02,198,24737.0
Wrangell City and Borough,Alaska,02,275,30671.0
Apache County,Arizona,04,001,12828.0
Cochise County,Arizona,04,003,23552.0
Coconino County,Arizona,04,005,23459.0
Gila County,Arizona,04,007,20857.0
Graham County,Arizona,04,009,17687.0
Greenlee County,Arizona,04,011,22334.0
Maricopa County,Arizona,04,013,27477.0
Mohave County,Arizona,04,015,20709.0
Navajo County,Arizona,04,017,16355.0
Pima County,Arizona,04,019,25524.0
Pinal County,Arizona,04,021,20983.0
Santa Cruz County,Arizona,04,023,17900.0
