County,State,State_FIPS,County_FIPS,total_population
Dallas County,Arkansas,05,039,7279.0
Desha County,Arkansas,05,041,11709.0
Drew County,Arkansas,05,043,18417.0
Faulkner County,Arkansas,05,045,123624.0
Franklin County,Arkansas,05,047,17738.0
Fulton County,Arkansas,05,049,12231.0
Garland County,Arkansas,05,051,98555.0
Grant County,Arkansas,05,053,18126.0
Greene County,Arkansas,05,055,44937.0
Hempstead County,Arkansas,05,057,21842.0
Hot Spring County,Arkansas,05,059,33597.0
Howard County,Arkansas,05,061,13311.0
Independence County,Arkansas,05,063,37427.0
Izard County,Arkansas,05,065,13570.0
Jackson County,Arkansas,05,067,17027.0
Jefferson County,Arkansas,05,069,69282.0
Johnson County,Arkansas,05,071,26372.0
Lafayette County,Arkansas,05,073,6800.0
Lawrence County,Arkansas,05,075,16549.0
Lee County,Arkansas,05,077,9194.0
Lincoln County,Arkansas,05,079,13455.0
Little River County,Arkansas,05,081,12347.0
Logan County,Arkansas,05,083,21668.0
Lonoke County,Arkansas,05,085,72528.0
Madison County,Arkansas,05,087,16211.0
Marion County,Arkansas,05,089,16476.0
Miller County,Arkansas,05,091,43572.0
Mississippi County,Arkansas,05,093,42126.0
Monroe County,Arkansas,05,095,7050.0
Montgomery County,Arkansas,05,097,8950.0
Nevada County,Arkansas,05,099,8351.0
Newton County,Arkansas,05,101,7812.0
Ouachita County,Arkansas,05,103,23830.0
Perry County,Arkansas,05,105,10355.0
Phillips County,Arkansas,05,107,18606.0
Pike County,Arkansas,05,109,10756.0
Poinsett County,Arkansas,05,111,23896.0
Polk County,Arkansas,05,113,20094.0
Pope County,Arkansas,05,115,63761.0
Prairie County,Arkansas,05,117,8189.0
Pulaski County,Arkansas,05,119,392967.0
Randolph County,Arkansas,05,121,17695.0
Saint Francis County,Arkansas,05,123,25900.0
Saline County,Arkansas,05,125,119415.0
Scott County,Arkansas,05,127,10376.0
Searcy County,Arkansas,05,129,7908.0
Sebastian County,Arkansas,05,131,127591.0
Sevier County,Arkansas,05,133,17081.0
Sharp County,Arkansas,05,135,17139.0
Stone County,Arkansas,05,137,12475.0
Union County,Arkansas,05,139,39449.0
Van Buren County,Arkansas,05,141,16642.0
Washington County,Arkansas,05,143,232289.0
White County,Arkansas,05,145,78762.0
Woodruff County,Arkansas,05,147,6533.0
Yell County,Arkansas,05,149,21464.0
Alameda County,California,06,001,1656754.0
Alpine County,California,06,003,1039.0
Amador County,California,06,005,38429.0
Butte County,California,06,007,225817.0
Calaveras County,California,06,009,45514.0
Colusa County,California,06,011,21454.0
Contra Costa County,California,06,013,1142251.0
Del Norte County,California,06,015,27495.0
El Dorado County,California,06,017,188563.0
Fresno County,California,06,019,984521.0
Glenn County,California,06,021,27976.0
Humboldt County,California,06,023,135940.0
Imperial County,California,06,025,180701.0
Inyo County,California,06,027,17977.0
Kern County,California,06,029,887641.0
Kings County,California,06,031,150691.0
Lake County,California,06,033,64195.0
Lassen County,California,06,035,30818.0
Los Angeles County,California,06,037,10081570.0
Madera County,California,06,039,155433.0
Marin County,California,06,041,259943.0
Mariposa County,California,06,043,17420.0
Mendocino County,California,06,045,87224.0
Merced County,California,06,047,271382.0
Modoc County,California,06,049,8907.0
Mono County,California,06,051,14310.0
Monterey County,California,06,053,433410.0
Napa County,California,06,055,139623.0
Nevada County,California,06,057,99244.0
Orange County,California,06,059,3168044.0
Placer County,California,06,061,385512.0
Plumas County,California,06,063,18660.0
Riverside County,California,06,065,2411439.0
Sacramento County,California,06,067,1524553.0
San Benito County,California,06,069,60376.0
San Bernardino County,California,06,071,2149031.0
San Diego County,California,06,073,3316073.0
San Francisco County,California,06,075,874961.0
San Joaquin County,California,06,077,742603.0
San Luis Obispo County,California,06,079,282165.0
San Mateo County,California,06,081,767423.0
Santa Barbara County,California,06,083,444829.0
Santa Clara County,California,06,085,1927470.0
Santa Cruz County,California,06,087,273962.0
Shasta County,California,06,089,179212.0
Sierra County,California,06,091,3040.0
Siskiyou County,California,06,093,43468.0
Solano County,California,06,095,441829.0
Sonoma County,California,06,097,499772.0
Stanislaus County,California,06,099,543194.0
Sutter County,California,06,101,96109.0
Tehama County,California,06,103,63912.0
Trinity County,California,06,105,12700.0
Tulare County,California,06,107,461898.0
Tuolumne County,California,06,109,54045.0
Ventura County,California,06,111,847263.0
Yolo County,California,06,113,217352.0
Yuba County,California,06,115,76360.0
Alamosa County,Colorado,08,003,16107.0
Archuleta County,Colorado,08,007,13253.0
Baca County,Colorado,08,009,3561.0
Bent County,Colorado,08,011,5787.0
Chaffee County,Colorado,08,015,19557.0
