County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,25253
Baldwin County,Alabama,01,003,26769
Barbour County,Alabama,01,005,16532
Bibb County,Alabama,01,007,17611
Blount County,Alabama,01,009,21155
Bullock County,Alabama,01,011,19822
Butler County,Alabama,01,013,17564
Calhoun County,Alabama,01,015,20881
Chambers County,Alabama,01,017,18478
Cherokee County,Alabama,01,019,22472
Chilton County,Alabama,01,021,21132
Choctaw County,Alabama,01,023,19354
Clarke County,Alabama,01,025,19563
Clay County,Alabama,01,027,18136
Cleburne County,Alabama,01,029,19049
Coffee County,Alabama,01,031,23441
Colbert County,Alabama,01,033,22186
Conecuh County,Alabama,01,035,16648
Coosa County,Alabama,01,037,18855
Covington County,Alabama,01,039,20153
Crenshaw County,Alabama,01,041,21480
Cullman County,Alabama,01,043,20653
Dale County,Alabama,01,045,22707
Dallas County,Alabama,01,047,16907
DeKalb County,Alabama,01,049,18494
Elmore County,Alabama,01,051,24007
Escambia County,Alabama,01,053,16294
Etowah County,Alabama,01,055,20672
Fayette County,Alabama,01,057,18675
Franklin County,Alabama,01,059,19282
Geneva County,Alabama,01,061,19393
Greene County,Alabama,01,063,15062
Hale County,Alabama,01,065,17210
Henry County,Alabama,01,067,20897
Houston County,Alabama,01,069,23375
Jackson County,Alabama,01,071,20101
Jefferson County,Alabama,01,073,26760
Lamar County,Alabama,01,075,21410
Lauderdale County,Alabama,01,077,22833
Lawrence County,Alabama,01,079,20315
Lee County,Alabama,01,081,23162
Limestone County,Alabama,01,083,24872
Lowndes County,Alabama,01,085,17895
Macon County,Alabama,01,087,16402
Madison County,Alabama,01,089,31367
Marengo County,Alabama,01,091,20208
Marion County,Alabama,01,093,18610
Marshall County,Alabama,01,095,20480
Mobile County,Alabama,01,097,22581
Monroe County,Alabama,01,099,16943
Montgomery County,Alabama,01,101,24765
Morgan County,Alabama,01,103,23809
Perry County,Alabama,01,105,14527
Pickens County,Alabama,01,107,17024
Pike County,Alabama,01,109,19380
Randolph County,Alabama,01,111,19817
Russell County,Alabama,01,113,18792
Saint Clair County,Alabama,01,115,23144
Shelby County,Alabama,01,117,34081
Sumter County,Alabama,01,119,13951
Talladega County,Alabama,01,121,18744
Tallapoosa County,Alabama,01,123,21609
Tuscaloosa County,Alabama,01,125,22487
Walker County,Alabama,01,127,20689
Washington County,Alabama,01,129,20797
Wilcox County,Alabama,01,131,13163
Winston County,Alabama,01,133,19099
Anchorage Municipality,Alaska,02,020,36145
Bethel Census Area,Alaska,02,050,19055
Bristol Bay Borough,Alaska,02,060,37150
Fairbanks North Star Borough,Alaska,02,090,32344
Haines Borough,Alaska,02,100,29141
Juneau City and Borough,Alaska,02,110,37917
Kenai Peninsula Borough,Alaska,02,122,30789
Kodiak Island Borough,Alaska,02,150,27865
Matanuska-Susitna Borough,Alaska,02,170,29465
Nome Census Area,Alaska,02,180,19942
