County,State,State_FIPS,County_FIPS,per_capita_income
Autauga County,Alabama,01,001,24974.0
Baldwin County,Alabama,01,003,27317.0
Barbour County,Alabama,01,005,16824.0
Bibb County,Alabama,01,007,18431.0
Blount County,Alabama,01,009,20532.0
Bullock County,Alabama,01,011,17580.0
Butler County,Alabama,01,013,18390.0
Calhoun County,Alabama,01,015,21374.0
Chambers County,Alabama,01,017,21071.0
Cherokee County,Alabama,01,019,21811.0
Chilton County,Alabama,01,021,21399.0
Choctaw County,Alabama,01,023,20755.0
Clarke County,Alabama,01,025,20064.0
Clay County,Alabama,01,027,18905.0
Cleburne County,Alabama,01,029,20151.0
Coffee County,Alabama,01,031,24936.0
Colbert County,Alabama,01,033,22546.0
Conecuh County,Alabama,01,035,15968.0
Coosa County,Alabama,01,037,17519.0
Covington County,Alabama,01,039,20977.0
Crenshaw County,Alabama,01,041,20585.0
Cullman County,Alabama,01,043,20881.0
Dale County,Alabama,01,045,22566.0
Dallas County,Alabama,01,047,17808.0
DeKalb County,Alabama,01,049,18411.0
Elmore County,Alabama,01,051,24381.0
Escambia County,Alabama,01,053,17045.0
Etowah County,Alabama,01,055,20500.0
Fayette County,Alabama,01,057,19545.0
Franklin County,Alabama,01,059,18595.0
Geneva County,Alabama,01,061,20224.0
Greene County,Alabama,01,063,13611.0
Hale County,Alabama,01,065,18877.0
Henry County,Alabama,01,067,22931.0
Houston County,Alabama,01,069,23925.0
Jackson County,Alabama,01,071,20066.0
Jefferson County,Alabama,01,073,27240.0
Lamar County,Alabama,01,075,20130.0
Lauderdale County,Alabama,01,077,24215.0
Lawrence County,Alabama,01,079,21369.0
Lee County,Alabama,01,081,24356.0
Limestone County,Alabama,01,083,25569.0
Lowndes County,Alabama,01,085,18429.0
Macon County,Alabama,01,087,17374.0
Madison County,Alabama,01,089,32131.0
Marengo County,Alabama,01,091,21471.0
Marion County,Alabama,01,093,20042.0
Marshall County,Alabama,01,095,21363.0
Mobile County,Alabama,01,097,22953.0
Monroe County,Alabama,01,099,15863.0
Montgomery County,Alabama,01,101,25138.0
Morgan County,Alabama,01,103,24449.0
Perry County,Alabama,01,105,14804.0
Pickens County,Alabama,01,107,17957.0
Pike County,Alabama,01,109,19415.0
Randolph County,Alabama,01,111,19363.0
Russell County,Alabama,01,113,19882.0
Saint Clair County,Alabama,01,115,24168.0
Shelby County,Alabama,01,117,33494.0
Sumter County,Alabama,01,119,12887.0
Talladega County,Alabama,01,121,19598.0
Tallapoosa County,Alabama,01,123,21177.0
Tuscaloosa County,Alabama,01,125,23124.0
Walker County,Alabama,01,127,20166.0
Washington County,Alabama,01,129,19743.0
Wilcox County,Alabama,01,131,14170.0
Winston County,Alabama,01,133,18808.0
Anchorage Municipality,Alaska,02,020,36920.0
Bethel Census Area,Alaska,02,050,17746.0
Bristol Bay Borough,Alaska,02,060,38267.0
Fairbanks North Star Borough,Alaska,02,090,33244.0
Haines Borough,Alaska,02,100,33902.0
Juneau City and Borough,Alaska,02,110,39979.0
Kenai Peninsula Borough,Alaska,02,122,31537.0
Kodiak Island Borough,Alaska,02,150,30657.0
Matanuska-Susitna Borough,Alaska,02,170,29913.0
Nome Census Area,Alaska,02,180,19804.0
North Slope Borough,Alaska,02,185,51085.0
Sitka City and Borough,Alaska,02,220,33890.0
Southeast Fairbanks Census Area,Alaska,02,240,30079.0
Valdez-Cordova Census Area,Alaska,02,261,33293.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,21101.0
Aleutians East Borough,Alaska,02,013,28608.0
Aleutians West Census Area,Alaska,02,016,31754.0
Dillingham Census Area,Alaska,02,070,22257.0
Lake and Peninsula Borough,Alaska,02,164,23041.0
Denali Borough,Alaska,02,068,35315.0
Yukon-Koyukuk Census Area,Alaska,02,290,20698.0
Hoonah-Angoon Census Area,Alaska,02,105,30943.0
Skagway Municipality,Alaska,02,230,38696.0
Yakutat City and Borough,Alaska,02,282,33159.0
Ketchikan Gateway Borough,Alaska,02,130,32021.0
Petersburg Borough,Alaska,02,195,34884.0
Prince of Wales-Hyder Census Area,Alaska,02,198,25205.0
Wrangell City and Borough,Alaska,02,275,30089.0
Apache County,Arizona,04,001,13011.0
Cochise County,Arizona,04,003,23506.0
Coconino County,Arizona,04,005,24308.0
Gila County,Arizona,04,007,20583.0
Graham County,Arizona,04,009,17481.0
Greenlee County,Arizona,04,011,21994.0
Maricopa County,Arizona,04,013,27832.0
Mohave County,Arizona,04,015,20974.0
Navajo County,Arizona,04,017,16486.0
Pima County,Arizona,04,019,25729.0
Pinal County,Arizona,04,021,21130.0
Santa Cruz County,Arizona,04,023,17795.0
