County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,53099.0
Baldwin County,Alabama,01,003,51365.0
Barbour County,Alabama,01,005,33956.0
Bibb County,Alabama,01,007,39776.0
Blount County,Alabama,01,009,46212.0
Bullock County,Alabama,01,011,29335.0
Butler County,Alabama,01,013,34315.0
Calhoun County,Alabama,01,015,41954.0
Chambers County,Alabama,01,017,36027.0
Cherokee County,Alabama,01,019,38925.0
Chilton County,Alabama,01,021,42594.0
Choctaw County,Alabama,01,023,32622.0
Clarke County,Alabama,01,025,32735.0
Clay County,Alabama,01,027,38815.0
Cleburne County,Alabama,01,029,36316.0
Coffee County,Alabama,01,031,47872.0
Colbert County,Alabama,01,033,43786.0
Conecuh County,Alabama,01,035,27609.0
Coosa County,Alabama,01,037,31910.0
Covington County,Alabama,01,039,37313.0
Crenshaw County,Alabama,01,041,37557.0
Cullman County,Alabama,01,043,39297.0
Dale County,Alabama,01,045,44093.0
Dallas County,Alabama,01,047,28136.0
DeKalb County,Alabama,01,049,38248.0
Elmore County,Alabama,01,051,53398.0
Escambia County,Alabama,01,053,32334.0
Etowah County,Alabama,01,055,40478.0
Fayette County,Alabama,01,057,36205.0
Franklin County,Alabama,01,059,36138.0
Geneva County,Alabama,01,061,36519.0
Greene County,Alabama,01,063,21339.0
Hale County,Alabama,01,065,33351.0
Henry County,Alabama,01,067,41045.0
Houston County,Alabama,01,069,41945.0
Jackson County,Alabama,01,071,38422.0
Jefferson County,Alabama,01,073,47220.0
Lamar County,Alabama,01,075,34298.0
Lauderdale County,Alabama,01,077,43657.0
Lawrence County,Alabama,01,079,42339.0
Lee County,Alabama,01,081,45056.0
Limestone County,Alabama,01,083,51115.0
Lowndes County,Alabama,01,085,27914.0
Macon County,Alabama,01,087,32390.0
Madison County,Alabama,01,089,60150.0
Marengo County,Alabama,01,091,30713.0
Marion County,Alabama,01,093,34074.0
Marshall County,Alabama,01,095,39831.0
Mobile County,Alabama,01,097,44263.0
Monroe County,Alabama,01,099,28182.0
Montgomery County,Alabama,01,101,45358.0
Morgan County,Alabama,01,103,46883.0
Perry County,Alabama,01,105,24912.0
Pickens County,Alabama,01,107,31679.0
Pike County,Alabama,01,109,33193.0
Randolph County,Alabama,01,111,37496.0
Russell County,Alabama,01,113,38400.0
Saint Clair County,Alabama,01,115,54042.0
Shelby County,Alabama,01,117,72310.0
Sumter County,Alabama,01,119,20428.0
Talladega County,Alabama,01,121,37923.0
Tallapoosa County,Alabama,01,123,39395.0
Tuscaloosa County,Alabama,01,125,48022.0
Walker County,Alabama,01,127,37025.0
Washington County,Alabama,01,129,40293.0
Wilcox County,Alabama,01,131,24442.0
Winston County,Alabama,01,133,33896.0
Anchorage Municipality,Alaska,02,020,80862.0
Bethel Census Area,Alaska,02,050,53296.0
Bristol Bay Borough,Alaska,02,060,88000.0
Fairbanks North Star Borough,Alaska,02,090,73831.0
Haines Borough,Alaska,02,100,53125.0
Juneau City and Borough,Alaska,02,110,87436.0
Kenai Peninsula Borough,Alaska,02,122,64891.0
Kodiak Island Borough,Alaska,02,150,73068.0
Matanuska-Susitna Borough,Alaska,02,170,73908.0
Nome Census Area,Alaska,02,180,51563.0
North Slope Borough,Alaska,02,185,72027.0
Sitka City and Borough,Alaska,02,220,70160.0
Southeast Fairbanks Census Area,Alaska,02,240,63713.0
Valdez-Cordova Census Area,Alaska,02,261,82511.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,61341.0
Aleutians East Borough,Alaska,02,013,65926.0
Aleutians West Census Area,Alaska,02,016,86964.0
Dillingham Census Area,Alaska,02,070,56055.0
Lake and Peninsula Borough,Alaska,02,164,43864.0
Denali Borough,Alaska,02,068,81302.0
Yukon-Koyukuk Census Area,Alaska,02,290,38451.0
Hoonah-Angoon Census Area,Alaska,02,105,54091.0
Skagway Municipality,Alaska,02,230,64853.0
Yakutat City and Borough,Alaska,02,282,66875.0
Ketchikan Gateway Borough,Alaska,02,130,64162.0
