County,State,State_FIPS,County_FIPS,total_population
Autauga County,Alabama,01,001,53155
Baldwin County,Alabama,01,003,175791
Barbour County,Alabama,01,005,27699
Bibb County,Alabama,01,007,22610
Blount County,Alabama,01,009,56692
Bullock County,Alabama,01,011,10923
Butler County,Alabama,01,013,20895
Calhoun County,Alabama,01,015,117149
Chambers County,Alabama,01,017,34579
Cherokee County,Alabama,01,019,25700
Chilton County,Alabama,01,021,43121
Choctaw County,Alabama,01,023,14111
Clarke County,Alabama,01,025,26255
Clay County,Alabama,01,027,14040
Cleburne County,Alabama,01,029,14823
Coffee County,Alabama,01,031,48349
Colbert County,Alabama,01,033,54446
Conecuh County,Alabama,01,035,13382
Coosa County,Alabama,01,037,11470
Covington County,Alabama,01,039,37608
Crenshaw County,Alabama,01,041,13928
Cullman County,Alabama,01,043,79941
Dale County,Alabama,01,045,49730
Dallas County,Alabama,01,047,44066
DeKalb County,Alabama,01,049,70038
Elmore County,Alabama,01,051,77650
Escambia County,Alabama,01,053,37996
Etowah County,Alabama,01,055,104066
Fayette County,Alabama,01,057,17472
Franklin County,Alabama,01,059,31383
Geneva County,Alabama,01,061,26541
Greene County,Alabama,01,063,9255
Hale County,Alabama,01,065,16168
Henry County,Alabama,01,067,17148
Houston County,Alabama,01,069,99029
Jackson County,Alabama,01,071,53386
Jefferson County,Alabama,01,073,656912
Lamar County,Alabama,01,075,14743
Lauderdale County,Alabama,01,077,91762
Lawrence County,Alabama,01,079,34235
Lee County,Alabama,01,081,135010
Limestone County,Alabama,01,083,78614
Lowndes County,Alabama,01,085,11731
Macon County,Alabama,01,087,21699
Madison County,Alabama,01,089,323080
Marengo County,Alabama,01,091,21296
Marion County,Alabama,01,093,30792
Marshall County,Alabama,01,095,90867
Mobile County,Alabama,01,097,408620
Monroe County,Alabama,01,099,23329
Montgomery County,Alabama,01,101,228018
Morgan County,Alabama,01,103,117632
Perry County,Alabama,01,105,10684
Pickens County,Alabama,01,107,19917
Pike County,Alabama,01,109,32147
Randolph County,Alabama,01,111,22817
Russell County,Alabama,01,113,51663
Saint Clair County,Alabama,01,115,80658
Shelby County,Alabama,01,117,187880
Sumter County,Alabama,01,119,13871
Talladega County,Alabama,01,121,82347
Tallapoosa County,Alabama,01,123,41534
Tuscaloosa County,Alabama,01,125,188331
Walker County,Alabama,01,127,67612
Washington County,Alabama,01,129,17556
Wilcox County,Alabama,01,131,12012
Winston County,Alabama,01,133,24687
Anchorage Municipality,Alaska,02,020,284267
Bethel Census Area,Alaska,02,050,16838
Bristol Bay Borough,Alaska,02,060,1049
Fairbanks North Star Borough,Alaska,02,090,94439
Haines Borough,Alaska,02,100,1658
Juneau City and Borough,Alaska,02,110,30975
Kenai Peninsula Borough,Alaska,02,122,53917
Kodiak Island Borough,Alaska,02,150,13349
Matanuska-Susitna Borough,Alaska,02,170,84147
Nome Census Area,Alaska,02,180,9315
North Slope Borough,Alaska,02,185,8852
Sitka City and Borough,Alaska,02,220,8894
Southeast Fairbanks Census Area,Alaska,02,240,6935
Valdez-Cordova Census Area,Alaska,02,261,9606
Wade Hampton Census Area,Alaska,02,270,7398
Northwest Arctic Borough,Alaska,02,188,7477
Aleutians East Borough,Alaska,02,013,3703
Aleutians West Census Area,Alaska,02,016,6259
Dillingham Census Area,Alaska,02,070,4817
Lake and Peninsula Borough,Alaska,02,164,1626
Denali Borough,Alaska,02,068,1144
Yukon-Koyukuk Census Area,Alaska,02,290,5635
Hoonah-Angoon Census Area,Alaska,02,105,2029
Skagway Municipality,Alaska,02,230,1140
Yakutat City and Borough,Alaska,02,282,638
Ketchikan Gateway Borough,Alaska,02,130,13396
Petersburg Borough,Alaska,02,195,3841
Prince of Wales-Hyder Census Area,Alaska,02,198,5507
Wrangell City and Borough,Alaska,02,275,2338
Apache County,Arizona,04,001,70312
Cochise County,Arizona,04,003,129268
Coconino County,Arizona,04,005,131824
Gila County,Arizona,04,007,53272
Graham County,Arizona,04,009,36030
Greenlee County,Arizona,04,011,8318
Maricopa County,Arizona,04,013,3751410
Mohave County,Arizona,04,015,199177
Navajo County,Arizona,04,017,107060
Pima County,Arizona,04,019,964462
Pinal County,Arizona,04,021,329297
Santa Cruz County,Arizona,04,023,46051
Yavapai County,Arizona,04,025,209260
La Paz County,Arizona,04,012,20549
Yuma County,Arizona,04,027,190526
Arkansas County,Arkansas,05,001,19321
Ashley County,Arkansas,05,003,22126
Baxter County,Arkansas,05,005,41388
Benton County,Arkansas,05,007,209911
Boone County,Arkansas,05,009,36710
Bradley County,Arkansas,05,011,11638
