County,State,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,01,001,133900
Baldwin County,Alabama,01,003,177200
Barbour County,Alabama,01,005,88200
Bibb County,Alabama,01,007,81200
Blount County,Alabama,01,009,113700
Bullock County,Alabama,01,011,66300
Butler County,Alabama,01,013,70200
Calhoun County,Alabama,01,015,98200
Chambers County,Alabama,01,017,82200
Cherokee County,Alabama,01,019,97100
Chilton County,Alabama,01,021,103700
Choctaw County,Alabama,01,023,63400
Clarke County,Alabama,01,025,73300
Clay County,Alabama,01,027,82900
Cleburne County,Alabama,01,029,87900
Coffee County,Alabama,01,031,116700
Colbert County,Alabama,01,033,94700
Conecuh County,Alabama,01,035,72500
Coosa County,Alabama,01,037,73100
Covington County,Alabama,01,039,85700
Crenshaw County,Alabama,01,041,71900
Cullman County,Alabama,01,043,102200
Dale County,Alabama,01,045,93900
Dallas County,Alabama,01,047,70300
DeKalb County,Alabama,01,049,84400
Elmore County,Alabama,01,051,136500
Escambia County,Alabama,01,053,83800
Etowah County,Alabama,01,055,98200
Fayette County,Alabama,01,057,71500
Franklin County,Alabama,01,059,78200
Geneva County,Alabama,01,061,77200
Greene County,Alabama,01,063,71500
Hale County,Alabama,01,065,70600
Henry County,Alabama,01,067,89700
Houston County,Alabama,01,069,116300
Jackson County,Alabama,01,071,86300
Jefferson County,Alabama,01,073,138300
Lamar County,Alabama,01,075,68200
Lauderdale County,Alabama,01,077,107400
Lawrence County,Alabama,01,079,97600
Lee County,Alabama,01,081,139500
Limestone County,Alabama,01,083,122300
Lowndes County,Alabama,01,085,64000
Macon County,Alabama,01,087,79200
Madison County,Alabama,01,089,155600
Marengo County,Alabama,01,091,79000
Marion County,Alabama,01,093,74700
Marshall County,Alabama,01,095,101300
Mobile County,Alabama,01,097,120700
Monroe County,Alabama,01,099,80400
Montgomery County,Alabama,01,101,121000
Morgan County,Alabama,01,103,115300
Perry County,Alabama,01,105,61000
Pickens County,Alabama,01,107,81100
Pike County,Alabama,01,109,93900
Randolph County,Alabama,01,111,88100
Russell County,Alabama,01,113,93300
Saint Clair County,Alabama,01,115,126500
Shelby County,Alabama,01,117,193900
Sumter County,Alabama,01,119,66300
Talladega County,Alabama,01,121,87000
Tallapoosa County,Alabama,01,123,91300
Tuscaloosa County,Alabama,01,125,148400
Walker County,Alabama,01,127,83600
Washington County,Alabama,01,129,85200
Wilcox County,Alabama,01,131,54200
Winston County,Alabama,01,133,83700
Anchorage Municipality,Alaska,02,020,269500
Bethel Census Area,Alaska,02,050,153400
Bristol Bay Borough,Alaska,02,060,171100
Fairbanks North Star Borough,Alaska,02,090,206800
Haines Borough,Alaska,02,100,205400
Juneau City and Borough,Alaska,02,110,291600
Kenai Peninsula Borough,Alaska,02,122,193000
Kodiak Island Borough,Alaska,02,150,182100
Matanuska-Susitna Borough,Alaska,02,170,212000
Nome Census Area,Alaska,02,180,144600
North Slope Borough,Alaska,02,185,135800
Sitka City and Borough,Alaska,02,220,309800
Southeast Fairbanks Census Area,Alaska,02,240,168700
Valdez-Cordova Census Area,Alaska,02,261,165800
Wade Hampton Census Area,Alaska,02,270,80300
Northwest Arctic Borough,Alaska,02,188,129000
Aleutians East Borough,Alaska,02,013,121600
Aleutians West Census Area,Alaska,02,016,163400
Dillingham Census Area,Alaska,02,070,199100
Lake and Peninsula Borough,Alaska,02,164,156400
Denali Borough,Alaska,02,068,174000
Yukon-Koyukuk Census Area,Alaska,02,290,99500
Hoonah-Angoon Census Area,Alaska,02,105,184200
Skagway Municipality,Alaska,02,230,253700
Yakutat City and Borough,Alaska,02,282,151900
Ketchikan Gateway Borough,Alaska,02,130,242500
Petersburg Borough,Alaska,02,195,195300
Prince of Wales-Hyder Census Area,Alaska,02,198,152100
Wrangell City and Borough,Alaska,02,275,163700
Apache County,Arizona,04,001,80900
Cochise County,Arizona,04,003,154900
Coconino County,Arizona,04,005,257700
Gila County,Arizona,04,007,156100
Graham County,Arizona,04,009,119500
Greenlee County,Arizona,04,011,65800
Maricopa County,Arizona,04,013,238600
Mohave County,Arizona,04,015,170600
Navajo County,Arizona,04,017,134300
Pima County,Arizona,04,019,198300
Pinal County,Arizona,04,021,164000
Santa Cruz County,Arizona,04,023,148200
Yavapai County,Arizona,04,025,231000
La Paz County,Arizona,04,012,100000
Yuma County,Arizona,04,027,142400
Arkansas County,Arkansas,05,001,78900
Ashley County,Arkansas,05,003,62100
Baxter County,Arkansas,05,005,118400
Benton County,Arkansas,05,007,155000
