County,State,State_FIPS,County_FIPS,median_home_value
Autauga County,Alabama,01,001,137900
Baldwin County,Alabama,01,003,172900
Barbour County,Alabama,01,005,88700
Bibb County,Alabama,01,007,91600
Blount County,Alabama,01,009,115200
Bullock County,Alabama,01,011,73900
Butler County,Alabama,01,013,73500
Calhoun County,Alabama,01,015,101900
Chambers County,Alabama,01,017,78000
Cherokee County,Alabama,01,019,99900
Chilton County,Alabama,01,021,103700
Choctaw County,Alabama,01,023,59300
Clarke County,Alabama,01,025,84800
Clay County,Alabama,01,027,80600
Cleburne County,Alabama,01,029,91300
Coffee County,Alabama,01,031,126400
Colbert County,Alabama,01,033,101500
Conecuh County,Alabama,01,035,74200
Coosa County,Alabama,01,037,74500
Covington County,Alabama,01,039,86700
Crenshaw County,Alabama,01,041,70000
Cullman County,Alabama,01,043,104700
Dale County,Alabama,01,045,96100
Dallas County,Alabama,01,047,73700
DeKalb County,Alabama,01,049,89400
Elmore County,Alabama,01,051,143900
Escambia County,Alabama,01,053,85300
Etowah County,Alabama,01,055,101200
Fayette County,Alabama,01,057,72600
Franklin County,Alabama,01,059,82000
Geneva County,Alabama,01,061,79400
Greene County,Alabama,01,063,77200
Hale County,Alabama,01,065,80300
Henry County,Alabama,01,067,100400
Houston County,Alabama,01,069,122000
Jackson County,Alabama,01,071,92000
Jefferson County,Alabama,01,073,142300
Lamar County,Alabama,01,075,69900
Lauderdale County,Alabama,01,077,111900
Lawrence County,Alabama,01,079,96600
Lee County,Alabama,01,081,149300
Limestone County,Alabama,01,083,132500
Lowndes County,Alabama,01,085,70200
Macon County,Alabama,01,087,77500
Madison County,Alabama,01,089,163300
Marengo County,Alabama,01,091,89500
Marion County,Alabama,01,093,76400
Marshall County,Alabama,01,095,109800
Mobile County,Alabama,01,097,125400
Monroe County,Alabama,01,099,76600
Montgomery County,Alabama,01,101,123500
Morgan County,Alabama,01,103,121100
Perry County,Alabama,01,105,63500
Pickens County,Alabama,01,107,82500
Pike County,Alabama,01,109,101600
Randolph County,Alabama,01,111,89100
Russell County,Alabama,01,113,102000
Saint Clair County,Alabama,01,115,132600
Shelby County,Alabama,01,117,196000
Sumter County,Alabama,01,119,76800
Talladega County,Alabama,01,121,90400
Tallapoosa County,Alabama,01,123,94600
Tuscaloosa County,Alabama,01,125,152300
Walker County,Alabama,01,127,83600
