County,State,State_FIPS,County_FIPS,gini_index
Dallas County,Arkansas,05,039,0.4169
Desha County,Arkansas,05,041,0.4983
Drew County,Arkansas,05,043,0.4786
Faulkner County,Arkansas,05,045,0.442
Franklin County,Arkansas,05,047,0.4261
Fulton County,Arkansas,05,049,0.4016
Garland County,Arkansas,05,051,0.4873
Grant County,Arkansas,05,053,0.4403
Greene County,Arkansas,05,055,0.4288
Hempstead County,Arkansas,05,057,0.4608
Hot Spring County,Arkansas,05,059,0.4357
Howard County,Arkansas,05,061,0.4984
Independence County,Arkansas,05,063,0.4581
Izard County,Arkansas,05,065,0.4311
Jackson County,Arkansas,05,067,0.4984
Jefferson County,Arkansas,05,069,0.4797
Johnson County,Arkansas,05,071,0.4784
Lafayette County,Arkansas,05,073,0.5191
Lawrence County,Arkansas,05,075,0.4304
Lee County,Arkansas,05,077,0.4897
Lincoln County,Arkansas,05,079,0.4899
Little River County,Arkansas,05,081,0.4301
Logan County,Arkansas,05,083,0.4639
Lonoke County,Arkansas,05,085,0.3862
Madison County,Arkansas,05,087,0.4452
Marion County,Arkansas,05,089,0.4089
Miller County,Arkansas,05,091,0.4418
Mississippi County,Arkansas,05,093,0.4732
Monroe County,Arkansas,05,095,0.486
Montgomery County,Arkansas,05,097,0.4341
Nevada County,Arkansas,05,099,0.4523
Newton County,Arkansas,05,101,0.4359
Ouachita County,Arkansas,05,103,0.4693
Perry County,Arkansas,05,105,0.444
Phillips County,Arkansas,05,107,0.4979
Pike County,Arkansas,05,109,0.4456
Poinsett County,Arkansas,05,111,0.4258
Polk County,Arkansas,05,113,0.4523
Pope County,Arkansas,05,115,0.4392
Prairie County,Arkansas,05,117,0.4204
Pulaski County,Arkansas,05,119,0.4907
Randolph County,Arkansas,05,121,0.4477
Saint Francis County,Arkansas,05,123,0.4579
Saline County,Arkansas,05,125,0.3816
Scott County,Arkansas,05,127,0.4272
Searcy County,Arkansas,05,129,0.462
Sebastian County,Arkansas,05,131,0.4982
Sevier County,Arkansas,05,133,0.4088
Sharp County,Arkansas,05,135,0.4047
Stone County,Arkansas,05,137,0.4879
Union County,Arkansas,05,139,0.4659
Van Buren County,Arkansas,05,141,0.4421
Washington County,Arkansas,05,143,0.4955
White County,Arkansas,05,145,0.4742
Woodruff County,Arkansas,05,147,0.4932
Yell County,Arkansas,05,149,0.4271
Alameda County,California,06,001,0.4702
Alpine County,California,06,003,0.4583
Amador County,California,06,005,0.4512
Butte County,California,06,007,0.4743
Calaveras County,California,06,009,0.4565
Colusa County,California,06,011,0.4134
Contra Costa County,California,06,013,0.4684
Del Norte County,California,06,015,0.4749
El Dorado County,California,06,017,0.4574
Fresno County,California,06,019,0.474
Glenn County,California,06,021,0.5024
Humboldt County,California,06,023,0.4575
Imperial County,California,06,025,0.464
Inyo County,California,06,027,0.4248
Kern County,California,06,029,0.4589
Kings County,California,06,031,0.4504
Lake County,California,06,033,0.4611
Lassen County,California,06,035,0.4216
Los Angeles County,California,06,037,0.5013
Madera County,California,06,039,0.4509
Marin County,California,06,041,0.5263
Mariposa County,California,06,043,0.4552
Mendocino County,California,06,045,0.4762
Merced County,California,06,047,0.455
Modoc County,California,06,049,0.4518
Mono County,California,06,051,0.3645
Monterey County,California,06,053,0.4614
Napa County,California,06,055,0.4745
Nevada County,California,06,057,0.4461
Orange County,California,06,059,0.467
Placer County,California,06,061,0.439
Plumas County,California,06,063,0.4979
Riverside County,California,06,065,0.4454
Sacramento County,California,06,067,0.4557
San Benito County,California,06,069,0.4061
San Bernardino County,California,06,071,0.4429
San Diego County,California,06,073,0.4651
San Francisco County,California,06,075,0.5202
San Joaquin County,California,06,077,0.4492
San Luis Obispo County,California,06,079,0.4567
San Mateo County,California,06,081,0.4883
Santa Barbara County,California,06,083,0.4807
Santa Clara County,California,06,085,0.4662
Santa Cruz County,California,06,087,0.4709
Shasta County,California,06,089,0.4506
Sierra County,California,06,091,0.4697
Siskiyou County,California,06,093,0.4583
Solano County,California,06,095,0.4236
Sonoma County,California,06,097,0.4565
