County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.41
Baldwin County,Alabama,01,003,0.4517
Barbour County,Alabama,01,005,0.4608
Bibb County,Alabama,01,007,0.4365
Blount County,Alabama,01,009,0.4134
Bullock County,Alabama,01,011,0.446
Butler County,Alabama,01,013,0.4591
Calhoun County,Alabama,01,015,0.4545
Chambers County,Alabama,01,017,0.5023
Cherokee County,Alabama,01,019,0.4658
Chilton County,Alabama,01,021,0.4517
Choctaw County,Alabama,01,023,0.4866
Clarke County,Alabama,01,025,0.5249
Clay County,Alabama,01,027,0.4373
Cleburne County,Alabama,01,029,0.4432
Coffee County,Alabama,01,031,0.4474
Colbert County,Alabama,01,033,0.4361
Conecuh County,Alabama,01,035,0.4952
Coosa County,Alabama,01,037,0.4341
Covington County,Alabama,01,039,0.4637
Crenshaw County,Alabama,01,041,0.4589
Cullman County,Alabama,01,043,0.4582
Dale County,Alabama,01,045,0.434
Dallas County,Alabama,01,047,0.5281
DeKalb County,Alabama,01,049,0.4431
Elmore County,Alabama,01,051,0.4103
Escambia County,Alabama,01,053,0.4742
Etowah County,Alabama,01,055,0.4458
Fayette County,Alabama,01,057,0.467
Franklin County,Alabama,01,059,0.4386
Geneva County,Alabama,01,061,0.448
Greene County,Alabama,01,063,0.4876
Hale County,Alabama,01,065,0.5082
Henry County,Alabama,01,067,0.4402
Houston County,Alabama,01,069,0.473
Jackson County,Alabama,01,071,0.4473
Jefferson County,Alabama,01,073,0.497
Lamar County,Alabama,01,075,0.4345
Lauderdale County,Alabama,01,077,0.4615
Lawrence County,Alabama,01,079,0.4247
Lee County,Alabama,01,081,0.4937
Limestone County,Alabama,01,083,0.4541
Lowndes County,Alabama,01,085,0.5281
Macon County,Alabama,01,087,0.4703
Madison County,Alabama,01,089,0.4701
Marengo County,Alabama,01,091,0.5402
Marion County,Alabama,01,093,0.4711
Marshall County,Alabama,01,095,0.4659
Mobile County,Alabama,01,097,0.4732
Monroe County,Alabama,01,099,0.492
Montgomery County,Alabama,01,101,0.4771
Morgan County,Alabama,01,103,0.4488
Perry County,Alabama,01,105,0.4924
Pickens County,Alabama,01,107,0.4608
Pike County,Alabama,01,109,0.4938
Randolph County,Alabama,01,111,0.4525
Russell County,Alabama,01,113,0.4535
Saint Clair County,Alabama,01,115,0.423
Shelby County,Alabama,01,117,0.4253
Sumter County,Alabama,01,119,0.4762
Talladega County,Alabama,01,121,0.4514
Tallapoosa County,Alabama,01,123,0.4444
Tuscaloosa County,Alabama,01,125,0.4666
Walker County,Alabama,01,127,0.4635
Washington County,Alabama,01,129,0.4169
Wilcox County,Alabama,01,131,0.5321
Winston County,Alabama,01,133,0.4564
Anchorage Municipality,Alaska,02,020,0.4156
Bethel Census Area,Alaska,02,050,0.4427
Bristol Bay Borough,Alaska,02,060,0.3476
Fairbanks North Star Borough,Alaska,02,090,0.4013
Haines Borough,Alaska,02,100,0.4171
Juneau City and Borough,Alaska,02,110,0.3738
Kenai Peninsula Borough,Alaska,02,122,0.419
Kodiak Island Borough,Alaska,02,150,0.3984
Matanuska-Susitna Borough,Alaska,02,170,0.4042
Nome Census Area,Alaska,02,180,0.4427
North Slope Borough,Alaska,02,185,0.3777
Sitka City and Borough,Alaska,02,220,0.3862
Southeast Fairbanks Census Area,Alaska,02,240,0.3944
Valdez-Cordova Census Area,Alaska,02,261,0.4059
Wade Hampton Census Area,Alaska,02,270,0.4011
Northwest Arctic Borough,Alaska,02,188,0.4034
Aleutians East Borough,Alaska,02,013,0.3858
Aleutians West Census Area,Alaska,02,016,0.3911
Dillingham Census Area,Alaska,02,070,0.4345
