County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.4542
Baldwin County,Alabama,01,003,0.4587
Barbour County,Alabama,01,005,0.4883
Bibb County,Alabama,01,007,0.4487
Blount County,Alabama,01,009,0.457
Bullock County,Alabama,01,011,0.4731
Butler County,Alabama,01,013,0.4619
Calhoun County,Alabama,01,015,0.4633
Chambers County,Alabama,01,017,0.423
Cherokee County,Alabama,01,019,0.4515
Chilton County,Alabama,01,021,0.4719
Choctaw County,Alabama,01,023,0.469
Clarke County,Alabama,01,025,0.5158
Clay County,Alabama,01,027,0.4615
Cleburne County,Alabama,01,029,0.457
Coffee County,Alabama,01,031,0.4327
Colbert County,Alabama,01,033,0.4467
Conecuh County,Alabama,01,035,0.4296
Coosa County,Alabama,01,037,0.4515
Covington County,Alabama,01,039,0.4598
Crenshaw County,Alabama,01,041,0.4921
Cullman County,Alabama,01,043,0.4416
Dale County,Alabama,01,045,0.4479
Dallas County,Alabama,01,047,0.4691
DeKalb County,Alabama,01,049,0.4723
Elmore County,Alabama,01,051,0.4413
Escambia County,Alabama,01,053,0.4818
Etowah County,Alabama,01,055,0.4594
Fayette County,Alabama,01,057,0.461
Franklin County,Alabama,01,059,0.4276
Geneva County,Alabama,01,061,0.44
Greene County,Alabama,01,063,0.5115
Hale County,Alabama,01,065,0.4994
Henry County,Alabama,01,067,0.4407
Houston County,Alabama,01,069,0.4832
Jackson County,Alabama,01,071,0.4516
Jefferson County,Alabama,01,073,0.5009
Lamar County,Alabama,01,075,0.472
Lauderdale County,Alabama,01,077,0.4601
Lawrence County,Alabama,01,079,0.4409
Lee County,Alabama,01,081,0.5026
Limestone County,Alabama,01,083,0.4454
Lowndes County,Alabama,01,085,0.5064
Macon County,Alabama,01,087,0.5095
Madison County,Alabama,01,089,0.462
Marengo County,Alabama,01,091,0.5495
Marion County,Alabama,01,093,0.4587
Marshall County,Alabama,01,095,0.4707
Mobile County,Alabama,01,097,0.476
Monroe County,Alabama,01,099,0.5495
Montgomery County,Alabama,01,101,0.4928
Morgan County,Alabama,01,103,0.4526
Perry County,Alabama,01,105,0.4938
Pickens County,Alabama,01,107,0.4907
Pike County,Alabama,01,109,0.5367
Randolph County,Alabama,01,111,0.4815
Russell County,Alabama,01,113,0.4661
Saint Clair County,Alabama,01,115,0.4065
Shelby County,Alabama,01,117,0.4392
Sumter County,Alabama,01,119,0.5289
Talladega County,Alabama,01,121,0.467
Tallapoosa County,Alabama,01,123,0.4689
Tuscaloosa County,Alabama,01,125,0.4677
Walker County,Alabama,01,127,0.4522
Washington County,Alabama,01,129,0.4989
Wilcox County,Alabama,01,131,0.4887
Winston County,Alabama,01,133,0.4752
Anchorage Municipality,Alaska,02,020,0.4298
Bethel Census Area,Alaska,02,050,0.4502
Bristol Bay Borough,Alaska,02,060,0.3916
Fairbanks North Star Borough,Alaska,02,090,0.4094
Haines Borough,Alaska,02,100,0.3985
Juneau City and Borough,Alaska,02,110,0.3985
Kenai Peninsula Borough,Alaska,02,122,0.4393
Kodiak Island Borough,Alaska,02,150,0.372
Matanuska-Susitna Borough,Alaska,02,170,0.422
Nome Census Area,Alaska,02,180,0.4301
North Slope Borough,Alaska,02,185,0.4094
Sitka City and Borough,Alaska,02,220,0.4185
Southeast Fairbanks Census Area,Alaska,02,240,0.4058
Valdez-Cordova Census Area,Alaska,02,261,0.413
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,0.4469
Aleutians East Borough,Alaska,02,013,0.4068
Aleutians West Census Area,Alaska,02,016,0.3514
Dillingham Census Area,Alaska,02,070,0.4271
Lake and Peninsula Borough,Alaska,02,164,0.4259
Denali Borough,Alaska,02,068,0.3486
Yukon-Koyukuk Census Area,Alaska,02,290,0.4671
Hoonah-Angoon Census Area,Alaska,02,105,0.4306
Skagway Municipality,Alaska,02,230,0.3023
Yakutat City and Borough,Alaska,02,282,0.3385
Ketchikan Gateway Borough,Alaska,02,130,0.4332
Petersburg Borough,Alaska,02,195,0.4274
Prince of Wales-Hyder Census Area,Alaska,02,198,0.4326
Wrangell City and Borough,Alaska,02,275,0.4208
Apache County,Arizona,04,001,0.5013
Cochise County,Arizona,04,003,0.4427
Coconino County,Arizona,04,005,0.4667
Gila County,Arizona,04,007,0.4427
Graham County,Arizona,04,009,0.4196
Greenlee County,Arizona,04,011,0.3805
Maricopa County,Arizona,04,013,0.4641
Mohave County,Arizona,04,015,0.4456
Navajo County,Arizona,04,017,0.4739
Pima County,Arizona,04,019,0.4694
Pinal County,Arizona,04,021,0.4204
Santa Cruz County,Arizona,04,023,0.4997
Yavapai County,Arizona,04,025,0.4435
La Paz County,Arizona,04,012,0.4879
Yuma County,Arizona,04,027,0.4429
Arkansas County,Arkansas,05,001,0.4807
Ashley County,Arkansas,05,003,0.4694
Baxter County,Arkansas,05,005,0.4517
Benton County,Arkansas,05,007,0.4586
Boone County,Arkansas,05,009,0.4364
Bradley County,Arkansas,05,011,0.451
Calhoun County,Arkansas,05,013,0.4212
Carroll County,Arkansas,05,015,0.4631
Chicot County,Arkansas,05,017,0.5252
Clark County,Arkansas,05,019,0.4319
Clay County,Arkansas,05,021,0.4663
Cleburne County,Arkansas,05,023,0.4501
Cleveland County,Arkansas,05,025,0.4257
Columbia County,Arkansas,05,027,0.4973
Conway County,Arkansas,05,029,0.4812
Craighead County,Arkansas,05,031,0.4816
Crawford County,Arkansas,05,033,0.4477
Crittenden County,Arkansas,05,035,0.4689
Cross County,Arkansas,05,037,0.4593
Dallas County,Arkansas,05,039,0.4249
Desha County,Arkansas,05,041,0.4547
Drew County,Arkansas,05,043,0.4941
Faulkner County,Arkansas,05,045,0.4674
Franklin County,Arkansas,05,047,0.4533
Fulton County,Arkansas,05,049,0.4256
Garland County,Arkansas,05,051,0.4807
Grant County,Arkansas,05,053,0.4471
Greene County,Arkansas,05,055,0.4261
Hempstead County,Arkansas,05,057,0.4199
Hot Spring County,Arkansas,05,059,0.428
Howard County,Arkansas,05,061,0.511
Independence County,Arkansas,05,063,0.4561
Izard County,Arkansas,05,065,0.4278
Jackson County,Arkansas,05,067,0.501
Jefferson County,Arkansas,05,069,0.4642
Johnson County,Arkansas,05,071,0.4491
Lafayette County,Arkansas,05,073,0.5807
Lawrence County,Arkansas,05,075,0.4382
Lee County,Arkansas,05,077,0.5049
Lincoln County,Arkansas,05,079,0.4604
Little River County,Arkansas,05,081,0.4494
Logan County,Arkansas,05,083,0.4243
Lonoke County,Arkansas,05,085,0.4161
Madison County,Arkansas,05,087,0.4771
Marion County,Arkansas,05,089,0.4416
Miller County,Arkansas,05,091,0.466
Mississippi County,Arkansas,05,093,0.4727
Monroe County,Arkansas,05,095,0.4556
Montgomery County,Arkansas,05,097,0.454
Nevada County,Arkansas,05,099,0.4086
Newton County,Arkansas,05,101,0.4307
Ouachita County,Arkansas,05,103,0.4577
Perry County,Arkansas,05,105,0.4132
Phillips County,Arkansas,05,107,0.4944
Pike County,Arkansas,05,109,0.4481
Poinsett County,Arkansas,05,111,0.4285
Polk County,Arkansas,05,113,0.492
Pope County,Arkansas,05,115,0.4696
Prairie County,Arkansas,05,117,0.4579
Pulaski County,Arkansas,05,119,0.509
Randolph County,Arkansas,05,121,0.4756
Saint Francis County,Arkansas,05,123,0.4908
Saline County,Arkansas,05,125,0.399
Scott County,Arkansas,05,127,0.4331
Searcy County,Arkansas,05,129,0.4554
Sebastian County,Arkansas,05,131,0.4691
Sevier County,Arkansas,05,133,0.4595
Sharp County,Arkansas,05,135,0.4769
Stone County,Arkansas,05,137,0.4609
Union County,Arkansas,05,139,0.47
Van Buren County,Arkansas,05,141,0.4504
Washington County,Arkansas,05,143,0.4851
White County,Arkansas,05,145,0.4609
Woodruff County,Arkansas,05,147,0.5001
Yell County,Arkansas,05,149,0.4367
Alameda County,California,06,001,0.4616
Alpine County,California,06,003,0.493
