County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,58731.0
Baldwin County,Alabama,01,003,58320.0
Barbour County,Alabama,01,005,32525.0
Bibb County,Alabama,01,007,47542.0
Blount County,Alabama,01,009,49358.0
Bullock County,Alabama,01,011,37785.0
Butler County,Alabama,01,013,40688.0
Calhoun County,Alabama,01,015,47255.0
Chambers County,Alabama,01,017,42289.0
Cherokee County,Alabama,01,019,41919.0
Chilton County,Alabama,01,021,47468.0
Choctaw County,Alabama,01,023,35892.0
Clarke County,Alabama,01,025,37404.0
Clay County,Alabama,01,027,40845.0
Cleburne County,Alabama,01,029,44741.0
Coffee County,Alabama,01,031,55637.0
Colbert County,Alabama,01,033,48065.0
Conecuh County,Alabama,01,035,37837.0
Coosa County,Alabama,01,037,38990.0
Covington County,Alabama,01,039,42189.0
Crenshaw County,Alabama,01,041,43163.0
Cullman County,Alabama,01,043,44918.0
Dale County,Alabama,01,045,47214.0
Dallas County,Alabama,01,047,33845.0
DeKalb County,Alabama,01,049,40440.0
Elmore County,Alabama,01,051,60891.0
Escambia County,Alabama,01,053,36275.0
Etowah County,Alabama,01,055,44637.0
Fayette County,Alabama,01,057,39856.0
Franklin County,Alabama,01,059,43514.0
Geneva County,Alabama,01,061,41732.0
Greene County,Alabama,01,063,24145.0
Hale County,Alabama,01,065,34046.0
Henry County,Alabama,01,067,50017.0
Houston County,Alabama,01,069,47580.0
Jackson County,Alabama,01,071,41769.0
Jefferson County,Alabama,01,073,53901.0
Lamar County,Alabama,01,075,38364.0
Lauderdale County,Alabama,01,077,48094.0
Lawrence County,Alabama,01,079,44886.0
Lee County,Alabama,01,081,51463.0
Limestone County,Alabama,01,083,59686.0
Lowndes County,Alabama,01,085,30036.0
Macon County,Alabama,01,087,33370.0
Madison County,Alabama,01,089,65449.0
Marengo County,Alabama,01,091,33241.0
Marion County,Alabama,01,093,35930.0
Marshall County,Alabama,01,095,45983.0
Mobile County,Alabama,01,097,47583.0
Monroe County,Alabama,01,099,30441.0
Montgomery County,Alabama,01,101,50124.0
Morgan County,Alabama,01,103,52156.0
Perry County,Alabama,01,105,23447.0
Pickens County,Alabama,01,107,39848.0
Pike County,Alabama,01,109,37446.0
Randolph County,Alabama,01,111,43395.0
Russell County,Alabama,01,113,42443.0
Saint Clair County,Alabama,01,115,58308.0
Shelby County,Alabama,01,117,77799.0
Sumter County,Alabama,01,119,24320.0
Talladega County,Alabama,01,121,41325.0
Tallapoosa County,Alabama,01,123,45828.0
Tuscaloosa County,Alabama,01,125,53326.0
Walker County,Alabama,01,127,43629.0
Washington County,Alabama,01,129,41370.0
Wilcox County,Alabama,01,131,31014.0
Winston County,Alabama,01,133,35788.0
Anchorage Municipality,Alaska,02,020,84928.0
Bethel Census Area,Alaska,02,050,53553.0
Bristol Bay Borough,Alaska,02,060,79808.0
Fairbanks North Star Borough,Alaska,02,090,76992.0
Haines Borough,Alaska,02,100,58059.0
Juneau City and Borough,Alaska,02,110,88390.0
Kenai Peninsula Borough,Alaska,02,122,66064.0
Kodiak Island Borough,Alaska,02,150,85839.0
Matanuska-Susitna Borough,Alaska,02,170,75493.0
Nome Census Area,Alaska,02,180,61048.0
North Slope Borough,Alaska,02,185,79306.0
Sitka City and Borough,Alaska,02,220,73682.0
Southeast Fairbanks Census Area,Alaska,02,240,70056.0
Valdez-Cordova Census Area,Alaska,02,261,79867.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,60906.0
Aleutians East Borough,Alaska,02,013,69250.0
Aleutians West Census Area,Alaska,02,016,87466.0
Dillingham Census Area,Alaska,02,070,56898.0
Lake and Peninsula Borough,Alaska,02,164,44135.0
Denali Borough,Alaska,02,068,81719.0
Yukon-Koyukuk Census Area,Alaska,02,290,41413.0
Hoonah-Angoon Census Area,Alaska,02,105,59803.0
Skagway Municipality,Alaska,02,230,73906.0
Yakutat City and Borough,Alaska,02,282,71607.0
Ketchikan Gateway Borough,Alaska,02,130,72728.0
Petersburg Borough,Alaska,02,195,69948.0
Prince of Wales-Hyder Census Area,Alaska,02,198,52379.0
Wrangell City and Borough,Alaska,02,275,53894.0
Apache County,Arizona,04,001,32508.0
Cochise County,Arizona,04,003,49260.0
Coconino County,Arizona,04,005,59460.0
Gila County,Arizona,04,007,43524.0
Graham County,Arizona,04,009,51353.0
Greenlee County,Arizona,04,011,63473.0
Maricopa County,Arizona,04,013,64468.0
Mohave County,Arizona,04,015,45587.0
Navajo County,Arizona,04,017,40067.0
