County,State,State_FIPS,County_FIPS,median_household_income
Autauga County,Alabama,01,001,53255
Baldwin County,Alabama,01,003,50147
Barbour County,Alabama,01,005,33219
Bibb County,Alabama,01,007,41770
Blount County,Alabama,01,009,45549
Bullock County,Alabama,01,011,31602
Butler County,Alabama,01,013,30659
Calhoun County,Alabama,01,015,38407
Chambers County,Alabama,01,017,31467
Cherokee County,Alabama,01,019,40690
Chilton County,Alabama,01,021,39486
Choctaw County,Alabama,01,023,31076
Clarke County,Alabama,01,025,27439
Clay County,Alabama,01,027,35595
Cleburne County,Alabama,01,029,36077
Coffee County,Alabama,01,031,42253
Colbert County,Alabama,01,033,39610
Conecuh County,Alabama,01,035,26944
Coosa County,Alabama,01,037,35560
Covington County,Alabama,01,039,33852
Crenshaw County,Alabama,01,041,35140
Cullman County,Alabama,01,043,38567
Dale County,Alabama,01,045,43353
Dallas County,Alabama,01,047,26029
DeKalb County,Alabama,01,049,35065
Elmore County,Alabama,01,051,53128
Escambia County,Alabama,01,053,31927
Etowah County,Alabama,01,055,36422
Fayette County,Alabama,01,057,34560
Franklin County,Alabama,01,059,33942
Geneva County,Alabama,01,061,34140
Greene County,Alabama,01,063,22222
Hale County,Alabama,01,065,29299
Henry County,Alabama,01,067,38379
Houston County,Alabama,01,069,41022
Jackson County,Alabama,01,071,36312
Jefferson County,Alabama,01,073,45244
Lamar County,Alabama,01,075,33887
Lauderdale County,Alabama,01,077,39345
Lawrence County,Alabama,01,079,40516
Lee County,Alabama,01,081,40894
Limestone County,Alabama,01,083,46682
Lowndes County,Alabama,01,085,29714
Macon County,Alabama,01,087,27544
Madison County,Alabama,01,089,55851
Marengo County,Alabama,01,091,32940
Marion County,Alabama,01,093,32769
Marshall County,Alabama,01,095,37661
Mobile County,Alabama,01,097,40996
Monroe County,Alabama,01,099,30235
Montgomery County,Alabama,01,101,43725
Morgan County,Alabama,01,103,44349
Perry County,Alabama,01,105,25950
Pickens County,Alabama,01,107,28280
Pike County,Alabama,01,109,29181
Randolph County,Alabama,01,111,34593
Russell County,Alabama,01,113,32481
Saint Clair County,Alabama,01,115,48837
Shelby County,Alabama,01,117,68380
Sumter County,Alabama,01,119,25338
Talladega County,Alabama,01,121,36948
Tallapoosa County,Alabama,01,123,36904
Tuscaloosa County,Alabama,01,125,42311
Walker County,Alabama,01,127,37191
Washington County,Alabama,01,129,36431
Wilcox County,Alabama,01,131,23491
Winston County,Alabama,01,133,33685
Anchorage Municipality,Alaska,02,020,73004
Bethel Census Area,Alaska,02,050,52214
Bristol Bay Borough,Alaska,02,060,84000
Fairbanks North Star Borough,Alaska,02,090,66598
Haines Borough,Alaska,02,100,47981
Juneau City and Borough,Alaska,02,110,75517
Kenai Peninsula Borough,Alaska,02,122,57454
Kodiak Island Borough,Alaska,02,150,60776
Matanuska-Susitna Borough,Alaska,02,170,67703
Nome Census Area,Alaska,02,180,53899
North Slope Borough,Alaska,02,185,68517
Sitka City and Borough,Alaska,02,220,62024
Southeast Fairbanks Census Area,Alaska,02,240,59596
Valdez-Cordova Census Area,Alaska,02,261,60383
Wade Hampton Census Area,Alaska,02,270,37955
Northwest Arctic Borough,Alaska,02,188,55217
Aleutians East Borough,Alaska,02,013,54375
Aleutians West Census Area,Alaska,02,016,72917
Dillingham Census Area,Alaska,02,070,60800
Lake and Peninsula Borough,Alaska,02,164,40909
Denali Borough,Alaska,02,068,72500
Yukon-Koyukuk Census Area,Alaska,02,290,33712
Hoonah-Angoon Census Area,Alaska,02,105,43750
Skagway Municipality,Alaska,02,230,73500
Yakutat City and Borough,Alaska,02,282,65750
Ketchikan Gateway Borough,Alaska,02,130,61695
Petersburg Borough,Alaska,02,195,62317
Prince of Wales-Hyder Census Area,Alaska,02,198,45728
Wrangell City and Borough,Alaska,02,275,50389
Apache County,Arizona,04,001,30184
Cochise County,Arizona,04,003,44876
Coconino County,Arizona,04,005,49510
Gila County,Arizona,04,007,37580
Graham County,Arizona,04,009,41683
Greenlee County,Arizona,04,011,48696
Maricopa County,Arizona,04,013,55054
Mohave County,Arizona,04,015,39785
Navajo County,Arizona,04,017,39774
Pima County,Arizona,04,019,45521
Pinal County,Arizona,04,021,51310
Santa Cruz County,Arizona,04,023,36519
Yavapai County,Arizona,04,025,43290
La Paz County,Arizona,04,012,32147
Yuma County,Arizona,04,027,40340
Arkansas County,Arkansas,05,001,37230
Ashley County,Arkansas,05,003,34934
Baxter County,Arkansas,05,005,35606
Benton County,Arkansas,05,007,50434
Boone County,Arkansas,05,009,36977
Bradley County,Arkansas,05,011,29908
Calhoun County,Arkansas,05,013,32450
Carroll County,Arkansas,05,015,34235
Chicot County,Arkansas,05,017,21676
Clark County,Arkansas,05,019,31968
Clay County,Arkansas,05,021,29066
Cleburne County,Arkansas,05,023,35753
Cleveland County,Arkansas,05,025,36957
Columbia County,Arkansas,05,027,35148
Conway County,Arkansas,05,029,32700
Craighead County,Arkansas,05,031,39233
Crawford County,Arkansas,05,033,40197
Crittenden County,Arkansas,05,035,33716
Cross County,Arkansas,05,037,37021
Dallas County,Arkansas,05,039,29602
Desha County,Arkansas,05,041,29051
Drew County,Arkansas,05,043,32558
Faulkner County,Arkansas,05,045,45287
Franklin County,Arkansas,05,047,32064
Fulton County,Arkansas,05,049,30598
Garland County,Arkansas,05,051,36844
Grant County,Arkansas,05,053,51589
Greene County,Arkansas,05,055,38209
Hempstead County,Arkansas,05,057,35708
Hot Spring County,Arkansas,05,059,37150
Howard County,Arkansas,05,061,34554
Independence County,Arkansas,05,063,34625
Izard County,Arkansas,05,065,31673
Jackson County,Arkansas,05,067,27615
Jefferson County,Arkansas,05,069,35998
Johnson County,Arkansas,05,071,30592
