County,State,State_FIPS,County_FIPS,gini_index
Autauga County,Alabama,01,001,0.4031
Baldwin County,Alabama,01,003,0.4455
Barbour County,Alabama,01,005,0.4658
Bibb County,Alabama,01,007,0.45
Blount County,Alabama,01,009,0.4144
Bullock County,Alabama,01,011,0.4899
Butler County,Alabama,01,013,0.4659
Calhoun County,Alabama,01,015,0.4594
Chambers County,Alabama,01,017,0.4773
Cherokee County,Alabama,01,019,0.4639
Chilton County,Alabama,01,021,0.4356
Choctaw County,Alabama,01,023,0.4814
Clarke County,Alabama,01,025,0.5205
Clay County,Alabama,01,027,0.4322
Cleburne County,Alabama,01,029,0.4346
Coffee County,Alabama,01,031,0.4509
Colbert County,Alabama,01,033,0.4385
Conecuh County,Alabama,01,035,0.5244
Coosa County,Alabama,01,037,0.4259
Covington County,Alabama,01,039,0.4568
Crenshaw County,Alabama,01,041,0.4828
Cullman County,Alabama,01,043,0.4489
Dale County,Alabama,01,045,0.4434
Dallas County,Alabama,01,047,0.5268
DeKalb County,Alabama,01,049,0.4397
Elmore County,Alabama,01,051,0.4083
Escambia County,Alabama,01,053,0.4777
Etowah County,Alabama,01,055,0.4436
Fayette County,Alabama,01,057,0.4581
Franklin County,Alabama,01,059,0.4482
Geneva County,Alabama,01,061,0.4572
Greene County,Alabama,01,063,0.4939
Hale County,Alabama,01,065,0.5143
Henry County,Alabama,01,067,0.4321
Houston County,Alabama,01,069,0.4745
Jackson County,Alabama,01,071,0.4405
Jefferson County,Alabama,01,073,0.4972
Lamar County,Alabama,01,075,0.438
Lauderdale County,Alabama,01,077,0.4497
Lawrence County,Alabama,01,079,0.4249
Lee County,Alabama,01,081,0.4816
Limestone County,Alabama,01,083,0.4501
Lowndes County,Alabama,01,085,0.5466
Macon County,Alabama,01,087,0.4634
Madison County,Alabama,01,089,0.4654
Marengo County,Alabama,01,091,0.5174
Marion County,Alabama,01,093,0.4727
Marshall County,Alabama,01,095,0.4578
Mobile County,Alabama,01,097,0.4711
Monroe County,Alabama,01,099,0.4774
Montgomery County,Alabama,01,101,0.4756
Morgan County,Alabama,01,103,0.45
Perry County,Alabama,01,105,0.4775
Pickens County,Alabama,01,107,0.4616
Pike County,Alabama,01,109,0.5025
Randolph County,Alabama,01,111,0.4952
Russell County,Alabama,01,113,0.4533
Saint Clair County,Alabama,01,115,0.4245
Shelby County,Alabama,01,117,0.4274
Sumter County,Alabama,01,119,0.4816
Talladega County,Alabama,01,121,0.4627
