County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54922.0
Baldwin County,Alabama,01,003,209618.0
Barbour County,Alabama,01,005,22417.0
Bibb County,Alabama,01,007,20632.0
Blount County,Alabama,01,009,57108.0
Bullock County,Alabama,01,011,9784.0
Butler County,Alabama,01,013,19540.0
Calhoun County,Alabama,01,015,111542.0
Chambers County,Alabama,01,017,33103.0
Cherokee County,Alabama,01,019,25571.0
Chilton County,Alabama,01,021,43430.0
Choctaw County,Alabama,01,023,12712.0
Clarke County,Alabama,01,025,23628.0
Clay County,Alabama,01,027,13049.0
Cleburne County,Alabama,01,029,14644.0
Coffee County,Alabama,01,031,50898.0
Colbert County,Alabama,01,033,54248.0
Conecuh County,Alabama,01,035,12283.0
Coosa County,Alabama,01,037,10353.0
Covington County,Alabama,01,039,36348.0
Crenshaw County,Alabama,01,041,13623.0
Cullman County,Alabama,01,043,81597.0
Dale County,Alabama,01,045,47739.0
Dallas County,Alabama,01,047,38546.0
DeKalb County,Alabama,01,049,70355.0
Elmore County,Alabama,01,051,76637.0
Escambia County,Alabama,01,053,34089.0
Etowah County,Alabama,01,055,101346.0
Fayette County,Alabama,01,057,16182.0
Franklin County,Alabama,01,059,30947.0
Geneva County,Alabama,01,061,26092.0
Greene County,Alabama,01,063,8242.0
Hale County,Alabama,01,065,14565.0
Henry County,Alabama,01,067,16752.0
Houston County,Alabama,01,069,103568.0
Jackson County,Alabama,01,071,51312.0
Jefferson County,Alabama,01,073,645406.0
Lamar County,Alabama,01,075,13692.0
Lauderdale County,Alabama,01,077,90346.0
Lawrence County,Alabama,01,079,32753.0
Lee County,Alabama,01,081,155265.0
Limestone County,Alabama,01,083,91626.0
Lowndes County,Alabama,01,085,9936.0
Macon County,Alabama,01,087,16359.0
Madison County,Alabama,01,089,352884.0
Marengo County,Alabama,01,091,19056.0
Marion County,Alabama,01,093,29386.0
Marshall County,Alabama,01,095,94283.0
Mobile County,Alabama,01,097,406137.0
Monroe County,Alabama,01,099,21004.0
Montgomery County,Alabama,01,101,219309.0
Morgan County,Alabama,01,103,117005.0
Perry County,Alabama,01,105,8468.0
Pickens County,Alabama,01,107,18506.0
Pike County,Alabama,01,109,31521.0
Randolph County,Alabama,01,111,22139.0
Russell County,Alabama,01,113,56885.0
Saint Clair County,Alabama,01,115,85875.0
Shelby County,Alabama,01,117,210328.0
Sumter County,Alabama,01,119,11907.0
Talladega County,Alabama,01,121,76886.0
Tallapoosa County,Alabama,01,123,39978.0
Tuscaloosa County,Alabama,01,125,196790.0
Walker County,Alabama,01,127,63036.0
Washington County,Alabama,01,129,16342.0
Wilcox County,Alabama,01,131,10352.0
Winston County,Alabama,01,133,23406.0
Anchorage Municipality,Alaska,02,020,286504.0
Bethel Census Area,Alaska,02,050,17622.0
Bristol Bay Borough,Alaska,02,060,850.0
Fairbanks North Star Borough,Alaska,02,090,94778.0
Haines Borough,Alaska,02,100,2470.0
Juneau City and Borough,Alaska,02,110,31783.0
Kenai Peninsula Borough,Alaska,02,122,57233.0
Kodiak Island Borough,Alaska,02,150,13195.0
Matanuska-Susitna Borough,Alaska,02,170,103218.0
Nome Census Area,Alaska,02,180,9653.0
North Slope Borough,Alaska,02,185,9689.0
Sitka City and Borough,Alaska,02,220,8438.0
Southeast Fairbanks Census Area,Alaska,02,240,6784.0
Valdez-Cordova Census Area,Alaska,02,261,9131.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,7641.0
Aleutians East Borough,Alaska,02,013,3378.0
Aleutians West Census Area,Alaska,02,016,5454.0
Dillingham Census Area,Alaska,02,070,4908.0
Lake and Peninsula Borough,Alaska,02,164,1384.0
Denali Borough,Alaska,02,068,2170.0
Yukon-Koyukuk Census Area,Alaska,02,290,5331.0
Hoonah-Angoon Census Area,Alaska,02,105,2138.0
Skagway Municipality,Alaska,02,230,1098.0
Yakutat City and Borough,Alaska,02,282,649.0
Ketchikan Gateway Borough,Alaska,02,130,13617.0
Petersburg Borough,Alaska,02,195,3244.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6348.0
Wrangell City and Borough,Alaska,02,275,2478.0
Apache County,Arizona,04,001,70403.0
Cochise County,Arizona,04,003,117255.0
Coconino County,Arizona,04,005,128041.0
Gila County,Arizona,04,007,52641.0
Graham County,Arizona,04,009,33980.0
Greenlee County,Arizona,04,011,9393.0
Maricopa County,Arizona,04,013,4272832.0
Mohave County,Arizona,04,015,203644.0
Navajo County,Arizona,04,017,106309.0
Pima County,Arizona,04,019,998061.0
Pinal County,Arizona,04,021,405131.0
Santa Cruz County,Arizona,04,023,46120.0
Yavapai County,Arizona,04,025,223134.0
La Paz County,Arizona,04,012,20468.0
Yuma County,Arizona,04,027,203812.0
Arkansas County,Arkansas,05,001,17532.0
Ashley County,Arkansas,05,003,20092.0
Baxter County,Arkansas,05,005,40888.0
Benton County,Arkansas,05,007,262378.0
Boone County,Arkansas,05,009,36630.0
Bradley County,Arkansas,05,011,10780.0
Calhoun County,Arkansas,05,013,5056.0
Carroll County,Arkansas,05,015,27677.0
Chicot County,Arkansas,05,017,9944.0
Clark County,Arkansas,05,019,19798.0
Clay County,Arkansas,05,021,14703.0
Cleburne County,Arkansas,05,023,24727.0
Cleveland County,Arkansas,05,025,8019.0
Columbia County,Arkansas,05,027,21933.0
Conway County,Arkansas,05,029,20738.0
Craighead County,Arkansas,05,031,103022.0
Crawford County,Arkansas,05,033,61833.0
Crittenden County,Arkansas,05,035,47952.0
Cross County,Arkansas,05,037,16538.0
Dallas County,Arkansas,05,039,6516.0
Desha County,Arkansas,05,041,11541.0
Drew County,Arkansas,05,043,17352.0
Faulkner County,Arkansas,05,045,118617.0
Franklin County,Arkansas,05,047,17410.0
Fulton County,Arkansas,05,049,12028.0
Garland County,Arkansas,05,051,96855.0
Grant County,Arkansas,05,053,17875.0
Greene County,Arkansas,05,055,44080.0
Hempstead County,Arkansas,05,057,21558.0
Hot Spring County,Arkansas,05,059,31368.0
Howard County,Arkansas,05,061,13094.0
Independence County,Arkansas,05,063,36244.0
Izard County,Arkansas,05,065,12630.0
Jackson County,Arkansas,05,067,14325.0
Jefferson County,Arkansas,05,069,62881.0
Johnson County,Arkansas,05,071,25669.0
Lafayette County,Arkansas,05,073,6644.0
Lawrence County,Arkansas,05,075,15960.0
Lee County,Arkansas,05,077,7547.0
Lincoln County,Arkansas,05,079,8322.0
Little River County,Arkansas,05,081,12098.0
Logan County,Arkansas,05,083,21351.0
Lonoke County,Arkansas,05,085,71763.0
Madison County,Arkansas,05,087,16073.0
Marion County,Arkansas,05,089,16263.0
Miller County,Arkansas,05,091,42154.0
Mississippi County,Arkansas,05,093,41186.0
Monroe County,Arkansas,05,095,6968.0
Montgomery County,Arkansas,05,097,8801.0
Nevada County,Arkansas,05,099,8160.0
Newton County,Arkansas,05,101,7745.0
Ouachita County,Arkansas,05,103,23430.0
Perry County,Arkansas,05,105,10228.0
Phillips County,Arkansas,05,107,18420.0
Pike County,Arkansas,05,109,10552.0
Poinsett County,Arkansas,05,111,23313.0
Polk County,Arkansas,05,113,19949.0
Pope County,Arkansas,05,115,60232.0
Prairie County,Arkansas,05,117,7978.0
Pulaski County,Arkansas,05,119,386238.0
Randolph County,Arkansas,05,121,17229.0
Saint Francis County,Arkansas,05,123,22438.0
Saline County,Arkansas,05,125,117845.0
Scott County,Arkansas,05,127,10283.0
Searcy County,Arkansas,05,129,7778.0
Sebastian County,Arkansas,05,131,125802.0
Sevier County,Arkansas,05,133,16872.0
Sharp County,Arkansas,05,135,16828.0
Stone County,Arkansas,05,137,12350.0
Union County,Arkansas,05,139,38998.0
Van Buren County,Arkansas,05,141,16431.0
Washington County,Arkansas,05,143,224112.0
White County,Arkansas,05,145,74839.0
Woodruff County,Arkansas,05,147,6330.0
Yell County,Arkansas,05,149,21161.0
Alameda County,California,06,001,1630291.0
Alpine County,California,06,003,1039.0
Amador County,California,06,005,34700.0
Butte County,California,06,007,220091.0
Calaveras County,California,06,009,45051.0
Colusa County,California,06,011,21273.0
Contra Costa County,California,06,013,1132877.0
Del Norte County,California,06,015,24448.0
El Dorado County,California,06,017,186608.0
Fresno County,California,06,019,968001.0
Glenn County,California,06,021,27522.0
Humboldt County,California,06,023,132584.0
Imperial County,California,06,025,170621.0
Inyo County,California,06,027,17562.0
Kern County,California,06,029,857145.0
Kings County,California,06,031,135855.0
Lake County,California,06,033,63157.0
Lassen County,California,06,035,21010.0
Los Angeles County,California,06,037,9928773.0
Madera County,California,06,039,146837.0
Marin County,California,06,041,253869.0
Mariposa County,California,06,043,17221.0
Mendocino County,California,06,045,85684.0
Merced County,California,06,047,265217.0
Modoc County,California,06,049,8603.0
Mono County,California,06,051,14190.0
Monterey County,California,06,053,416284.0
Napa County,California,06,055,136360.0
Nevada County,California,06,057,98185.0
Orange County,California,06,059,3130730.0
Placer County,California,06,061,382208.0
Plumas County,California,06,063,18334.0
Riverside County,California,06,065,2373706.0
Sacramento County,California,06,067,1504340.0
San Benito County,California,06,069,60052.0
San Bernardino County,California,06,071,2091206.0
San Diego County,California,06,073,3234305.0
San Francisco County,California,06,075,861359.0
San Joaquin County,California,06,077,726994.0
San Luis Obispo County,California,06,079,266098.0
