County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54793.0
Baldwin County,Alabama,01,003,192355.0
Barbour County,Alabama,01,005,24024.0
Bibb County,Alabama,01,007,20767.0
Blount County,Alabama,01,009,57126.0
Bullock County,Alabama,01,011,10098.0
Butler County,Alabama,01,013,20083.0
Calhoun County,Alabama,01,015,113602.0
Chambers County,Alabama,01,017,33687.0
Cherokee County,Alabama,01,019,25575.0
Chilton County,Alabama,01,021,43282.0
Choctaw County,Alabama,01,023,13202.0
Clarke County,Alabama,01,025,24683.0
Clay County,Alabama,01,027,13219.0
Cleburne County,Alabama,01,029,14777.0
Coffee County,Alabama,01,031,50232.0
Colbert County,Alabama,01,033,53995.0
Conecuh County,Alabama,01,035,12789.0
Coosa County,Alabama,01,037,10750.0
Covington County,Alabama,01,039,37169.0
Crenshaw County,Alabama,01,041,13719.0
Cullman County,Alabama,01,043,79885.0
Dale County,Alabama,01,045,48624.0
Dallas County,Alabama,01,047,41648.0
DeKalb County,Alabama,01,049,70271.0
Elmore County,Alabama,01,051,75749.0
Escambia County,Alabama,01,053,35510.0
Etowah County,Alabama,01,055,102106.0
Fayette County,Alabama,01,057,16672.0
Franklin County,Alabama,01,059,31232.0
Geneva County,Alabama,01,061,26469.0
Greene County,Alabama,01,063,8646.0
Hale County,Alabama,01,065,14972.0
Henry County,Alabama,01,067,17007.0
Houston County,Alabama,01,069,102504.0
Jackson County,Alabama,01,071,52318.0
Jefferson County,Alabama,01,073,644639.0
Lamar County,Alabama,01,075,14008.0
Lauderdale County,Alabama,01,077,90602.0
Lawrence County,Alabama,01,079,33232.0
Lee County,Alabama,01,081,145434.0
Limestone County,Alabama,01,083,84736.0
Lowndes County,Alabama,01,085,10649.0
Macon County,Alabama,01,087,17886.0
Madison County,Alabama,01,089,338028.0
Marengo County,Alabama,01,091,20054.0
Marion County,Alabama,01,093,29652.0
Marshall County,Alabama,01,095,93203.0
Mobile County,Alabama,01,097,404329.0
Monroe County,Alabama,01,099,21979.0
Montgomery County,Alabama,01,101,220967.0
Morgan County,Alabama,01,103,117938.0
Perry County,Alabama,01,105,9275.0
Pickens County,Alabama,01,107,19222.0
Pike County,Alabama,01,109,31209.0
Randolph County,Alabama,01,111,22130.0
Russell County,Alabama,01,113,57294.0
Saint Clair County,Alabama,01,115,83848.0
Shelby County,Alabama,01,117,200407.0
Sumter County,Alabama,01,119,12595.0
Talladega County,Alabama,01,121,77879.0
Tallapoosa County,Alabama,01,123,40571.0
Tuscaloosa County,Alabama,01,125,189998.0
Walker County,Alabama,01,127,64892.0
Washington County,Alabama,01,129,16719.0
Wilcox County,Alabama,01,131,10956.0
Winston County,Alabama,01,133,23568.0
Anchorage Municipality,Alaska,02,020,292016.0
Bethel Census Area,Alaska,02,050,17325.0
Bristol Bay Borough,Alaska,02,060,958.0
Fairbanks North Star Borough,Alaska,02,090,95849.0
Haines Borough,Alaska,02,100,2554.0
Juneau City and Borough,Alaska,02,110,31940.0
Kenai Peninsula Borough,Alaska,02,122,55747.0
Kodiak Island Borough,Alaska,02,150,13677.0
Matanuska-Susitna Borough,Alaska,02,170,94286.0
Nome Census Area,Alaska,02,180,9597.0
North Slope Borough,Alaska,02,185,9539.0
Sitka City and Borough,Alaska,02,220,8820.0
Southeast Fairbanks Census Area,Alaska,02,240,6960.0
Valdez-Cordova Census Area,Alaska,02,261,9471.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,7651.0
Aleutians East Borough,Alaska,02,013,3292.0
Aleutians West Census Area,Alaska,02,016,5510.0
Dillingham Census Area,Alaska,02,070,4945.0
Lake and Peninsula Borough,Alaska,02,164,1467.0
Denali Borough,Alaska,02,068,1999.0
Yukon-Koyukuk Census Area,Alaska,02,290,5586.0
Hoonah-Angoon Census Area,Alaska,02,105,2126.0
Skagway Municipality,Alaska,02,230,998.0
Yakutat City and Borough,Alaska,02,282,643.0
Ketchikan Gateway Borough,Alaska,02,130,13514.0
Petersburg Borough,Alaska,02,195,3199.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6307.0
Wrangell City and Borough,Alaska,02,275,2368.0
Apache County,Arizona,04,001,70596.0
Cochise County,Arizona,04,003,118115.0
Coconino County,Arizona,04,005,126849.0
Gila County,Arizona,04,007,52216.0
Graham County,Arizona,04,009,32925.0
Greenlee County,Arizona,04,011,8878.0
Maricopa County,Arizona,04,013,3965553.0
Mohave County,Arizona,04,015,195864.0
Navajo County,Arizona,04,017,104992.0
Pima County,Arizona,04,019,972309.0
Pinal County,Arizona,04,021,365192.0
Santa Cruz County,Arizona,04,023,46701.0
Yavapai County,Arizona,04,025,212936.0
La Paz County,Arizona,04,012,20073.0
Yuma County,Arizona,04,027,195718.0
Arkansas County,Arkansas,05,001,18414.0
Ashley County,Arkansas,05,003,20978.0
Baxter County,Arkansas,05,005,40536.0
Benton County,Arkansas,05,007,235245.0
Boone County,Arkansas,05,009,36619.0
Bradley County,Arkansas,05,011,11085.0
Calhoun County,Arkansas,05,013,5101.0
Carroll County,Arkansas,05,015,27328.0
Chicot County,Arkansas,05,017,10684.0
Clark County,Arkansas,05,019,19890.0
Clay County,Arkansas,05,021,15223.0
Cleburne County,Arkansas,05,023,25292.0
Cleveland County,Arkansas,05,025,8429.0
Columbia County,Arkansas,05,027,22712.0
Conway County,Arkansas,05,029,20861.0
Craighead County,Arkansas,05,031,97526.0
Crawford County,Arkansas,05,033,61060.0
Crittenden County,Arkansas,05,035,49016.0
Cross County,Arkansas,05,037,17204.0
Dallas County,Arkansas,05,039,7348.0
Desha County,Arkansas,05,041,12204.0
Drew County,Arkansas,05,043,17572.0
Faulkner County,Arkansas,05,045,114592.0
Franklin County,Arkansas,05,047,17534.0
Fulton County,Arkansas,05,049,11949.0
Garland County,Arkansas,05,051,94961.0
Grant County,Arkansas,05,053,17825.0
Greene County,Arkansas,05,055,42606.0
Hempstead County,Arkansas,05,057,22026.0
Hot Spring County,Arkansas,05,059,31279.0
Howard County,Arkansas,05,061,13333.0
Independence County,Arkansas,05,063,35712.0
Izard County,Arkansas,05,065,12679.0
Jackson County,Arkansas,05,067,14273.0
Jefferson County,Arkansas,05,069,67559.0
Johnson County,Arkansas,05,071,25229.0
Lafayette County,Arkansas,05,073,7090.0
Lawrence County,Arkansas,05,075,16345.0
Lee County,Arkansas,05,077,8425.0
Lincoln County,Arkansas,05,079,9818.0
Little River County,Arkansas,05,081,12429.0
Logan County,Arkansas,05,083,21496.0
Lonoke County,Arkansas,05,085,69913.0
Madison County,Arkansas,05,087,15542.0
Marion County,Arkansas,05,089,16258.0
Miller County,Arkansas,05,091,42389.0
Mississippi County,Arkansas,05,093,44004.0
Monroe County,Arkansas,05,095,7629.0
Montgomery County,Arkansas,05,097,9027.0
Nevada County,Arkansas,05,099,8617.0
Newton County,Arkansas,05,101,7988.0
Ouachita County,Arkansas,05,103,24662.0
Perry County,Arkansas,05,105,10171.0
Phillips County,Arkansas,05,107,20156.0
Pike County,Arkansas,05,109,10894.0
Poinsett County,Arkansas,05,111,23740.0
Polk County,Arkansas,05,113,20233.0
Pope County,Arkansas,05,115,59229.0
Prairie County,Arkansas,05,117,8257.0
Pulaski County,Arkansas,05,119,385137.0
Randolph County,Arkansas,05,121,17297.0
Saint Francis County,Arkansas,05,123,23608.0
