County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54598.0
Baldwin County,Alabama,01,003,196640.0
Barbour County,Alabama,01,005,23641.0
Bibb County,Alabama,01,007,20603.0
Blount County,Alabama,01,009,57099.0
Bullock County,Alabama,01,011,10154.0
Butler County,Alabama,01,013,19977.0
Calhoun County,Alabama,01,015,112690.0
Chambers County,Alabama,01,017,33503.0
Cherokee County,Alabama,01,019,25465.0
Chilton County,Alabama,01,021,43301.0
Choctaw County,Alabama,01,023,13091.0
Clarke County,Alabama,01,025,24448.0
Clay County,Alabama,01,027,13106.0
Cleburne County,Alabama,01,029,14726.0
Coffee County,Alabama,01,031,50255.0
Colbert County,Alabama,01,033,53910.0
Conecuh County,Alabama,01,035,12622.0
Coosa County,Alabama,01,037,10497.0
Covington County,Alabama,01,039,37016.0
Crenshaw County,Alabama,01,041,13662.0
Cullman County,Alabama,01,043,80126.0
Dale County,Alabama,01,045,48338.0
Dallas County,Alabama,01,047,40895.0
DeKalb County,Alabama,01,049,70108.0
Elmore County,Alabama,01,051,76191.0
Escambia County,Alabama,01,053,35290.0
Etowah County,Alabama,01,055,101829.0
Fayette County,Alabama,01,057,16548.0
Franklin County,Alabama,01,059,31191.0
Geneva County,Alabama,01,061,26401.0
Greene County,Alabama,01,063,8534.0
Hale County,Alabama,01,065,14889.0
Henry County,Alabama,01,067,16923.0
Houston County,Alabama,01,069,102830.0
Jackson County,Alabama,01,071,52043.0
Jefferson County,Alabama,01,073,644879.0
Lamar County,Alabama,01,075,13922.0
Lauderdale County,Alabama,01,077,90480.0
Lawrence County,Alabama,01,079,33096.0
Lee County,Alabama,01,081,148121.0
Limestone County,Alabama,01,083,87161.0
Lowndes County,Alabama,01,085,10474.0
Macon County,Alabama,01,087,17395.0
Madison County,Alabama,01,089,341264.0
Marengo County,Alabama,01,091,19814.0
Marion County,Alabama,01,093,29574.0
Marshall County,Alabama,01,095,93300.0
Mobile County,Alabama,01,097,403782.0
Monroe County,Alabama,01,099,21722.0
Montgomery County,Alabama,01,101,220452.0
Morgan County,Alabama,01,103,117554.0
Perry County,Alabama,01,105,9058.0
Pickens County,Alabama,01,107,19122.0
Pike County,Alabama,01,109,31365.0
Randolph County,Alabama,01,111,22089.0
Russell County,Alabama,01,113,57669.0
Saint Clair County,Alabama,01,115,84517.0
Shelby County,Alabama,01,117,202821.0
Sumter County,Alabama,01,119,12478.0
Talladega County,Alabama,01,121,77517.0
Tallapoosa County,Alabama,01,123,40372.0
Tuscaloosa County,Alabama,01,125,191934.0
Walker County,Alabama,01,127,64630.0
Washington County,Alabama,01,129,16591.0
Wilcox County,Alabama,01,131,10799.0
Winston County,Alabama,01,133,23500.0
Anchorage Municipality,Alaska,02,020,292059.0
Bethel Census Area,Alaska,02,050,17373.0
Bristol Bay Borough,Alaska,02,060,924.0
Fairbanks North Star Borough,Alaska,02,090,95949.0
Haines Borough,Alaska,02,100,2513.0
Juneau City and Borough,Alaska,02,110,31859.0
Kenai Peninsula Borough,Alaska,02,122,56295.0
Kodiak Island Borough,Alaska,02,150,13623.0
Matanuska-Susitna Borough,Alaska,02,170,96720.0
Nome Census Area,Alaska,02,180,9600.0
North Slope Borough,Alaska,02,185,9545.0
Sitka City and Borough,Alaska,02,220,8799.0
Southeast Fairbanks Census Area,Alaska,02,240,6906.0
Valdez-Cordova Census Area,Alaska,02,261,9397.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,7638.0
Aleutians East Borough,Alaska,02,013,3291.0
Aleutians West Census Area,Alaska,02,016,5544.0
Dillingham Census Area,Alaska,02,070,4945.0
Lake and Peninsula Borough,Alaska,02,164,1401.0
Denali Borough,Alaska,02,068,2066.0
Yukon-Koyukuk Census Area,Alaska,02,290,5541.0
Hoonah-Angoon Census Area,Alaska,02,105,2106.0
Skagway Municipality,Alaska,02,230,1009.0
Yakutat City and Borough,Alaska,02,282,646.0
Ketchikan Gateway Borough,Alaska,02,130,13510.0
Petersburg Borough,Alaska,02,195,3166.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6302.0
Wrangell City and Borough,Alaska,02,275,2383.0
Apache County,Arizona,04,001,70874.0
Cochise County,Arizona,04,003,117212.0
Coconino County,Arizona,04,005,127204.0
Gila County,Arizona,04,007,52294.0
Graham County,Arizona,04,009,32972.0
Greenlee County,Arizona,04,011,9084.0
Maricopa County,Arizona,04,013,4035348.0
Mohave County,Arizona,04,015,196049.0
Navajo County,Arizona,04,017,105589.0
Pima County,Arizona,04,019,976120.0
Pinal County,Arizona,04,021,372918.0
Santa Cruz County,Arizona,04,023,46131.0
Yavapai County,Arizona,04,025,214690.0
La Paz County,Arizona,04,012,20079.0
Yuma County,Arizona,04,027,196959.0
Arkansas County,Arkansas,05,001,18266.0
Ashley County,Arkansas,05,003,20749.0
Baxter County,Arkansas,05,005,40473.0
Benton County,Arkansas,05,007,242200.0
Boone County,Arkansas,05,009,36681.0
Bradley County,Arkansas,05,011,10973.0
Calhoun County,Arkansas,05,013,5057.0
Carroll County,Arkansas,05,015,27397.0
