County,State,State_FIPS,County_FIPS,people_below_poverty
Autauga County,Alabama,01,001,6267
Baldwin County,Alabama,01,003,24002
Barbour County,Alabama,01,005,6395
Bibb County,Alabama,01,007,3594
Blount County,Alabama,01,009,8396
Bullock County,Alabama,01,011,2286
Butler County,Alabama,01,013,5256
Calhoun County,Alabama,01,015,24597
Chambers County,Alabama,01,017,7863
Cherokee County,Alabama,01,019,4956
Chilton County,Alabama,01,021,8020
Choctaw County,Alabama,01,023,2758
Clarke County,Alabama,01,025,6737
Clay County,Alabama,01,027,2680
Cleburne County,Alabama,01,029,2650
Coffee County,Alabama,01,031,8438
Colbert County,Alabama,01,033,8735
Conecuh County,Alabama,01,035,3982
Coosa County,Alabama,01,037,2223
Covington County,Alabama,01,039,7780
Crenshaw County,Alabama,01,041,2544
Cullman County,Alabama,01,043,14723
Dale County,Alabama,01,045,7748
Dallas County,Alabama,01,047,15733
DeKalb County,Alabama,01,049,13701
Elmore County,Alabama,01,051,9539
Escambia County,Alabama,01,053,8849
Etowah County,Alabama,01,055,19212
Fayette County,Alabama,01,057,3232
Franklin County,Alabama,01,059,6188
Geneva County,Alabama,01,061,5266
Greene County,Alabama,01,063,2968
Hale County,Alabama,01,065,4277
Henry County,Alabama,01,067,2727
Houston County,Alabama,01,069,17723
Jackson County,Alabama,01,071,8533
Jefferson County,Alabama,01,073,109935
Lamar County,Alabama,01,075,2883
Lauderdale County,Alabama,01,077,16248
Lawrence County,Alabama,01,079,5467
Lee County,Alabama,01,081,28564
Limestone County,Alabama,01,083,10562
Lowndes County,Alabama,01,085,2643
Macon County,Alabama,01,087,5331
Madison County,Alabama,01,089,40598
Marengo County,Alabama,01,091,4687
Marion County,Alabama,01,093,6210
Marshall County,Alabama,01,095,18353
Mobile County,Alabama,01,097,78568
Monroe County,Alabama,01,099,5916
Montgomery County,Alabama,01,101,45028
Morgan County,Alabama,01,103,17733
Perry County,Alabama,01,105,2646
Pickens County,Alabama,01,107,5304
Pike County,Alabama,01,109,8353
Randolph County,Alabama,01,111,5145
Russell County,Alabama,01,113,11819
Saint Clair County,Alabama,01,115,12026
Shelby County,Alabama,01,117,14842
Sumter County,Alabama,01,119,5056
Talladega County,Alabama,01,121,18030
Tallapoosa County,Alabama,01,123,7983
Tuscaloosa County,Alabama,01,125,35496
Walker County,Alabama,01,127,13072
Washington County,Alabama,01,129,2935
Wilcox County,Alabama,01,131,4493
Winston County,Alabama,01,133,5788
Anchorage Municipality,Alaska,02,020,22029
Bethel Census Area,Alaska,02,050,3676
Bristol Bay Borough,Alaska,02,060,57
Fairbanks North Star Borough,Alaska,02,090,7517
Haines Borough,Alaska,02,100,159
Juneau City and Borough,Alaska,02,110,1996
Kenai Peninsula Borough,Alaska,02,122,4930
Kodiak Island Borough,Alaska,02,150,1530
Matanuska-Susitna Borough,Alaska,02,170,8657
Nome Census Area,Alaska,02,180,2466
North Slope Borough,Alaska,02,185,1158
Sitka City and Borough,Alaska,02,220,640
Southeast Fairbanks Census Area,Alaska,02,240,686
Valdez-Cordova Census Area,Alaska,02,261,658
Wade Hampton Census Area,Alaska,02,270,2230
Northwest Arctic Borough,Alaska,02,188,1433
Aleutians East Borough,Alaska,02,013,512
Aleutians West Census Area,Alaska,02,016,547
Dillingham Census Area,Alaska,02,070,871
Lake and Peninsula Borough,Alaska,02,164,358
Denali Borough,Alaska,02,068,186
Yukon-Koyukuk Census Area,Alaska,02,290,1284
Hoonah-Angoon Census Area,Alaska,02,105,296
Skagway Municipality,Alaska,02,230,50
Yakutat City and Borough,Alaska,02,282,21
Ketchikan Gateway Borough,Alaska,02,130,1341
Petersburg Borough,Alaska,02,195,439
Prince of Wales-Hyder Census Area,Alaska,02,198,726
Wrangell City and Borough,Alaska,02,275,178
Apache County,Arizona,04,001,23909
Cochise County,Arizona,04,003,20464
Coconino County,Arizona,04,005,27624
Gila County,Arizona,04,007,10935
Graham County,Arizona,04,009,7428
Greenlee County,Arizona,04,011,1478
Maricopa County,Arizona,04,013,599701
Mohave County,Arizona,04,015,36155
Navajo County,Arizona,04,017,29165
Pima County,Arizona,04,019,177025
Pinal County,Arizona,04,021,52188
Santa Cruz County,Arizona,04,023,12499
Yavapai County,Arizona,04,025,31918
La Paz County,Arizona,04,012,4092
Yuma County,Arizona,04,027,40405
Arkansas County,Arkansas,05,001,3162
Ashley County,Arkansas,05,003,3705
