County,State,State_FIPS,County_FIPS,people_below_poverty
Autauga County,Alabama,01,001,8422.0
Baldwin County,Alabama,01,003,21653.0
Barbour County,Alabama,01,005,6597.0
Bibb County,Alabama,01,007,2863.0
Blount County,Alabama,01,009,8220.0
Bullock County,Alabama,01,011,3110.0
Butler County,Alabama,01,013,4640.0
Calhoun County,Alabama,01,015,20819.0
Chambers County,Alabama,01,017,5531.0
Cherokee County,Alabama,01,019,3827.0
Chilton County,Alabama,01,021,8034.0
Choctaw County,Alabama,01,023,2864.0
Clarke County,Alabama,01,025,6088.0
Clay County,Alabama,01,027,2405.0
Cleburne County,Alabama,01,029,2719.0
Coffee County,Alabama,01,031,7604.0
Colbert County,Alabama,01,033,8785.0
Conecuh County,Alabama,01,035,2752.0
Coosa County,Alabama,01,037,1459.0
Covington County,Alabama,01,039,6702.0
Crenshaw County,Alabama,01,041,2148.0
Cullman County,Alabama,01,043,12831.0
Dale County,Alabama,01,045,8798.0
Dallas County,Alabama,01,047,12247.0
DeKalb County,Alabama,01,049,15500.0
Elmore County,Alabama,01,051,9462.0
Escambia County,Alabama,01,053,8268.0
Etowah County,Alabama,01,055,17524.0
Fayette County,Alabama,01,057,3258.0
Franklin County,Alabama,01,059,6299.0
Geneva County,Alabama,01,061,6282.0
Greene County,Alabama,01,063,3225.0
Hale County,Alabama,01,065,3809.0
Henry County,Alabama,01,067,2270.0
Houston County,Alabama,01,069,18913.0
Jackson County,Alabama,01,071,10418.0
Jefferson County,Alabama,01,073,109707.0
Lamar County,Alabama,01,075,2916.0
Lauderdale County,Alabama,01,077,13703.0
Lawrence County,Alabama,01,079,5508.0
Lee County,Alabama,01,081,32815.0
Limestone County,Alabama,01,083,12384.0
Lowndes County,Alabama,01,085,2820.0
Macon County,Alabama,01,087,4302.0
Madison County,Alabama,01,089,45960.0
Marengo County,Alabama,01,091,4201.0
Marion County,Alabama,01,093,5144.0
Marshall County,Alabama,01,095,20354.0
Mobile County,Alabama,01,097,78208.0
Monroe County,Alabama,01,099,6561.0
Montgomery County,Alabama,01,101,45479.0
Morgan County,Alabama,01,103,17920.0
Perry County,Alabama,01,105,3616.0
Pickens County,Alabama,01,107,4430.0
Pike County,Alabama,01,109,8374.0
Randolph County,Alabama,01,111,3912.0
Russell County,Alabama,01,113,11491.0
Saint Clair County,Alabama,01,115,11268.0
Shelby County,Alabama,01,117,17557.0
Sumter County,Alabama,01,119,3792.0
Talladega County,Alabama,01,121,15401.0
Tallapoosa County,Alabama,01,123,8131.0
Tuscaloosa County,Alabama,01,125,34058.0
Walker County,Alabama,01,127,12525.0
Washington County,Alabama,01,129,3446.0
Wilcox County,Alabama,01,131,3254.0
Winston County,Alabama,01,133,3817.0
Anchorage Municipality,Alaska,02,020,26498.0
Bethel Census Area,Alaska,02,050,4871.0
Bristol Bay Borough,Alaska,02,060,50.0
Fairbanks North Star Borough,Alaska,02,090,7749.0
Haines Borough,Alaska,02,100,224.0
Juneau City and Borough,Alaska,02,110,2514.0
Kenai Peninsula Borough,Alaska,02,122,6827.0
