County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54712.0
Baldwin County,Alabama,01,003,188636.0
Barbour County,Alabama,01,005,24215.0
Bibb County,Alabama,01,007,21100.0
Blount County,Alabama,01,009,57083.0
Bullock County,Alabama,01,011,10153.0
Butler County,Alabama,01,013,20208.0
Calhoun County,Alabama,01,015,114171.0
Chambers County,Alabama,01,017,33653.0
Cherokee County,Alabama,01,019,25554.0
Chilton County,Alabama,01,021,43290.0
Choctaw County,Alabama,01,023,13360.0
Clarke County,Alabama,01,025,25008.0
Clay County,Alabama,01,027,13296.0
Cleburne County,Alabama,01,029,14828.0
Coffee County,Alabama,01,031,50064.0
Colbert County,Alabama,01,033,53978.0
Conecuh County,Alabama,01,035,12928.0
Coosa County,Alabama,01,037,10953.0
Covington County,Alabama,01,039,37232.0
Crenshaw County,Alabama,01,041,13729.0
Cullman County,Alabama,01,043,79581.0
Dale County,Alabama,01,045,48674.0
Dallas County,Alabama,01,047,42234.0
DeKalb County,Alabama,01,049,70247.0
Elmore County,Alabama,01,051,74949.0
Escambia County,Alabama,01,053,35742.0
Etowah County,Alabama,01,055,102374.0
Fayette County,Alabama,01,057,16766.0
Franklin County,Alabama,01,059,31305.0
Geneva County,Alabama,01,061,26437.0
Greene County,Alabama,01,063,8750.0
Hale County,Alabama,01,065,15093.0
Henry County,Alabama,01,067,17057.0
Houston County,Alabama,01,069,101955.0
Jackson County,Alabama,01,071,52438.0
Jefferson County,Alabama,01,073,644504.0
Lamar County,Alabama,01,075,14126.0
Lauderdale County,Alabama,01,077,90763.0
Lawrence County,Alabama,01,079,33558.0
Lee County,Alabama,01,081,142200.0
Limestone County,Alabama,01,083,83036.0
Lowndes County,Alabama,01,085,10819.0
Macon County,Alabama,01,087,18362.0
Madison County,Alabama,01,089,335298.0
Marengo County,Alabama,01,091,20238.0
Marion County,Alabama,01,093,29613.0
Marshall County,Alabama,01,095,93019.0
Mobile County,Alabama,01,097,404297.0
Monroe County,Alabama,01,099,22261.0
Montgomery County,Alabama,01,101,221215.0
Morgan County,Alabama,01,103,118023.0
Perry County,Alabama,01,105,9456.0
Pickens County,Alabama,01,107,19265.0
Pike County,Alabama,01,109,31253.0
Randolph County,Alabama,01,111,22122.0
Russell County,Alabama,01,113,56177.0
Saint Clair County,Alabama,01,115,83101.0
Shelby County,Alabama,01,117,198252.0
Sumter County,Alabama,01,119,12800.0
Talladega County,Alabama,01,121,78119.0
Tallapoosa County,Alabama,01,123,40673.0
Tuscaloosa County,Alabama,01,125,188415.0
Walker County,Alabama,01,127,65103.0
Washington County,Alabama,01,129,16889.0
Wilcox County,Alabama,01,131,11120.0
Winston County,Alabama,01,133,23680.0
Anchorage Municipality,Alaska,02,020,291067.0
Bethel Census Area,Alaska,02,050,17201.0
Bristol Bay Borough,Alaska,02,060,986.0
Fairbanks North Star Borough,Alaska,02,090,95378.0
Haines Borough,Alaska,02,100,2516.0
Juneau City and Borough,Alaska,02,110,31591.0
Kenai Peninsula Borough,Alaska,02,122,55311.0
Kodiak Island Borough,Alaska,02,150,13612.0
Matanuska-Susitna Borough,Alaska,02,170,92192.0
Nome Census Area,Alaska,02,180,9536.0
North Slope Borough,Alaska,02,185,9448.0
Sitka City and Borough,Alaska,02,220,8812.0
Southeast Fairbanks Census Area,Alaska,02,240,6970.0
Valdez-Cordova Census Area,Alaska,02,261,9527.0
Wade Hampton Census Area,Alaska,02,270,7746.0
Northwest Arctic Borough,Alaska,02,188,7601.0
Aleutians East Borough,Alaska,02,013,3284.0
Aleutians West Census Area,Alaska,02,016,5434.0
Dillingham Census Area,Alaska,02,070,4922.0
Lake and Peninsula Borough,Alaska,02,164,1481.0
Denali Borough,Alaska,02,068,1983.0
Yukon-Koyukuk Census Area,Alaska,02,290,5590.0
Hoonah-Angoon Census Area,Alaska,02,105,2117.0
Skagway Municipality,Alaska,02,230,994.0
Yakutat City and Borough,Alaska,02,282,635.0
Ketchikan Gateway Borough,Alaska,02,130,13438.0
Petersburg Borough,Alaska,02,195,3190.0
Prince of Wales-Hyder Census Area,Alaska,02,198,6310.0
Wrangell City and Borough,Alaska,02,275,2363.0
Apache County,Arizona,04,001,70622.0
Cochise County,Arizona,04,003,120617.0
Coconino County,Arizona,04,005,127035.0
Gila County,Arizona,04,007,52263.0
Graham County,Arizona,04,009,32916.0
Greenlee County,Arizona,04,011,8647.0
Maricopa County,Arizona,04,013,3895963.0
Mohave County,Arizona,04,015,195144.0
Navajo County,Arizona,04,017,104710.0
Pima County,Arizona,04,019,967318.0
Pinal County,Arizona,04,021,364937.0
Santa Cruz County,Arizona,04,023,46840.0
Yavapai County,Arizona,04,025,210479.0
La Paz County,Arizona,04,012,20108.0
Yuma County,Arizona,04,027,193755.0
Arkansas County,Arkansas,05,001,18558.0
Ashley County,Arkansas,05,003,21191.0
Baxter County,Arkansas,05,005,40464.0
Benton County,Arkansas,05,007,229736.0
Boone County,Arkansas,05,009,36616.0
Bradley County,Arkansas,05,011,11170.0
Calhoun County,Arkansas,05,013,5144.0
Carroll County,Arkansas,05,015,27276.0
Chicot County,Arkansas,05,017,10783.0
Clark County,Arkansas,05,019,19999.0
Clay County,Arkansas,05,021,15410.0
Cleburne County,Arkansas,05,023,25385.0
Cleveland County,Arkansas,05,025,8510.0
Columbia County,Arkansas,05,027,22826.0
Conway County,Arkansas,05,029,20899.0
Craighead County,Arkansas,05,031,96149.0
Crawford County,Arkansas,05,033,61202.0
Crittenden County,Arkansas,05,035,49458.0
Cross County,Arkansas,05,037,17337.0
Dallas County,Arkansas,05,039,7481.0
Desha County,Arkansas,05,041,12472.0
Drew County,Arkansas,05,043,17569.0
Faulkner County,Arkansas,05,045,112888.0
Franklin County,Arkansas,05,047,17632.0
Fulton County,Arkansas,05,049,11937.0
Garland County,Arkansas,05,051,94660.0
Grant County,Arkansas,05,053,17757.0
Greene County,Arkansas,05,055,42190.0
Hempstead County,Arkansas,05,057,22098.0
Hot Spring County,Arkansas,05,059,31356.0
Howard County,Arkansas,05,061,13446.0
Independence County,Arkansas,05,063,35649.0
Izard County,Arkansas,05,065,12761.0
Jackson County,Arkansas,05,067,14466.0
Jefferson County,Arkansas,05,069,68776.0
Johnson County,Arkansas,05,071,25072.0
Lafayette County,Arkansas,05,073,7210.0
Lawrence County,Arkansas,05,075,16466.0
Lee County,Arkansas,05,077,8697.0
Lincoln County,Arkansas,05,079,10394.0
Little River County,Arkansas,05,081,12520.0
Logan County,Arkansas,05,083,21620.0
Lonoke County,Arkansas,05,085,69352.0
Madison County,Arkansas,05,087,15552.0
Marion County,Arkansas,05,089,16332.0
Miller County,Arkansas,05,091,42367.0
Mississippi County,Arkansas,05,093,44484.0
