County,State,State_FIPS,County_FIPS,people_below_poverty
Autauga County,Alabama,01,001,6615
Baldwin County,Alabama,01,003,25752
Barbour County,Alabama,01,005,6512
Bibb County,Alabama,01,007,3898
Blount County,Alabama,01,009,9023
Bullock County,Alabama,01,011,2211
Butler County,Alabama,01,013,5776
Calhoun County,Alabama,01,015,25105
Chambers County,Alabama,01,017,8114
Cherokee County,Alabama,01,019,5415
Chilton County,Alabama,01,021,8443
Choctaw County,Alabama,01,023,2904
Clarke County,Alabama,01,025,7416
Clay County,Alabama,01,027,2540
Cleburne County,Alabama,01,029,2728
Coffee County,Alabama,01,031,9238
Colbert County,Alabama,01,033,9651
Conecuh County,Alabama,01,035,4264
Coosa County,Alabama,01,037,2280
Covington County,Alabama,01,039,7446
Crenshaw County,Alabama,01,041,2621
Cullman County,Alabama,01,043,14903
Dale County,Alabama,01,045,8448
Dallas County,Alabama,01,047,15143
DeKalb County,Alabama,01,049,13966
Elmore County,Alabama,01,051,9930
Escambia County,Alabama,01,053,9087
Etowah County,Alabama,01,055,19507
Fayette County,Alabama,01,057,3349
Franklin County,Alabama,01,059,6848
Geneva County,Alabama,01,061,5591
Greene County,Alabama,01,063,2923
Hale County,Alabama,01,065,4065
Henry County,Alabama,01,067,2452
Houston County,Alabama,01,069,18238
Jackson County,Alabama,01,071,8397
Jefferson County,Alabama,01,073,115966
Lamar County,Alabama,01,075,3170
Lauderdale County,Alabama,01,077,15594
Lawrence County,Alabama,01,079,5923
Lee County,Alabama,01,081,30605
Limestone County,Alabama,01,083,11933
Lowndes County,Alabama,01,085,2937
Macon County,Alabama,01,087,5066
Madison County,Alabama,01,089,42565
Marengo County,Alabama,01,091,4913
Marion County,Alabama,01,093,6196
Marshall County,Alabama,01,095,18046
Mobile County,Alabama,01,097,79994
Monroe County,Alabama,01,099,6452
Montgomery County,Alabama,01,101,46855
Morgan County,Alabama,01,103,18564
Perry County,Alabama,01,105,2469
Pickens County,Alabama,01,107,5213
Pike County,Alabama,01,109,8563
Randolph County,Alabama,01,111,5437
Russell County,Alabama,01,113,12076
Saint Clair County,Alabama,01,115,12527
Shelby County,Alabama,01,117,15538
Sumter County,Alabama,01,119,4958
Talladega County,Alabama,01,121,17989
Tallapoosa County,Alabama,01,123,8071
Tuscaloosa County,Alabama,01,125,35293
Walker County,Alabama,01,127,13688
Washington County,Alabama,01,129,3132
Wilcox County,Alabama,01,131,4400
Winston County,Alabama,01,133,5699
Anchorage Municipality,Alaska,02,020,22874
Bethel Census Area,Alaska,02,050,3880
Bristol Bay Borough,Alaska,02,060,73
Fairbanks North Star Borough,Alaska,02,090,7992
Haines Borough,Alaska,02,100,196
Juneau City and Borough,Alaska,02,110,1931
Kenai Peninsula Borough,Alaska,02,122,4728
Kodiak Island Borough,Alaska,02,150,1577
Matanuska-Susitna Borough,Alaska,02,170,8897
Nome Census Area,Alaska,02,180,2614
North Slope Borough,Alaska,02,185,964
Sitka City and Borough,Alaska,02,220,879
Southeast Fairbanks Census Area,Alaska,02,240,924
Valdez-Cordova Census Area,Alaska,02,261,787
Wade Hampton Census Area,Alaska,02,270,2398
Northwest Arctic Borough,Alaska,02,188,1662
Aleutians East Borough,Alaska,02,013,523
Aleutians West Census Area,Alaska,02,016,488
Dillingham Census Area,Alaska,02,070,886
Lake and Peninsula Borough,Alaska,02,164,305
Denali Borough,Alaska,02,068,219
Yukon-Koyukuk Census Area,Alaska,02,290,1359
Hoonah-Angoon Census Area,Alaska,02,105,318
Skagway Municipality,Alaska,02,230,59
Yakutat City and Borough,Alaska,02,282,36
Ketchikan Gateway Borough,Alaska,02,130,1363
Petersburg Borough,Alaska,02,195,509
Prince of Wales-Hyder Census Area,Alaska,02,198,850
Wrangell City and Borough,Alaska,02,275,223
Apache County,Arizona,04,001,25573
Cochise County,Arizona,04,003,20786
Coconino County,Arizona,04,005,29171
Gila County,Arizona,04,007,11301
Graham County,Arizona,04,009,7402
Greenlee County,Arizona,04,011,1366
Maricopa County,Arizona,04,013,639233
Mohave County,Arizona,04,015,37644
Navajo County,Arizona,04,017,31677
Pima County,Arizona,04,019,184668
Pinal County,Arizona,04,021,55245
Santa Cruz County,Arizona,04,023,12285
Yavapai County,Arizona,04,025,33026
La Paz County,Arizona,04,012,3921
Yuma County,Arizona,04,027,38603
Arkansas County,Arkansas,05,001,2924
Ashley County,Arkansas,05,003,4044
Baxter County,Arkansas,05,005,6278
Benton County,Arkansas,05,007,27327
Boone County,Arkansas,05,009,6056
Bradley County,Arkansas,05,011,3522
Calhoun County,Arkansas,05,013,777
Carroll County,Arkansas,05,015,5101
Chicot County,Arkansas,05,017,3592
Clark County,Arkansas,05,019,4912
Clay County,Arkansas,05,021,3160
Cleburne County,Arkansas,05,023,4003
Cleveland County,Arkansas,05,025,1520
Columbia County,Arkansas,05,027,5831
Conway County,Arkansas,05,029,5037
Craighead County,Arkansas,05,031,19542
Crawford County,Arkansas,05,033,12350
Crittenden County,Arkansas,05,035,13122
Cross County,Arkansas,05,037,3042
Dallas County,Arkansas,05,039,1498
Desha County,Arkansas,05,041,3809
Drew County,Arkansas,05,043,4999
Faulkner County,Arkansas,05,045,16147
Franklin County,Arkansas,05,047,3632
Fulton County,Arkansas,05,049,2241
Garland County,Arkansas,05,051,19558
Grant County,Arkansas,05,053,1752
Greene County,Arkansas,05,055,7155
Hempstead County,Arkansas,05,057,6080
Hot Spring County,Arkansas,05,059,4458
Howard County,Arkansas,05,061,3137
Independence County,Arkansas,05,063,8417
Izard County,Arkansas,05,065,2402
Jackson County,Arkansas,05,067,4237
Jefferson County,Arkansas,05,069,16716
Johnson County,Arkansas,05,071,4999
Lafayette County,Arkansas,05,073,1766
Lawrence County,Arkansas,05,075,4191
Lee County,Arkansas,05,077,2780
Lincoln County,Arkansas,05,079,2869
Little River County,Arkansas,05,081,1788
Logan County,Arkansas,05,083,3800
Lonoke County,Arkansas,05,085,9076
Madison County,Arkansas,05,087,3518
Marion County,Arkansas,05,089,3098
Miller County,Arkansas,05,091,8257
Mississippi County,Arkansas,05,093,11188
Monroe County,Arkansas,05,095,2268
Montgomery County,Arkansas,05,097,2031
Nevada County,Arkansas,05,099,2332
Newton County,Arkansas,05,101,1916
Ouachita County,Arkansas,05,103,5847
Perry County,Arkansas,05,105,1587
Phillips County,Arkansas,05,107,7041
Pike County,Arkansas,05,109,2737
Poinsett County,Arkansas,05,111,6665
Polk County,Arkansas,05,113,4711
Pope County,Arkansas,05,115,11455
Prairie County,Arkansas,05,117,1790
Pulaski County,Arkansas,05,119,65283
