County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54255
Baldwin County,Alabama,01,003,180970
Barbour County,Alabama,01,005,24530
Bibb County,Alabama,01,007,21794
Blount County,Alabama,01,009,56993
Bullock County,Alabama,01,011,10313
Butler County,Alabama,01,013,20463
Calhoun County,Alabama,01,015,114887
Chambers County,Alabama,01,017,33785
Cherokee County,Alabama,01,019,25440
Chilton County,Alabama,01,021,43197
Choctaw County,Alabama,01,023,13668
Clarke County,Alabama,01,025,25537
Clay County,Alabama,01,027,13513
Cleburne County,Alabama,01,029,14740
Coffee County,Alabama,01,031,49208
Colbert County,Alabama,01,033,53890
Conecuh County,Alabama,01,035,13119
Coosa County,Alabama,01,037,11006
Covington County,Alabama,01,039,37253
Crenshaw County,Alabama,01,041,13796
Cullman County,Alabama,01,043,79211
Dale County,Alabama,01,045,48486
Dallas County,Alabama,01,047,43161
DeKalb County,Alabama,01,049,70192
Elmore County,Alabama,01,051,73602
Escambia County,Alabama,01,053,35527
Etowah County,Alabama,01,055,102425
Fayette County,Alabama,01,057,16916
Franklin County,Alabama,01,059,31247
Geneva County,Alabama,01,061,26361
Greene County,Alabama,01,063,9026
Hale County,Alabama,01,065,15448
Henry County,Alabama,01,067,17039
Houston County,Alabama,01,069,100167
Jackson County,Alabama,01,071,52693
Jefferson County,Alabama,01,073,645062
Lamar County,Alabama,01,075,14361
Lauderdale County,Alabama,01,077,90550
Lawrence County,Alabama,01,079,33898
Lee County,Alabama,01,081,135639
Limestone County,Alabama,01,083,79243
Lowndes County,Alabama,01,085,11217
Macon County,Alabama,01,087,18953
Madison County,Alabama,01,089,327119
Marengo County,Alabama,01,091,20600
Marion County,Alabama,01,093,29690
Marshall County,Alabama,01,095,91975
Mobile County,Alabama,01,097,403138
Monroe County,Alabama,01,099,22777
Montgomery County,Alabama,01,101,220734
Morgan County,Alabama,01,103,117763
Perry County,Alabama,01,105,9829
Pickens County,Alabama,01,107,19333
Pike County,Alabama,01,109,30879
Randolph County,Alabama,01,111,22267
Russell County,Alabama,01,113,53269
Saint Clair County,Alabama,01,115,81150
Shelby County,Alabama,01,117,192815
Sumter County,Alabama,01,119,13270
Talladega County,Alabama,01,121,78773
Tallapoosa County,Alabama,01,123,40895
Tuscaloosa County,Alabama,01,125,184698
Walker County,Alabama,01,127,65903
Washington County,Alabama,01,129,17143
Wilcox County,Alabama,01,131,11403
Winston County,Alabama,01,133,23890
Anchorage Municipality,Alaska,02,020,285147
Bethel Census Area,Alaska,02,050,16866
Bristol Bay Borough,Alaska,02,060,925
Fairbanks North Star Borough,Alaska,02,090,93932
Haines Borough,Alaska,02,100,2468
Juneau City and Borough,Alaska,02,110,31083
Kenai Peninsula Borough,Alaska,02,122,54055
Kodiak Island Borough,Alaska,02,150,13260
Matanuska-Susitna Borough,Alaska,02,170,87828
Nome Census Area,Alaska,02,180,9318
North Slope Borough,Alaska,02,185,9171
Sitka City and Borough,Alaska,02,220,8653
Southeast Fairbanks Census Area,Alaska,02,240,6924
Valdez-Cordova Census Area,Alaska,02,261,9444
