County,State,State_FIPS,County_FIPS,people_below_poverty
Autauga County,Alabama,01,001,7483.0
Baldwin County,Alabama,01,003,23728.0
Barbour County,Alabama,01,005,6332.0
Bibb County,Alabama,01,007,3133.0
Blount County,Alabama,01,009,8919.0
Bullock County,Alabama,01,011,2852.0
Butler County,Alabama,01,013,4835.0
Calhoun County,Alabama,01,015,20940.0
Chambers County,Alabama,01,017,6288.0
Cherokee County,Alabama,01,019,4104.0
Chilton County,Alabama,01,021,8392.0
Choctaw County,Alabama,01,023,2903.0
Clarke County,Alabama,01,025,6108.0
Clay County,Alabama,01,027,2493.0
Cleburne County,Alabama,01,029,2800.0
Coffee County,Alabama,01,031,8122.0
Colbert County,Alabama,01,033,9056.0
Conecuh County,Alabama,01,035,3316.0
Coosa County,Alabama,01,037,1513.0
Covington County,Alabama,01,039,6491.0
Crenshaw County,Alabama,01,041,2399.0
Cullman County,Alabama,01,043,13157.0
Dale County,Alabama,01,045,9441.0
Dallas County,Alabama,01,047,12795.0
DeKalb County,Alabama,01,049,15115.0
Elmore County,Alabama,01,051,10299.0
Escambia County,Alabama,01,053,8281.0
Etowah County,Alabama,01,055,18166.0
Fayette County,Alabama,01,057,2967.0
Franklin County,Alabama,01,059,7175.0
Geneva County,Alabama,01,061,5903.0
Greene County,Alabama,01,063,3293.0
Hale County,Alabama,01,065,3852.0
Henry County,Alabama,01,067,2310.0
Houston County,Alabama,01,069,19030.0
Jackson County,Alabama,01,071,9827.0
Jefferson County,Alabama,01,073,113368.0
Lamar County,Alabama,01,075,3191.0
Lauderdale County,Alabama,01,077,14701.0
Lawrence County,Alabama,01,079,5490.0
Lee County,Alabama,01,081,33132.0
Limestone County,Alabama,01,083,13138.0
Lowndes County,Alabama,01,085,3095.0
Macon County,Alabama,01,087,4380.0
Madison County,Alabama,01,089,46925.0
Marengo County,Alabama,01,091,5000.0
Marion County,Alabama,01,093,5175.0
Marshall County,Alabama,01,095,19654.0
Mobile County,Alabama,01,097,78256.0
Monroe County,Alabama,01,099,7249.0
Montgomery County,Alabama,01,101,45863.0
Morgan County,Alabama,01,103,19448.0
Perry County,Alabama,01,105,3706.0
Pickens County,Alabama,01,107,4340.0
Pike County,Alabama,01,109,8224.0
Randolph County,Alabama,01,111,4102.0
Russell County,Alabama,01,113,12024.0
Saint Clair County,Alabama,01,115,11656.0
Shelby County,Alabama,01,117,17127.0
Sumter County,Alabama,01,119,4398.0
Talladega County,Alabama,01,121,14946.0
Tallapoosa County,Alabama,01,123,8532.0
Tuscaloosa County,Alabama,01,125,33597.0
Walker County,Alabama,01,127,13754.0
Washington County,Alabama,01,129,3644.0
Wilcox County,Alabama,01,131,3371.0
Winston County,Alabama,01,133,4395.0
Anchorage Municipality,Alaska,02,020,23510.0
Bethel Census Area,Alaska,02,050,4705.0
Bristol Bay Borough,Alaska,02,060,63.0
Fairbanks North Star Borough,Alaska,02,090,7340.0
Haines Borough,Alaska,02,100,210.0
Juneau City and Borough,Alaska,02,110,2339.0
Kenai Peninsula Borough,Alaska,02,122,6229.0
Kodiak Island Borough,Alaska,02,150,1262.0
Matanuska-Susitna Borough,Alaska,02,170,9759.0
Nome Census Area,Alaska,02,180,2381.0
North Slope Borough,Alaska,02,185,976.0
Sitka City and Borough,Alaska,02,220,800.0
Southeast Fairbanks Census Area,Alaska,02,240,942.0
Valdez-Cordova Census Area,Alaska,02,261,694.0
Wade Hampton Census Area,Alaska,02,270,
Northwest Arctic Borough,Alaska,02,188,1934.0
Aleutians East Borough,Alaska,02,013,555.0
Aleutians West Census Area,Alaska,02,016,419.0
Dillingham Census Area,Alaska,02,070,817.0
Lake and Peninsula Borough,Alaska,02,164,213.0
Denali Borough,Alaska,02,068,351.0
Yukon-Koyukuk Census Area,Alaska,02,290,1373.0
Hoonah-Angoon Census Area,Alaska,02,105,238.0
Skagway Municipality,Alaska,02,230,58.0
Yakutat City and Borough,Alaska,02,282,42.0
Ketchikan Gateway Borough,Alaska,02,130,1437.0
Petersburg Borough,Alaska,02,195,256.0
Prince of Wales-Hyder Census Area,Alaska,02,198,1027.0
Wrangell City and Borough,Alaska,02,275,287.0
Apache County,Arizona,04,001,25225.0
Cochise County,Arizona,04,003,21054.0
Coconino County,Arizona,04,005,26719.0
Gila County,Arizona,04,007,11427.0
Graham County,Arizona,04,009,7089.0
Greenlee County,Arizona,04,011,1069.0
Maricopa County,Arizona,04,013,644476.0
Mohave County,Arizona,04,015,37080.0
Navajo County,Arizona,04,017,30548.0
Pima County,Arizona,04,019,179569.0
Pinal County,Arizona,04,021,58750.0
Santa Cruz County,Arizona,04,023,10049.0
Yavapai County,Arizona,04,025,31859.0
La Paz County,Arizona,04,012,3971.0
Yuma County,Arizona,04,027,39161.0
Arkansas County,Arkansas,05,001,3735.0
Ashley County,Arkansas,05,003,4368.0
Baxter County,Arkansas,05,005,5117.0
Benton County,Arkansas,05,007,26096.0
Boone County,Arkansas,05,009,5767.0
Bradley County,Arkansas,05,011,2864.0
Calhoun County,Arkansas,05,013,986.0
Carroll County,Arkansas,05,015,4331.0
Chicot County,Arkansas,05,017,3041.0
Clark County,Arkansas,05,019,4221.0
Clay County,Arkansas,05,021,3339.0
Cleburne County,Arkansas,05,023,3829.0
Cleveland County,Arkansas,05,025,1589.0
Columbia County,Arkansas,05,027,5553.0
Conway County,Arkansas,05,029,3845.0
Craighead County,Arkansas,05,031,18298.0
Crawford County,Arkansas,05,033,10196.0
Crittenden County,Arkansas,05,035,11422.0
Cross County,Arkansas,05,037,3041.0
Dallas County,Arkansas,05,039,906.0
Desha County,Arkansas,05,041,3886.0
Drew County,Arkansas,05,043,4246.0
Faulkner County,Arkansas,05,045,18989.0
Franklin County,Arkansas,05,047,3829.0
Fulton County,Arkansas,05,049,2718.0
Garland County,Arkansas,05,051,18300.0
Grant County,Arkansas,05,053,2579.0
Greene County,Arkansas,05,055,6879.0
Hempstead County,Arkansas,05,057,5539.0
Hot Spring County,Arkansas,05,059,4941.0
Howard County,Arkansas,05,061,2790.0
Independence County,Arkansas,05,063,6628.0
Izard County,Arkansas,05,065,2238.0
Jackson County,Arkansas,05,067,3592.0
Jefferson County,Arkansas,05,069,16140.0
Johnson County,Arkansas,05,071,5733.0
Lafayette County,Arkansas,05,073,1632.0
Lawrence County,Arkansas,05,075,2976.0
Lee County,Arkansas,05,077,2173.0
Lincoln County,Arkansas,05,079,1620.0
Little River County,Arkansas,05,081,2291.0
Logan County,Arkansas,05,083,4326.0
Lonoke County,Arkansas,05,085,8709.0
Madison County,Arkansas,05,087,2797.0
Marion County,Arkansas,05,089,3165.0
Miller County,Arkansas,05,091,8891.0
Mississippi County,Arkansas,05,093,10921.0
Monroe County,Arkansas,05,095,2098.0
Montgomery County,Arkansas,05,097,1613.0
Nevada County,Arkansas,05,099,1920.0
Newton County,Arkansas,05,101,1392.0
Ouachita County,Arkansas,05,103,6231.0
Perry County,Arkansas,05,105,1808.0
Phillips County,Arkansas,05,107,6363.0
Pike County,Arkansas,05,109,1852.0
Poinsett County,Arkansas,05,111,5036.0
Polk County,Arkansas,05,113,5326.0
Pope County,Arkansas,05,115,11841.0
Prairie County,Arkansas,05,117,1364.0
Pulaski County,Arkansas,05,119,67056.0
Randolph County,Arkansas,05,121,3557.0
Saint Francis County,Arkansas,05,123,6363.0
Saline County,Arkansas,05,125,9210.0
Scott County,Arkansas,05,127,2142.0
Searcy County,Arkansas,05,129,1364.0
Sebastian County,Arkansas,05,131,28211.0
Sevier County,Arkansas,05,133,3597.0
Sharp County,Arkansas,05,135,3904.0
Stone County,Arkansas,05,137,2983.0
Union County,Arkansas,05,139,7936.0
Van Buren County,Arkansas,05,141,3250.0
Washington County,Arkansas,05,143,38855.0
White County,Arkansas,05,145,12354.0
Woodruff County,Arkansas,05,147,1721.0
Yell County,Arkansas,05,149,3792.0
Alameda County,California,06,001,181194.0
Alpine County,California,06,003,235.0
Amador County,California,06,005,3564.0
Butte County,California,06,007,44977.0
Calaveras County,California,06,009,5676.0
Colusa County,California,06,011,2979.0
Contra Costa County,California,06,013,108630.0
Del Norte County,California,06,015,5571.0
El Dorado County,California,06,017,17996.0
Fresno County,California,06,019,243040.0
Glenn County,California,06,021,5404.0
Humboldt County,California,06,023,27481.0
Imperial County,California,06,025,40376.0
Inyo County,California,06,027,1806.0
Kern County,California,06,029,191123.0
Kings County,California,06,031,28013.0
Lake County,California,06,033,14398.0
Lassen County,California,06,035,3155.0
Los Angeles County,California,06,037,1688505.0
Madera County,California,06,039,32244.0
Marin County,California,06,041,20515.0
Mariposa County,California,06,043,2629.0
Mendocino County,California,06,045,16448.0
Merced County,California,06,047,60861.0
Modoc County,California,06,049,1584.0
Mono County,California,06,051,1378.0
Monterey County,California,06,053,60933.0
Napa County,California,06,055,11285.0
Nevada County,California,06,057,11861.0
Orange County,California,06,059,378459.0
Placer County,California,06,061,30473.0
Plumas County,California,06,063,2439.0
Riverside County,California,06,065,362215.0
Sacramento County,California,06,067,246203.0
San Benito County,California,06,069,5670.0
San Bernardino County,California,06,071,374810.0
San Diego County,California,06,073,427031.0
San Francisco County,California,06,075,99096.0
San Joaquin County,California,06,077,121296.0
San Luis Obispo County,California,06,079,36420.0
San Mateo County,California,06,081,54981.0
Santa Barbara County,California,06,083,65493.0
Santa Clara County,California,06,085,162525.0
Santa Cruz County,California,06,087,38605.0
Shasta County,California,06,089,31967.0
Sierra County,California,06,091,351.0
Siskiyou County,California,06,093,8915.0
Solano County,California,06,095,48623.0
Sonoma County,California,06,097,52707.0
Stanislaus County,California,06,099,91210.0
Sutter County,California,06,101,15805.0
Tehama County,California,06,103,13009.0
Trinity County,California,06,105,2545.0
Tulare County,California,06,107,122724.0
Tuolumne County,California,06,109,6875.0
Ventura County,California,06,111,85816.0
Yolo County,California,06,113,39686.0
Yuba County,California,06,115,13598.0
Alamosa County,Colorado,08,003,4239.0
Archuleta County,Colorado,08,007,1446.0
Baca County,Colorado,08,009,674.0
Bent County,Colorado,08,011,948.0
Chaffee County,Colorado,08,015,1686.0
Cheyenne County,Colorado,08,017,245.0
Clear Creek County,Colorado,08,019,622.0
Conejos County,Colorado,08,021,1709.0
Costilla County,Colorado,08,023,1073.0
Crowley County,Colorado,08,025,1054.0
Custer County,Colorado,08,027,693.0
Delta County,Colorado,08,029,4795.0
Dolores County,Colorado,08,033,245.0
Douglas County,Colorado,08,035,11636.0
Eagle County,Colorado,08,037,4128.0
Elbert County,Colorado,08,039,1160.0
El Paso County,Colorado,08,041,72699.0
Fremont County,Colorado,08,043,5654.0
Garfield County,Colorado,08,045,5449.0
Gilpin County,Colorado,08,047,315.0
Grand County,Colorado,08,049,1927.0
Gunnison County,Colorado,08,051,2170.0
Huerfano County,Colorado,08,055,937.0
Jackson County,Colorado,08,057,175.0
Kiowa County,Colorado,08,061,142.0
Kit Carson County,Colorado,08,063,814.0
Lake County,Colorado,08,065,939.0
La Plata County,Colorado,08,067,5045.0
Larimer County,Colorado,08,069,40006.0
Las Animas County,Colorado,08,071,2266.0
Lincoln County,Colorado,08,073,492.0
Logan County,Colorado,08,075,3500.0
Mesa County,Colorado,08,077,23238.0
Moffat County,Colorado,08,081,1305.0
Montezuma County,Colorado,08,083,4275.0
Montrose County,Colorado,08,085,7189.0
Morgan County,Colorado,08,087,2579.0
Otero County,Colorado,08,089,4085.0
Ouray County,Colorado,08,091,484.0
Park County,Colorado,08,093,1098.0
Phillips County,Colorado,08,095,345.0
Pitkin County,Colorado,08,097,1250.0
Prowers County,Colorado,08,099,2147.0
Pueblo County,Colorado,08,101,31467.0
Rio Blanco County,Colorado,08,103,733.0
Rio Grande County,Colorado,08,105,2018.0
Routt County,Colorado,08,107,2567.0
Saguache County,Colorado,08,109,1327.0
San Miguel County,Colorado,08,113,815.0
Sedgwick County,Colorado,08,115,392.0
Summit County,Colorado,08,117,3063.0
Teller County,Colorado,08,119,1760.0
Washington County,Colorado,08,121,443.0
Yuma County,Colorado,08,125,1425.0
Adams County,Colorado,08,001,59050.0
Arapahoe County,Colorado,08,005,61463.0
Boulder County,Colorado,08,013,39882.0
Broomfield County,Colorado,08,014,3340.0
Denver County,Colorado,08,031,100611.0
Jefferson County,Colorado,08,059,43339.0
Weld County,Colorado,08,123,31353.0
Fairfield County,Connecticut,09,001,81422.0
Hartford County,Connecticut,09,003,97996.0
Litchfield County,Connecticut,09,005,12400.0
Middlesex County,Connecticut,09,007,11433.0
New Haven County,Connecticut,09,009,100732.0
New London County,Connecticut,09,011,25689.0
Tolland County,Connecticut,09,013,8798.0
Windham County,Connecticut,09,015,12313.0
Kent County,Delaware,10,001,21743.0
New Castle County,Delaware,10,003,64082.0
Sussex County,Delaware,10,005,25479.0
Alachua County,Florida,12,001,57060.0
Baker County,Florida,12,003,4277.0
Bay County,Florida,12,005,27248.0
Bradford County,Florida,12,007,4394.0
Brevard County,Florida,12,009,75104.0
Broward County,Florida,12,011,262306.0
Calhoun County,Florida,12,013,1591.0
Charlotte County,Florida,12,015,20274.0
Citrus County,Florida,12,017,24123.0
Clay County,Florida,12,019,20998.0
Collier County,Florida,12,021,45385.0
Columbia County,Florida,12,023,10649.0
Miami-Dade County,Florida,12,086,505182.0
DeSoto County,Florida,12,027,10086.0
Dixie County,Florida,12,029,3471.0
Duval County,Florida,12,031,143014.0
Escambia County,Florida,12,033,42457.0
Flagler County,Florida,12,035,13839.0
Franklin County,Florida,12,037,2012.0
Gadsden County,Florida,12,039,10495.0
Gilchrist County,Florida,12,041,3124.0
Glades County,Florida,12,043,2140.0
Gulf County,Florida,12,045,2029.0
Hamilton County,Florida,12,047,2896.0
Hardee County,Florida,12,049,6248.0
Hendry County,Florida,12,051,9739.0
Hernando County,Florida,12,053,25322.0
Highlands County,Florida,12,055,18495.0
Hillsborough County,Florida,12,057,208195.0
Holmes County,Florida,12,059,4679.0
Indian River County,Florida,12,061,18617.0
Jackson County,Florida,12,063,8792.0
Jefferson County,Florida,12,065,1601.0
Lafayette County,Florida,12,067,1264.0
Lake County,Florida,12,069,41353.0
Lee County,Florida,12,071,102539.0
Leon County,Florida,12,073,56180.0
Levy County,Florida,12,075,8595.0
Liberty County,Florida,12,077,1230.0
Madison County,Florida,12,079,5241.0
Manatee County,Florida,12,081,48234.0
Marion County,Florida,12,083,58762.0
Martin County,Florida,12,085,16624.0
Monroe County,Florida,12,087,9562.0
Nassau County,Florida,12,089,8866.0
Okaloosa County,Florida,12,091,21997.0
Okeechobee County,Florida,12,093,8273.0
Orange County,Florida,12,095,209366.0
Osceola County,Florida,12,097,57416.0
Palm Beach County,Florida,12,099,189156.0
Pasco County,Florida,12,101,66457.0
Pinellas County,Florida,12,103,127948.0
Polk County,Florida,12,105,110557.0
Putnam County,Florida,12,107,19546.0
Saint Johns County,Florida,12,109,20330.0
Saint Lucie County,Florida,12,111,49214.0
Santa Rosa County,Florida,12,113,18073.0
Sarasota County,Florida,12,115,41926.0
Seminole County,Florida,12,117,52509.0
Sumter County,Florida,12,119,9895.0
Suwannee County,Florida,12,121,8576.0
Taylor County,Florida,12,123,2992.0
Union County,Florida,12,125,2134.0
Volusia County,Florida,12,127,81729.0
Wakulla County,Florida,12,129,3540.0
Walton County,Florida,12,131,10410.0
Washington County,Florida,12,133,4636.0
Appling County,Georgia,13,001,4435.0
Atkinson County,Georgia,13,003,2262.0
Bacon County,Georgia,13,005,2466.0
Baker County,Georgia,13,007,634.0
Baldwin County,Georgia,13,009,11610.0
Banks County,Georgia,13,011,2629.0
Barrow County,Georgia,13,013,9829.0
Bartow County,Georgia,13,015,14417.0
Ben Hill County,Georgia,13,017,5139.0
Berrien County,Georgia,13,019,4445.0
Bibb County,Georgia,13,021,39473.0
Bleckley County,Georgia,13,023,2591.0
Brantley County,Georgia,13,025,3970.0
Brooks County,Georgia,13,027,3641.0
Bryan County,Georgia,13,029,4897.0
Bulloch County,Georgia,13,031,20153.0
Burke County,Georgia,13,033,6504.0
Butts County,Georgia,13,035,4892.0
Calhoun County,Georgia,13,037,1474.0
Camden County,Georgia,13,039,6413.0
Candler County,Georgia,13,043,3341.0
Carroll County,Georgia,13,045,20705.0
Catoosa County,Georgia,13,047,7045.0
Charlton County,Georgia,13,049,2719.0
Chatham County,Georgia,13,051,47119.0
Chattahoochee County,Georgia,13,053,1139.0
Chattooga County,Georgia,13,055,5152.0
Cherokee County,Georgia,13,057,22072.0
Clarke County,Georgia,13,059,38618.0
Clay County,Georgia,13,061,1230.0
Clayton County,Georgia,13,063,58701.0
Clinch County,Georgia,13,065,2641.0
Cobb County,Georgia,13,067,79127.0
Coffee County,Georgia,13,069,9348.0
Colquitt County,Georgia,13,071,11444.0
Columbia County,Georgia,13,073,12269.0
Cook County,Georgia,13,075,4099.0
Coweta County,Georgia,13,077,15900.0
Crawford County,Georgia,13,079,2207.0
Crisp County,Georgia,13,081,7025.0
Dade County,Georgia,13,083,2619.0
Dawson County,Georgia,13,085,2729.0
Decatur County,Georgia,13,087,6233.0
DeKalb County,Georgia,13,089,127299.0
Dodge County,Georgia,13,091,4229.0
Dooly County,Georgia,13,093,2837.0
Dougherty County,Georgia,13,095,26759.0
Douglas County,Georgia,13,097,19690.0
Early County,Georgia,13,099,2812.0
Echols County,Georgia,13,101,1130.0
Effingham County,Georgia,13,103,5405.0
Elbert County,Georgia,13,105,4246.0
Emanuel County,Georgia,13,107,6329.0
Evans County,Georgia,13,109,2657.0
Fannin County,Georgia,13,111,3806.0
Fayette County,Georgia,13,113,6907.0
Floyd County,Georgia,13,115,16774.0
Forsyth County,Georgia,13,117,13643.0
Franklin County,Georgia,13,119,5503.0
Fulton County,Georgia,13,121,156519.0
Gilmer County,Georgia,13,123,5520.0
