County,State,State_FIPS,County_FIPS,total_population_for_poverty
Phillips County,Arkansas,05,107,21783
Pike County,Arkansas,05,109,11084
Poinsett County,Arkansas,05,111,24075
Polk County,Arkansas,05,113,20302
Pope County,Arkansas,05,115,59163
Prairie County,Arkansas,05,117,8616
Pulaski County,Arkansas,05,119,373482
Randolph County,Arkansas,05,121,17571
Saint Francis County,Arkansas,05,123,24071
Saline County,Arkansas,05,125,103259
Scott County,Arkansas,05,127,10998
Searcy County,Arkansas,05,129,8107
Sebastian County,Arkansas,05,131,123232
Sevier County,Arkansas,05,133,16669
Sharp County,Arkansas,05,135,17139
Stone County,Arkansas,05,137,12228
Union County,Arkansas,05,139,41113
Van Buren County,Arkansas,05,141,16920
Washington County,Arkansas,05,143,193272
White County,Arkansas,05,145,72084
Woodruff County,Arkansas,05,147,7212
Yell County,Arkansas,05,149,21630
Alameda County,California,06,001,1469027
Alpine County,California,06,003,1119
Amador County,California,06,005,33665
Butte County,California,06,007,213686
Calaveras County,California,06,009,44972
Colusa County,California,06,011,20973
Contra Costa County,California,06,013,1028301
Del Norte County,California,06,015,25078
El Dorado County,California,06,017,178630
Fresno County,California,06,019,902945
Glenn County,California,06,021,27530
Humboldt County,California,06,023,129365
Imperial County,California,06,025,161083
Inyo County,California,06,027,18117
Kern County,California,06,029,792117
Kings County,California,06,031,134947
Lake County,California,06,033,63349
Lassen County,California,06,035,24329
Los Angeles County,California,06,037,9633080
Madera County,California,06,039,140267
Marin County,California,06,041,242120
Mariposa County,California,06,043,18185
Mendocino County,California,06,045,85978
Merced County,California,06,047,249492
Modoc County,California,06,049,9192
Mono County,California,06,051,13890
Monterey County,California,06,053,393255
Napa County,California,06,055,131911
Nevada County,California,06,057,97434
Orange County,California,06,059,2952214
Placer County,California,06,061,341053
Plumas County,California,06,063,19887
Riverside County,California,06,065,2119466
Sacramento County,California,06,067,1380710
San Benito County,California,06,069,54593
San Bernardino County,California,06,071,1977432
San Diego County,California,06,073,2977884
San Francisco County,California,06,075,786847
San Joaquin County,California,06,077,665063
San Luis Obispo County,California,06,079,252125
San Mateo County,California,06,081,703106
Santa Barbara County,California,06,083,403061
Santa Clara County,California,06,085,1734946
Santa Cruz County,California,06,087,251712
Shasta County,California,06,089,174104
Sierra County,California,06,091,3247
Siskiyou County,California,06,093,44021
Solano County,California,06,095,392847
Sonoma County,California,06,097,470968
Stanislaus County,California,06,099,506341
Sutter County,California,06,101,93084
Tehama County,California,06,103,62013
Trinity County,California,06,105,13424
Tulare County,California,06,107,430155
Tuolumne County,California,06,109,51536
Ventura County,California,06,111,804360
Yolo County,California,06,113,191381
Yuba County,California,06,115,70177
Alamosa County,Colorado,08,003,14277
Archuleta County,Colorado,08,007,12058
Baca County,Colorado,08,009,3683
Bent County,Colorado,08,011,4542
Chaffee County,Colorado,08,015,16341
Cheyenne County,Colorado,08,017,2196
Clear Creek County,Colorado,08,019,8981
Conejos County,Colorado,08,021,8109
Costilla County,Colorado,08,023,3531
Crowley County,Colorado,08,025,3602
Custer County,Colorado,08,027,3811
Delta County,Colorado,08,029,29633
Dolores County,Colorado,08,033,2025
Douglas County,Colorado,08,035,279771
Eagle County,Colorado,08,037,51125
Elbert County,Colorado,08,039,22751
El Paso County,Colorado,08,041,592364
Fremont County,Colorado,08,043,35586
Garfield County,Colorado,08,045,54653
Gilpin County,Colorado,08,047,5174
Grand County,Colorado,08,049,14562
Gunnison County,Colorado,08,051,14128
Huerfano County,Colorado,08,055,5962
Jackson County,Colorado,08,057,1468
Kiowa County,Colorado,08,061,1708
Kit Carson County,Colorado,08,063,7453
Lake County,Colorado,08,065,6876
La Plata County,Colorado,08,067,48804
Larimer County,Colorado,08,069,288100
Las Animas County,Colorado,08,071,15102
Lincoln County,Colorado,08,073,4056
Logan County,Colorado,08,075,21444
Mesa County,Colorado,08,077,142002
Moffat County,Colorado,08,081,13397
Montezuma County,Colorado,08,083,24953
Montrose County,Colorado,08,085,40311
Morgan County,Colorado,08,087,27162
Otero County,Colorado,08,089,18106
Ouray County,Colorado,08,091,4359
Park County,Colorado,08,093,16169
Phillips County,Colorado,08,095,4314
Pitkin County,Colorado,08,097,16678
Prowers County,Colorado,08,099,12201
Pueblo County,Colorado,08,101,153307
Rio Blanco County,Colorado,08,103,6412
Rio Grande County,Colorado,08,105,11597
Routt County,Colorado,08,107,22834
Saguache County,Colorado,08,109,6085
San Miguel County,Colorado,08,113,7343
Sedgwick County,Colorado,08,115,2343
Summit County,Colorado,08,117,27402
Teller County,Colorado,08,119,22734
Washington County,Colorado,08,121,4572
Yuma County,Colorado,08,125,9824
Adams County,Colorado,08,001,429513
Arapahoe County,Colorado,08,005,557950
Boulder County,Colorado,08,013,284040
Broomfield County,Colorado,08,014,54420
Denver County,Colorado,08,031,579281
Jefferson County,Colorado,08,059,524360
Weld County,Colorado,08,123,242360
Fairfield County,Connecticut,09,001,892860
Hartford County,Connecticut,09,003,864794
Litchfield County,Connecticut,09,005,186807
Middlesex County,Connecticut,09,007,159463
New Haven County,Connecticut,09,009,831999
New London County,Connecticut,09,011,260237
Tolland County,Connecticut,09,013,138089
Windham County,Connecticut,09,015,113942
Kent County,Delaware,10,001,155143
New Castle County,Delaware,10,003,519750
Sussex County,Delaware,10,005,190851
Alachua County,Florida,12,001,230580
Baker County,Florida,12,003,24877
Bay County,Florida,12,005,163101
Bradford County,Florida,12,007,24309
Brevard County,Florida,12,009,533759
Broward County,Florida,12,011,1725510
Calhoun County,Florida,12,013,12442
Charlotte County,Florida,12,015,157200
Citrus County,Florida,12,017,138733
Clay County,Florida,12,019,187082
Collier County,Florida,12,021,316859
Columbia County,Florida,12,023,63733
Miami-Dade County,Florida,12,086,2421799
DeSoto County,Florida,12,027,32399
Dixie County,Florida,12,029,15774
Duval County,Florida,12,031,843808
Escambia County,Florida,12,033,276207
Flagler County,Florida,12,035,93585
Franklin County,Florida,12,037,9726
Gadsden County,Florida,12,039,44013
Gilchrist County,Florida,12,041,15635
Glades County,Florida,12,043,11669
Gulf County,Florida,12,045,13468
Hamilton County,Florida,12,047,11614
Hardee County,Florida,12,049,25916
Hendry County,Florida,12,051,36762
Hernando County,Florida,12,053,169737
Highlands County,Florida,12,055,97387
Hillsborough County,Florida,12,057,1201240
Holmes County,Florida,12,059,18192
Indian River County,Florida,12,061,135346
Jackson County,Florida,12,063,42019
Jefferson County,Florida,12,065,13217
Lafayette County,Florida,12,067,7948
Lake County,Florida,12,069,291989
Lee County,Florida,12,071,607921
Leon County,Florida,12,073,258314
Levy County,Florida,12,075,39825
Liberty County,Florida,12,077,6715
Madison County,Florida,12,079,17123
Manatee County,Florida,12,081,316824
Marion County,Florida,12,083,321817
Martin County,Florida,12,085,142450
Monroe County,Florida,12,087,71816
Nassau County,Florida,12,089,71574
Okaloosa County,Florida,12,091,176982
Okeechobee County,Florida,12,093,38157
Orange County,Florida,12,095,1111228
Osceola County,Florida,12,097,262409
Palm Beach County,Florida,12,099,1290963
Pasco County,Florida,12,101,455995
Pinellas County,Florida,12,103,900399
Polk County,Florida,12,105,584318
Putnam County,Florida,12,107,72967
Saint Johns County,Florida,12,109,183671
Saint Lucie County,Florida,12,111,271250
Santa Rosa County,Florida,12,113,146588
Sarasota County,Florida,12,115,372765
Seminole County,Florida,12,117,416345
Sumter County,Florida,12,119,80966
Suwannee County,Florida,12,121,40131
Taylor County,Florida,12,123,19982
Union County,Florida,12,125,11381
Volusia County,Florida,12,127,482467
Wakulla County,Florida,12,129,27014
Walton County,Florida,12,131,52003
Washington County,Florida,12,133,22516
Appling County,Georgia,13,001,17863
Atkinson County,Georgia,13,003,8332
Bacon County,Georgia,13,005,10664
Baker County,Georgia,13,007,3454
Baldwin County,Georgia,13,009,40816
Banks County,Georgia,13,011,18047
Barrow County,Georgia,13,013,67533
Bartow County,Georgia,13,015,97661
Ben Hill County,Georgia,13,017,17296
Berrien County,Georgia,13,019,18527
Bibb County,Georgia,13,021,148502
Bleckley County,Georgia,13,023,11803
Brantley County,Georgia,13,025,17607
Brooks County,Georgia,13,027,16000
Bryan County,Georgia,13,029,29624
Bulloch County,Georgia,13,031,64218
Burke County,Georgia,13,033,22974
Butts County,Georgia,13,035,21531
Calhoun County,Georgia,13,037,5149
Camden County,Georgia,13,039,48253
Candler County,Georgia,13,043,10521
Carroll County,Georgia,13,045,106548
Catoosa County,Georgia,13,047,63005
Charlton County,Georgia,13,049,11190
Chatham County,Georgia,13,051,253064
Chattahoochee County,Georgia,13,053,8584
Chattooga County,Georgia,13,055,24308
Cherokee County,Georgia,13,057,210059
Clarke County,Georgia,13,059,104697
Clay County,Georgia,13,061,3131
Clayton County,Georgia,13,063,255005
Clinch County,Georgia,13,065,6590
Cobb County,Georgia,13,067,676315
Coffee County,Georgia,13,069,38933
Colquitt County,Georgia,13,071,44120
Columbia County,Georgia,13,073,120579
Cook County,Georgia,13,075,16827
Coweta County,Georgia,13,077,123461
Crawford County,Georgia,13,079,12627
Crisp County,Georgia,13,081,22662
Dade County,Georgia,13,083,15549
Dawson County,Georgia,13,085,21830
Decatur County,Georgia,13,087,26594
DeKalb County,Georgia,13,089,674565
Dodge County,Georgia,13,091,19452
Dooly County,Georgia,13,093,12282
Dougherty County,Georgia,13,095,91559
Douglas County,Georgia,13,097,128738
Early County,Georgia,13,099,10765
Echols County,Georgia,13,101,4016
Effingham County,Georgia,13,103,51123
Elbert County,Georgia,13,105,20014
Emanuel County,Georgia,13,107,21458
Evans County,Georgia,13,109,10355
Fannin County,Georgia,13,111,23205
Fayette County,Georgia,13,113,105228
Floyd County,Georgia,13,115,91710
Forsyth County,Georgia,13,117,170153
Franklin County,Georgia,13,119,21410
Fulton County,Georgia,13,121,878568
Gilmer County,Georgia,13,123,27846
Glascock County,Georgia,13,125,2976
Glynn County,Georgia,13,127,77633
Gordon County,Georgia,13,129,54099
Grady County,Georgia,13,131,24643
Greene County,Georgia,13,133,15743
Gwinnett County,Georgia,13,135,788511
Habersham County,Georgia,13,137,40140
Hall County,Georgia,13,139,173823
Hancock County,Georgia,13,141,7917
Haralson County,Georgia,13,143,28187
Harris County,Georgia,13,145,31045
Hart County,Georgia,13,147,24419
Heard County,Georgia,13,149,11632
Henry County,Georgia,13,151,197657
Houston County,Georgia,13,153,135608
Irwin County,Georgia,13,155,9062
Jackson County,Georgia,13,157,59010
Jasper County,Georgia,13,159,13658
Jeff Davis County,Georgia,13,161,14645
Jefferson County,Georgia,13,163,16322
Jenkins County,Georgia,13,165,8223
Johnson County,Georgia,13,167,8290
Jones County,Georgia,13,169,28203
Lamar County,Georgia,13,171,17058
Lanier County,Georgia,13,173,9382
Laurens County,Georgia,13,175,46981
Lee County,Georgia,13,177,27037
Liberty County,Georgia,13,179,61917
Lincoln County,Georgia,13,181,7967
Long County,Georgia,13,183,13371
Lowndes County,Georgia,13,185,102160
Lumpkin County,Georgia,13,187,27620
McDuffie County,Georgia,13,189,21387
McIntosh County,Georgia,13,191,13757
Macon County,Georgia,13,193,13182
Madison County,Georgia,13,195,27708
Marion County,Georgia,13,197,8427
Meriwether County,Georgia,13,199,21634
Miller County,Georgia,13,201,5976
Mitchell County,Georgia,13,205,21596
Monroe County,Georgia,13,207,24983
