County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54558.0
Baldwin County,Alabama,01,003,200313.0
Barbour County,Alabama,01,005,23283.0
Bibb County,Alabama,01,007,20555.0
Blount County,Alabama,01,009,57051.0
Bullock County,Alabama,01,011,10023.0
Butler County,Alabama,01,013,19819.0
Calhoun County,Alabama,01,015,112354.0
Chambers County,Alabama,01,017,33380.0
Cherokee County,Alabama,01,019,25424.0
Chilton County,Alabama,01,021,43292.0
Choctaw County,Alabama,01,023,12992.0
Clarke County,Alabama,01,025,24171.0
Clay County,Alabama,01,027,13049.0
Cleburne County,Alabama,01,029,14666.0
Coffee County,Alabama,01,031,50375.0
Colbert County,Alabama,01,033,53948.0
Conecuh County,Alabama,01,035,12550.0
Coosa County,Alabama,01,037,10535.0
Covington County,Alabama,01,039,36796.0
Crenshaw County,Alabama,01,041,13632.0
Cullman County,Alabama,01,043,80455.0
Dale County,Alabama,01,045,48099.0
Dallas County,Alabama,01,047,40121.0
DeKalb County,Alabama,01,049,70307.0
Elmore County,Alabama,01,051,76133.0
Escambia County,Alabama,01,053,34745.0
Etowah County,Alabama,01,055,101739.0
Fayette County,Alabama,01,057,16359.0
Franklin County,Alabama,01,059,31152.0
Geneva County,Alabama,01,061,26277.0
Greene County,Alabama,01,063,8480.0
Hale County,Alabama,01,065,14750.0
Henry County,Alabama,01,067,16806.0
Houston County,Alabama,01,069,103080.0
Jackson County,Alabama,01,071,51770.0
Jefferson County,Alabama,01,073,644957.0
Lamar County,Alabama,01,075,13838.0
Lauderdale County,Alabama,01,077,90333.0
Lawrence County,Alabama,01,079,32979.0
Lee County,Alabama,01,081,150569.0
Limestone County,Alabama,01,083,88648.0
Lowndes County,Alabama,01,085,10239.0
Macon County,Alabama,01,087,16938.0
Madison County,Alabama,01,089,344172.0
Marengo County,Alabama,01,091,19502.0
Marion County,Alabama,01,093,29486.0
Marshall County,Alabama,01,095,93571.0
Mobile County,Alabama,01,097,404708.0
Monroe County,Alabama,01,099,21485.0
Montgomery County,Alabama,01,101,220184.0
Morgan County,Alabama,01,103,116974.0
Perry County,Alabama,01,105,8844.0
Pickens County,Alabama,01,107,18972.0
Pike County,Alabama,01,109,31299.0
Randolph County,Alabama,01,111,21983.0
