County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54765.0
Baldwin County,Alabama,01,003,204929.0
Barbour County,Alabama,01,005,22856.0
Bibb County,Alabama,01,007,20468.0
Blount County,Alabama,01,009,57082.0
Bullock County,Alabama,01,011,9909.0
Butler County,Alabama,01,013,19707.0
Calhoun County,Alabama,01,015,111981.0
Chambers County,Alabama,01,017,33274.0
Cherokee County,Alabama,01,019,25501.0
Chilton County,Alabama,01,021,43260.0
Choctaw County,Alabama,01,023,12875.0
Clarke County,Alabama,01,025,23963.0
Clay County,Alabama,01,027,13040.0
Cleburne County,Alabama,01,029,14659.0
Coffee County,Alabama,01,031,50502.0
Colbert County,Alabama,01,033,53991.0
Conecuh County,Alabama,01,035,12381.0
Coosa County,Alabama,01,037,10452.0
Covington County,Alabama,01,039,36586.0
Crenshaw County,Alabama,01,041,13661.0
Cullman County,Alabama,01,043,81016.0
Dale County,Alabama,01,045,47854.0
Dallas County,Alabama,01,047,39394.0
DeKalb County,Alabama,01,049,70215.0
Elmore County,Alabama,01,051,76683.0
Escambia County,Alabama,01,053,34383.0
Etowah County,Alabama,01,055,101536.0
Fayette County,Alabama,01,057,16251.0
Franklin County,Alabama,01,059,31129.0
Geneva County,Alabama,01,061,26177.0
Greene County,Alabama,01,063,8344.0
Hale County,Alabama,01,065,14648.0
Henry County,Alabama,01,067,16770.0
Houston County,Alabama,01,069,103287.0
Jackson County,Alabama,01,071,51548.0
Jefferson County,Alabama,01,073,645154.0
Lamar County,Alabama,01,075,13747.0
Lauderdale County,Alabama,01,077,90283.0
Lawrence County,Alabama,01,079,32879.0
Lee County,Alabama,01,081,153342.0
Limestone County,Alabama,01,083,90098.0
Lowndes County,Alabama,01,085,10099.0
Macon County,Alabama,01,087,16688.0
Madison County,Alabama,01,089,348232.0
Marengo County,Alabama,01,091,19249.0
Marion County,Alabama,01,093,29463.0
Marshall County,Alabama,01,095,93847.0
Mobile County,Alabama,01,097,405635.0
Monroe County,Alabama,01,099,21226.0
Montgomery County,Alabama,01,101,219767.0
Morgan County,Alabama,01,103,117109.0
Perry County,Alabama,01,105,8661.0
Pickens County,Alabama,01,107,18862.0
Pike County,Alabama,01,109,31488.0
Randolph County,Alabama,01,111,22073.0
Russell County,Alabama,01,113,57108.0
Saint Clair County,Alabama,01,115,85339.0
Shelby County,Alabama,01,117,207934.0
Sumter County,Alabama,01,119,12102.0
Talladega County,Alabama,01,121,77204.0
Tallapoosa County,Alabama,01,123,40078.0
Tuscaloosa County,Alabama,01,125,195629.0
Walker County,Alabama,01,127,63468.0
Washington County,Alabama,01,129,16382.0
Wilcox County,Alabama,01,131,10476.0
Winston County,Alabama,01,133,23509.0
Anchorage Municipality,Alaska,02,020,288946.0
Bethel Census Area,Alaska,02,050,17542.0
Bristol Bay Borough,Alaska,02,060,863.0
