County,State,State_FIPS,County_FIPS,people_below_poverty
Lee County,Arkansas,05,077,2447.0
Lincoln County,Arkansas,05,079,2158.0
Little River County,Arkansas,05,081,2384.0
Logan County,Arkansas,05,083,4071.0
Lonoke County,Arkansas,05,085,8535.0
Madison County,Arkansas,05,087,2823.0
Marion County,Arkansas,05,089,3220.0
Miller County,Arkansas,05,091,8749.0
Mississippi County,Arkansas,05,093,11057.0
Monroe County,Arkansas,05,095,2139.0
Montgomery County,Arkansas,05,097,1677.0
Nevada County,Arkansas,05,099,2615.0
Newton County,Arkansas,05,101,1713.0
Ouachita County,Arkansas,05,103,5970.0
Perry County,Arkansas,05,105,1804.0
Phillips County,Arkansas,05,107,6588.0
Pike County,Arkansas,05,109,1997.0
Poinsett County,Arkansas,05,111,5238.0
Polk County,Arkansas,05,113,5069.0
Pope County,Arkansas,05,115,11620.0
Prairie County,Arkansas,05,117,1617.0
Pulaski County,Arkansas,05,119,69467.0
Randolph County,Arkansas,05,121,3357.0
Saint Francis County,Arkansas,05,123,5761.0
Saline County,Arkansas,05,125,9706.0
Scott County,Arkansas,05,127,2204.0
Searcy County,Arkansas,05,129,1619.0
Sebastian County,Arkansas,05,131,27745.0
Sevier County,Arkansas,05,133,3804.0
Sharp County,Arkansas,05,135,3711.0
Stone County,Arkansas,05,137,2925.0
Union County,Arkansas,05,139,8220.0
Van Buren County,Arkansas,05,141,3084.0
Washington County,Arkansas,05,143,40272.0
White County,Arkansas,05,145,13201.0
Woodruff County,Arkansas,05,147,1622.0
Yell County,Arkansas,05,149,3738.0
Alameda County,California,06,001,189590.0
Alpine County,California,06,003,221.0
Amador County,California,06,005,3684.0
Butte County,California,06,007,46456.0
Calaveras County,California,06,009,5641.0
Colusa County,California,06,011,2859.0
Contra Costa County,California,06,013,111922.0
Del Norte County,California,06,015,5219.0
El Dorado County,California,06,017,17839.0
Fresno County,California,06,019,254872.0
Glenn County,California,06,021,5578.0
Humboldt County,California,06,023,27641.0
Imperial County,California,06,025,40552.0
Inyo County,California,06,027,1905.0
Kern County,California,06,029,194354.0
Kings County,California,06,031,28661.0
Lake County,California,06,033,15561.0
Lassen County,California,06,035,3558.0
Los Angeles County,California,06,037,1764081.0
Madera County,California,06,039,32043.0
Marin County,California,06,041,20445.0
Mariposa County,California,06,043,2849.0
Mendocino County,California,06,045,17366.0
Merced County,California,06,047,62661.0
Modoc County,California,06,049,1483.0
Mono County,California,06,051,1222.0
Monterey County,California,06,053,66289.0
Napa County,California,06,055,12086.0
Nevada County,California,06,057,11835.0
Orange County,California,06,059,385556.0
Placer County,California,06,061,31932.0
Plumas County,California,06,063,2346.0
Riverside County,California,06,065,376689.0
Sacramento County,California,06,067,260877.0
San Benito County,California,06,069,6224.0
San Bernardino County,California,06,071,392195.0
San Diego County,California,06,073,444024.0
