County,State,State_FIPS,County_FIPS,total_population_for_poverty
Autauga County,Alabama,01,001,54519
Baldwin County,Alabama,01,003,184725
Barbour County,Alabama,01,005,24429
Bibb County,Alabama,01,007,21491
Blount County,Alabama,01,009,57067
Bullock County,Alabama,01,011,10241
Butler County,Alabama,01,013,20310
Calhoun County,Alabama,01,015,114825
Chambers County,Alabama,01,017,33655
Cherokee County,Alabama,01,019,25547
Chilton County,Alabama,01,021,43260
Choctaw County,Alabama,01,023,13509
Clarke County,Alabama,01,025,25287
Clay County,Alabama,01,027,13392
Cleburne County,Alabama,01,029,14786
Coffee County,Alabama,01,031,49799
Colbert County,Alabama,01,033,53934
Conecuh County,Alabama,01,035,13040
Coosa County,Alabama,01,037,10912
Covington County,Alabama,01,039,37238
Crenshaw County,Alabama,01,041,13754
Cullman County,Alabama,01,043,79386
Dale County,Alabama,01,045,48659
Dallas County,Alabama,01,047,42653
DeKalb County,Alabama,01,049,70265
Elmore County,Alabama,01,051,74264
Escambia County,Alabama,01,053,35706
Etowah County,Alabama,01,055,102586
Fayette County,Alabama,01,057,16857
Franklin County,Alabama,01,059,31258
Geneva County,Alabama,01,061,26356
Greene County,Alabama,01,063,8891
Hale County,Alabama,01,065,15292
Henry County,Alabama,01,067,17080
Houston County,Alabama,01,069,101139
Jackson County,Alabama,01,071,52614
Jefferson County,Alabama,01,073,644513
Lamar County,Alabama,01,075,14247
Lauderdale County,Alabama,01,077,90685
Lawrence County,Alabama,01,079,33755
Lee County,Alabama,01,081,138866
Limestone County,Alabama,01,083,81124
Lowndes County,Alabama,01,085,10987
Macon County,Alabama,01,087,18581
Madison County,Alabama,01,089,331719
Marengo County,Alabama,01,091,20437
Marion County,Alabama,01,093,29675
Marshall County,Alabama,01,095,92577
Mobile County,Alabama,01,097,404071
Monroe County,Alabama,01,099,22562
Montgomery County,Alabama,01,101,220975
Morgan County,Alabama,01,103,117937
Perry County,Alabama,01,105,9648
Pickens County,Alabama,01,107,19189
Pike County,Alabama,01,109,31036
Randolph County,Alabama,01,111,22218
Russell County,Alabama,01,113,54832
Saint Clair County,Alabama,01,115,82267
Shelby County,Alabama,01,117,195713
Sumter County,Alabama,01,119,13041
Talladega County,Alabama,01,121,78419
Tallapoosa County,Alabama,01,123,40816
Tuscaloosa County,Alabama,01,125,186884
Walker County,Alabama,01,127,65476
Washington County,Alabama,01,129,17019
Wilcox County,Alabama,01,131,11223
Winston County,Alabama,01,133,23758
Anchorage Municipality,Alaska,02,020,288613
Bethel Census Area,Alaska,02,050,17015
Bristol Bay Borough,Alaska,02,060,927
Fairbanks North Star Borough,Alaska,02,090,94849
