County,State,State_FIPS,County_FIPS,per_capita_income,asian_population,black_population,age_18_and_under_percentage,median_home_value,total_population_race,native_american_population,gini_index,median_household_income,housing_cost_burden,age_60_and_over,total_population,white_population,age_15_to_44_percentage,median_gross_rent
Denali Borough,Alaska,2,68,34365.0,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,22718.0,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,36091.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,39453.0,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,32198.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,37590.0,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,36112.0,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,27080.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,32286.0,,,,,,,,,,,,,,
Apache County,Arizona,4,1,15128.0,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,26819.0,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,27339.0,,,,,,,,,,,,,,
Gila County,Arizona,4,7,24251.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,18683.0,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,25780.0,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,33279.0,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,26166.0,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,18935.0,,,,,,,,,,,,,,
Pima County,Arizona,4,19,29707.0,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,24959.0,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,21480.0,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,30341.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,22879.0,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,21758.0,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,26386.0,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,23391.0,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,26863.0,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,34442.0,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,24727.0,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,22945.0,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,23688.0,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,25295.0,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,20232.0,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,21337.0,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,22505.0,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,27227.0,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,24225.0,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,21189.0,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,25158.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,26948.0,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,24547.0,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,23172.0,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,25380.0,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,20517.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,19235.0,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,25543.0,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,26913.0,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,20480.0,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,19697.0,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,27171.0,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,28153.0,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,23494.0,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,21521.0,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,21866.0,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,24481.0,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,23733.0,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,21164.0,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,20295.0,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,21472.0,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,21010.0,,,,,,,,,,,,,,
