County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,age_60_and_over,total_population,white_population,median_household_income,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population
Hoonah-Angoon Census Area,Alaska,2,105,88.8,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,90.2,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,84.4,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,80.1,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,82.2,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,79.4,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,81.4,,,,,,,,,,,,,,
Apache County,Arizona,4,1,73.9,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,79.9,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,80.1,,,,,,,,,,,,,,
Gila County,Arizona,4,7,80.8,,,,,,,,,,,,,,
Graham County,Arizona,4,9,76.4,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,73.5,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,77.0,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,83.7,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,74.9,,,,,,,,,,,,,,
Pima County,Arizona,4,19,79.9,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,79.0,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,73.1,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,84.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,84.4,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,76.7,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,79.4,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,78.0,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,82.8,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,74.7,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,79.3,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,76.5,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,81.9,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,80.1,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,79.6,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,82.0,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,80.5,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,82.1,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,79.0,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,79.5,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,78.3,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,76.4,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,77.1,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,73.2,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,77.0,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,78.4,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,77.6,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,78.7,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,78.0,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,79.2,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,81.9,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,80.4,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,79.7,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,78.1,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,75.5,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,81.2,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,77.4,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,77.9,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,83.2,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,81.4,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,78.0,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,77.9,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,80.7,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,79.0,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,84.4,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,86.8,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,75.4,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,80.0,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,75.1,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,78.3,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,84.6,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,77.4,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,74.9,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,81.4,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,80.7,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,75.3,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,81.2,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,78.6,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,81.2,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,73.5,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,79.2,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,77.4,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,78.3,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,79.2,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,81.4,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,77.6,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,78.9,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,81.4,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,78.0,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,77.3,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,79.5,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,77.4,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,73.4,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,81.2,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,81.3,,,,,,,,,,,,,,
Union County,Arkansas,5,139,77.1,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,82.1,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,76.9,,,,,,,,,,,,,,
White County,Arkansas,5,145,77.9,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,81.4,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,77.2,,,,,,,,,,,,,,
Alameda County,California,6,1,80.1,,,,,,,,,,,,,,
Alpine County,California,6,3,79.8,,,,,,,,,,,,,,
Amador County,California,6,5,87.4,,,,,,,,,,,,,,
Butte County,California,6,7,81.4,,,,,,,,,,,,,,
Calaveras County,California,6,9,84.3,,,,,,,,,,,,,,
Colusa County,California,6,11,74.7,,,,,,,,,,,,,,
Contra Costa County,California,6,13,78.3,,,,,,,,,,,,,,
Del Norte County,California,6,15,82.1,,,,,,,,,,,,,,
El Dorado County,California,6,17,81.3,,,,,,,,,,,,,,
Fresno County,California,6,19,73.4,,,,,,,,,,,,,,
Glenn County,California,6,21,75.5,,,,,,,,,,,,,,
Humboldt County,California,6,23,82.5,,,,,,,,,,,,,,
Imperial County,California,6,25,74.6,,,,,,,,,,,,,,
Inyo County,California,6,27,81.7,,,,,,,,,,,,,,
Kern County,California,6,29,74.0,,,,,,,,,,,,,,
Kings County,California,6,31,77.2,,,,,,,,,,,,,,
Lake County,California,6,33,81.5,,,,,,,,,,,,,,
Lassen County,California,6,35,88.3,,,,,,,,,,,,,,
Los Angeles County,California,6,37,79.2,,,,,,,,,,,,,,
Madera County,California,6,39,74.2,,,,,,,,,,,,,,
Marin County,California,6,41,80.9,,,,,,,,,,,,,,
Mariposa County,California,6,43,84.5,,,,,,,,,,,,,,
Mendocino County,California,6,45,80.4,,,,,,,,,,,,,,
Merced County,California,6,47,72.9,,,,,,,,,,,,,,
Modoc County,California,6,49,81.5,,,,,,,,,,,,,,
Mono County,California,6,51,84.1,,,,,,,,,,,,,,
Monterey County,California,6,53,76.1,,,,,,,,,,,,,,
Napa County,California,6,55,80.3,,,,,,,,,,,,,,
Nevada County,California,6,57,83.9,,,,,,,,,,,,,,
Orange County,California,6,59,79.1,,,,,,,,,,,,,,
Placer County,California,6,61,78.9,,,,,,,,,,,,,,
Plumas County,California,6,63,83.9,,,,,,,,,,,,,,
Riverside County,California,6,65,76.1,,,,,,,,,,,,,,
Sacramento County,California,6,67,77.4,,,,,,,,,,,,,,
San Benito County,California,6,69,75.8,,,,,,,,,,,,,,
San Bernardino County,California,6,71,75.3,,,,,,,,,,,,,,
San Diego County,California,6,73,79.8,,,,,,,,,,,,,,
San Francisco County,California,6,75,87.8,,,,,,,,,,,,,,
San Joaquin County,California,6,77,74.6,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,83.9,,,,,,,,,,,,,,
San Mateo County,California,6,81,80.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,79.7,,,,,,,,,,,,,,
Santa Clara County,California,6,85,79.1,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,81.7,,,,,,,,,,,,,,
Shasta County,California,6,89,80.2,,,,,,,,,,,,,,
Sierra County,California,6,91,87.0,,,,,,,,,,,,,,
Siskiyou County,California,6,93,81.7,,,,,,,,,,,,,,
Solano County,California,6,95,79.2,,,,,,,,,,,,,,
Sonoma County,California,6,97,80.9,,,,,,,,,,,,,,
Stanislaus County,California,6,99,75.0,,,,,,,,,,,,,,
Sutter County,California,6,101,75.4,,,,,,,,,,,,,,
Tehama County,California,6,103,77.6,,,,,,,,,,,,,,
Trinity County,California,6,105,86.2,,,,,,,,,,,,,,
Tulare County,California,6,107,71.2,,,,,,,,,,,,,,
Tuolumne County,California,6,109,85.8,,,,,,,,,,,,,,
Ventura County,California,6,111,78.1,,,,,,,,,,,,,,
Yolo County,California,6,113,80.0,,,,,,,,,,,,,,
Yuba County,California,6,115,74.2,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,77.8,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,83.8,,,,,,,,,,,,,,
Baca County,Colorado,8,9,82.0,,,,,,,,,,,,,,
Bent County,Colorado,8,11,89.7,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,86.4,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,73.6,,,,,,,,,,,,,,
