County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,housing_cost_burden,age_60_and_over,total_population,white_population,median_household_income,native_american_population,gini_index,age_18_and_under_percentage,black_population,median_home_value,total_population_race,per_capita_income,asian_population
Winneshiek County,Iowa,19,191,,,,,20789.0,,,,,,,,,,
Woodbury County,Iowa,19,193,,,,,102426.0,,,,,,,,,,
Worth County,Iowa,19,195,,,,,7562.0,,,,,,,,,,
Wright County,Iowa,19,197,,,,,12891.0,,,,,,,,,,
Allen County,Kansas,20,1,,,,,12951.0,,,,,,,,,,
Anderson County,Kansas,20,3,,,,,7858.0,,,,,,,,,,
Atchison County,Kansas,20,5,,,,,16557.0,,,,,,,,,,
Barber County,Kansas,20,7,,,,,4831.0,,,,,,,,,,
Barton County,Kansas,20,9,,,,,27214.0,,,,,,,,,,
Bourbon County,Kansas,20,11,,,,,14751.0,,,,,,,,,,
Brown County,Kansas,20,13,,,,,9810.0,,,,,,,,,,
Butler County,Kansas,20,15,,,,,66264.0,,,,,,,,,,
Chase County,Kansas,20,17,,,,,2694.0,,,,,,,,,,
Chautauqua County,Kansas,20,19,,,,,3470.0,,,,,,,,,,
Cherokee County,Kansas,20,21,,,,,20737.0,,,,,,,,,,
Cheyenne County,Kansas,20,23,,,,,2679.0,,,,,,,,,,
Clark County,Kansas,20,25,,,,,2131.0,,,,,,,,,,
Clay County,Kansas,20,27,,,,,8346.0,,,,,,,,,,
Cloud County,Kansas,20,29,,,,,9302.0,,,,,,,,,,
Coffey County,Kansas,20,31,,,,,8433.0,,,,,,,,,,
Comanche County,Kansas,20,33,,,,,1898.0,,,,,,,,,,
Cowley County,Kansas,20,35,,,,,35977.0,,,,,,,,,,
Crawford County,Kansas,20,37,,,,,39281.0,,,,,,,,,,
Decatur County,Kansas,20,39,,,,,2886.0,,,,,,,,,,
Dickinson County,Kansas,20,41,,,,,19384.0,,,,,,,,,,
Doniphan County,Kansas,20,43,,,,,7793.0,,,,,,,,,,
Douglas County,Kansas,20,45,,,,,116352.0,,,,,,,,,,
Edwards County,Kansas,20,47,,,,,2975.0,,,,,,,,,,
Elk County,Kansas,20,49,,,,,2635.0,,,,,,,,,,
Ellis County,Kansas,20,51,,,,,29032.0,,,,,,,,,,
Ellsworth County,Kansas,20,53,,,,,6375.0,,,,,,,,,,
Finney County,Kansas,20,55,,,,,36983.0,,,,,,,,,,
Ford County,Kansas,20,57,,,,,34492.0,,,,,,,,,,
Franklin County,Kansas,20,59,,,,,25663.0,,,,,,,,,,
Geary County,Kansas,20,61,,,,,36818.0,,,,,,,,,,
Gove County,Kansas,20,63,,,,,2682.0,,,,,,,,,,
Graham County,Kansas,20,65,,,,,2577.0,,,,,,,,,,
Grant County,Kansas,20,67,,,,,7748.0,,,,,,,,,,
Gray County,Kansas,20,69,,,,,6037.0,,,,,,,,,,
Greeley County,Kansas,20,71,,,,,1235.0,,,,,,,,,,
Greenwood County,Kansas,20,73,,,,,6304.0,,,,,,,,,,
Hamilton County,Kansas,20,75,,,,,2567.0,,,,,,,,,,
Harper County,Kansas,20,77,,,,,5798.0,,,,,,,,,,
Harvey County,Kansas,20,79,,,,,34814.0,,,,,,,,,,
Haskell County,Kansas,20,81,,,,,4087.0,,,,,,,,,,
Hodgeman County,Kansas,20,83,,,,,1919.0,,,,,,,,,,
Jackson County,Kansas,20,85,,,,,13365.0,,,,,,,,,,
Jefferson County,Kansas,20,87,,,,,18880.0,,,,,,,,,,
Jewell County,Kansas,20,89,,,,,3003.0,,,,,,,,,,
Johnson County,Kansas,20,91,,,,,572428.0,,,,,,,,,,
Kearny County,Kansas,20,93,,,,,3943.0,,,,,,,,,,
Kingman County,Kansas,20,95,,,,,7697.0,,,,,,,,,,
Kiowa County,Kansas,20,97,,,,,2520.0,,,,,,,,,,
Labette County,Kansas,20,99,,,,,20833.0,,,,,,,,,,
Lane County,Kansas,20,101,,,,,1687.0,,,,,,,,,,
Leavenworth County,Kansas,20,103,,,,,78785.0,,,,,,,,,,
Lincoln County,Kansas,20,105,,,,,3134.0,,,,,,,,,,
Linn County,Kansas,20,107,,,,,9524.0,,,,,,,,,,
Logan County,Kansas,20,109,,,,,2800.0,,,,,,,,,,
Lyon County,Kansas,20,111,,,,,33401.0,,,,,,,,,,
McPherson County,Kansas,20,113,,,,,29164.0,,,,,,,,,,
Marion County,Kansas,20,115,,,,,12213.0,,,,,,,,,,
Marshall County,Kansas,20,117,,,,,9963.0,,,,,,,,,,
Meade County,Kansas,20,119,,,,,4310.0,,,,,,,,,,
Miami County,Kansas,20,121,,,,,32787.0,,,,,,,,,,
Mitchell County,Kansas,20,123,,,,,6299.0,,,,,,,,,,
Montgomery County,Kansas,20,125,,,,,33765.0,,,,,,,,,,
Morris County,Kansas,20,127,,,,,5694.0,,,,,,,,,,
Morton County,Kansas,20,129,,,,,3033.0,,,,,,,,,,
Nemaha County,Kansas,20,131,,,,,10177.0,,,,,,,,,,
Neosho County,Kansas,20,133,,,,,16358.0,,,,,,,,,,
Ness County,Kansas,20,135,,,,,3047.0,,,,,,,,,,
Norton County,Kansas,20,137,,,,,5558.0,,,,,,,,,,
Osage County,Kansas,20,139,,,,,16001.0,,,,,,,,,,
Osborne County,Kansas,20,141,,,,,3746.0,,,,,,,,,,
Ottawa County,Kansas,20,143,,,,,6004.0,,,,,,,,,,
Pawnee County,Kansas,20,145,,,,,6840.0,,,,,,,,,,
Phillips County,Kansas,20,147,,,,,5484.0,,,,,,,,,,
Pottawatomie County,Kansas,20,149,,,,,22920.0,,,,,,,,,,
Pratt County,Kansas,20,151,,,,,9729.0,,,,,,,,,,
Rawlins County,Kansas,20,153,,,,,2557.0,,,,,,,,,,
Reno County,Kansas,20,155,,,,,63803.0,,,,,,,,,,
Republic County,Kansas,20,157,,,,,4768.0,,,,,,,,,,
Rice County,Kansas,20,159,,,,,9949.0,,,,,,,,,,
Riley County,Kansas,20,161,,,,,75026.0,,,,,,,,,,
Rooks County,Kansas,20,163,,,,,5160.0,,,,,,,,,,
Rush County,Kansas,20,165,,,,,3144.0,,,,,,,,,,
Russell County,Kansas,20,167,,,,,6988.0,,,,,,,,,,
Saline County,Kansas,20,169,,,,,55547.0,,,,,,,,,,
Scott County,Kansas,20,171,,,,,4958.0,,,,,,,,,,
Sedgwick County,Kansas,20,173,,,,,508221.0,,,,,,,,,,
Seward County,Kansas,20,175,,,,,23185.0,,,,,,,,,,
Shawnee County,Kansas,20,177,,,,,178567.0,,,,,,,,,,
Sheridan County,Kansas,20,179,,,,,2522.0,,,,,,,,,,
Sherman County,Kansas,20,181,,,,,6038.0,,,,,,,,,,
Smith County,Kansas,20,183,,,,,3701.0,,,,,,,,,,
Stafford County,Kansas,20,185,,,,,4284.0,,,,,,,,,,
Stanton County,Kansas,20,187,,,,,2115.0,,,,,,,,,,
Stevens County,Kansas,20,189,,,,,5738.0,,,,,,,,,,
Sumner County,Kansas,20,191,,,,,23509.0,,,,,,,,,,
Thomas County,Kansas,20,193,,,,,7909.0,,,,,,,,,,
Trego County,Kansas,20,195,,,,,2927.0,,,,,,,,,,
Wabaunsee County,Kansas,20,197,,,,,6960.0,,,,,,,,,,
Wallace County,Kansas,20,199,,,,,1584.0,,,,,,,,,,
Washington County,Kansas,20,201,,,,,5613.0,,,,,,,,,,
Wichita County,Kansas,20,203,,,,,2168.0,,,,,,,,,,
Wilson County,Kansas,20,205,,,,,8956.0,,,,,,,,,,
Woodson County,Kansas,20,207,,,,,3186.0,,,,,,,,,,
Wyandotte County,Kansas,20,209,,,,,161777.0,,,,,,,,,,
Adair County,Kentucky,21,1,,,,,19156.0,,,,,,,,,,
Allen County,Kentucky,21,3,,,,,20421.0,,,,,,,,,,
Anderson County,Kentucky,21,5,,,,,21867.0,,,,,,,,,,
Ballard County,Kentucky,21,7,,,,,8216.0,,,,,,,,,,
Barren County,Kentucky,21,9,,,,,43287.0,,,,,,,,,,
Bath County,Kentucky,21,11,,,,,12113.0,,,,,,,,,,
Bell County,Kentucky,21,13,,,,,27676.0,,,,,,,,,,
Boone County,Kentucky,21,15,,,,,125656.0,,,,,,,,,,
Bourbon County,Kentucky,21,17,,,,,20004.0,,,,,,,,,,
Boyd County,Kentucky,21,19,,,,,48716.0,,,,,,,,,,
Boyle County,Kentucky,21,21,,,,,29650.0,,,,,,,,,,
Bracken County,Kentucky,21,23,,,,,8404.0,,,,,,,,,,
Breathitt County,Kentucky,21,25,,,,,13476.0,,,,,,,,,,
Breckinridge County,Kentucky,21,27,,,,,20000.0,,,,,,,,,,
Bullitt County,Kentucky,21,29,,,,,77727.0,,,,,,,,,,
Butler County,Kentucky,21,31,,,,,12828.0,,,,,,,,,,
Caldwell County,Kentucky,21,33,,,,,12758.0,,,,,,,,,,
Calloway County,Kentucky,21,35,,,,,38302.0,,,,,,,,,,
Campbell County,Kentucky,21,37,,,,,91456.0,,,,,,,,,,
Carlisle County,Kentucky,21,39,,,,,4954.0,,,,,,,,,,
Carroll County,Kentucky,21,41,,,,,10776.0,,,,,,,,,,
Carter County,Kentucky,21,43,,,,,27292.0,,,,,,,,,,
Casey County,Kentucky,21,45,,,,,15928.0,,,,,,,,,,
Christian County,Kentucky,21,47,,,,,73936.0,,,,,,,,,,
Clark County,Kentucky,21,49,,,,,35706.0,,,,,,,,,,
Clay County,Kentucky,21,51,,,,,21160.0,,,,,,,,,,
Clinton County,Kentucky,21,53,,,,,10172.0,,,,,,,,,,
Crittenden County,Kentucky,21,55,,,,,9211.0,,,,,,,,,,
Cumberland County,Kentucky,21,57,,,,,6780.0,,,,,,,,,,
Daviess County,Kentucky,21,59,,,,,98724.0,,,,,,,,,,
Edmonson County,Kentucky,21,61,,,,,12086.0,,,,,,,,,,
Elliott County,Kentucky,21,63,,,,,7661.0,,,,,,,,,,
Estill County,Kentucky,21,65,,,,,14406.0,,,,,,,,,,
Fayette County,Kentucky,21,67,,,,,311529.0,,,,,,,,,,
Fleming County,Kentucky,21,69,,,,,14543.0,,,,,,,,,,
Floyd County,Kentucky,21,71,,,,,38144.0,,,,,,,,,,
Franklin County,Kentucky,21,73,,,,,49982.0,,,,,,,,,,
Fulton County,Kentucky,21,75,,,,,6323.0,,,,,,,,,,
Gallatin County,Kentucky,21,77,,,,,8543.0,,,,,,,,,,
Garrard County,Kentucky,21,79,,,,,17051.0,,,,,,,,,,
Grant County,Kentucky,21,81,,,,,24705.0,,,,,,,,,,
Graves County,Kentucky,21,83,,,,,37379.0,,,,,,,,,,
Grayson County,Kentucky,21,85,,,,,26092.0,,,,,,,,,,
Green County,Kentucky,21,87,,,,,11123.0,,,,,,,,,,
Greenup County,Kentucky,21,89,,,,,36255.0,,,,,,,,,,
Hancock County,Kentucky,21,91,,,,,8716.0,,,,,,,,,,
Hardin County,Kentucky,21,93,,,,,107573.0,,,,,,,,,,
Harlan County,Kentucky,21,95,,,,,28031.0,,,,,,,,,,
Harrison County,Kentucky,21,97,,,,,18629.0,,,,,,,,,,
Hart County,Kentucky,21,99,,,,,18510.0,,,,,,,,,,
Henderson County,Kentucky,21,101,,,,,46362.0,,,,,,,,,,
Henry County,Kentucky,21,103,,,,,15528.0,,,,,,,,,,
Hickman County,Kentucky,21,105,,,,,4691.0,,,,,,,,,,
Hopkins County,Kentucky,21,107,,,,,46359.0,,,,,,,,,,
Jackson County,Kentucky,21,109,,,,,13357.0,,,,,,,,,,
Jefferson County,Kentucky,21,111,,,,,759724.0,,,,,,,,,,
Jessamine County,Kentucky,21,113,,,,,51015.0,,,,,,,,,,
Johnson County,Kentucky,21,115,,,,,23280.0,,,,,,,,,,
Kenton County,Kentucky,21,117,,,,,163393.0,,,,,,,,,,
Knott County,Kentucky,21,119,,,,,15884.0,,,,,,,,,,
Knox County,Kentucky,21,121,,,,,31740.0,,,,,,,,,,
Larue County,Kentucky,21,123,,,,,14127.0,,,,,,,,,,
Laurel County,Kentucky,21,125,,,,,59950.0,,,,,,,,,,
Lawrence County,Kentucky,21,127,,,,,15870.0,,,,,,,,,,
Lee County,Kentucky,21,129,,,,,6896.0,,,,,,,,,,
Leslie County,Kentucky,21,131,,,,,10869.0,,,,,,,,,,
Letcher County,Kentucky,21,133,,,,,23382.0,,,,,,,,,,
Lewis County,Kentucky,21,135,,,,,13646.0,,,,,,,,,,
Lincoln County,Kentucky,21,137,,,,,24424.0,,,,,,,,,,
Livingston County,Kentucky,21,139,,,,,9353.0,,,,,,,,,,
Logan County,Kentucky,21,141,,,,,26757.0,,,,,,,,,,
Lyon County,Kentucky,21,143,,,,,8325.0,,,,,,,,,,
McCracken County,Kentucky,21,145,,,,,65292.0,,,,,,,,,,
McCreary County,Kentucky,21,147,,,,,17850.0,,,,,,,,,,
McLean County,Kentucky,21,149,,,,,9492.0,,,,,,,,,,
Madison County,Kentucky,21,151,,,,,87324.0,,,,,,,,,,
Magoffin County,Kentucky,21,153,,,,,12887.0,,,,,,,,,,
Marion County,Kentucky,21,155,,,,,19497.0,,,,,,,,,,
Marshall County,Kentucky,21,157,,,,,31213.0,,,,,,,,,,
Martin County,Kentucky,21,159,,,,,12478.0,,,,,,,,,,
Mason County,Kentucky,21,161,,,,,17229.0,,,,,,,,,,
Meade County,Kentucky,21,163,,,,,28751.0,,,,,,,,,,
Menifee County,Kentucky,21,165,,,,,6345.0,,,,,,,,,,
Mercer County,Kentucky,21,167,,,,,21411.0,,,,,,,,,,
Metcalfe County,Kentucky,21,169,,,,,9983.0,,,,,,,,,,
Monroe County,Kentucky,21,171,,,,,10692.0,,,,,,,,,,
Montgomery County,Kentucky,21,173,,,,,27391.0,,,,,,,,,,
Morgan County,Kentucky,21,175,,,,,13379.0,,,,,,,,,,
Muhlenberg County,Kentucky,21,177,,,,,31216.0,,,,,,,,,,
Nelson County,Kentucky,21,179,,,,,44875.0,,,,,,,,,,
Nicholas County,Kentucky,21,181,,,,,7062.0,,,,,,,,,,
Ohio County,Kentucky,21,183,,,,,24152.0,,,,,,,,,,
Oldham County,Kentucky,21,185,,,,,63876.0,,,,,,,,,,
Owen County,Kentucky,21,187,,,,,10673.0,,,,,,,,,,
Owsley County,Kentucky,21,189,,,,,4552.0,,,,,,,,,,
Pendleton County,Kentucky,21,191,,,,,14509.0,,,,,,,,,,
Perry County,Kentucky,21,193,,,,,27818.0,,,,,,,,,,
Pike County,Kentucky,21,195,,,,,62791.0,,,,,,,,,,
Powell County,Kentucky,21,197,,,,,12387.0,,,,,,,,,,
Pulaski County,Kentucky,21,199,,,,,63772.0,,,,,,,,,,
Robertson County,Kentucky,21,201,,,,,2191.0,,,,,,,,,,
Rockcastle County,Kentucky,21,203,,,,,16893.0,,,,,,,,,,
Rowan County,Kentucky,21,205,,,,,24302.0,,,,,,,,,,
Russell County,Kentucky,21,207,,,,,17684.0,,,,,,,,,,
Scott County,Kentucky,21,209,,,,,51348.0,,,,,,,,,,
Shelby County,Kentucky,21,211,,,,,44967.0,,,,,,,,,,
Simpson County,Kentucky,21,213,,,,,17856.0,,,,,,,,,,
Spencer County,Kentucky,21,215,,,,,17798.0,,,,,,,,,,
Taylor County,Kentucky,21,217,,,,,25315.0,,,,,,,,,,
Todd County,Kentucky,21,219,,,,,12465.0,,,,,,,,,,
Trigg County,Kentucky,21,221,,,,,14267.0,,,,,,,,,,
Trimble County,Kentucky,21,223,,,,,8751.0,,,,,,,,,,
Union County,Kentucky,21,225,,,,,15065.0,,,,,,,,,,
Warren County,Kentucky,21,227,,,,,121066.0,,,,,,,,,,
Washington County,Kentucky,21,229,,,,,12017.0,,,,,,,,,,
Wayne County,Kentucky,21,231,,,,,20557.0,,,,,,,,,,
Webster County,Kentucky,21,233,,,,,13331.0,,,,,,,,,,
Whitley County,Kentucky,21,235,,,,,35842.0,,,,,,,,,,
Wolfe County,Kentucky,21,237,,,,,7221.0,,,,,,,,,,
Woodford County,Kentucky,21,239,,,,,25591.0,,,,,,,,,,
Acadia Parish,Louisiana,22,1,,,,,62372.0,,,,,,,,,,
Allen Parish,Louisiana,22,3,,,,,25619.0,,,,,,,,,,
Ascension Parish,Louisiana,22,5,,,,,117009.0,,,,,,,,,,
Assumption Parish,Louisiana,22,7,,,,,22973.0,,,,,,,,,,
Avoyelles Parish,Louisiana,22,9,,,,,41252.0,,,,,,,,,,
Beauregard Parish,Louisiana,22,11,,,,,36435.0,,,,,,,,,,
Bienville Parish,Louisiana,22,13,,,,,13924.0,,,,,,,,,,
Bossier Parish,Louisiana,22,15,,,,,124720.0,,,,,,,,,,
Caddo Parish,Louisiana,22,17,,,,,253125.0,,,,,,,,,,
Calcasieu Parish,Louisiana,22,19,,,,,197233.0,,,,,,,,,,
Caldwell Parish,Louisiana,22,21,,,,,9997.0,,,,,,,,,,
Cameron Parish,Louisiana,22,23,,,,,6739.0,,,,,,,,,,
Catahoula Parish,Louisiana,22,25,,,,,10145.0,,,,,,,,,,
Claiborne Parish,Louisiana,22,27,,,,,16452.0,,,,,,,,,,
Concordia Parish,Louisiana,22,29,,,,,20288.0,,,,,,,,,,
De Soto Parish,Louisiana,22,31,,,,,27047.0,,,,,,,,,,
East Baton Rouge Parish,Louisiana,22,33,,,,,445337.0,,,,,,,,,,
East Carroll Parish,Louisiana,22,35,,,,,7419.0,,,,,,,,,,
East Feliciana Parish,Louisiana,22,37,,,,,19756.0,,,,,,,,,,
Evangeline Parish,Louisiana,22,39,,,,,33765.0,,,,,,,,,,
Franklin Parish,Louisiana,22,41,,,,,20464.0,,,,,,,,,,
Grant Parish,Louisiana,22,43,,,,,22372.0,,,,,,,,,,
Iberia Parish,Louisiana,22,45,,,,,73799.0,,,,,,,,,,
Iberville Parish,Louisiana,22,47,,,,,33159.0,,,,,,,,,,
Jackson Parish,Louisiana,22,49,,,,,15999.0,,,,,,,,,,
Jefferson Parish,Louisiana,22,51,,,,,435204.0,,,,,,,,,,
Jefferson Davis Parish,Louisiana,22,53,,,,,31399.0,,,,,,,,,,
Lafayette Parish,Louisiana,22,55,,,,,234963.0,,,,,,,,,,
Lafourche Parish,Louisiana,22,57,,,,,97688.0,,,,,,,,,,
LaSalle Parish,Louisiana,22,59,,,,,14927.0,,,,,,,,,,
Lincoln Parish,Louisiana,22,61,,,,,47480.0,,,,,,,,,,
Livingston Parish,Louisiana,22,63,,,,,135925.0,,,,,,,,,,
Madison Parish,Louisiana,22,65,,,,,11803.0,,,,,,,,,,
Morehouse Parish,Louisiana,22,67,,,,,26739.0,,,,,,,,,,
Natchitoches Parish,Louisiana,22,69,,,,,39258.0,,,,,,,,,,
Orleans Parish,Louisiana,22,71,,,,,382922.0,,,,,,,,,,
Ouachita Parish,Louisiana,22,73,,,,,156398.0,,,,,,,,,,
Plaquemines Parish,Louisiana,22,75,,,,,23584.0,,,,,,,,,,
Pointe Coupee Parish,Louisiana,22,77,,,,,22366.0,,,,,,,,,,
Rapides Parish,Louisiana,22,79,,,,,132373.0,,,,,,,,,,
Red River Parish,Louisiana,22,81,,,,,8757.0,,,,,,,,,,
Richland Parish,Louisiana,22,83,,,,,20692.0,,,,,,,,,,
Sabine Parish,Louisiana,22,85,,,,,24144.0,,,,,,,,,,
Saint Bernard Parish,Louisiana,22,87,,,,,44091.0,,,,,,,,,,
Saint Charles Parish,Louisiana,22,89,,,,,52708.0,,,,,,,,,,
Saint Helena Parish,Louisiana,22,91,,,,,10714.0,,,,,,,,,,
Saint James Parish,Louisiana,22,93,,,,,21581.0,,,,,,,,,,
Saint John the Baptist Parish,Louisiana,22,95,,,,,43888.0,,,,,,,,,,
Saint Landry Parish,Louisiana,22,97,,,,,83699.0,,,,,,,,,,
Saint Martin Parish,Louisiana,22,99,,,,,53385.0,,,,,,,,,,
Saint Mary Parish,Louisiana,22,101,,,,,53053.0,,,,,,,,,,
Saint Tammany Parish,Louisiana,22,103,,,,,246269.0,,,,,,,,,,
Tangipahoa Parish,Louisiana,22,105,,,,,127115.0,,,,,,,,,,
Tensas Parish,Louisiana,22,107,,,,,4793.0,,,,,,,,,,
Terrebonne Parish,Louisiana,22,109,,,,,113099.0,,,,,,,,,,
Union Parish,Louisiana,22,111,,,,,22460.0,,,,,,,,,,
Vermilion Parish,Louisiana,22,113,,,,,59524.0,,,,,,,,,,
Vernon Parish,Louisiana,22,115,,,,,52101.0,,,,,,,,,,
Washington Parish,Louisiana,22,117,,,,,46367.0,,,,,,,,,,
Webster Parish,Louisiana,22,119,,,,,40335.0,,,,,,,,,,
West Baton Rouge Parish,Louisiana,22,121,,,,,25017.0,,,,,,,,,,
West Carroll Parish,Louisiana,22,123,,,,,11370.0,,,,,,,,,,
West Feliciana Parish,Louisiana,22,125,,,,,15384.0,,,,,,,,,,
Winn Parish,Louisiana,22,127,,,,,14695.0,,,,,,,,,,
Androscoggin County,Maine,23,1,,,,,107376.0,,,,,,,,,,
Aroostook County,Maine,23,3,,,,,69405.0,,,,,,,,,,
Cumberland County,Maine,23,5,,,,,288204.0,,,,,,,,,,
Franklin County,Maine,23,7,,,,,30270.0,,,,,,,,,,
Hancock County,Maine,23,9,,,,,54483.0,,,,,,,,,,
Kennebec County,Maine,23,11,,,,,120953.0,,,,,,,,,,
Knox County,Maine,23,13,,,,,39717.0,,,,,,,,,,
Lincoln County,Maine,23,15,,,,,34165.0,,,,,,,,,,
Oxford County,Maine,23,17,,,,,57299.0,,,,,,,,,,
Penobscot County,Maine,23,19,,,,,152978.0,,,,,,,,,,
Piscataquis County,Maine,23,21,,,,,17044.0,,,,,,,,,,
Sagadahoc County,Maine,23,23,,,,,35134.0,,,,,,,,,,
Somerset County,Maine,23,25,,,,,51363.0,,,,,,,,,,
Waldo County,Maine,23,27,,,,,39071.0,,,,,,,,,,
Washington County,Maine,23,29,,,,,31925.0,,,,,,,,,,
York County,Maine,23,31,,,,,200536.0,,,,,,,,,,
Allegany County,Maryland,24,1,,,,,73060.0,,,,,,,,,,
Anne Arundel County,Maryland,24,3,,,,,559737.0,,,,,,,,,,
Baltimore County,Maryland,24,5,,,,,825666.0,,,,,,,,,,
Calvert County,Maryland,24,9,,,,,90527.0,,,,,,,,,,
Caroline County,Maryland,24,11,,,,,32653.0,,,,,,,,,,
Carroll County,Maryland,24,13,,,,,167535.0,,,,,,,,,,
Cecil County,Maryland,24,15,,,,,102175.0,,,,,,,,,,
Charles County,Maryland,24,17,,,,,154357.0,,,,,,,,,,
Dorchester County,Maryland,24,19,,,,,32451.0,,,,,,,,,,
Frederick County,Maryland,24,21,,,,,243465.0,,,,,,,,,,
Garrett County,Maryland,24,23,,,,,29677.0,,,,,,,,,,
Harford County,Maryland,24,25,,,,,249776.0,,,,,,,,,,
Howard County,Maryland,24,27,,,,,308447.0,,,,,,,,,,
Kent County,Maryland,24,29,,,,,19819.0,,,,,,,,,,
Queen Anne's County,Maryland,24,35,,,,,48712.0,,,,,,,,,,
Saint Mary's County,Maryland,24,37,,,,,110675.0,,,,,,,,,,
Somerset County,Maryland,24,39,,,,,25899.0,,,,,,,,,,
Talbot County,Maryland,24,41,,,,,37668.0,,,,,,,,,,
Washington County,Maryland,24,43,,,,,149571.0,,,,,,,,,,
Wicomico County,Maryland,24,45,,,,,101527.0,,,,,,,,,,
Worcester County,Maryland,24,47,,,,,51441.0,,,,,,,,,,
Baltimore City,Maryland,24,510,,,,,621000.0,,,,,,,,,,
Montgomery County,Maryland,24,31,,,,,1026371.0,,,,,,,,,,
Prince George's County,Maryland,24,33,,,,,897693.0,,,,,,,,,,
Barnstable County,Massachusetts,25,1,,,,,214703.0,,,,,,,,,,
Berkshire County,Massachusetts,25,3,,,,,128563.0,,,,,,,,,,
Bristol County,Massachusetts,25,5,,,,,554868.0,,,,,,,,,,
Dukes County,Massachusetts,25,7,,,,,17137.0,,,,,,,,,,
Essex County,Massachusetts,25,9,,,,,769362.0,,,,,,,,,,
Franklin County,Massachusetts,25,11,,,,,70916.0,,,,,,,,,,
Hampden County,Massachusetts,25,13,,,,,468072.0,,,,,,,,,,
Hampshire County,Massachusetts,25,15,,,,,161035.0,,,,,,,,,,
Middlesex County,Massachusetts,25,17,,,,,1567610.0,,,,,,,,,,
Nantucket County,Massachusetts,25,19,,,,,10694.0,,,,,,,,,,
Norfolk County,Massachusetts,25,21,,,,,691218.0,,,,,,,,,,
Plymouth County,Massachusetts,25,23,,,,,506657.0,,,,,,,,,,
Suffolk County,Massachusetts,25,25,,,,,767719.0,,,,,,,,,,
Worcester County,Massachusetts,25,27,,,,,813589.0,,,,,,,,,,
Alcona County,Michigan,26,1,,,,,10461.0,,,,,,,,,,
Alger County,Michigan,26,3,,,,,9396.0,,,,,,,,,,
Allegan County,Michigan,26,5,,,,,113666.0,,,,,,,,,,
Alpena County,Michigan,26,7,,,,,28929.0,,,,,,,,,,
Antrim County,Michigan,26,9,,,,,23215.0,,,,,,,,,,
Arenac County,Michigan,26,11,,,,,15327.0,,,,,,,,,,
Baraga County,Michigan,26,13,,,,,8612.0,,,,,,,,,,
Barry County,Michigan,26,15,,,,,59316.0,,,,,,,,,,
Bay County,Michigan,26,17,,,,,106107.0,,,,,,,,,,
Benzie County,Michigan,26,19,,,,,17462.0,,,,,,,,,,
Berrien County,Michigan,26,21,,,,,155134.0,,,,,,,,,,
Branch County,Michigan,26,23,,,,,43603.0,,,,,,,,,,
Calhoun County,Michigan,26,25,,,,,134691.0,,,,,,,,,,
Cass County,Michigan,26,27,,,,,51795.0,,,,,,,,,,
Charlevoix County,Michigan,26,29,,,,,26172.0,,,,,,,,,,
Cheboygan County,Michigan,26,31,,,,,25579.0,,,,,,,,,,
Chippewa County,Michigan,26,33,,,,,38330.0,,,,,,,,,,
Clare County,Michigan,26,35,,,,,30608.0,,,,,,,,,,
Clinton County,Michigan,26,37,,,,,77245.0,,,,,,,,,,
Crawford County,Michigan,26,39,,,,,13840.0,,,,,,,,,,
Delta County,Michigan,26,41,,,,,36570.0,,,,,,,,,,
Dickinson County,Michigan,26,43,,,,,25889.0,,,,,,,,,,
Eaton County,Michigan,26,45,,,,,108544.0,,,,,,,,,,
Emmet County,Michigan,26,47,,,,,33091.0,,,,,,,,,,
Genesee County,Michigan,26,49,,,,,413090.0,,,,,,,,,,
Gladwin County,Michigan,26,51,,,,,25367.0,,,,,,,,,,
Gogebic County,Michigan,26,53,,,,,15650.0,,,,,,,,,,
Grand Traverse County,Michigan,26,55,,,,,90715.0,,,,,,,,,,
Gratiot County,Michigan,26,57,,,,,41676.0,,,,,,,,,,
Hillsdale County,Michigan,26,59,,,,,46024.0,,,,,,,,,,
Houghton County,Michigan,26,61,,,,,36565.0,,,,,,,,,,
Huron County,Michigan,26,63,,,,,32021.0,,,,,,,,,,
Ingham County,Michigan,26,65,,,,,284559.0,,,,,,,,,,
Ionia County,Michigan,26,67,,,,,64126.0,,,,,,,,,,
Iosco County,Michigan,26,69,,,,,25373.0,,,,,,,,,,
Iron County,Michigan,26,71,,,,,11393.0,,,,,,,,,,
Isabella County,Michigan,26,73,,,,,70574.0,,,,,,,,,,
Jackson County,Michigan,26,75,,,,,159483.0,,,,,,,,,,
Kalamazoo County,Michigan,26,77,,,,,258605.0,,,,,,,,,,
Kalkaska County,Michigan,26,79,,,,,17259.0,,,,,,,,,,
Kent County,Michigan,26,81,,,,,629352.0,,,,,,,,,,
Keweenaw County,Michigan,26,83,,,,,2195.0,,,,,,,,,,
Lake County,Michigan,26,85,,,,,11415.0,,,,,,,,,,
Lapeer County,Michigan,26,87,,,,,88310.0,,,,,,,,,,
Leelanau County,Michigan,26,89,,,,,21764.0,,,,,,,,,,
Lenawee County,Michigan,26,91,,,,,98673.0,,,,,,,,,,
Livingston County,Michigan,26,93,,,,,185841.0,,,,,,,,,,
Luce County,Michigan,26,95,,,,,6451.0,,,,,,,,,,
Mackinac County,Michigan,26,97,,,,,10998.0,,,,,,,,,,
