County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,asian_population,per_capita_income,total_population_race,median_home_value,black_population,age_18_and_under_percentage
Denali Borough,Alaska,2,68,1677.0,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,1235.0,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,1041.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,799.0,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,248.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,9154.0,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,2754.0,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,2791.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,1744.0,,,,,,,,,,,,,,
Apache County,Arizona,4,1,17177.0,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,105267.0,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,83919.0,,,,,,,,,,,,,,
Gila County,Arizona,4,7,42288.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,27973.0,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,7410.0,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,3114615.0,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,179349.0,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,52280.0,,,,,,,,,,,,,,
Pima County,Arizona,4,19,778258.0,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,284721.0,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,34441.0,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,193691.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,14643.0,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,149922.0,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,13791.0,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,15143.0,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,40189.0,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,191672.0,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,35767.0,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,7005.0,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,3972.0,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,25062.0,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,4875.0,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,16982.0,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,15623.0,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,25198.0,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,7469.0,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,14864.0,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,18103.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,80792.0,,,,,,,,,,,,,,
