County,State,State_FIPS,County_FIPS,age_15_to_44_percentage,median_gross_rent,age_60_and_over,total_population,white_population,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,per_capita_income,asian_population
Southeast Fairbanks Census Area,Alaska,2,240,77.1,,,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,2,261,78.3,,,,,,,,,,,,,,
Wade Hampton Census Area,Alaska,2,270,,,,,,,,,,,,,,,
Northwest Arctic Borough,Alaska,2,188,68.8,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,2,13,90.5,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,2,16,89.1,,,,,,,,,,,,,,
Dillingham Census Area,Alaska,2,70,72.6,,,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,2,164,75.6,,,,,,,,,,,,,,
Denali Borough,Alaska,2,68,79.7,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,76.4,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,88.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,89.9,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,85.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,80.2,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,82.1,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,79.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,83.4,,,,,,,,,,,,,,
Apache County,Arizona,4,1,73.5,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,79.6,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,79.8,,,,,,,,,,,,,,
Gila County,Arizona,4,7,81.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,76.9,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,73.9,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,76.8,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,83.2,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,74.3,,,,,,,,,,,,,,
Pima County,Arizona,4,19,79.7,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,78.1,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,72.1,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,84.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,84.7,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,76.7,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,79.2,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,78.5,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,83.4,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,74.7,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,78.9,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,76.1,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,82.5,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,79.9,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,78.5,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,82.2,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,80.9,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,82.5,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,78.7,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,79.4,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,79.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,76.5,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,76.6,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,73.4,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,77.4,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,76.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,76.3,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,78.9,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,77.6,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,77.8,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,80.9,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,80.5,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,79.9,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,77.9,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,74.9,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,80.8,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,75.3,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,77.3,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,82.6,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,81.1,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,78.1,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,78.4,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,80.7,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,78.3,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,84.7,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,86.7,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,75.5,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,79.9,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,74.8,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,79.2,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,85.0,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,77.4,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,74.8,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,80.0,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,81.1,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,74.9,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,81.1,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,78.4,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,80.4,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,73.0,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,78.3,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,77.2,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,77.9,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,79.4,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,81.5,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,77.7,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,78.4,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,81.3,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,77.7,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,76.6,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,78.8,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,77.2,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,72.3,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,81.3,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,80.4,,,,,,,,,,,,,,
Union County,Arkansas,5,139,77.9,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,81.8,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,76.8,,,,,,,,,,,,,,
White County,Arkansas,5,145,77.7,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,79.8,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,76.8,,,,,,,,,,,,,,
Alameda County,California,6,1,79.9,,,,,,,,,,,,,,
Alpine County,California,6,3,80.7,,,,,,,,,,,,,,
Amador County,California,6,5,87.8,,,,,,,,,,,,,,
Butte County,California,6,7,81.5,,,,,,,,,,,,,,
Calaveras County,California,6,9,84.2,,,,,,,,,,,,,,
Colusa County,California,6,11,74.1,,,,,,,,,,,,,,
Contra Costa County,California,6,13,78.0,,,,,,,,,,,,,,
Del Norte County,California,6,15,81.8,,,,,,,,,,,,,,
El Dorado County,California,6,17,81.1,,,,,,,,,,,,,,
Fresno County,California,6,19,73.4,,,,,,,,,,,,,,
Glenn County,California,6,21,75.6,,,,,,,,,,,,,,
Humboldt County,California,6,23,82.4,,,,,,,,,,,,,,
Imperial County,California,6,25,74.7,,,,,,,,,,,,,,
Inyo County,California,6,27,81.7,,,,,,,,,,,,,,
Kern County,California,6,29,74.0,,,,,,,,,,,,,,
Kings County,California,6,31,77.4,,,,,,,,,,,,,,
Lake County,California,6,33,81.7,,,,,,,,,,,,,,
Lassen County,California,6,35,89.5,,,,,,,,,,,,,,
Los Angeles County,California,6,37,78.9,,,,,,,,,,,,,,
Madera County,California,6,39,74.4,,,,,,,,,,,,,,
Marin County,California,6,41,80.9,,,,,,,,,,,,,,
Mariposa County,California,6,43,85.7,,,,,,,,,,,,,,
Mendocino County,California,6,45,80.3,,,,,,,,,,,,,,
Merced County,California,6,47,72.8,,,,,,,,,,,,,,
Modoc County,California,6,49,82.2,,,,,,,,,,,,,,
Mono County,California,6,51,86.5,,,,,,,,,,,,,,
Monterey County,California,6,53,76.2,,,,,,,,,,,,,,
Napa County,California,6,55,80.1,,,,,,,,,,,,,,
Nevada County,California,6,57,83.8,,,,,,,,,,,,,,
Orange County,California,6,59,78.8,,,,,,,,,,,,,,
Placer County,California,6,61,78.7,,,,,,,,,,,,,,
Plumas County,California,6,63,83.9,,,,,,,,,,,,,,
Riverside County,California,6,65,75.8,,,,,,,,,,,,,,
Sacramento County,California,6,67,77.2,,,,,,,,,,,,,,
San Benito County,California,6,69,75.6,,,,,,,,,,,,,,
San Bernardino County,California,6,71,75.0,,,,,,,,,,,,,,
San Diego County,California,6,73,79.7,,,,,,,,,,,,,,
San Francisco County,California,6,75,87.9,,,,,,,,,,,,,,
San Joaquin County,California,6,77,74.5,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,83.7,,,,,,,,,,,,,,
San Mateo County,California,6,81,79.9,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,79.7,,,,,,,,,,,,,,
Santa Clara County,California,6,85,78.8,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,81.6,,,,,,,,,,,,,,
Shasta County,California,6,89,80.0,,,,,,,,,,,,,,
Sierra County,California,6,91,88.3,,,,,,,,,,,,,,
Siskiyou County,California,6,93,81.3,,,,,,,,,,,,,,
Solano County,California,6,95,79.1,,,,,,,,,,,,,,
Sonoma County,California,6,97,80.7,,,,,,,,,,,,,,
Stanislaus County,California,6,99,74.7,,,,,,,,,,,,,,
Sutter County,California,6,101,75.4,,,,,,,,,,,,,,
Tehama County,California,6,103,77.6,,,,,,,,,,,,,,
Trinity County,California,6,105,86.6,,,,,,,,,,,,,,
Tulare County,California,6,107,71.1,,,,,,,,,,,,,,
Tuolumne County,California,6,109,85.5,,,,,,,,,,,,,,
Ventura County,California,6,111,77.9,,,,,,,,,,,,,,
Yolo County,California,6,113,80.2,,,,,,,,,,,,,,
Yuba County,California,6,115,74.0,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,78.1,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,84.0,,,,,,,,,,,,,,
Baca County,Colorado,8,9,80.9,,,,,,,,,,,,,,
Bent County,Colorado,8,11,88.9,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,86.5,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,75.2,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,85.5,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,76.5,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,81.8,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,85.4,,,,,,,,,,,,,,
Custer County,Colorado,8,27,87.0,,,,,,,,,,,,,,
Delta County,Colorado,8,29,81.8,,,,,,,,,,,,,,
Dolores County,Colorado,8,33,78.4,,,,,,,,,,,,,,
Douglas County,Colorado,8,35,73.1,,,,,,,,,,,,,,
Eagle County,Colorado,8,37,79.6,,,,,,,,,,,,,,
Elbert County,Colorado,8,39,79.2,,,,,,,,,,,,,,
El Paso County,Colorado,8,41,77.0,,,,,,,,,,,,,,
Fremont County,Colorado,8,43,87.5,,,,,,,,,,,,,,
Garfield County,Colorado,8,45,76.8,,,,,,,,,,,,,,
Gilpin County,Colorado,8,47,80.5,,,,,,,,,,,,,,
Grand County,Colorado,8,49,83.4,,,,,,,,,,,,,,
Gunnison County,Colorado,8,51,83.9,,,,,,,,,,,,,,
Huerfano County,Colorado,8,55,84.6,,,,,,,,,,,,,,
Jackson County,Colorado,8,57,84.3,,,,,,,,,,,,,,
Kiowa County,Colorado,8,61,80.3,,,,,,,,,,,,,,
Kit Carson County,Colorado,8,63,79.8,,,,,,,,,,,,,,
Lake County,Colorado,8,65,80.4,,,,,,,,,,,,,,
La Plata County,Colorado,8,67,82.3,,,,,,,,,,,,,,
Larimer County,Colorado,8,69,81.2,,,,,,,,,,,,,,
Las Animas County,Colorado,8,71,81.0,,,,,,,,,,,,,,
Lincoln County,Colorado,8,73,84.5,,,,,,,,,,,,,,
Logan County,Colorado,8,75,84.7,,,,,,,,,,,,,,
Mesa County,Colorado,8,77,78.8,,,,,,,,,,,,,,
Moffat County,Colorado,8,81,75.4,,,,,,,,,,,,,,
Montezuma County,Colorado,8,83,78.7,,,,,,,,,,,,,,
Montrose County,Colorado,8,85,78.7,,,,,,,,,,,,,,
Morgan County,Colorado,8,87,75.6,,,,,,,,,,,,,,
Otero County,Colorado,8,89,78.8,,,,,,,,,,,,,,
Ouray County,Colorado,8,91,87.6,,,,,,,,,,,,,,
Park County,Colorado,8,93,85.7,,,,,,,,,,,,,,
Phillips County,Colorado,8,95,79.8,,,,,,,,,,,,,,
Pitkin County,Colorado,8,97,86.4,,,,,,,,,,,,,,
Prowers County,Colorado,8,99,75.4,,,,,,,,,,,,,,
Pueblo County,Colorado,8,101,78.1,,,,,,,,,,,,,,
Rio Blanco County,Colorado,8,103,76.6,,,,,,,,,,,,,,
Rio Grande County,Colorado,8,105,77.5,,,,,,,,,,,,,,
Routt County,Colorado,8,107,83.1,,,,,,,,,,,,,,
Saguache County,Colorado,8,109,79.8,,,,,,,,,,,,,,
San Miguel County,Colorado,8,113,83.9,,,,,,,,,,,,,,
Sedgwick County,Colorado,8,115,84.4,,,,,,,,,,,,,,
Summit County,Colorado,8,117,84.7,,,,,,,,,,,,,,
Teller County,Colorado,8,119,84.6,,,,,,,,,,,,,,
Washington County,Colorado,8,121,80.5,,,,,,,,,,,,,,
Yuma County,Colorado,8,125,78.5,,,,,,,,,,,,,,
Adams County,Colorado,8,1,74.4,,,,,,,,,,,,,,
Arapahoe County,Colorado,8,5,76.9,,,,,,,,,,,,,,
Boulder County,Colorado,8,13,81.5,,,,,,,,,,,,,,
Broomfield County,Colorado,8,14,76.9,,,,,,,,,,,,,,
Denver County,Colorado,8,31,80.6,,,,,,,,,,,,,,
Jefferson County,Colorado,8,59,80.8,,,,,,,,,,,,,,
Weld County,Colorado,8,123,75.1,,,,,,,,,,,,,,
Fairfield County,Connecticut,9,1,78.0,,,,,,,,,,,,,,
Hartford County,Connecticut,9,3,79.7,,,,,,,,,,,,,,
Litchfield County,Connecticut,9,5,81.7,,,,,,,,,,,,,,
Middlesex County,Connecticut,9,7,82.0,,,,,,,,,,,,,,
New Haven County,Connecticut,9,9,80.2,,,,,,,,,,,,,,
New London County,Connecticut,9,11,81.6,,,,,,,,,,,,,,
Tolland County,Connecticut,9,13,83.4,,,,,,,,,,,,,,
Windham County,Connecticut,9,15,80.6,,,,,,,,,,,,,,
Kent County,Delaware,10,1,77.4,,,,,,,,,,,,,,
New Castle County,Delaware,10,3,79.2,,,,,,,,,,,,,,
Sussex County,Delaware,10,5,81.5,,,,,,,,,,,,,,
Alachua County,Florida,12,1,83.1,,,,,,,,,,,,,,
Baker County,Florida,12,3,77.4,,,,,,,,,,,,,,
Bay County,Florida,12,5,80.3,,,,,,,,,,,,,,
Bradford County,Florida,12,7,82.7,,,,,,,,,,,,,,
Brevard County,Florida,12,9,82.8,,,,,,,,,,,,,,
Broward County,Florida,12,11,79.8,,,,,,,,,,,,,,
Calhoun County,Florida,12,13,82.7,,,,,,,,,,,,,,
Charlotte County,Florida,12,15,87.7,,,,,,,,,,,,,,
Citrus County,Florida,12,17,86.5,,,,,,,,,,,,,,
Clay County,Florida,12,19,77.7,,,,,,,,,,,,,,
Collier County,Florida,12,21,82.8,,,,,,,,,,,,,,
Columbia County,Florida,12,23,80.9,,,,,,,,,,,,,,
Miami-Dade County,Florida,12,86,80.6,,,,,,,,,,,,,,
DeSoto County,Florida,12,27,82.6,,,,,,,,,,,,,,
Dixie County,Florida,12,29,84.1,,,,,,,,,,,,,,
Duval County,Florida,12,31,78.3,,,,,,,,,,,,,,
Escambia County,Florida,12,33,81.0,,,,,,,,,,,,,,
Flagler County,Florida,12,35,82.6,,,,,,,,,,,,,,
Franklin County,Florida,12,37,86.0,,,,,,,,,,,,,,
Gadsden County,Florida,12,39,79.0,,,,,,,,,,,,,,
Gilchrist County,Florida,12,41,82.8,,,,,,,,,,,,,,
Glades County,Florida,12,43,83.8,,,,,,,,,,,,,,
Gulf County,Florida,12,45,89.2,,,,,,,,,,,,,,
Hamilton County,Florida,12,47,85.0,,,,,,,,,,,,,,
Hardee County,Florida,12,49,76.9,,,,,,,,,,,,,,
Hendry County,Florida,12,51,75.1,,,,,,,,,,,,,,
Hernando County,Florida,12,53,82.1,,,,,,,,,,,,,,
