County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value
Hoonah-Angoon Census Area,Alaska,2,105,16.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,4.6,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,10.8,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,9.6,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,11.0,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,10.8,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,22.1,,,,,,,,,,,,,,
Apache County,Arizona,4,1,11.2,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,16.7,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,8.8,,,,,,,,,,,,,,
Gila County,Arizona,4,7,23.1,,,,,,,,,,,,,,
Graham County,Arizona,4,9,10.0,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,10.4,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,11.4,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,23.8,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,13.2,,,,,,,,,,,,,,
Pima County,Arizona,4,19,14.7,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,14.1,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,13.0,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,24.5,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,34.9,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,15.3,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,15.0,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,15.3,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,28.0,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,11.2,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,16.8,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,15.1,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,15.3,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,18.4,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,15.4,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,13.4,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,17.9,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,22.5,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,15.6,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,13.8,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,15.8,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,10.6,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,12.4,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,9.9,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,14.3,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,15.4,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,14.5,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,13.8,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,9.1,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,15.4,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,23.3,,,,,,,,,,,,,,
Garland County,Arkansas,5,51,19.5,,,,,,,,,,,,,,
Grant County,Arkansas,5,53,13.6,,,,,,,,,,,,,,
Greene County,Arkansas,5,55,12.6,,,,,,,,,,,,,,
Hempstead County,Arkansas,5,57,14.1,,,,,,,,,,,,,,
Hot Spring County,Arkansas,5,59,14.3,,,,,,,,,,,,,,
Howard County,Arkansas,5,61,13.7,,,,,,,,,,,,,,
Independence County,Arkansas,5,63,13.6,,,,,,,,,,,,,,
Izard County,Arkansas,5,65,21.6,,,,,,,,,,,,,,
Jackson County,Arkansas,5,67,14.0,,,,,,,,,,,,,,
Jefferson County,Arkansas,5,69,11.9,,,,,,,,,,,,,,
Johnson County,Arkansas,5,71,13.0,,,,,,,,,,,,,,
Lafayette County,Arkansas,5,73,18.5,,,,,,,,,,,,,,
Lawrence County,Arkansas,5,75,16.4,,,,,,,,,,,,,,
Lee County,Arkansas,5,77,12.8,,,,,,,,,,,,,,
Lincoln County,Arkansas,5,79,9.1,,,,,,,,,,,,,,
Little River County,Arkansas,5,81,15.9,,,,,,,,,,,,,,
Logan County,Arkansas,5,83,16.3,,,,,,,,,,,,,,
Lonoke County,Arkansas,5,85,10.1,,,,,,,,,,,,,,
Madison County,Arkansas,5,87,14.7,,,,,,,,,,,,,,
Marion County,Arkansas,5,89,24.2,,,,,,,,,,,,,,
Miller County,Arkansas,5,91,12.4,,,,,,,,,,,,,,
Mississippi County,Arkansas,5,93,10.7,,,,,,,,,,,,,,
Monroe County,Arkansas,5,95,16.5,,,,,,,,,,,,,,
Montgomery County,Arkansas,5,97,22.0,,,,,,,,,,,,,,
Nevada County,Arkansas,5,99,16.8,,,,,,,,,,,,,,
Newton County,Arkansas,5,101,19.5,,,,,,,,,,,,,,
Ouachita County,Arkansas,5,103,15.1,,,,,,,,,,,,,,
Perry County,Arkansas,5,105,16.8,,,,,,,,,,,,,,
Phillips County,Arkansas,5,107,13.5,,,,,,,,,,,,,,
Pike County,Arkansas,5,109,16.0,,,,,,,,,,,,,,
Poinsett County,Arkansas,5,111,14.3,,,,,,,,,,,,,,
Polk County,Arkansas,5,113,18.4,,,,,,,,,,,,,,
Pope County,Arkansas,5,115,11.6,,,,,,,,,,,,,,
Prairie County,Arkansas,5,117,18.6,,,,,,,,,,,,,,
Pulaski County,Arkansas,5,119,10.6,,,,,,,,,,,,,,
Randolph County,Arkansas,5,121,16.6,,,,,,,,,,,,,,
Saint Francis County,Arkansas,5,123,10.3,,,,,,,,,,,,,,
Saline County,Arkansas,5,125,14.8,,,,,,,,,,,,,,
Scott County,Arkansas,5,127,15.7,,,,,,,,,,,,,,
Searcy County,Arkansas,5,129,19.5,,,,,,,,,,,,,,
Sebastian County,Arkansas,5,131,11.5,,,,,,,,,,,,,,
Sevier County,Arkansas,5,133,10.7,,,,,,,,,,,,,,
Sharp County,Arkansas,5,135,23.1,,,,,,,,,,,,,,
Stone County,Arkansas,5,137,21.4,,,,,,,,,,,,,,
Union County,Arkansas,5,139,13.9,,,,,,,,,,,,,,
Van Buren County,Arkansas,5,141,22.1,,,,,,,,,,,,,,
Washington County,Arkansas,5,143,8.5,,,,,,,,,,,,,,
White County,Arkansas,5,145,12.7,,,,,,,,,,,,,,
Woodruff County,Arkansas,5,147,15.7,,,,,,,,,,,,,,
Yell County,Arkansas,5,149,13.9,,,,,,,,,,,,,,
Alameda County,California,6,1,10.1,,,,,,,,,,,,,,
Alpine County,California,6,3,19.9,,,,,,,,,,,,,,
Amador County,California,6,5,19.4,,,,,,,,,,,,,,
Butte County,California,6,7,14.0,,,,,,,,,,,,,,
Calaveras County,California,6,9,22.1,,,,,,,,,,,,,,
Colusa County,California,6,11,11.6,,,,,,,,,,,,,,
Contra Costa County,California,6,13,11.5,,,,,,,,,,,,,,
Del Norte County,California,6,15,12.0,,,,,,,,,,,,,,
El Dorado County,California,6,17,14.7,,,,,,,,,,,,,,
Fresno County,California,6,19,9.1,,,,,,,,,,,,,,
Glenn County,California,6,21,12.4,,,,,,,,,,,,,,
Humboldt County,California,6,23,12.2,,,,,,,,,,,,,,
Imperial County,California,6,25,9.5,,,,,,,,,,,,,,
Inyo County,California,6,27,17.6,,,,,,,,,,,,,,
Kern County,California,6,29,8.1,,,,,,,,,,,,,,
Kings County,California,6,31,6.7,,,,,,,,,,,,,,
Lake County,California,6,33,17.5,,,,,,,,,,,,,,
Lassen County,California,6,35,7.7,,,,,,,,,,,,,,
Los Angeles County,California,6,37,9.7,,,,,,,,,,,,,,
Madera County,California,6,39,11.5,,,,,,,,,,,,,,
Marin County,California,6,41,15.8,,,,,,,,,,,,,,
Mariposa County,California,6,43,21.4,,,,,,,,,,,,,,
Mendocino County,California,6,45,15.3,,,,,,,,,,,,,,
Merced County,California,6,47,8.6,,,,,,,,,,,,,,
Modoc County,California,6,49,20.7,,,,,,,,,,,,,,
Mono County,California,6,51,10.3,,,,,,,,,,,,,,
Monterey County,California,6,53,9.4,,,,,,,,,,,,,,
Napa County,California,6,55,14.0,,,,,,,,,,,,,,
Nevada County,California,6,57,19.2,,,,,,,,,,,,,,
Orange County,California,6,59,10.6,,,,,,,,,,,,,,
Placer County,California,6,61,14.6,,,,,,,,,,,,,,
Plumas County,California,6,63,21.5,,,,,,,,,,,,,,
Riverside County,California,6,65,11.1,,,,,,,,,,,,,,
Sacramento County,California,6,67,10.1,,,,,,,,,,,,,,
San Benito County,California,6,69,9.6,,,,,,,,,,,,,,
San Bernardino County,California,6,71,8.3,,,,,,,,,,,,,,
San Diego County,California,6,73,10.2,,,,,,,,,,,,,,
San Francisco County,California,6,75,11.9,,,,,,,,,,,,,,
San Joaquin County,California,6,77,9.4,,,,,,,,,,,,,,
San Luis Obispo County,California,6,79,14.0,,,,,,,,,,,,,,
San Mateo County,California,6,81,12.0,,,,,,,,,,,,,,
Santa Barbara County,California,6,83,11.5,,,,,,,,,,,,,,
Santa Clara County,California,6,85,10.0,,,,,,,,,,,,,,
Santa Cruz County,California,6,87,10.3,,,,,,,,,,,,,,
Shasta County,California,6,89,16.2,,,,,,,,,,,,,,
Sierra County,California,6,91,19.3,,,,,,,,,,,,,,
Siskiyou County,California,6,93,19.8,,,,,,,,,,,,,,
Solano County,California,6,95,10.5,,,,,,,,,,,,,,
Sonoma County,California,6,97,12.9,,,,,,,,,,,,,,
Stanislaus County,California,6,99,9.7,,,,,,,,,,,,,,
Sutter County,California,6,101,11.7,,,,,,,,,,,,,,
Tehama County,California,6,103,15.3,,,,,,,,,,,,,,
Trinity County,California,6,105,22.4,,,,,,,,,,,,,,
Tulare County,California,6,107,8.6,,,,,,,,,,,,,,
Tuolumne County,California,6,109,19.1,,,,,,,,,,,,,,
Ventura County,California,6,111,10.8,,,,,,,,,,,,,,
Yolo County,California,6,113,9.2,,,,,,,,,,,,,,
Yuba County,California,6,115,9.5,,,,,,,,,,,,,,
Alamosa County,Colorado,8,3,10.8,,,,,,,,,,,,,,
Archuleta County,Colorado,8,7,18.2,,,,,,,,,,,,,,
Baca County,Colorado,8,9,22.2,,,,,,,,,,,,,,
Bent County,Colorado,8,11,11.0,,,,,,,,,,,,,,
Chaffee County,Colorado,8,15,19.0,,,,,,,,,,,,,,
Cheyenne County,Colorado,8,17,14.5,,,,,,,,,,,,,,
Clear Creek County,Colorado,8,19,13.9,,,,,,,,,,,,,,
Conejos County,Colorado,8,21,15.4,,,,,,,,,,,,,,
Costilla County,Colorado,8,23,22.9,,,,,,,,,,,,,,
Crowley County,Colorado,8,25,9.7,,,,,,,,,,,,,,
Custer County,Colorado,8,27,21.5,,,,,,,,,,,,,,
