County,State,State_FIPS,County_FIPS,median_gross_rent,age_15_to_44_percentage,white_population,total_population,age_60_and_over,housing_cost_burden,median_household_income,gini_index,native_american_population,total_population_race,median_home_value,black_population,age_18_and_under_percentage,asian_population,per_capita_income
Southeast Fairbanks Census Area,Alaska,2,240,1165.0,,,,,,,,,,,,,,
Valdez-Cordova Census Area,Alaska,2,261,861.0,,,,,,,,,,,,,,
Wade Hampton Census Area,Alaska,2,270,711.0,,,,,,,,,,,,,,
Northwest Arctic Borough,Alaska,2,188,1126.0,,,,,,,,,,,,,,
Aleutians East Borough,Alaska,2,13,922.0,,,,,,,,,,,,,,
Aleutians West Census Area,Alaska,2,16,1272.0,,,,,,,,,,,,,,
Dillingham Census Area,Alaska,2,70,997.0,,,,,,,,,,,,,,
Lake and Peninsula Borough,Alaska,2,164,710.0,,,,,,,,,,,,,,
Denali Borough,Alaska,2,68,1200.0,,,,,,,,,,,,,,
Yukon-Koyukuk Census Area,Alaska,2,290,658.0,,,,,,,,,,,,,,
Hoonah-Angoon Census Area,Alaska,2,105,731.0,,,,,,,,,,,,,,
Skagway Municipality,Alaska,2,230,1038.0,,,,,,,,,,,,,,
Yakutat City and Borough,Alaska,2,282,1000.0,,,,,,,,,,,,,,
Ketchikan Gateway Borough,Alaska,2,130,1054.0,,,,,,,,,,,,,,
Petersburg Borough,Alaska,2,195,898.0,,,,,,,,,,,,,,
Prince of Wales-Hyder Census Area,Alaska,2,198,789.0,,,,,,,,,,,,,,
Wrangell City and Borough,Alaska,2,275,692.0,,,,,,,,,,,,,,
Apache County,Arizona,4,1,539.0,,,,,,,,,,,,,,
Cochise County,Arizona,4,3,792.0,,,,,,,,,,,,,,
Coconino County,Arizona,4,5,990.0,,,,,,,,,,,,,,
Gila County,Arizona,4,7,735.0,,,,,,,,,,,,,,
Graham County,Arizona,4,9,732.0,,,,,,,,,,,,,,
Greenlee County,Arizona,4,11,415.0,,,,,,,,,,,,,,
Maricopa County,Arizona,4,13,952.0,,,,,,,,,,,,,,
Mohave County,Arizona,4,15,799.0,,,,,,,,,,,,,,
Navajo County,Arizona,4,17,667.0,,,,,,,,,,,,,,
Pima County,Arizona,4,19,813.0,,,,,,,,,,,,,,
Pinal County,Arizona,4,21,979.0,,,,,,,,,,,,,,
Santa Cruz County,Arizona,4,23,616.0,,,,,,,,,,,,,,
Yavapai County,Arizona,4,25,850.0,,,,,,,,,,,,,,
La Paz County,Arizona,4,12,588.0,,,,,,,,,,,,,,
Yuma County,Arizona,4,27,847.0,,,,,,,,,,,,,,
Arkansas County,Arkansas,5,1,639.0,,,,,,,,,,,,,,
Ashley County,Arkansas,5,3,577.0,,,,,,,,,,,,,,
Baxter County,Arkansas,5,5,611.0,,,,,,,,,,,,,,
Benton County,Arkansas,5,7,787.0,,,,,,,,,,,,,,
Boone County,Arkansas,5,9,596.0,,,,,,,,,,,,,,
Bradley County,Arkansas,5,11,611.0,,,,,,,,,,,,,,
Calhoun County,Arkansas,5,13,598.0,,,,,,,,,,,,,,
Carroll County,Arkansas,5,15,638.0,,,,,,,,,,,,,,
Chicot County,Arkansas,5,17,566.0,,,,,,,,,,,,,,
Clark County,Arkansas,5,19,604.0,,,,,,,,,,,,,,
Clay County,Arkansas,5,21,513.0,,,,,,,,,,,,,,
Cleburne County,Arkansas,5,23,650.0,,,,,,,,,,,,,,
Cleveland County,Arkansas,5,25,644.0,,,,,,,,,,,,,,
Columbia County,Arkansas,5,27,604.0,,,,,,,,,,,,,,
Conway County,Arkansas,5,29,628.0,,,,,,,,,,,,,,
Craighead County,Arkansas,5,31,670.0,,,,,,,,,,,,,,
Crawford County,Arkansas,5,33,615.0,,,,,,,,,,,,,,
Crittenden County,Arkansas,5,35,681.0,,,,,,,,,,,,,,
Cross County,Arkansas,5,37,644.0,,,,,,,,,,,,,,
Dallas County,Arkansas,5,39,504.0,,,,,,,,,,,,,,
Desha County,Arkansas,5,41,551.0,,,,,,,,,,,,,,
Drew County,Arkansas,5,43,600.0,,,,,,,,,,,,,,
Faulkner County,Arkansas,5,45,726.0,,,,,,,,,,,,,,
Franklin County,Arkansas,5,47,568.0,,,,,,,,,,,,,,
Fulton County,Arkansas,5,49,493.0,,,,,,,,,,,,,,
