County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Howard County,Maryland,24,27,180580,293821,9.7,2752,1489,76.9,0.3948,499,109865,48172,428100,52941,8.2,2013,,
Kent County,Maryland,24,29,16332,20130,20.9,157,905,84.4,0.4757,114,56259,31502,258200,3144,14.0,2013,,
Queen Anne's County,Maryland,24,35,42885,48166,15.0,214,1215,78.9,0.4072,48,87256,38108,348100,3569,8.1,2013,,
Saint Mary's County,Maryland,24,37,84540,107079,10.1,563,1233,76.7,0.3943,359,85672,36017,304700,15256,10.2,2013,,
Somerset County,Maryland,24,39,14059,26347,12.0,161,755,86.3,0.4557,64,38447,16748,153600,10891,17.5,2013,,
Talbot County,Maryland,24,41,31261,37859,23.4,363,1002,82.4,0.4839,32,61597,38022,327400,5160,7.4,2013,,
Washington County,Maryland,24,43,125583,148435,12.4,1752,849,79.9,0.422,423,55609,26532,206100,15098,9.1,2013,,
Wicomico County,Maryland,24,45,68652,99683,12.0,1072,977,79.1,0.4502,631,51092,25378,181900,23885,15.0,2013,,
Worcester County,Maryland,24,47,42649,51479,22.2,370,901,83.2,0.4642,77,57952,32887,253400,7365,7.5,2013,,
Baltimore City,Maryland,24,510,188102,621445,9.8,10640,924,79.6,0.5061,2317,41385,24750,157900,392749,12.2,2013,,
Montgomery County,Maryland,24,31,560930,989474,11.1,12162,1568,77.7,0.4556,3427,98221,49038,446300,170317,8.2,2013,,
Prince George's County,Maryland,24,33,185930,873481,8.6,11860,1241,78.1,0.3907,2970,73623,32344,269800,560653,12.4,2013,,
Barnstable County,Massachusetts,25,1,200881,215449,23.4,2127,1114,84.3,0.4553,928,60526,36142,366700,4965,8.2,2013,,
Berkshire County,Massachusetts,25,3,120862,130545,17.0,1836,762,82.5,0.4711,298,48450,29294,206600,3448,10.2,2013,,
Bristol County,Massachusetts,25,5,488296,549870,12.6,7068,810,79.9,0.4532,946,55298,28837,278100,19403,10.1,2013,,
Dukes County,Massachusetts,25,7,15441,16739,15.7,39,1277,82.9,0.4564,178,66288,33363,665300,510,6.5,2013,,
Essex County,Massachusetts,25,9,608620,750808,12.6,10273,1043,78.7,0.472,1070,67311,35167,349400,28318,9.5,2013,,
Franklin County,Massachusetts,25,11,67306,71408,14.4,915,847,82.3,0.42,167,53663,29259,219500,654,8.8,2013,,
Hampden County,Massachusetts,25,13,362153,465144,12.5,6501,791,78.4,0.4644,1570,49094,25817,197900,40628,11.4,2013,,
Hampshire County,Massachusetts,25,15,142585,159267,12.1,1753,934,84.6,0.4443,228,61227,29460,262600,4188,21.1,2013,,
Middlesex County,Massachusetts,25,17,1220044,1522533,11.5,19294,1286,80.6,0.4706,2053,82090,42861,398200,71067,9.9,2013,,
Nantucket County,Massachusetts,25,19,9031,10224,11.4,109,1564,81.9,0.479,1,85478,47331,929700,581,5.9,2013,,
Norfolk County,Massachusetts,25,21,554522,677296,12.8,6685,1268,79.2,0.4768,574,84916,44692,391100,40921,8.3,2013,,
Plymouth County,Massachusetts,25,23,427283,497386,12.9,3788,1113,78.3,0.4376,836,75092,35220,332100,42589,8.7,2013,,
Suffolk County,Massachusetts,25,25,411168,735701,9.0,18145,1265,83.7,0.5244,2590,53540,32835,358700,162969,16.6,2013,,
Worcester County,Massachusetts,25,27,690356,802688,11.4,9090,911,79.1,0.4393,1517,65223,31537,259200,34646,10.2,2013,,
Alcona County,Michigan,26,1,10545,10785,32.4,14,585,87.5,0.4264,41,37189,22719,102800,13,5.1,2013,,
Alger County,Michigan,26,3,8232,9497,19.1,69,603,86.4,0.4025,312,37586,19717,117100,672,7.6,2013,,
Allegan County,Michigan,26,5,105033,111742,12.5,477,728,76.8,0.4118,744,52061,24140,140200,1373,7.9,2013,,
Alpena County,Michigan,26,7,28503,29399,18.1,287,545,81.6,0.4353,168,38016,21948,96400,179,7.9,2013,,
Antrim County,Michigan,26,9,22628,23504,22.2,116,703,82.0,0.4244,232,45362,24370,141300,57,6.2,2013,,
Arenac County,Michigan,26,11,15185,15753,20.0,80,572,82.9,0.4167,101,38874,20039,90200,174,7.5,2013,,
Baraga County,Michigan,26,13,6534,8787,14.2,46,509,88.5,0.4123,508,41189,17701,84000,1349,9.2,2013,,
Barry County,Michigan,26,15,57355,59121,14.0,262,717,78.5,0.4066,165,52186,25059,133900,280,7.9,2013,,
Bay County,Michigan,26,17,101304,107312,14.6,772,630,79.7,0.4245,417,45376,23799,93800,1353,8.8,2013,,
Benzie County,Michigan,26,19,16797,17474,20.6,56,763,81.3,0.3936,184,47366,24831,149700,82,6.6,2013,,
Berrien County,Michigan,26,21,122024,156290,14.7,1314,649,78.4,0.4631,632,43633,24013,129300,23683,8.8,2013,,
Branch County,Michigan,26,23,41972,44398,13.5,265,670,78.7,0.4261,131,41856,19947,98000,1162,8.7,2013,,
Calhoun County,Michigan,26,25,112570,135534,13.4,1389,671,78.3,0.4503,825,42110,22978,98300,14788,9.7,2013,,
Cass County,Michigan,26,27,46298,52212,15.8,254,685,79.3,0.4319,341,44346,22743,124800,2684,8.2,2013,,
Charlevoix County,Michigan,26,29,24782,26030,18.2,220,635,81.1,0.4675,358,45949,26947,151400,97,7.0,2013,,
Cheboygan County,Michigan,26,31,24264,25985,21.5,173,601,82.4,0.4549,659,38410,23412,112500,127,6.8,2013,,
Chippewa County,Michigan,26,33,27778,38760,12.7,353,601,84.5,0.4364,6238,41637,20589,101600,1975,11.5,2013,,
Clare County,Michigan,26,35,29809,30823,20.1,225,581,82.1,0.43,207,32668,18148,80000,165,7.7,2013,,
Clinton County,Michigan,26,37,71038,75802,12.7,596,764,78.2,0.4148,185,60466,28449,156300,1522,10.3,2013,,
Crawford County,Michigan,26,39,13568,14017,20.6,132,649,83.1,0.4102,18,40295,21492,96400,111,6.8,2013,,
Delta County,Michigan,26,41,34902,36967,17.8,239,554,80.8,0.4215,693,42676,22471,100200,91,7.7,2013,,
Dickinson County,Michigan,26,43,25383,26201,17.3,210,586,81.2,0.4477,69,44136,24611,85500,88,7.2,2013,,
Eaton County,Michigan,26,45,94985,107920,13.3,1059,759,79.5,0.3942,398,54115,26582,138300,6545,9.4,2013,,
Emmet County,Michigan,26,47,30426,32858,16.1,223,744,80.0,0.479,883,50929,29718,167700,197,8.1,2013,,
Genesee County,Michigan,26,49,315032,421575,12.6,4030,711,77.0,0.4506,2032,42089,22380,91700,86003,9.4,2013,,
Gladwin County,Michigan,26,51,25016,25664,22.2,193,572,82.0,0.4286,136,37626,20368,103300,114,7.2,2013,,
Gogebic County,Michigan,26,53,14740,16179,19.1,111,594,86.3,0.4423,440,34252,20330,66800,643,8.8,2013,,
Grand Traverse County,Michigan,26,55,83545,88182,13.3,511,847,79.9,0.4421,984,51766,27660,168300,1104,8.6,2013,,
Gratiot County,Michigan,26,57,38509,42148,12.5,351,593,82.5,0.4208,149,40359,18836,86600,2332,12.6,2013,,
Hillsdale County,Michigan,26,59,45262,46463,14.7,218,639,79.2,0.4136,237,41759,20379,103700,239,9.8,2013,,
Houghton County,Michigan,26,61,34348,36494,12.9,352,595,82.4,0.4606,260,35430,19783,88400,256,25.5,2013,,
Huron County,Michigan,26,63,31908,32751,19.8,124,589,82.0,0.4251,171,40204,22120,96100,104,7.1,2013,,
Ingham County,Michigan,26,65,215412,281531,9.5,4000,775,80.7,0.4745,1123,45321,24754,120500,30955,20.0,2013,,
Ionia County,Michigan,26,67,58140,63909,9.9,451,664,78.6,0.394,279,47892,20206,111000,2448,10.3,2013,,
Iosco County,Michigan,26,69,24765,25662,25.4,67,588,84.4,0.4461,271,36236,22047,90300,128,6.8,2013,,
Iron County,Michigan,26,71,11334,11723,24.1,96,490,86.3,0.425,44,34685,21499,75100,130,5.9,2013,,
Isabella County,Michigan,26,73,62633,70400,8.8,748,698,83.7,0.4885,2156,36372,19061,119800,1690,30.4,2013,,
Jackson County,Michigan,26,75,140302,160126,12.7,1245,722,79.9,0.4303,796,46615,22613,112800,13379,9.5,2013,,
Kalamazoo County,Michigan,26,77,207442,252763,10.9,2788,717,79.1,0.4747,1142,45775,25757,136700,28222,16.3,2013,,
Kalkaska County,Michigan,26,79,16514,17142,16.5,120,692,81.1,0.4109,142,40140,20258,98800,104,7.1,2013,,
Kent County,Michigan,26,81,502079,609544,9.9,5816,745,76.0,0.4456,2436,51667,25889,137500,58532,10.4,2013,,
Keweenaw County,Michigan,26,83,2118,2181,25.7,15,577,83.4,0.4299,11,39038,24802,101700,36,5.6,2013,,
Lake County,Michigan,26,85,10031,11485,25.0,58,544,84.9,0.4396,73,29379,16202,79700,973,6.0,2013,,
Lapeer County,Michigan,26,87,84791,88323,12.9,437,757,79.6,0.389,249,52939,23907,137600,948,8.7,2013,,
Leelanau County,Michigan,26,89,20293,21682,24.3,83,822,84.2,0.4541,675,55018,31462,235600,102,6.7,2013,,
Lenawee County,Michigan,26,91,92401,99505,13.0,639,710,79.4,0.3999,672,47766,22395,116900,2455,10.3,2013,,
Livingston County,Michigan,26,93,176376,182402,11.7,944,917,77.8,0.3867,472,72359,32129,183100,790,7.9,2013,,
Luce County,Michigan,26,95,5302,6550,14.7,46,599,86.6,0.3989,346,39469,18768,79400,646,7.6,2013,,
Mackinac County,Michigan,26,97,8415,11099,22.2,158,593,83.7,0.4078,1707,38704,22622,119300,118,6.7,2013,,
Macomb County,Michigan,26,99,715360,845197,12.5,6864,824,79.0,0.4175,2179,53451,26748,123100,78952,8.8,2013,,
Manistee County,Michigan,26,101,22656,24626,19.3,228,669,84.4,0.4297,462,41551,22702,109900,760,9.4,2013,,
Marquette County,Michigan,26,103,63013,67358,13.9,632,607,83.3,0.4497,1210,45622,23789,126600,1097,14.6,2013,,
Mason County,Michigan,26,105,27346,28648,18.0,272,654,80.1,0.4293,276,41136,23183,117000,202,7.8,2013,,
Mecosta County,Michigan,26,107,40171,43007,14.2,371,643,82.4,0.4359,191,39470,19336,112200,1207,22.1,2013,,
Menominee County,Michigan,26,109,22739,23917,18.3,143,513,81.8,0.3971,445,41739,22331,95300,80,6.7,2013,,
Midland County,Michigan,26,111,78710,83842,13.2,700,713,79.1,0.4665,357,53076,29536,128600,1162,10.1,2013,,
Missaukee County,Michigan,26,113,14514,14940,17.0,34,696,78.0,0.3931,99,41061,20305,99400,48,7.3,2013,,
Monroe County,Michigan,26,115,143322,151408,12.4,1135,777,78.9,0.4147,586,53972,25939,139100,3434,9.0,2013,,
Montcalm County,Michigan,26,117,59598,63234,12.9,330,673,79.5,0.4059,243,40451,18969,95000,1538,9.2,2013,,
Montmorency County,Michigan,26,119,9365,9598,26.4,57,635,85.4,0.4032,44,35261,19661,93700,25,5.9,2013,,
Muskegon County,Michigan,26,121,138074,171153,12.3,1637,663,77.5,0.4373,1047,40979,20621,100900,23614,9.4,2013,,
Newaygo County,Michigan,26,123,45423,48280,15.2,209,656,78.3,0.4289,355,42571,20623,104100,612,8.3,2013,,
Oakland County,Michigan,26,125,936853,1213406,12.2,11625,919,78.7,0.467,3088,65594,36458,170500,165652,8.2,2013,,
Oceana County,Michigan,26,127,25015,26456,16.6,172,676,78.1,0.4057,248,40023,18986,106100,122,7.8,2013,,
Ogemaw County,Michigan,26,129,20897,21537,21.8,145,642,82.0,0.4445,124,34619,19634,89500,43,6.9,2013,,
Ontonagon County,Michigan,26,131,6383,6584,27.0,41,419,86.6,0.3888,48,34620,21585,72600,38,4.5,2013,,
Osceola County,Michigan,26,133,22632,23404,16.2,164,565,78.7,0.4059,116,37788,18099,90500,156,7.9,2013,,
Oscoda County,Michigan,26,135,8336,8590,24.0,16,589,81.6,0.3891,75,33239,18057,83000,3,6.1,2013,,
Otsego County,Michigan,26,137,23249,24127,16.5,332,665,80.6,0.4195,127,47584,24312,116600,43,7.6,2013,,
Ottawa County,Michigan,26,139,240170,267017,10.9,1524,767,76.3,0.4126,1172,56453,25371,153200,4110,12.8,2013,,
Presque Isle County,Michigan,26,141,12889,13234,26.0,45,530,85.5,0.3932,77,39652,22788,95000,55,5.8,2013,,
Roscommon County,Michigan,26,143,23572,24281,27.9,299,655,86.3,0.4775,175,33334,23023,92000,93,6.3,2013,,
Saginaw County,Michigan,26,145,150501,198841,13.9,1425,699,78.7,0.4487,557,42331,22349,97800,36931,10.9,2013,,
Saint Clair County,Michigan,26,147,152028,161865,13.6,1562,728,79.2,0.4243,331,48066,24357,121600,3793,8.5,2013,,
Saint Joseph County,Michigan,26,149,57093,61111,13.5,567,634,76.9,0.4192,172,44051,20570,108900,1650,8.5,2013,,
Sanilac County,Michigan,26,151,41320,42637,16.6,294,619,79.1,0.422,169,40478,20713,96500,213,7.8,2013,,
Schoolcraft County,Michigan,26,153,7331,8407,20.6,53,512,82.4,0.462,577,35260,20892,86200,36,6.5,2013,,
Shiawassee County,Michigan,26,155,67907,69910,13.3,447,672,78.7,0.4127,285,46217,22713,108300,387,8.9,2013,,
Tuscola County,Michigan,26,157,53111,55172,15.0,328,642,79.6,0.3902,217,43039,20767,95700,610,8.5,2013,,
Van Buren County,Michigan,26,159,66922,75897,13.1,480,630,77.7,0.426,618,45129,21732,118700,3008,8.3,2013,,
Washtenaw County,Michigan,26,161,259878,348560,9.5,4460,910,81.2,0.4714,1043,59055,33231,198400,42400,18.0,2013,,
Wayne County,Michigan,26,163,954450,1804507,11.0,17102,792,76.9,0.4843,6396,41184,22308,86800,721705,10.2,2013,,
Wexford County,Michigan,26,165,31560,32690,15.2,277,698,78.1,0.4338,260,40965,20573,100100,157,7.7,2013,,
Aitkin County,Minnesota,27,1,15306,16032,27.5,104,625,84.6,0.4289,296,41617,24939,168700,63,5.8,2013,,
Anoka County,Minnesota,27,3,289378,334027,9.2,1844,938,77.1,0.379,2210,70380,30647,192300,14967,8.4,2013,,
Becker County,Minnesota,27,5,28876,32800,16.7,196,647,78.1,0.4253,2310,50214,25455,171500,115,6.9,2013,,
Beltrami County,Minnesota,27,7,33680,45021,12.1,465,660,76.6,0.4392,8916,43231,21622,147100,386,14.8,2013,,
Benton County,Minnesota,27,9,36663,38756,10.3,428,652,77.5,0.3944,216,52200,24453,158200,826,10.3,2013,,
Big Stone County,Minnesota,27,11,5112,5209,23.3,14,526,81.9,0.4274,10,46313,26019,91300,17,6.6,2013,,
Blue Earth County,Minnesota,27,13,59738,64504,10.2,678,683,82.7,0.4476,190,49935,25380,158100,1951,22.6,2013,,
Brown County,Minnesota,27,15,25006,25643,16.6,142,583,79.7,0.4218,24,48256,26576,121900,84,10.1,2013,,
Carlton County,Minnesota,27,17,31680,35398,13.1,245,696,79.9,0.3978,1873,53016,24434,159000,556,7.8,2013,,
Carver County,Minnesota,27,19,86029,92770,7.8,830,938,73.4,0.4081,142,83773,37457,264700,902,7.4,2013,,
Cass County,Minnesota,27,21,24396,28485,21.5,247,654,80.8,0.4311,2978,45045,25287,177100,79,6.6,2013,,
Chippewa County,Minnesota,27,23,11519,12272,16.8,101,711,79.2,0.4192,60,49434,25993,101100,70,7.3,2013,,
Chisago County,Minnesota,27,25,51270,53691,11.1,279,781,77.9,0.3716,274,67157,27914,197000,619,8.5,2013,,
Clay County,Minnesota,27,27,55364,59638,10.6,395,700,78.1,0.4048,888,52410,24550,155200,897,16.0,2013,,
Clearwater County,Minnesota,27,29,7577,8725,17.2,83,531,76.5,0.426,794,43269,22157,118300,10,7.4,2013,,
Cook County,Minnesota,27,31,4529,5195,20.7,53,681,85.1,0.4325,366,52215,32868,240500,30,6.6,2013,,
Cottonwood County,Minnesota,27,33,10801,11658,20.0,79,520,77.6,0.4266,48,45294,23456,86800,61,6.5,2013,,
Crow Wing County,Minnesota,27,35,60652,62742,17.8,561,717,79.1,0.4453,744,47058,26527,180300,480,7.6,2013,,
Dakota County,Minnesota,27,37,343068,402306,9.4,3228,944,76.2,0.4047,1574,73732,34828,223300,19897,8.2,2013,,
Dodge County,Minnesota,27,39,19523,20159,11.3,73,685,74.7,0.3781,24,69301,29107,161100,165,7.9,2013,,
Douglas County,Minnesota,27,41,35444,36264,18.3,374,646,80.2,0.4271,99,50905,27716,187300,166,9.0,2013,,
Faribault County,Minnesota,27,43,14059,14430,18.4,88,509,80.2,0.4206,55,44264,25065,85800,65,7.5,2013,,
Fillmore County,Minnesota,27,45,20520,20870,17.4,176,589,77.9,0.4079,38,50657,25249,135200,42,7.1,2013,,
Freeborn County,Minnesota,27,47,29591,31129,18.0,314,546,79.6,0.4297,118,44683,25668,104000,285,8.0,2013,,
Goodhue County,Minnesota,27,49,44081,46259,15.0,508,681,78.7,0.4312,487,56836,29932,181800,555,7.6,2013,,
Grant County,Minnesota,27,51,5867,5990,21.4,48,542,80.7,0.4098,13,50030,26665,98600,12,6.5,2013,,
Hennepin County,Minnesota,27,53,880209,1170623,10.0,15550,917,79.2,0.4805,9532,64403,37485,230900,137251,9.7,2013,,
Houston County,Minnesota,27,55,18420,18915,16.5,145,585,80.2,0.4071,33,52545,26450,156500,48,7.3,2013,,
Hubbard County,Minnesota,27,57,19327,20440,21.0,76,597,80.8,0.4194,394,45961,24880,170400,69,6.0,2013,,
Isanti County,Minnesota,27,59,36647,38078,11.5,244,842,77.3,0.371,232,57353,25482,172000,231,8.0,2013,,
Itasca County,Minnesota,27,61,42221,45219,18.2,340,635,80.4,0.4032,1381,46912,24079,152200,150,7.8,2013,,
Jackson County,Minnesota,27,63,9787,10263,17.4,41,561,79.6,0.4216,4,51681,27361,97700,16,7.5,2013,,
Kanabec County,Minnesota,27,65,15684,16151,15.9,108,754,79.5,0.3786,93,47068,22291,145600,78,7.1,2013,,
Kandiyohi County,Minnesota,27,67,39140,42265,14.6,330,627,78.2,0.433,152,50149,26880,161800,997,10.1,2013,,
Kittson County,Minnesota,27,69,4400,4528,20.4,16,465,81.6,0.4123,12,48875,26927,68700,16,6.3,2013,,
Koochiching County,Minnesota,27,71,12484,13251,18.2,185,538,82.2,0.4705,389,41108,26045,101200,109,6.7,2013,,
Lac qui Parle County,Minnesota,27,73,7030,7184,21.2,30,556,81.2,0.4314,25,48468,28014,80200,27,5.9,2013,,
Lake County,Minnesota,27,75,10465,10825,22.5,84,680,83.6,0.4266,21,46939,27883,153200,12,5.9,2013,,
Lake of the Woods County,Minnesota,27,77,3803,3998,18.8,17,547,83.1,0.3619,25,44069,21903,121500,46,6.5,2013,,
Le Sueur County,Minnesota,27,79,26438,27758,13.8,187,708,77.6,0.3861,102,58922,27793,180100,143,7.0,2013,,
Lincoln County,Minnesota,27,81,5713,5854,21.7,33,490,80.0,0.4378,13,47861,26767,86100,14,6.8,2013,,
Lyon County,Minnesota,27,83,23155,25703,11.7,273,608,77.6,0.4321,140,49594,26028,136000,655,12.0,2013,,
McLeod County,Minnesota,27,85,34718,36321,13.7,349,684,77.9,0.3933,119,55170,26824,155400,232,7.9,2013,,
Mahnomen County,Minnesota,27,87,2716,5475,14.6,27,486,70.8,0.4443,2229,40282,19517,97800,33,7.0,2013,,
Marshall County,Minnesota,27,89,9243,9454,17.1,56,514,80.1,0.3989,48,52198,26834,88100,38,6.9,2013,,
Martin County,Minnesota,27,91,20166,20634,18.3,164,580,79.8,0.4345,29,48530,26472,102600,74,6.9,2013,,
Meeker County,Minnesota,27,93,22694,23197,15.5,163,686,78.0,0.3915,63,53904,25665,156000,106,7.4,2013,,
Mille Lacs County,Minnesota,27,95,23626,25927,14.4,203,702,76.8,0.4047,1537,47862,22891,146600,154,7.5,2013,,
Morrison County,Minnesota,27,97,32247,33118,14.4,221,625,78.3,0.4169,53,47649,23753,153600,137,7.5,2013,,
Mower County,Minnesota,27,99,36230,39252,14.6,480,695,77.6,0.4407,62,46004,24990,106000,922,9.0,2013,,
Murray County,Minnesota,27,101,8362,8639,20.9,30,545,80.9,0.4206,11,52160,27450,95300,26,6.4,2013,,
Nicollet County,Minnesota,27,103,30876,32849,11.2,207,754,79.6,0.3739,105,60115,26674,169800,802,13.7,2013,,
Nobles County,Minnesota,27,105,17956,21490,13.5,174,633,77.4,0.4266,70,48208,22598,107800,769,9.5,2013,,
Norman County,Minnesota,27,107,6372,6753,19.0,49,521,78.6,0.4159,131,45389,23707,84000,20,6.9,2013,,
Olmsted County,Minnesota,27,109,126052,146063,11.6,1152,796,76.3,0.4367,248,66252,34073,171100,7121,7.4,2013,,
Otter Tail County,Minnesota,27,111,55068,57369,19.3,387,594,80.8,0.4265,234,48961,26400,159700,590,7.3,2013,,
Pennington County,Minnesota,27,113,13117,14008,13.3,152,535,78.5,0.4074,165,45633,24554,107900,228,9.9,2013,,
Pine County,Minnesota,27,115,26987,29449,15.0,224,686,81.5,0.4014,778,43928,21413,145500,622,7.4,2013,,
Pipestone County,Minnesota,27,117,8852,9470,16.6,70,564,76.8,0.4279,120,46019,24137,90600,30,6.7,2013,,
Polk County,Minnesota,27,119,29253,31522,14.2,278,634,78.8,0.4304,343,50695,25790,128100,325,11.2,2013,,
Pope County,Minnesota,27,121,10757,10957,19.2,58,657,80.3,0.4299,40,52350,29128,148000,50,6.4,2013,,
Ramsey County,Minnesota,27,123,364956,515732,10.4,7444,840,78.3,0.4572,3424,54247,29484,198200,56701,11.7,2013,,
Red Lake County,Minnesota,27,125,3912,4087,15.5,35,497,77.8,0.3844,50,47569,23257,87800,25,6.4,2013,,
Redwood County,Minnesota,27,127,14237,15942,17.7,93,565,77.3,0.425,763,47447,25649,90500,90,7.6,2013,,
Renville County,Minnesota,27,129,14768,15499,17.2,82,560,80.1,0.4169,120,50802,26062,97600,97,7.5,2013,,
Rice County,Minnesota,27,131,58170,64585,11.0,473,750,79.6,0.4109,251,59915,25370,187500,1931,15.8,2013,,
Rock County,Minnesota,27,133,9319,9601,16.9,58,603,76.3,0.4154,47,46623,24101,119300,77,6.6,2013,,
Roseau County,Minnesota,27,135,14695,15587,13.3,95,555,78.6,0.4047,161,50759,25650,103800,78,7.0,2013,,
Saint Louis County,Minnesota,27,137,186132,200327,14.2,2253,654,82.4,0.4433,4620,46517,25946,137500,2960,13.3,2013,,
Scott County,Minnesota,27,139,115137,132774,7.5,524,1004,73.0,0.3827,823,86112,35467,244400,3550,7.2,2013,,
Sherburne County,Minnesota,27,141,84175,89120,7.8,490,878,74.7,0.361,367,73098,28071,193400,1853,9.0,2013,,
Sibley County,Minnesota,27,143,14657,15146,14.3,120,602,77.3,0.3938,30,54017,25789,136900,35,7.0,2013,,
Stearns County,Minnesota,27,145,138635,151053,11.2,1599,726,79.4,0.4187,558,54551,26065,167600,4926,15.9,2013,,
Steele County,Minnesota,27,147,33795,36512,12.8,265,720,76.8,0.4124,40,56480,27259,155400,863,8.1,2013,,
Stevens County,Minnesota,27,149,9033,9723,14.2,66,527,80.7,0.5054,228,54206,28746,127500,37,20.0,2013,,
Swift County,Minnesota,27,151,9358,9678,17.2,47,552,80.0,0.4021,39,48026,25750,91700,126,7.8,2013,,
Todd County,Minnesota,27,153,23525,24697,16.6,124,575,78.6,0.4222,76,45000,22383,130000,84,8.3,2013,,
Traverse County,Minnesota,27,155,3269,3507,22.7,39,509,81.1,0.454,164,45714,28030,66400,3,6.4,2013,,
Wabasha County,Minnesota,27,157,21099,21549,16.4,150,648,79.0,0.4138,27,53057,28282,154000,104,7.0,2013,,
Wadena County,Minnesota,27,159,13280,13772,18.9,96,555,78.6,0.4324,221,36928,20329,114600,63,8.1,2013,,
Waseca County,Minnesota,27,161,17973,19046,13.8,254,566,77.9,0.4033,95,53657,25723,142700,337,7.3,2013,,
Washington County,Minnesota,27,163,211969,241315,10.2,1055,1097,76.5,0.4017,714,81540,36706,241900,8552,7.9,2013,,
Watonwan County,Minnesota,27,165,10327,11173,16.6,48,558,77.0,0.4238,10,49698,25635,95700,81,8.3,2013,,
Wilkin County,Minnesota,27,167,6392,6576,15.9,16,442,76.6,0.3935,51,50507,25148,107300,19,6.6,2013,,
Winona County,Minnesota,27,169,48444,51328,12.4,342,620,82.4,0.4383,132,47468,23421,158000,636,20.4,2013,,
Wright County,Minnesota,27,171,119194,126142,9.1,647,889,72.8,0.3704,528,71598,29623,195000,1252,7.0,2013,,
Yellow Medicine County,Minnesota,27,173,9596,10294,17.1,21,579,79.4,0.3915,260,52510,25303,97600,23,7.9,2013,,
Adams County,Mississippi,28,1,12702,32308,13.0,320,585,80.5,0.5172,39,27381,17544,80900,18405,8.3,2013,,
Alcorn County,Mississippi,28,3,31756,37159,14.0,327,597,77.2,0.463,64,33600,19145,84300,4336,8.4,2013,,
Amite County,Mississippi,28,5,7456,13061,17.4,32,629,80.1,0.4626,3,30750,16977,70300,5534,9.8,2013,,
Attala County,Mississippi,28,7,10810,19383,16.0,65,563,76.5,0.493,0,31641,18422,71200,8208,8.4,2013,,
Benton County,Mississippi,28,9,5280,8682,16.6,59,606,78.5,0.5164,67,31060,18597,81200,3082,10.9,2013,,
Bolivar County,Mississippi,28,11,11287,34107,10.6,326,575,75.8,0.4913,43,28599,16462,83500,21883,12.5,2013,,
Calhoun County,Mississippi,28,13,10509,14875,14.7,110,501,76.5,0.4423,5,30000,17034,61500,4157,8.1,2013,,
Carroll County,Mississippi,28,15,6846,10501,16.8,2,604,82.7,0.483,13,31039,16897,68800,3433,10.7,2013,,
Chickasaw County,Mississippi,28,17,9653,17403,12.9,121,501,75.4,0.4627,2,31061,16677,64600,7409,9.8,2013,,
Choctaw County,Mississippi,28,19,5698,8440,15.6,58,523,76.5,0.4566,0,29876,17145,70600,2691,9.4,2013,,
Claiborne County,Mississippi,28,21,1338,9553,10.9,43,490,77.6,0.4933,16,23689,12177,54500,8063,19.8,2013,,
Clarke County,Mississippi,28,23,10655,16614,15.5,51,613,77.0,0.4581,3,31362,18066,59900,5892,7.6,2013,,
Clay County,Mississippi,28,25,8159,20539,13.2,99,631,75.9,0.5052,33,30764,18273,80600,11988,9.9,2013,,
Coahoma County,Mississippi,28,27,5873,25815,10.5,373,574,72.1,0.5406,32,26407,15742,55600,19701,11.6,2013,,
Copiah County,Mississippi,28,29,13482,29204,12.3,59,613,77.0,0.4963,12,35421,18318,74100,14943,11.8,2013,,
Covington County,Mississippi,28,31,12182,19520,14.2,110,605,76.8,0.4535,75,33381,17241,71800,7096,9.3,2013,,
DeSoto County,Mississippi,28,33,119299,163975,9.5,1061,936,74.0,0.3796,542,58505,25176,152600,34433,8.7,2013,,
Forrest County,Mississippi,28,35,45549,75991,10.2,1154,694,77.7,0.497,169,36726,19736,117500,27816,15.6,2013,,
Franklin County,Mississippi,28,37,5115,8013,14.8,21,539,76.7,0.5726,25,32372,24234,63700,2832,6.9,2013,,
George County,Mississippi,28,39,20178,22757,11.5,111,675,75.9,0.4277,17,43958,20217,94400,1858,9.4,2013,,
Greene County,Mississippi,28,41,10259,14337,8.8,12,493,83.9,0.4168,5,36888,14463,83200,3734,8.5,2013,,
Grenada County,Mississippi,28,43,12199,21745,13.6,274,518,77.8,0.5418,69,34129,21084,86500,9272,10.7,2013,,
Hancock County,Mississippi,28,45,39161,44597,15.3,436,761,79.7,0.4327,91,44522,22621,133900,3401,8.6,2013,,
Harrison County,Mississippi,28,47,134374,190756,10.9,2368,852,77.7,0.4522,743,43124,22677,143000,43259,11.6,2013,,
Hinds County,Mississippi,28,49,69163,246300,9.4,2701,767,75.1,0.4901,242,37626,20448,106400,171602,11.9,2013,,
Holmes County,Mississippi,28,51,3000,18931,11.5,81,472,71.9,0.4918,16,22325,12113,49000,15717,13.1,2013,,
Humphreys County,Mississippi,28,53,2111,9258,10.7,87,544,70.6,0.4957,6,23600,12874,63000,6995,10.3,2013,,
Issaquena County,Mississippi,28,55,395,1383,13.8,10,370,86.3,0.4803,0,24767,13731,60800,987,10.3,2013,,
