County,State,State_FIPS,County_FIPS,white_population,total_population,age_60_and_over,housing_cost_burden,median_gross_rent,age_15_to_44_percentage,gini_index,native_american_population,median_household_income,per_capita_income,median_home_value,black_population,age_18_and_under_percentage,year,asian_population,total_population_race
Montgomery County,Alabama,1,101,93483,229376,10.2,3069,797,76.6,0.4739,891,44401,24765,123500,125397,12.0,2012,,
Morgan County,Alabama,1,103,98477,119330,12.6,911,606,78.2,0.4396,1185,45852,23809,121100,14197,8.9,2012,,
Perry County,Alabama,1,105,3185,10525,14.5,58,478,77.3,0.469,0,31008,14527,63500,7223,14.0,2012,,
Pickens County,Alabama,1,107,11249,19646,15.2,238,461,78.8,0.4594,16,28762,17024,82500,8168,9.2,2012,,
Pike County,Alabama,1,109,19268,32750,11.6,319,587,82.0,0.4961,258,31702,19380,101600,11915,21.1,2012,,
Randolph County,Alabama,1,111,17656,22843,15.4,210,558,78.3,0.491,96,35074,19817,89100,4758,9.0,2012,,
Russell County,Alabama,1,113,29342,53938,10.5,1024,694,75.1,0.4417,40,33591,18792,102000,22756,9.3,2012,,
Saint Clair County,Alabama,1,115,74235,83530,12.0,355,736,78.1,0.4249,406,49652,23144,132600,7415,8.4,2012,,
Shelby County,Alabama,1,117,162400,195237,9.9,1011,885,76.4,0.4307,639,69379,34081,196000,21002,8.0,2012,,
Sumter County,Alabama,1,119,3327,13669,12.4,70,552,79.5,0.4952,12,22655,13951,76800,10132,16.6,2012,,
Talladega County,Alabama,1,121,53935,82194,12.4,810,582,78.7,0.4509,252,35209,18744,90400,26762,8.8,2012,,
Tallapoosa County,Alabama,1,123,29403,41534,15.8,416,580,79.2,0.4593,52,38611,21609,94600,11347,8.0,2012,,
Tuscaloosa County,Alabama,1,125,130821,194254,9.3,1452,760,80.0,0.474,482,43996,22487,152300,58198,20.0,2012,,
Walker County,Alabama,1,127,61305,67016,14.3,418,579,79.0,0.4506,154,37408,20689,83600,3672,8.4,2012,,
Washington County,Alabama,1,129,11389,17407,13.5,46,570,75.5,0.4428,1364,42256,20797,85800,4263,8.9,2012,,
Wilcox County,Alabama,1,131,3132,11706,12.7,130,382,74.7,0.522,0,24212,13163,58300,8555,9.1,2012,,
Winston County,Alabama,1,133,23567,24432,15.9,148,458,80.7,0.478,121,32830,19099,80500,196,7.7,2012,,
Anchorage Municipality,Alaska,2,20,194690,291470,6.8,4435,1104,76.6,0.4145,19326,76495,36145,277100,16770,12.0,2012,,
Bethel Census Area,Alaska,2,50,2007,17184,5.6,80,992,68.2,0.4492,14031,52349,19055,172300,49,11.6,2012,,
