County,State,State_FIPS,County_FIPS,age_15_to_44_percentage
Autauga County,Alabama,01,001,74.5
Baldwin County,Alabama,01,003,78.8
Barbour County,Alabama,01,005,81.1
Bibb County,Alabama,01,007,79.2
Blount County,Alabama,01,009,77.5
Bullock County,Alabama,01,011,79.5
Butler County,Alabama,01,013,76.1
Calhoun County,Alabama,01,015,78.6
Chambers County,Alabama,01,017,78.3
Cherokee County,Alabama,01,019,80.0
Chilton County,Alabama,01,021,77.4
Choctaw County,Alabama,01,023,77.1
Clarke County,Alabama,01,025,77.1
Clay County,Alabama,01,027,79.6
Cleburne County,Alabama,01,029,78.1
Coffee County,Alabama,01,031,77.9
Colbert County,Alabama,01,033,78.6
Conecuh County,Alabama,01,035,71.1
Coosa County,Alabama,01,037,80.4
Covington County,Alabama,01,039,78.5
Crenshaw County,Alabama,01,041,77.1
Cullman County,Alabama,01,043,77.9
Dale County,Alabama,01,045,77.2
Dallas County,Alabama,01,047,73.5
DeKalb County,Alabama,01,049,75.9
Elmore County,Alabama,01,051,78.5
Escambia County,Alabama,01,053,80.3
Etowah County,Alabama,01,055,78.4
Fayette County,Alabama,01,057,78.8
Franklin County,Alabama,01,059,77.5
Geneva County,Alabama,01,061,78.9
Greene County,Alabama,01,063,76.5
Hale County,Alabama,01,065,76.1
Henry County,Alabama,01,067,78.5
Houston County,Alabama,01,069,76.6
Jackson County,Alabama,01,071,79.4
Jefferson County,Alabama,01,073,77.5
Lamar County,Alabama,01,075,78.9
Lauderdale County,Alabama,01,077,79.7
Lawrence County,Alabama,01,079,78.2
Lee County,Alabama,01,081,79.2
Limestone County,Alabama,01,083,78.3
Lowndes County,Alabama,01,085,78.4
Macon County,Alabama,01,087,79.6
Madison County,Alabama,01,089,77.9
Marengo County,Alabama,01,091,75.9
Marion County,Alabama,01,093,79.5
Marshall County,Alabama,01,095,76.5
Mobile County,Alabama,01,097,76.1
Monroe County,Alabama,01,099,76.4
Montgomery County,Alabama,01,101,76.0
Morgan County,Alabama,01,103,77.8
Perry County,Alabama,01,105,76.2
Pickens County,Alabama,01,107,78.3
Pike County,Alabama,01,109,81.0
Randolph County,Alabama,01,111,77.0
Russell County,Alabama,01,113,75.4
Saint Clair County,Alabama,01,115,78.5
Shelby County,Alabama,01,117,76.1
Sumter County,Alabama,01,119,76.6
Talladega County,Alabama,01,121,78.7
Tallapoosa County,Alabama,01,123,79.2
Tuscaloosa County,Alabama,01,125,79.7
Walker County,Alabama,01,127,78.7
Washington County,Alabama,01,129,74.5
Wilcox County,Alabama,01,131,73.7
Winston County,Alabama,01,133,79.9
Anchorage Municipality,Alaska,02,020,76.4
Bethel Census Area,Alaska,02,050,68.1
Bristol Bay Borough,Alaska,02,060,68.4
Fairbanks North Star Borough,Alaska,02,090,76.9
Haines Borough,Alaska,02,100,72.7
Juneau City and Borough,Alaska,02,110,78.6
Kenai Peninsula Borough,Alaska,02,122,79.6
Kodiak Island Borough,Alaska,02,150,73.1
Matanuska-Susitna Borough,Alaska,02,170,74.4
Nome Census Area,Alaska,02,180,69.4
North Slope Borough,Alaska,02,185,77.4
Sitka City and Borough,Alaska,02,220,81.1
Southeast Fairbanks Census Area,Alaska,02,240,75.7
Valdez-Cordova Census Area,Alaska,02,261,78.5
Wade Hampton Census Area,Alaska,02,270,63.2
Northwest Arctic Borough,Alaska,02,188,70.5
Aleutians East Borough,Alaska,02,013,94.6
Aleutians West Census Area,Alaska,02,016,94.1
Dillingham Census Area,Alaska,02,070,70.1
Lake and Peninsula Borough,Alaska,02,164,55.7
Denali Borough,Alaska,02,068,88.9
Yukon-Koyukuk Census Area,Alaska,02,290,77.3
Hoonah-Angoon Census Area,Alaska,02,105,85.0
Skagway Municipality,Alaska,02,230,79.8
Yakutat City and Borough,Alaska,02,282,67.7
Ketchikan Gateway Borough,Alaska,02,130,78.3
Petersburg Borough,Alaska,02,195,78.1
Prince of Wales-Hyder Census Area,Alaska,02,198,78.0
Wrangell City and Borough,Alaska,02,275,78.6
Apache County,Arizona,04,001,71.5
Cochise County,Arizona,04,003,79.2
Coconino County,Arizona,04,005,77.8
Gila County,Arizona,04,007,80.7
Graham County,Arizona,04,009,75.9
Greenlee County,Arizona,04,011,71.7
Maricopa County,Arizona,04,013,75.4
Mohave County,Arizona,04,015,80.7
Navajo County,Arizona,04,017,72.6
Pima County,Arizona,04,019,78.7
Pinal County,Arizona,04,021,77.2
Santa Cruz County,Arizona,04,023,69.7
Yavapai County,Arizona,04,025,82.0
La Paz County,Arizona,04,012,84.4
Yuma County,Arizona,04,027,74.4
Arkansas County,Arkansas,05,001,78.8
Ashley County,Arkansas,05,003,77.4
Baxter County,Arkansas,05,005,82.6
Benton County,Arkansas,05,007,74.0
Boone County,Arkansas,05,009,78.0
Bradley County,Arkansas,05,011,77.8
Calhoun County,Arkansas,05,013,82.2
Carroll County,Arkansas,05,015,79.7
Chicot County,Arkansas,05,017,77.0
Clark County,Arkansas,05,019,81.3
Clay County,Arkansas,05,021,78.9
Cleburne County,Arkansas,05,023,82.5
Cleveland County,Arkansas,05,025,76.6
Columbia County,Arkansas,05,027,78.6
Conway County,Arkansas,05,029,78.3
Craighead County,Arkansas,05,031,76.6
Crawford County,Arkansas,05,033,75.3
Crittenden County,Arkansas,05,035,71.5
Cross County,Arkansas,05,037,76.5
Dallas County,Arkansas,05,039,77.3
Desha County,Arkansas,05,041,75.1
Drew County,Arkansas,05,043,78.2
Faulkner County,Arkansas,05,045,77.0
Franklin County,Arkansas,05,047,78.5
Fulton County,Arkansas,05,049,79.6
Garland County,Arkansas,05,051,80.3
Grant County,Arkansas,05,053,77.8
Greene County,Arkansas,05,055,75.7
Hempstead County,Arkansas,05,057,74.9
Hot Spring County,Arkansas,05,059,79.3
Howard County,Arkansas,05,061,76.9
Independence County,Arkansas,05,063,77.7
Izard County,Arkansas,05,065,82.6
Jackson County,Arkansas,05,067,80.3
Jefferson County,Arkansas,05,069,77.5
Johnson County,Arkansas,05,071,77.6
Lafayette County,Arkansas,05,073,78.0
Lawrence County,Arkansas,05,075,77.7
Lee County,Arkansas,05,077,83.4
Lincoln County,Arkansas,05,079,85.1
Little River County,Arkansas,05,081,78.1
Logan County,Arkansas,05,083,76.6
Lonoke County,Arkansas,05,085,74.0
Madison County,Arkansas,05,087,79.3
Marion County,Arkansas,05,089,83.9
Miller County,Arkansas,05,091,76.4
Mississippi County,Arkansas,05,093,73.6
Monroe County,Arkansas,05,095,80.1
Montgomery County,Arkansas,05,097,80.6
Nevada County,Arkansas,05,099,77.1
Newton County,Arkansas,05,101,78.6
Ouachita County,Arkansas,05,103,77.7
Perry County,Arkansas,05,105,80.5
Phillips County,Arkansas,05,107,71.8
Pike County,Arkansas,05,109,73.9
Poinsett County,Arkansas,05,111,77.8
Polk County,Arkansas,05,113,78.1
Pope County,Arkansas,05,115,78.5
Prairie County,Arkansas,05,117,78.6
Pulaski County,Arkansas,05,119,77.1
Randolph County,Arkansas,05,121,79.7
Saint Francis County,Arkansas,05,123,79.4
Saline County,Arkansas,05,125,77.7
Scott County,Arkansas,05,127,75.1
Searcy County,Arkansas,05,129,81.7
Sebastian County,Arkansas,05,131,76.4
Sevier County,Arkansas,05,133,73.0
Sharp County,Arkansas,05,135,80.4
Stone County,Arkansas,05,137,81.4
